pitch_type,player_name,batter,description,hit_speed,hit_angle
CH,Adam Warren,456422,Foul,null,null
FF,Adam Warren,456422,Ball,null,null
SL,Adam Warren,456422,Called Strike,null,null
FF,Adam Warren,456422,Ball,null,null
CU,Adam Warren,456422,"In play, out(s)",59.7,-32.62
SL,Adam Warren,430945,"In play, out(s)",91.8,32.73
CU,Adam Warren,430945,Ball,null,null
SL,Adam Warren,430945,Ball,null,null
FF,Adam Warren,592518,Swinging Strike,null,null
CU,Adam Warren,592518,"In play, out(s)",null,null
FT,Adam Warren,592518,Called Strike,null,null
CU,Adam Warren,592518,Ball,null,null
SL,Adam Warren,506702,Ball,null,null
CU,Adam Warren,506702,"In play, no out",85.6,-26.83
FF,Adam Warren,506702,Called Strike,null,null
SL,Adam Warren,506702,Ball,null,null
SL,Adam Warren,506702,Swinging Strike,null,null
FF,Adam Warren,456030,"In play, no out",101.9,21.9
SL,Adam Warren,456030,Called Strike,null,null
SL,Adam Warren,593428,Foul,null,null
SL,Adam Warren,593428,Foul,null,null
SL,Adam Warren,593428,Ball,null,null
CU,Adam Warren,593428,Ball,null,null
FF,Adam Warren,593428,Ball,null,null
CU,Adam Warren,593428,"In play, out(s)",72.5,9.06
IN,Adam Warren,120074,Intent Ball,null,null
IN,Adam Warren,120074,Intent Ball,null,null
IN,Adam Warren,120074,Intent Ball,null,null
IN,Adam Warren,120074,Intent Ball,null,null
SL,Adam Warren,605141,"In play, run(s)",91.4,-45.24
IN,Adam Warren,434670,Intent Ball,null,null
IN,Adam Warren,434670,Intent Ball,null,null
IN,Adam Warren,434670,Intent Ball,null,null
IN,Adam Warren,434670,Intent Ball,null,null
SL,Adam Warren,518626,"In play, out(s)",74.7,50.52
SL,Adam Warren,430832,Swinging Strike,null,null
FF,Adam Warren,430832,Ball,null,null
SL,Adam Warren,430832,"In play, out(s)",71.5,-40.04
FF,Adam Warren,430832,Ball,null,null
SL,Adam Warren,430832,Ball,null,null
CU,Adam Warren,431145,Foul,null,null
SL,Adam Warren,431145,Swinging Strike,null,null
FF,Adam Warren,431145,Called Strike,null,null
CU,Adam Warren,431145,Ball,null,null
FF,Adam Warren,453064,"In play, out(s)",89.7,3.07
CH,Adam Warren,459431,Ball,null,null
SL,Adam Warren,459431,"In play, out(s)",104.5,21.3
FF,Adam Warren,459431,Ball,null,null
FF,Adam Warren,429665,Ball,null,null
FF,Adam Warren,429665,"In play, out(s)",86,-23.16
FF,Adam Warren,429665,Called Strike,null,null
FF,Adam Warren,429665,Foul,null,null
FF,Adam Warren,607680,"In play, out(s)",null,null
FF,Adam Warren,607680,Ball,null,null
SL,Adam Warren,485567,Called Strike,null,null
CU,Adam Warren,485567,Swinging Strike (Blocked),null,null
SL,Adam Warren,485567,Ball,null,null
SL,Adam Warren,485567,Called Strike,null,null
FF,Adam Warren,581527,Called Strike,null,null
SL,Adam Warren,581527,Ball In Dirt,null,null
SL,Adam Warren,581527,Foul,null,null
SL,Adam Warren,581527,Ball,null,null
FF,Adam Warren,581527,Foul,null,null
FF,Adam Warren,581527,Swinging Strike,null,null
SL,Adam Warren,431145,"In play, out(s)",72.5,-11.79
CU,Adam Warren,431145,Ball In Dirt,null,null
FF,Adam Warren,459431,Ball,null,null
SL,Adam Warren,459431,Called Strike,null,null
SL,Adam Warren,459431,Foul,null,null
FF,Adam Warren,459431,"In play, no out",75.6,13.76
CU,Adam Warren,459431,Ball In Dirt,null,null
SL,Adam Warren,459431,Swinging Strike,null,null
SL,Adam Warren,453064,"In play, no out",89,17.4
SL,Adam Warren,435064,"In play, out(s)",null,null
CU,Adam Warren,523253,"In play, out(s)",98.1,-3.69
FF,Adam Warren,523253,Called Strike,null,null
FF,Adam Warren,446334,Ball,null,null
SL,Adam Warren,446334,Ball,null,null
SL,Adam Warren,446334,Swinging Strike,null,null
FF,Adam Warren,446334,Called Strike,null,null
FF,Adam Warren,446334,Foul,null,null
SL,Adam Warren,543543,Foul,null,null
FF,Adam Warren,543543,Ball,null,null
CU,Adam Warren,543543,"In play, run(s)",104.4,24.44
CU,Adam Warren,543543,Swinging Strike,null,null
FF,Adam Warren,543543,Foul,null,null
CU,Adam Warren,543543,Ball,null,null
FF,Adam Warren,595281,Swinging Strike,null,null
FF,Adam Warren,595281,Ball,null,null
SL,Adam Warren,595281,Ball,null,null
SL,Adam Warren,595281,Foul,null,null
SL,Adam Warren,595281,Called Strike,null,null
FF,Adam Warren,595281,Ball,null,null
FF,Adam Warren,595281,"In play, out(s)",81.8,-3.36
SL,Adam Warren,434670,Swinging Strike,null,null
FF,Adam Warren,434670,Ball,null,null
SL,Adam Warren,434670,"In play, no out",110.7,-8
CU,Adam Warren,506702,Called Strike,null,null
FF,Adam Warren,506702,Ball,null,null
CU,Adam Warren,506702,Ball,null,null
FF,Adam Warren,506702,Foul,null,null
CU,Adam Warren,506702,Swinging Strike,null,null
CU,Adam Warren,506702,Called Strike,null,null
CH,Adam Warren,506702,Swinging Strike,null,null
FF,Adam Warren,598265,"In play, no out",105.4,12.55
FF,Adam Warren,643217,Foul,null,null
CH,Adam Warren,643217,Ball,null,null
CU,Adam Warren,643217,"In play, out(s)",95.6,32.27
CH,Adam Warren,643217,Called Strike,null,null
FF,Adam Warren,643217,Ball,null,null
SL,Adam Warren,643217,Swinging Strike,null,null
SL,Adam Warren,456030,Ball,null,null
FF,Adam Warren,456030,Called Strike,null,null
SL,Adam Warren,456030,Ball,null,null
FF,Adam Warren,456030,"In play, out(s)",null,null
CU,Adam Warren,543768,Called Strike,null,null
FF,Adam Warren,543768,"In play, out(s)",91.9,-12.4
SL,Adam Warren,605141,Ball,null,null
FF,Adam Warren,605141,Called Strike,null,null
SL,Adam Warren,605141,"In play, run(s)",100.3,-26.2
FF,Adam Warren,593428,"In play, out(s)",91.7,63.14
CU,Adam Warren,593428,Called Strike,null,null
FT,Adam Warren,593428,Swinging Strike,null,null
SL,Adam Warren,593428,Ball,null,null
CU,Adam Warren,593428,Ball,null,null
FF,Adam Warren,434670,Foul,null,null
SL,Adam Warren,434670,Ball,null,null
SL,Adam Warren,434670,Foul,null,null
FF,Adam Warren,434670,Ball,null,null
SL,Adam Warren,434670,"In play, out(s)",null,null
SL,Adam Warren,543768,Ball,null,null
FF,Adam Warren,543768,Called Strike,null,null
SL,Adam Warren,543768,Foul,null,null
SL,Adam Warren,543768,Foul,null,null
CU,Adam Warren,543768,Ball In Dirt,null,null
CH,Adam Warren,543768,Ball,null,null
SL,Adam Warren,543768,Foul,null,null
CU,Adam Warren,543768,Ball In Dirt,null,null
SL,Adam Warren,506702,Ball,null,null
