pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Andrew Cashner,607208,Called Strike,null,null
FT,Andrew Cashner,607208,Ball,null,null
FF,Andrew Cashner,607208,Ball,null,null
FF,Andrew Cashner,607208,Ball,null,null
FF,Andrew Cashner,607208,Ball,null,null
FT,Andrew Cashner,150029,Called Strike,null,null
FF,Andrew Cashner,150029,Foul,null,null
FT,Andrew Cashner,150029,"In play, out(s)",79.7,60.47
FF,Andrew Cashner,150029,Called Strike,null,null
SL,Andrew Cashner,150029,Ball,null,null
FF,Andrew Cashner,547180,Ball,null,null
FF,Andrew Cashner,547180,Ball,null,null
FF,Andrew Cashner,547180,Called Strike,null,null
FF,Andrew Cashner,547180,Swinging Strike,null,null
CH,Andrew Cashner,547180,Foul Tip,null,null
FT,Andrew Cashner,543685,Called Strike,null,null
SL,Andrew Cashner,543685,"In play, out(s)",98.4,7.51
FT,Andrew Cashner,543685,Ball,null,null
CH,Andrew Cashner,452220,Ball,null,null
SL,Andrew Cashner,452220,Ball,null,null
FF,Andrew Cashner,452220,Ball,null,null
FF,Andrew Cashner,452220,Called Strike,null,null
FF,Andrew Cashner,452220,"In play, out(s)",97.2,26.07
FF,Andrew Cashner,519208,Ball,null,null
FF,Andrew Cashner,519208,Ball,null,null
FF,Andrew Cashner,519208,"In play, no out",91.8,-2.13
FF,Andrew Cashner,519208,Called Strike,null,null
SL,Andrew Cashner,519208,Foul,null,null
SL,Andrew Cashner,519208,Foul,null,null
CH,Andrew Cashner,519208,Ball,null,null
FF,Andrew Cashner,457787,Called Strike,null,null
CH,Andrew Cashner,457787,Ball,null,null
FF,Andrew Cashner,457787,Swinging Strike,null,null
FF,Andrew Cashner,457787,Ball,null,null
FF,Andrew Cashner,457787,Ball,null,null
FF,Andrew Cashner,457787,"In play, out(s)",96.3,27.29
FF,Andrew Cashner,446653,"In play, out(s)",89,15.99
FF,Andrew Cashner,446653,Swinging Strike,null,null
CH,Andrew Cashner,519184,"In play, out(s)",78.3,22.97
FF,Andrew Cashner,519184,Called Strike,null,null
FF,Andrew Cashner,607208,Ball,null,null
FT,Andrew Cashner,607208,Called Strike,null,null
CH,Andrew Cashner,607208,"In play, no out",99.5,16.41
SL,Andrew Cashner,150029,Ball,null,null
FT,Andrew Cashner,150029,Called Strike,null,null
