pitch_type,player_name,batter,description,hit_speed,hit_angle
SI,Chad Kuhl,572761,Ball,null,null
SI,Chad Kuhl,572761,Foul,null,null
SL,Chad Kuhl,572761,Swinging Strike,null,null
SI,Chad Kuhl,572761,Called Strike,null,null
SI,Chad Kuhl,572761,Ball,null,null
SI,Chad Kuhl,649557,"In play, no out",94,27.96
SI,Chad Kuhl,425877,"In play, no out",65.7,-53.63
SL,Chad Kuhl,425877,Called Strike,null,null
SI,Chad Kuhl,572039,Ball,null,null
SI,Chad Kuhl,572039,Foul,null,null
SI,Chad Kuhl,572039,Foul,null,null
FF,Chad Kuhl,572039,Ball In Dirt,null,null
SI,Chad Kuhl,572039,Swinging Strike,null,null
FF,Chad Kuhl,572039,Ball In Dirt,null,null
SL,Chad Kuhl,572039,Swinging Strike,null,null
SI,Chad Kuhl,425509,Ball,null,null
SI,Chad Kuhl,425509,Ball,null,null
SI,Chad Kuhl,425509,Foul,null,null
SI,Chad Kuhl,425509,Foul (Runner Going),null,null
SI,Chad Kuhl,425509,Called Strike,null,null
FF,Chad Kuhl,425509,Ball In Dirt,null,null
FF,Chad Kuhl,425509,Swinging Strike,null,null
SI,Chad Kuhl,461235,Foul,null,null
SI,Chad Kuhl,461235,"In play, out(s)",99.2,48.74
SI,Chad Kuhl,461235,Ball,null,null
SI,Chad Kuhl,461235,Ball,null,null
SI,Chad Kuhl,576397,Ball,null,null
SI,Chad Kuhl,576397,Ball,null,null
SI,Chad Kuhl,576397,"In play, no out",101.6,15.03
SI,Chad Kuhl,545341,Foul,null,null
SI,Chad Kuhl,545341,Ball,null,null
FF,Chad Kuhl,545341,Called Strike,null,null
FF,Chad Kuhl,545341,"In play, no out",74.7,25.98
SI,Chad Kuhl,571431,Ball,null,null
SI,Chad Kuhl,571431,Ball,null,null
SI,Chad Kuhl,571431,"In play, out(s)",88.2,68.11
SL,Chad Kuhl,649557,Called Strike,null,null
SL,Chad Kuhl,649557,"In play, out(s)",84.4,26.82
SI,Chad Kuhl,649557,Ball,null,null
SI,Chad Kuhl,425509,"In play, out(s)",96.7,0.8
SI,Chad Kuhl,461235,Called Strike,null,null
SI,Chad Kuhl,461235,Ball,null,null
SI,Chad Kuhl,461235,Ball,null,null
SI,Chad Kuhl,461235,Ball,null,null
SI,Chad Kuhl,461235,Ball,null,null
SI,Chad Kuhl,576397,Foul,null,null
SL,Chad Kuhl,576397,Swinging Strike,null,null
FF,Chad Kuhl,576397,Swinging Strike,null,null
FF,Chad Kuhl,576397,Ball,null,null
SI,Chad Kuhl,545341,Called Strike,null,null
SI,Chad Kuhl,545341,Swinging Strike,null,null
SI,Chad Kuhl,545341,Swinging Strike,null,null
SL,Chad Kuhl,545341,Ball,null,null
SI,Chad Kuhl,571757,"In play, out(s)",101.2,43.05
SI,Chad Kuhl,571757,Ball,null,null
SI,Chad Kuhl,572761,"In play, no out",106.2,18.46
SI,Chad Kuhl,572761,Ball,null,null
SI,Chad Kuhl,425877,"In play, no out",88.8,-4.96
FF,Chad Kuhl,425877,Called Strike,null,null
FF,Chad Kuhl,425877,Ball,null,null
SI,Chad Kuhl,425877,Called Strike,null,null
SL,Chad Kuhl,425877,Foul,null,null
SI,Chad Kuhl,461235,"In play, no out",110.4,12.45
