pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Chris Beck,621439,Foul,null,null
FF,Chris Beck,621439,Swinging Strike,null,null
FT,Chris Beck,621439,Swinging Strike,null,null
FF,Chris Beck,621439,Ball,null,null
SL,Chris Beck,621439,Ball,null,null
FF,Chris Beck,621439,Ball,null,null
FF,Chris Beck,593871,Swinging Strike,null,null
SL,Chris Beck,593871,Ball,null,null
FF,Chris Beck,593871,Called Strike,null,null
CH,Chris Beck,593871,Ball,null,null
FF,Chris Beck,593871,Foul,null,null
FF,Chris Beck,593871,"In play, no out",77.4,20.44
CH,Chris Beck,543257,Foul,null,null
FF,Chris Beck,543257,Foul,null,null
CH,Chris Beck,543257,Called Strike,null,null
FF,Chris Beck,543257,Swinging Strike,null,null
SL,Chris Beck,593934,Ball,null,null
FT,Chris Beck,593934,Swinging Strike,null,null
FF,Chris Beck,593934,Ball,null,null
FF,Chris Beck,593934,"In play, no out",108,0.03
CH,Chris Beck,573627,Ball,null,null
FF,Chris Beck,573627,Foul,null,null
FT,Chris Beck,573627,Swinging Strike,null,null
CH,Chris Beck,573627,Swinging Strike,null,null
FT,Chris Beck,500871,Ball,null,null
FF,Chris Beck,500871,Ball,null,null
FT,Chris Beck,500871,Ball,null,null
FF,Chris Beck,500871,Ball,null,null
FT,Chris Beck,500871,Called Strike,null,null
FT,Chris Beck,571974,Foul,null,null
FT,Chris Beck,571974,"In play, out(s)",80.6,32.17
SL,Chris Beck,571974,Ball,null,null
FF,Chris Beck,502582,"In play, no out",null,null
SL,Chris Beck,621439,"In play, out(s)",null,null
CH,Chris Beck,572821,Swinging Strike,null,null
CH,Chris Beck,572821,Swinging Strike,null,null
FF,Chris Beck,572821,Called Strike,null,null
FT,Chris Beck,593871,"In play, no out",88.3,13.93
SL,Chris Beck,593871,Ball,null,null
FF,Chris Beck,543257,Called Strike,null,null
CH,Chris Beck,543257,"In play, no out",68.7,29.88
FF,Chris Beck,543257,Swinging Strike,null,null
FF,Chris Beck,543094,Called Strike,null,null
FT,Chris Beck,543094,"In play, out(s)",77.8,26.41
FT,Chris Beck,543094,Ball,null,null
CH,Chris Beck,543094,Ball,null,null
FF,Chris Beck,543094,Ball,null,null
CH,Chris Beck,592200,Ball,null,null
FT,Chris Beck,592200,Ball,null,null
FT,Chris Beck,592200,Called Strike,null,null
FF,Chris Beck,592200,"In play, out(s)",96.5,-0.2
FF,Chris Beck,543484,Called Strike,null,null
SL,Chris Beck,543484,Called Strike,null,null
FT,Chris Beck,543484,"In play, out(s)",73.1,-9.76
FT,Chris Beck,543484,Ball,null,null
FT,Chris Beck,571830,"In play, out(s)",89.4,-14.35
FF,Chris Beck,571830,Called Strike,null,null
SL,Chris Beck,571830,Ball,null,null
FT,Chris Beck,519237,Ball,null,null
FT,Chris Beck,519237,Called Strike,null,null
FF,Chris Beck,519237,Called Strike,null,null
SL,Chris Beck,519237,Called Strike,null,null
CH,Chris Beck,520471,"In play, out(s)",null,null
FF,Chris Beck,520471,Ball,null,null
FT,Chris Beck,571437,Foul,null,null
FT,Chris Beck,571437,Swinging Strike,null,null
FT,Chris Beck,571437,Swinging Strike,null,null
FF,Chris Beck,571437,Ball,null,null
null,Chris Beck,595963,Hit By Pitch,null,null
FT,Chris Beck,595963,Ball,null,null
SL,Chris Beck,595191,Called Strike,null,null
SL,Chris Beck,595191,Swinging Strike,null,null
FT,Chris Beck,595191,Foul,null,null
FF,Chris Beck,595191,"In play, out(s)",83.8,29.66
FF,Chris Beck,595191,Ball,null,null
CH,Chris Beck,514917,Swinging Strike,null,null
FT,Chris Beck,514917,Swinging Strike,null,null
FT,Chris Beck,514917,Ball,null,null
FT,Chris Beck,514917,Ball,null,null
CH,Chris Beck,514917,Ball,null,null
FF,Chris Beck,514917,Foul,null,null
CH,Chris Beck,514917,Ball,null,null
FT,Chris Beck,596451,Called Strike,null,null
CH,Chris Beck,596451,Ball,null,null
FF,Chris Beck,596451,Ball,null,null
CH,Chris Beck,596451,Ball,null,null
FF,Chris Beck,596451,Called Strike,null,null
CH,Chris Beck,596451,Ball,null,null
FF,Chris Beck,444876,Ball,null,null
FT,Chris Beck,444876,"In play, out(s)",99.3,7.92
FT,Chris Beck,596144,"In play, out(s)",null,null
FT,Chris Beck,641531,Called Strike,null,null
FF,Chris Beck,641531,Swinging Strike,null,null
FF,Chris Beck,641531,Ball,null,null
CH,Chris Beck,641531,Foul,null,null
SL,Chris Beck,641531,Swinging Strike,null,null
FF,Chris Beck,593160,"In play, out(s)",75.5,-20.82
FF,Chris Beck,449181,Called Strike,null,null
SL,Chris Beck,449181,Ball,null,null
FT,Chris Beck,449181,Swinging Strike,null,null
null,Chris Beck,449181,Hit By Pitch,null,null
FT,Chris Beck,543333,Ball,null,null
CH,Chris Beck,543333,Ball,null,null
FT,Chris Beck,543333,"In play, out(s)",null,null
FT,Chris Beck,434778,Ball,null,null
FT,Chris Beck,434778,Ball,null,null
FT,Chris Beck,434778,Foul,null,null
FF,Chris Beck,434778,Foul,null,null
SL,Chris Beck,434778,"In play, run(s)",103,32.66
SL,Chris Beck,521692,Ball,null,null
FT,Chris Beck,521692,Called Strike,null,null
FF,Chris Beck,521692,Foul,null,null
FF,Chris Beck,521692,"In play, out(s)",94.8,16.43
FF,Chris Beck,492841,"In play, out(s)",90,55.33
CH,Chris Beck,424825,Ball,null,null
FF,Chris Beck,424825,Ball,null,null
FF,Chris Beck,424825,Foul,null,null
FF,Chris Beck,424825,Called Strike,null,null
FF,Chris Beck,424825,Ball,null,null
FF,Chris Beck,424825,Foul,null,null
CH,Chris Beck,424825,Ball,null,null
FT,Chris Beck,547379,Ball,null,null
FF,Chris Beck,547379,Called Strike,null,null
FF,Chris Beck,547379,"In play, out(s)",92.8,4.58
FF,Chris Beck,547379,Ball,null,null
FF,Chris Beck,547379,Ball,null,null
FF,Chris Beck,435063,Foul,null,null
FF,Chris Beck,435063,"In play, out(s)",51.7,-41.32
FF,Chris Beck,435063,Called Strike,null,null
CH,Chris Beck,435063,Ball,null,null
CH,Chris Beck,435063,Ball,null,null
CH,Chris Beck,467793,Swinging Strike,null,null
FF,Chris Beck,467793,Ball,null,null
CH,Chris Beck,467793,Ball,null,null
CH,Chris Beck,467793,Foul,null,null
FF,Chris Beck,467793,Foul,null,null
SL,Chris Beck,467793,"In play, out(s)",53.6,27.36
FT,Chris Beck,608070,Ball,null,null
FF,Chris Beck,608070,Foul,null,null
CH,Chris Beck,608070,"In play, no out",59.3,5.46
FF,Chris Beck,608070,Ball,null,null
FF,Chris Beck,608070,Swinging Strike,null,null
FF,Chris Beck,608070,Ball,null,null
FF,Chris Beck,608070,Foul,null,null
FT,Chris Beck,571980,Ball,null,null
FF,Chris Beck,571980,Foul Tip,null,null
FF,Chris Beck,571980,Swinging Strike,null,null
