pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Cole Hamels,542340,"In play, run(s)",106.9,35.33
FT,Cole Hamels,460075,Ball,null,null
FC,Cole Hamels,460075,Foul,null,null
CU,Cole Hamels,460075,Ball,null,null
FT,Cole Hamels,460075,Foul,null,null
FT,Cole Hamels,460075,Foul,null,null
FT,Cole Hamels,460075,"In play, out(s)",106,13.83
CU,Cole Hamels,541650,"In play, run(s)",92.3,2.13
CU,Cole Hamels,541650,Swinging Strike,null,null
FT,Cole Hamels,541650,Foul,null,null
FT,Cole Hamels,444489,Ball,null,null
FT,Cole Hamels,444489,"In play, out(s)",103.6,17.33
FT,Cole Hamels,444489,Ball,null,null
FC,Cole Hamels,606115,Foul,null,null
FT,Cole Hamels,606115,"In play, out(s)",78.9,-25.73
FF,Cole Hamels,606115,Called Strike,null,null
FT,Cole Hamels,455117,"In play, no out",72.7,27.05
FF,Cole Hamels,455117,Ball,null,null
FF,Cole Hamels,592680,"In play, run(s)",64.4,27.9
FF,Cole Hamels,592680,Called Strike,null,null
FF,Cole Hamels,542340,"In play, run(s)",79.6,65.69
CH,Cole Hamels,570267,Swinging Strike,null,null
CH,Cole Hamels,570267,Ball,null,null
FC,Cole Hamels,570267,Foul,null,null
CH,Cole Hamels,570267,Called Strike,null,null
CU,Cole Hamels,570267,Ball,null,null
CH,Cole Hamels,570267,Swinging Strike,null,null
FT,Cole Hamels,570267,Foul,null,null
CU,Cole Hamels,570267,Ball,null,null
FC,Cole Hamels,460075,Ball,null,null
FF,Cole Hamels,460075,Called Strike,null,null
CH,Cole Hamels,460075,Ball,null,null
FF,Cole Hamels,460075,"In play, no out",107.4,-3.1
FF,Cole Hamels,474892,Foul,null,null
CH,Cole Hamels,474892,Swinging Strike,null,null
CU,Cole Hamels,474892,Called Strike,null,null
CH,Cole Hamels,444489,"In play, run(s)",73.8,-5.19
CH,Cole Hamels,444489,Ball,null,null
FF,Cole Hamels,606115,Called Strike,null,null
CH,Cole Hamels,606115,Swinging Strike,null,null
CH,Cole Hamels,606115,Foul,null,null
CU,Cole Hamels,606115,Swinging Strike (Blocked),null,null
FF,Cole Hamels,606115,Foul,null,null
CH,Cole Hamels,455117,Foul,null,null
FC,Cole Hamels,455117,Ball,null,null
FT,Cole Hamels,455117,"In play, no out",105.5,8.58
CH,Cole Hamels,592680,Swinging Strike,null,null
FT,Cole Hamels,592680,"In play, out(s)",94.5,-32.96
CU,Cole Hamels,592680,Called Strike,null,null
CU,Cole Hamels,542340,Ball,null,null
CH,Cole Hamels,542340,Swinging Strike,null,null
FT,Cole Hamels,542340,Swinging Strike,null,null
FF,Cole Hamels,542340,Ball,null,null
FF,Cole Hamels,542340,Foul,null,null
CH,Cole Hamels,570267,Swinging Strike,null,null
CU,Cole Hamels,570267,Ball,null,null
CH,Cole Hamels,570267,"In play, no out",78.7,-14.86
FF,Cole Hamels,460075,Called Strike,null,null
FT,Cole Hamels,460075,Ball,null,null
FT,Cole Hamels,460075,"In play, out(s)",72.2,13.78
CU,Cole Hamels,460075,Called Strike,null,null
CU,Cole Hamels,474892,Swinging Strike,null,null
FT,Cole Hamels,474892,Foul,null,null
CU,Cole Hamels,474892,Swinging Strike,null,null
CH,Cole Hamels,541650,Ball,null,null
CH,Cole Hamels,541650,"In play, out(s)",89.9,35.34
CU,Cole Hamels,541650,Called Strike,null,null
FF,Cole Hamels,541650,Ball,null,null
CH,Cole Hamels,444489,"In play, out(s)",74.1,-0.18
FF,Cole Hamels,444489,Ball,null,null
CH,Cole Hamels,606115,Ball,null,null
FF,Cole Hamels,606115,Swinging Strike,null,null
CU,Cole Hamels,606115,Foul,null,null
CH,Cole Hamels,606115,Swinging Strike,null,null
FF,Cole Hamels,606115,Ball,null,null
FF,Cole Hamels,606115,Foul,null,null
FF,Cole Hamels,606115,Foul,null,null
CU,Cole Hamels,606115,Ball,null,null
CH,Cole Hamels,455117,Foul,null,null
CU,Cole Hamels,455117,Ball,null,null
FT,Cole Hamels,455117,Called Strike,null,null
CU,Cole Hamels,455117,Ball,null,null
FT,Cole Hamels,455117,Ball,null,null
FF,Cole Hamels,455117,"In play, out(s)",107.2,-7.98
CH,Cole Hamels,592680,Ball,null,null
FT,Cole Hamels,592680,Swinging Strike,null,null
FT,Cole Hamels,592680,"In play, out(s)",100.3,28.96
FF,Cole Hamels,592680,Foul,null,null
FF,Cole Hamels,592680,Ball,null,null
CU,Cole Hamels,542340,Ball,null,null
CH,Cole Hamels,542340,Swinging Strike,null,null
CU,Cole Hamels,542340,Ball,null,null
FC,Cole Hamels,542340,Called Strike,null,null
FT,Cole Hamels,542340,"In play, out(s)",88.1,34.21
CH,Cole Hamels,474892,Ball In Dirt,null,null
FT,Cole Hamels,474892,Ball,null,null
FF,Cole Hamels,474892,"In play, out(s)",null,null
FF,Cole Hamels,541650,Missed Bunt,null,null
FF,Cole Hamels,541650,"In play, no out",91.1,5.6
CH,Cole Hamels,541650,Foul Tip,null,null
FT,Cole Hamels,541650,Foul,null,null
FT,Cole Hamels,570267,Ball,null,null
CH,Cole Hamels,570267,Ball,null,null
FC,Cole Hamels,570267,Ball,null,null
FF,Cole Hamels,570267,Called Strike,null,null
FT,Cole Hamels,570267,Foul,null,null
FF,Cole Hamels,570267,"In play, no out",66.6,32.59
FF,Cole Hamels,543760,Foul,null,null
FT,Cole Hamels,543760,Foul,null,null
FT,Cole Hamels,543760,"In play, out(s)",96.1,-4.67
FT,Cole Hamels,518649,Ball,null,null
FT,Cole Hamels,518649,"In play, out(s)",97.1,15.31
FT,Cole Hamels,592387,Called Strike,null,null
FT,Cole Hamels,592387,"In play, no out",108.7,7.2
FF,Cole Hamels,501981,Ball,null,null
FT,Cole Hamels,501981,Foul,null,null
FT,Cole Hamels,501981,Foul,null,null
CU,Cole Hamels,501981,Ball In Dirt,null,null
FT,Cole Hamels,501981,Ball,null,null
FT,Cole Hamels,501981,Foul (Runner Going),null,null
CU,Cole Hamels,501981,Ball In Dirt,null,null
CU,Cole Hamels,502143,Ball In Dirt,null,null
CU,Cole Hamels,502143,Called Strike,null,null
CH,Cole Hamels,502143,Ball,null,null
FT,Cole Hamels,502143,"In play, out(s)",96,51.77
FF,Cole Hamels,519390,Called Strike,null,null
FT,Cole Hamels,519390,Called Strike,null,null
FT,Cole Hamels,519390,Ball,null,null
FT,Cole Hamels,519390,Ball,null,null
FT,Cole Hamels,519390,Foul,null,null
CU,Cole Hamels,519390,Foul,null,null
CU,Cole Hamels,519390,Swinging Strike,null,null
FT,Cole Hamels,600524,Ball,null,null
FT,Cole Hamels,600524,Called Strike,null,null
CH,Cole Hamels,600524,"In play, no out",105.7,13.48
CH,Cole Hamels,640461,Called Strike,null,null
FT,Cole Hamels,640461,Ball,null,null
FT,Cole Hamels,640461,Ball,null,null
CH,Cole Hamels,640461,Swinging Strike,null,null
FT,Cole Hamels,640461,"In play, out(s)",97.8,14.41
CU,Cole Hamels,543760,Ball,null,null
FT,Cole Hamels,543760,Called Strike,null,null
FT,Cole Hamels,543760,Ball,null,null
CH,Cole Hamels,543760,Called Strike,null,null
CH,Cole Hamels,543760,Swinging Strike,null,null
FT,Cole Hamels,518649,Ball,null,null
FT,Cole Hamels,518649,Called Strike,null,null
FT,Cole Hamels,518649,Foul,null,null
FT,Cole Hamels,518649,Swinging Strike,null,null
FT,Cole Hamels,592387,Called Strike,null,null
FC,Cole Hamels,592387,Foul,null,null
CU,Cole Hamels,592387,Swinging Strike (Blocked),null,null
FT,Cole Hamels,501981,Called Strike,null,null
FF,Cole Hamels,501981,Ball,null,null
FT,Cole Hamels,501981,"In play, out(s)",94.5,44.31
FF,Cole Hamels,502143,Called Strike,null,null
CH,Cole Hamels,502143,Swinging Strike,null,null
FT,Cole Hamels,502143,Foul,null,null
FT,Cole Hamels,502143,Foul,null,null
CH,Cole Hamels,502143,"In play, no out",76.5,21.54
FT,Cole Hamels,519390,Called Strike,null,null
FT,Cole Hamels,519390,Ball,null,null
FT,Cole Hamels,519390,Foul,null,null
CU,Cole Hamels,519390,Ball,null,null
FT,Cole Hamels,519390,Foul,null,null
CU,Cole Hamels,519390,Ball,null,null
FT,Cole Hamels,519390,Ball,null,null
CH,Cole Hamels,519295,"In play, out(s)",76.9,3.38
FT,Cole Hamels,600524,Ball,null,null
FF,Cole Hamels,600524,"In play, out(s)",81.9,-2.31
FT,Cole Hamels,640461,Foul,null,null
