pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Daniel Mengden,594777,"In play, no out",94.7,33.06
FF,Daniel Mengden,543068,Foul,null,null
FF,Daniel Mengden,543068,Ball,null,null
CU,Daniel Mengden,543068,Ball,null,null
CU,Daniel Mengden,543068,Foul,null,null
FF,Daniel Mengden,543068,Ball,null,null
FF,Daniel Mengden,543068,Called Strike,null,null
FF,Daniel Mengden,543068,Swinging Strike,null,null
FF,Daniel Mengden,527043,Foul,null,null
FF,Daniel Mengden,527043,"In play, out(s)",76.5,-43.1
FF,Daniel Mengden,527043,Called Strike,null,null
FF,Daniel Mengden,542364,"In play, no out",103.8,6.9
FF,Daniel Mengden,542364,Ball,null,null
FF,Daniel Mengden,492802,Ball,null,null
CU,Daniel Mengden,492802,Ball In Dirt,null,null
CU,Daniel Mengden,492802,Called Strike,null,null
CU,Daniel Mengden,492802,Called Strike,null,null
FF,Daniel Mengden,492802,Ball,null,null
FF,Daniel Mengden,492802,Foul,null,null
CU,Daniel Mengden,492802,Foul,null,null
FF,Daniel Mengden,492802,"In play, out(s)",87.1,23.02
CU,Daniel Mengden,492802,Ball,null,null
FF,Daniel Mengden,492802,Foul,null,null
FF,Daniel Mengden,492802,Foul,null,null
CU,Daniel Mengden,492802,Ball,null,null
CH,Daniel Mengden,592230,"In play, out(s)",69.3,2.06
CU,Daniel Mengden,488862,"In play, out(s)",92.3,-4.64
FF,Daniel Mengden,488862,Swinging Strike,null,null
CU,Daniel Mengden,594777,Ball,null,null
FF,Daniel Mengden,594777,Called Strike,null,null
FF,Daniel Mengden,594777,Foul,null,null
FF,Daniel Mengden,594777,Foul,null,null
CH,Daniel Mengden,594777,Called Strike,null,null
FF,Daniel Mengden,594777,Ball,null,null
CU,Daniel Mengden,594777,Ball,null,null
FF,Daniel Mengden,594777,"In play, no out",104.8,22.78
CU,Daniel Mengden,545361,Ball,null,null
FF,Daniel Mengden,545361,Ball,null,null
FT,Daniel Mengden,545361,Ball,null,null
FF,Daniel Mengden,545361,Ball,null,null
FF,Daniel Mengden,527043,Ball,null,null
FF,Daniel Mengden,527043,Foul,null,null
FF,Daniel Mengden,527043,"In play, run(s)",102.3,31.43
FF,Daniel Mengden,527043,Ball,null,null
FF,Daniel Mengden,592743,"In play, no out",75.2,25.99
SL,Daniel Mengden,592743,Ball,null,null
FF,Daniel Mengden,542364,Ball,null,null
FF,Daniel Mengden,542364,"In play, no out",64.2,34.22
CH,Daniel Mengden,542364,Called Strike,null,null
CH,Daniel Mengden,542364,Swinging Strike,null,null
FF,Daniel Mengden,492802,Called Strike,null,null
FF,Daniel Mengden,492802,Ball,null,null
FF,Daniel Mengden,492802,"In play, run(s)",86.1,4.72
FF,Daniel Mengden,592743,"In play, out(s)",100.7,-15.22
FF,Daniel Mengden,488862,Called Strike,null,null
CU,Daniel Mengden,488862,Ball,null,null
CU,Daniel Mengden,488862,"In play, out(s)",93.6,2.26
FF,Daniel Mengden,488862,Foul,null,null
FF,Daniel Mengden,488862,Ball,null,null
FF,Daniel Mengden,488862,Foul,null,null
FF,Daniel Mengden,543068,"In play, no out",81.6,8.9
FF,Daniel Mengden,543068,Foul,null,null
CU,Daniel Mengden,543068,Ball,null,null
FF,Daniel Mengden,545361,"In play, run(s)",94.4,15.79
CU,Daniel Mengden,545361,Ball,null,null
FF,Daniel Mengden,543807,Swinging Strike,null,null
FF,Daniel Mengden,543807,Called Strike,null,null
FF,Daniel Mengden,543807,Swinging Strike,null,null
FF,Daniel Mengden,493329,Foul,null,null
FF,Daniel Mengden,493329,Swinging Strike,null,null
FF,Daniel Mengden,493329,"In play, out(s)",null,null
FF,Daniel Mengden,493329,Ball,null,null
FF,Daniel Mengden,493329,Foul,null,null
FF,Daniel Mengden,514888,"In play, out(s)",97.9,-10.96
FF,Daniel Mengden,621043,"In play, out(s)",105.5,16.74
FT,Daniel Mengden,503556,Foul,null,null
FF,Daniel Mengden,503556,Ball,null,null
FF,Daniel Mengden,503556,Swinging Strike,null,null
FF,Daniel Mengden,503556,Called Strike,null,null
CU,Daniel Mengden,503556,Foul,null,null
CH,Daniel Mengden,503556,Foul,null,null
FF,Daniel Mengden,643393,"In play, out(s)",78,-15.99
FF,Daniel Mengden,643393,Ball,null,null
FF,Daniel Mengden,488771,Ball,null,null
FF,Daniel Mengden,488771,Called Strike,null,null
FF,Daniel Mengden,488771,Foul Tip,null,null
CH,Daniel Mengden,488771,Foul,null,null
FF,Daniel Mengden,488771,Ball,null,null
FF,Daniel Mengden,543807,Foul,null,null
FF,Daniel Mengden,543807,Swinging Strike,null,null
FF,Daniel Mengden,543807,Foul Tip,null,null
SL,Daniel Mengden,543807,Ball,null,null
FF,Daniel Mengden,543807,Ball,null,null
SL,Daniel Mengden,493329,"In play, no out",99.5,4.51
FF,Daniel Mengden,514888,Called Strike,null,null
FF,Daniel Mengden,514888,Foul (Runner Going),null,null
FF,Daniel Mengden,514888,Foul (Runner Going),null,null
FF,Daniel Mengden,514888,Ball,null,null
FF,Daniel Mengden,514888,Ball,null,null
CH,Daniel Mengden,514888,Called Strike,null,null
CU,Daniel Mengden,514888,Swinging Strike,null,null
FF,Daniel Mengden,621043,Swinging Strike,null,null
CH,Daniel Mengden,621043,"In play, no out",74.9,39.91
FF,Daniel Mengden,621043,Ball,null,null
CH,Daniel Mengden,594828,Ball,null,null
FF,Daniel Mengden,594828,Called Strike,null,null
FF,Daniel Mengden,594828,Ball,null,null
FF,Daniel Mengden,594828,Foul,null,null
FF,Daniel Mengden,594828,Called Strike,null,null
CH,Daniel Mengden,503556,Ball,null,null
FF,Daniel Mengden,503556,Ball,null,null
FF,Daniel Mengden,503556,Ball,null,null
FF,Daniel Mengden,503556,Ball,null,null
FT,Daniel Mengden,643393,Ball,null,null
FF,Daniel Mengden,643393,"In play, out(s)",86.7,40.4
FF,Daniel Mengden,643393,Called Strike,null,null
FT,Daniel Mengden,643393,Foul,null,null
FF,Daniel Mengden,488771,Foul,null,null
FF,Daniel Mengden,488771,Foul,null,null
CU,Daniel Mengden,488771,Ball,null,null
FF,Daniel Mengden,488771,Ball,null,null
CH,Daniel Mengden,488771,Ball,null,null
FF,Daniel Mengden,488771,Called Strike,null,null
FF,Daniel Mengden,488771,Ball,null,null
CU,Daniel Mengden,545350,Ball,null,null
SL,Daniel Mengden,545350,Ball,null,null
SL,Daniel Mengden,545350,"In play, run(s)",95.3,-2.68
FF,Daniel Mengden,545350,Ball,null,null
FF,Daniel Mengden,545350,Called Strike,null,null
CU,Daniel Mengden,543807,Ball,null,null
FF,Daniel Mengden,543807,Foul,null,null
CU,Daniel Mengden,543807,Called Strike,null,null
FF,Daniel Mengden,543807,Foul Tip,null,null
FF,Daniel Mengden,543807,Swinging Strike,null,null
CU,Daniel Mengden,493329,Ball,null,null
FF,Daniel Mengden,493329,Foul,null,null
CH,Daniel Mengden,493329,"In play, out(s)",66.2,37.83
FF,Daniel Mengden,493329,Foul,null,null
FF,Daniel Mengden,493329,Ball,null,null
FF,Daniel Mengden,514888,Ball,null,null
FF,Daniel Mengden,514888,"In play, no out",98.1,18.79
SL,Daniel Mengden,514888,Ball,null,null
FF,Daniel Mengden,621043,Called Strike,null,null
FF,Daniel Mengden,621043,Foul,null,null
FF,Daniel Mengden,621043,"In play, run(s)",103.8,18.78
FF,Daniel Mengden,594828,Foul,null,null
CU,Daniel Mengden,594828,Called Strike,null,null
CU,Daniel Mengden,594828,"In play, run(s)",96.8,25.83
SL,Daniel Mengden,594828,Ball,null,null
FF,Daniel Mengden,643393,Called Strike,null,null
CU,Daniel Mengden,643393,Ball,null,null
FT,Daniel Mengden,643393,Ball,null,null
FF,Daniel Mengden,643393,Ball,null,null
FF,Daniel Mengden,643393,Foul,null,null
FF,Daniel Mengden,643393,"In play, no out",90,4.54
SL,Daniel Mengden,594828,"In play, out(s)",48.1,-81.86
FF,Daniel Mengden,594828,Called Strike,null,null
SL,Daniel Mengden,545350,"In play, out(s)",68.6,39.53
CH,Daniel Mengden,503556,Called Strike,null,null
FF,Daniel Mengden,503556,"In play, out(s)",104.9,15.07
CH,Daniel Mengden,503556,Ball,null,null
FF,Daniel Mengden,593160,"In play, out(s)",101.7,54.79
FF,Daniel Mengden,593160,Ball,null,null
FF,Daniel Mengden,543333,Ball,null,null
CH,Daniel Mengden,543333,Foul,null,null
CH,Daniel Mengden,543333,Foul (Runner Going),null,null
FF,Daniel Mengden,543333,Foul,null,null
FF,Daniel Mengden,543333,Ball,null,null
CH,Daniel Mengden,543333,Ball,null,null
FF,Daniel Mengden,543333,"In play, out(s)",76.8,-12.01
CU,Daniel Mengden,434778,"In play, out(s)",103.6,3.22
