pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Daniel Norris,542255,Foul,null,null
FF,Daniel Norris,542255,Foul,null,null
SL,Daniel Norris,542255,"In play, out(s)",null,null
FF,Daniel Norris,542255,Called Strike,null,null
FF,Daniel Norris,542255,Ball,null,null
SL,Daniel Norris,542255,Ball,null,null
FF,Daniel Norris,611177,Called Strike,null,null
FF,Daniel Norris,611177,Swinging Strike,null,null
FF,Daniel Norris,611177,Called Strike,null,null
SL,Daniel Norris,518692,Called Strike,null,null
FF,Daniel Norris,518692,Swinging Strike,null,null
FF,Daniel Norris,518692,Swinging Strike,null,null
FF,Daniel Norris,518692,Ball,null,null
FF,Daniel Norris,461314,"In play, out(s)",103.8,34.12
SL,Daniel Norris,455976,Ball,null,null
SL,Daniel Norris,455976,Swinging Strike,null,null
FF,Daniel Norris,455976,Ball,null,null
FF,Daniel Norris,455976,"In play, out(s)",null,null
FF,Daniel Norris,455976,Called Strike,null,null
FF,Daniel Norris,455976,Foul,null,null
SL,Daniel Norris,455976,Ball,null,null
FF,Daniel Norris,452095,"In play, no out",100,10.99
CH,Daniel Norris,452095,Ball,null,null
SL,Daniel Norris,621020,Ball In Dirt,null,null
FF,Daniel Norris,621020,Ball,null,null
FF,Daniel Norris,621020,Foul,null,null
FF,Daniel Norris,621020,Called Strike,null,null
FF,Daniel Norris,621020,"In play, no out",99.8,13.35
FF,Daniel Norris,605538,Called Strike,null,null
FF,Daniel Norris,605538,"In play, no out",96.1,0.6
FF,Daniel Norris,605538,Ball,null,null
FF,Daniel Norris,542255,Called Strike,null,null
CH,Daniel Norris,542255,Swinging Strike,null,null
FF,Daniel Norris,542255,Foul,null,null
SL,Daniel Norris,542255,"In play, out(s)",92.7,8.94
CU,Daniel Norris,542255,Ball,null,null
SL,Daniel Norris,542255,Ball,null,null
FF,Daniel Norris,542255,Foul,null,null
FF,Daniel Norris,611177,Foul,null,null
SL,Daniel Norris,611177,Foul Tip,null,null
FF,Daniel Norris,611177,"In play, out(s)",69.7,54.7
FF,Daniel Norris,518692,Foul,null,null
SL,Daniel Norris,518692,Ball,null,null
FF,Daniel Norris,518692,Ball,null,null
CU,Daniel Norris,518692,Called Strike,null,null
FF,Daniel Norris,518692,Ball,null,null
SL,Daniel Norris,518692,Ball,null,null
SL,Daniel Norris,461314,Foul,null,null
FF,Daniel Norris,461314,"In play, out(s)",99.5,33.19
CU,Daniel Norris,461314,Called Strike,null,null
FF,Daniel Norris,455976,Swinging Strike,null,null
FF,Daniel Norris,455976,Swinging Strike,null,null
FF,Daniel Norris,455976,Called Strike,null,null
FF,Daniel Norris,621020,Foul,null,null
CH,Daniel Norris,621020,Ball,null,null
CH,Daniel Norris,621020,Ball,null,null
FF,Daniel Norris,621020,Ball,null,null
CH,Daniel Norris,621020,Called Strike,null,null
SL,Daniel Norris,621020,Ball,null,null
FF,Daniel Norris,621020,Foul,null,null
FF,Daniel Norris,593495,"In play, out(s)",96.6,20.18
CH,Daniel Norris,593495,Ball,null,null
FF,Daniel Norris,488818,Ball,null,null
FF,Daniel Norris,488818,Called Strike,null,null
FF,Daniel Norris,488818,Foul,null,null
CU,Daniel Norris,488818,Ball,null,null
FF,Daniel Norris,488818,Ball,null,null
FF,Daniel Norris,488818,Called Strike,null,null
FF,Daniel Norris,488818,"In play, out(s)",100.2,-6.87
FF,Daniel Norris,542255,Called Strike,null,null
FF,Daniel Norris,542255,Foul,null,null
CU,Daniel Norris,542255,Ball,null,null
FF,Daniel Norris,542255,"In play, out(s)",87.7,-3.1
FF,Daniel Norris,542255,Ball,null,null
FF,Daniel Norris,542255,Foul,null,null
FF,Daniel Norris,593495,Swinging Strike,null,null
FF,Daniel Norris,593495,Swinging Strike,null,null
FF,Daniel Norris,593495,"In play, out(s)",null,null
FF,Daniel Norris,611177,"In play, no out",83.2,4.38
FF,Daniel Norris,518692,Swinging Strike,null,null
FF,Daniel Norris,518692,Swinging Strike,null,null
FF,Daniel Norris,518692,Foul,null,null
CH,Daniel Norris,461314,Ball,null,null
FF,Daniel Norris,461314,Foul,null,null
FF,Daniel Norris,461314,Foul Tip,null,null
CH,Daniel Norris,461314,Foul,null,null
SL,Daniel Norris,455976,Foul,null,null
FF,Daniel Norris,455976,Ball,null,null
FF,Daniel Norris,455976,Swinging Strike,null,null
CU,Daniel Norris,455976,Called Strike,null,null
FF,Daniel Norris,455976,Ball,null,null
FF,Daniel Norris,452095,Foul,null,null
FF,Daniel Norris,452095,Ball,null,null
FF,Daniel Norris,452095,Called Strike,null,null
SL,Daniel Norris,452095,Swinging Strike,null,null
CH,Daniel Norris,621020,Called Strike,null,null
FF,Daniel Norris,621020,Ball,null,null
FF,Daniel Norris,621020,Foul,null,null
FF,Daniel Norris,621020,Foul,null,null
FF,Daniel Norris,621020,Ball,null,null
SL,Daniel Norris,621020,Swinging Strike,null,null
FF,Daniel Norris,474319,Ball,null,null
FF,Daniel Norris,474319,Foul Tip,null,null
FF,Daniel Norris,474319,Ball,null,null
FF,Daniel Norris,474319,"In play, run(s)",106.9,30.91
SL,Daniel Norris,474319,Ball,null,null
FF,Daniel Norris,474319,Swinging Strike,null,null
FF,Daniel Norris,474319,Foul,null,null
FF,Daniel Norris,474319,Foul,null,null
FF,Daniel Norris,593495,Called Strike,null,null
SL,Daniel Norris,593495,Foul,null,null
FF,Daniel Norris,593495,"In play, out(s)",89.1,-15.7
FF,Daniel Norris,593495,Ball,null,null
CH,Daniel Norris,452095,"In play, out(s)",82.3,-4.28
FF,Daniel Norris,596144,Ball,null,null
