pitch_type,player_name,batter,description,hit_speed,hit_angle
FC,Dillon Gee,435079,Ball,null,null
FT,Dillon Gee,435079,Called Strike,null,null
FT,Dillon Gee,435079,Foul,null,null
FC,Dillon Gee,435079,Ball,null,null
FT,Dillon Gee,435079,Ball,null,null
CH,Dillon Gee,435079,Called Strike,null,null
FT,Dillon Gee,435079,"In play, out(s)",93.9,47.28
CH,Dillon Gee,457727,"In play, no out",103.7,20.45
FC,Dillon Gee,457727,Foul,null,null
CH,Dillon Gee,408234,Called Strike,null,null
FC,Dillon Gee,408234,"In play, run(s)",102.9,2.82
FT,Dillon Gee,408234,Ball,null,null
FT,Dillon Gee,400121,Ball,null,null
CH,Dillon Gee,400121,"In play, out(s)",68.5,-28.33
KC,Dillon Gee,400121,Called Strike,null,null
KC,Dillon Gee,400121,Called Strike,null,null
FT,Dillon Gee,502110,Ball,null,null
KC,Dillon Gee,502110,Ball,null,null
FF,Dillon Gee,502110,"In play, out(s)",95.1,-5.33
FC,Dillon Gee,502110,Called Strike,null,null
CH,Dillon Gee,502110,Called Strike,null,null
KC,Dillon Gee,430947,Ball,null,null
FT,Dillon Gee,430947,"In play, no out",89.9,-23.27
CH,Dillon Gee,430947,Called Strike,null,null
FF,Dillon Gee,457454,"In play, out(s)",58,24.85
FC,Dillon Gee,408234,Foul,null,null
CH,Dillon Gee,408234,Ball In Dirt,null,null
CH,Dillon Gee,408234,"In play, no out",89.7,17.2
KC,Dillon Gee,461865,Ball,null,null
KC,Dillon Gee,461865,Ball,null,null
FT,Dillon Gee,461865,Called Strike,null,null
FC,Dillon Gee,461865,"In play, out(s)",98.9,1.62
FT,Dillon Gee,457708,"In play, out(s)",null,null
CH,Dillon Gee,457708,Called Strike,null,null
FC,Dillon Gee,457727,Foul,null,null
FT,Dillon Gee,457727,Foul,null,null
FT,Dillon Gee,457727,Ball,null,null
FC,Dillon Gee,457727,Ball,null,null
CH,Dillon Gee,457727,Called Strike,null,null
FC,Dillon Gee,457727,"In play, out(s)",73.3,8.75
FC,Dillon Gee,435079,Swinging Strike,null,null
FT,Dillon Gee,435079,Called Strike,null,null
FF,Dillon Gee,435079,"In play, no out",100.5,12.67
KC,Dillon Gee,435079,Ball,null,null
CH,Dillon Gee,547379,"In play, out(s)",null,null
CH,Dillon Gee,547379,Called Strike,null,null
KC,Dillon Gee,502082,Foul,null,null
KC,Dillon Gee,502082,Ball,null,null
FF,Dillon Gee,502082,Foul,null,null
FF,Dillon Gee,502082,Foul,null,null
FC,Dillon Gee,502082,Foul,null,null
FC,Dillon Gee,502082,Foul,null,null
null,Dillon Gee,502082,Hit By Pitch,null,null
CH,Dillon Gee,424825,Swinging Strike,null,null
CH,Dillon Gee,424825,Ball In Dirt,null,null
KC,Dillon Gee,424825,Ball,null,null
CH,Dillon Gee,424825,"In play, no out",72.9,27.89
FT,Dillon Gee,424825,Swinging Strike,null,null
FT,Dillon Gee,424825,Foul,null,null
KC,Dillon Gee,424825,Foul,null,null
FC,Dillon Gee,434658,"In play, out(s)",77.1,-4.81
FT,Dillon Gee,434658,Ball,null,null
CH,Dillon Gee,543401,Ball,null,null
FT,Dillon Gee,543401,Ball,null,null
FT,Dillon Gee,543401,Called Strike,null,null
FC,Dillon Gee,543401,Foul,null,null
null,Dillon Gee,543401,Hit By Pitch,null,null
KC,Dillon Gee,543401,Ball,null,null
KC,Dillon Gee,596019,Called Strike,null,null
FF,Dillon Gee,596019,Ball,null,null
FF,Dillon Gee,596019,Ball,null,null
FT,Dillon Gee,596019,Ball,null,null
CH,Dillon Gee,596019,Ball,null,null
CH,Dillon Gee,435063,"In play, out(s)",88.7,65.54
FC,Dillon Gee,467793,Foul,null,null
FC,Dillon Gee,467793,"In play, run(s)",94.5,29.87
CH,Dillon Gee,608070,"In play, out(s)",74.6,-1.79
KC,Dillon Gee,608070,Ball,null,null
CH,Dillon Gee,502082,Foul,null,null
FT,Dillon Gee,502082,Foul,null,null
KC,Dillon Gee,502082,Ball,null,null
KC,Dillon Gee,502082,"In play, out(s)",74.7,50.8
FT,Dillon Gee,424825,Ball,null,null
CH,Dillon Gee,424825,Ball,null,null
KC,Dillon Gee,424825,Ball,null,null
FF,Dillon Gee,424825,Ball,null,null
FC,Dillon Gee,434658,"In play, out(s)",61,-5.76
CH,Dillon Gee,547379,"In play, out(s)",null,null
FT,Dillon Gee,605183,Called Strike,null,null
FT,Dillon Gee,605183,Called Strike,null,null
FC,Dillon Gee,605183,Foul,null,null
KC,Dillon Gee,570560,Ball,null,null
FT,Dillon Gee,570560,Foul,null,null
CH,Dillon Gee,570560,"In play, out(s)",81.5,13.91
KC,Dillon Gee,594809,Foul,null,null
FF,Dillon Gee,594809,"In play, out(s)",96.9,24.19
CH,Dillon Gee,594809,Foul,null,null
FT,Dillon Gee,594809,Called Strike,null,null
FC,Dillon Gee,641313,"In play, out(s)",64.7,-65.62
FT,Dillon Gee,547989,Called Strike,null,null
FT,Dillon Gee,547989,"In play, out(s)",83.1,39.33
KC,Dillon Gee,466320,Ball,null,null
CH,Dillon Gee,466320,Ball,null,null
CH,Dillon Gee,466320,Foul,null,null
KC,Dillon Gee,466320,"In play, out(s)",76.5,54.03
FC,Dillon Gee,466320,Called Strike,null,null
FT,Dillon Gee,466320,Foul Tip,null,null
FC,Dillon Gee,453943,Foul,null,null
CH,Dillon Gee,453943,"In play, out(s)",89.1,52.84
KC,Dillon Gee,541645,Ball,null,null
CH,Dillon Gee,541645,"In play, out(s)",96,-3.95
FC,Dillon Gee,541645,Called Strike,null,null
FT,Dillon Gee,541645,Foul,null,null
KC,Dillon Gee,605183,Ball,null,null
CH,Dillon Gee,605183,"In play, out(s)",86.1,-32.03
FC,Dillon Gee,605183,Swinging Strike,null,null
FC,Dillon Gee,605183,Swinging Strike,null,null
FT,Dillon Gee,607345,Ball,null,null
FF,Dillon Gee,607345,Ball,null,null
KC,Dillon Gee,607345,Called Strike,null,null
FC,Dillon Gee,607345,Called Strike,null,null
FT,Dillon Gee,607345,Swinging Strike,null,null
CH,Dillon Gee,607345,Foul,null,null
FC,Dillon Gee,607345,Foul,null,null
FT,Dillon Gee,594809,Ball,null,null
FF,Dillon Gee,594809,Called Strike,null,null
FT,Dillon Gee,594809,"In play, out(s)",91.6,20.11
FT,Dillon Gee,641313,Called Strike,null,null
FC,Dillon Gee,641313,Ball,null,null
CH,Dillon Gee,641313,Ball,null,null
FC,Dillon Gee,641313,"In play, out(s)",82,21.52
FT,Dillon Gee,547989,Ball,null,null
CH,Dillon Gee,547989,Foul,null,null
FT,Dillon Gee,547989,"In play, no out",78.5,15.34
FT,Dillon Gee,466320,Foul,null,null
FT,Dillon Gee,466320,"In play, no out",84.3,10.62
FC,Dillon Gee,570560,Called Strike,null,null
FT,Dillon Gee,570560,"In play, no out",null,null
FC,Dillon Gee,541645,"In play, out(s)",null,null
FT,Dillon Gee,453943,Foul,null,null
KC,Dillon Gee,453943,"In play, no out",101.2,8.55
FT,Dillon Gee,453943,Called Strike,null,null
FT,Dillon Gee,453943,Ball,null,null
FT,Dillon Gee,453943,Ball,null,null
CH,Dillon Gee,453943,Called Strike,null,null
FT,Dillon Gee,607345,Foul,null,null
FC,Dillon Gee,607345,Ball,null,null
FC,Dillon Gee,607345,Ball,null,null
FT,Dillon Gee,607345,Ball,null,null
FT,Dillon Gee,607345,"In play, no out",108.4,0
CH,Dillon Gee,475174,"In play, out(s)",106.7,-2.49
FC,Dillon Gee,501981,Ball,null,null
KC,Dillon Gee,501981,Ball,null,null
FC,Dillon Gee,501981,Swinging Strike,null,null
FC,Dillon Gee,501981,"In play, out(s)",86.7,1.84
CH,Dillon Gee,502143,Foul,null,null
KC,Dillon Gee,502143,Ball,null,null
FT,Dillon Gee,502143,"In play, out(s)",85.2,-12.51
CH,Dillon Gee,518649,Ball,null,null
FC,Dillon Gee,518649,Foul,null,null
KC,Dillon Gee,518649,"In play, out(s)",null,null
FC,Dillon Gee,518649,Ball,null,null
FT,Dillon Gee,518649,Called Strike,null,null
