pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,J.T. Chargois,594809,Ball,null,null
CH,J.T. Chargois,594809,Ball,null,null
FF,J.T. Chargois,594809,"In play, no out",null,null
FT,J.T. Chargois,594809,Foul,null,null
CH,J.T. Chargois,594809,Foul,null,null
SL,J.T. Chargois,594809,Ball,null,null
FT,J.T. Chargois,641313,Swinging Strike,null,null
SL,J.T. Chargois,641313,Swinging Strike (Blocked),null,null
SL,J.T. Chargois,641313,Ball,null,null
FT,J.T. Chargois,641313,Ball,null,null
SL,J.T. Chargois,641313,Called Strike,null,null
SL,J.T. Chargois,547989,Called Strike,null,null
FF,J.T. Chargois,547989,"In play, out(s)",85.7,-9.12
FT,J.T. Chargois,547989,Ball,null,null
FT,J.T. Chargois,449181,"In play, no out",83.1,18.93
SL,J.T. Chargois,449181,Foul,null,null
FT,J.T. Chargois,444876,Foul,null,null
FF,J.T. Chargois,444876,"In play, out(s)",86.7,30.82
FT,J.T. Chargois,444876,Ball,null,null
FF,J.T. Chargois,444876,Ball,null,null
FT,J.T. Chargois,596144,"In play, no out",102.7,1.45
FT,J.T. Chargois,502481,Ball,null,null
FT,J.T. Chargois,502481,Ball,null,null
FT,J.T. Chargois,502481,Foul Bunt,null,null
FF,J.T. Chargois,502481,Called Strike,null,null
SL,J.T. Chargois,502481,Ball,null,null
SL,J.T. Chargois,502481,Foul Tip,null,null
SL,J.T. Chargois,593160,Ball,null,null
FF,J.T. Chargois,593160,"In play, out(s)",null,null
SL,J.T. Chargois,593160,Ball,null,null
FF,J.T. Chargois,443558,"In play, run(s)",108.9,10.87
FF,J.T. Chargois,607385,Foul,null,null
SL,J.T. Chargois,607385,Ball,null,null
FF,J.T. Chargois,607385,Foul,null,null
FF,J.T. Chargois,607385,Ball,null,null
FT,J.T. Chargois,607385,Foul,null,null
SL,J.T. Chargois,607385,Ball,null,null
FF,J.T. Chargois,607385,Foul,null,null
CH,J.T. Chargois,607385,Foul,null,null
FF,J.T. Chargois,607385,Swinging Strike,null,null
FF,J.T. Chargois,408234,"In play, out(s)",102.2,5.82
CH,J.T. Chargois,400121,"In play, out(s)",78.5,50.33
FT,J.T. Chargois,400121,Foul Tip,null,null
SL,J.T. Chargois,502110,Swinging Strike,null,null
FF,J.T. Chargois,502110,Called Strike,null,null
CH,J.T. Chargois,502110,Foul Tip,null,null
FT,J.T. Chargois,502110,Ball,null,null
FF,J.T. Chargois,502110,Ball,null,null
FF,J.T. Chargois,457708,Ball,null,null
SL,J.T. Chargois,457708,Called Strike,null,null
SL,J.T. Chargois,457708,Ball,null,null
SL,J.T. Chargois,457708,Called Strike,null,null
SL,J.T. Chargois,457708,"In play, out(s)",62.8,-15.72
FF,J.T. Chargois,578428,Foul,null,null
FF,J.T. Chargois,578428,"In play, no out",86,10.15
FF,J.T. Chargois,578428,Foul,null,null
FT,J.T. Chargois,608061,Called Strike,null,null
SL,J.T. Chargois,608061,"In play, out(s)",86.7,-15.54
FF,J.T. Chargois,571841,Ball,null,null
CH,J.T. Chargois,571841,Swinging Strike,null,null
SL,J.T. Chargois,571841,Called Strike,null,null
SL,J.T. Chargois,571841,Foul,null,null
SL,J.T. Chargois,608700,Ball,null,null
FF,J.T. Chargois,608700,"In play, out(s)",103.7,-7.64
FT,J.T. Chargois,607385,Ball,null,null
FF,J.T. Chargois,607385,Ball,null,null
SL,J.T. Chargois,607385,Foul,null,null
FF,J.T. Chargois,607385,Swinging Strike,null,null
SL,J.T. Chargois,607385,Ball,null,null
CH,J.T. Chargois,607385,Foul,null,null
CH,J.T. Chargois,607385,Ball,null,null
FF,J.T. Chargois,461865,"In play, out(s)",88.9,30.39
FT,J.T. Chargois,461865,Ball In Dirt,null,null
FF,J.T. Chargois,408234,Foul,null,null
SL,J.T. Chargois,408234,Foul,null,null
FT,J.T. Chargois,408234,Ball,null,null
CH,J.T. Chargois,408234,"In play, run(s)",87.3,15.29
FF,J.T. Chargois,400121,Ball,null,null
SL,J.T. Chargois,400121,Ball,null,null
FF,J.T. Chargois,400121,"In play, out(s)",94.6,26.61
FF,J.T. Chargois,502110,Ball,null,null
FF,J.T. Chargois,502110,Ball,null,null
FT,J.T. Chargois,502110,Ball,null,null
SL,J.T. Chargois,502110,Swinging Strike,null,null
FF,J.T. Chargois,502110,Swinging Strike,null,null
SL,J.T. Chargois,502110,"In play, out(s)",100.4,41.23
FF,J.T. Chargois,457708,Ball,null,null
CH,J.T. Chargois,457708,Ball,null,null
SL,J.T. Chargois,457708,Swinging Strike,null,null
CH,J.T. Chargois,457708,Swinging Strike,null,null
FF,J.T. Chargois,457708,Called Strike,null,null
FF,J.T. Chargois,457708,Ball,null,null
FF,J.T. Chargois,543510,Foul,null,null
SL,J.T. Chargois,543510,Called Strike,null,null
SL,J.T. Chargois,543510,Swinging Strike,null,null
SL,J.T. Chargois,502110,Ball,null,null
FF,J.T. Chargois,502110,Called Strike,null,null
CH,J.T. Chargois,502110,Ball,null,null
FF,J.T. Chargois,502110,Foul,null,null
CH,J.T. Chargois,502110,Foul Tip,null,null
SL,J.T. Chargois,607385,Called Strike,null,null
FF,J.T. Chargois,607385,Ball,null,null
FF,J.T. Chargois,607385,"In play, out(s)",88.8,42.24
FF,J.T. Chargois,400121,"In play, out(s)",102.5,29.43
SL,J.T. Chargois,460269,Ball,null,null
SL,J.T. Chargois,460269,Swinging Strike,null,null
FT,J.T. Chargois,460269,Foul,null,null
FF,J.T. Chargois,460269,Foul,null,null
SL,J.T. Chargois,434658,"In play, out(s)",null,null
FT,J.T. Chargois,434658,Ball,null,null
FF,J.T. Chargois,434658,Called Strike,null,null
CH,J.T. Chargois,434658,Foul,null,null
FF,J.T. Chargois,543401,Ball,null,null
CH,J.T. Chargois,543401,"In play, out(s)",106.1,7.44
FF,J.T. Chargois,543401,Foul,null,null
FF,J.T. Chargois,434658,"In play, out(s)",95.5,-25.26
CH,J.T. Chargois,571980,"In play, out(s)",78,85.5
FF,J.T. Chargois,571980,Called Strike,null,null
SL,J.T. Chargois,501659,Swinging Strike,null,null
SL,J.T. Chargois,501659,"In play, out(s)",98.3,50.97
FT,J.T. Chargois,501659,Swinging Strike,null,null
FT,J.T. Chargois,501659,Foul,null,null
FF,J.T. Chargois,460086,Ball,null,null
FF,J.T. Chargois,460086,Called Strike,null,null
FF,J.T. Chargois,460086,"In play, out(s)",90,-5.36
FF,J.T. Chargois,460086,Swinging Strike,null,null
CH,J.T. Chargois,460086,Ball,null,null
SL,J.T. Chargois,596144,Ball,null,null
FF,J.T. Chargois,596144,Ball,null,null
FF,J.T. Chargois,596144,Ball,null,null
FF,J.T. Chargois,596144,Called Strike,null,null
SL,J.T. Chargois,596144,Called Strike,null,null
FF,J.T. Chargois,596144,Ball,null,null
FF,J.T. Chargois,593160,Foul,null,null
CH,J.T. Chargois,593160,Foul,null,null
SL,J.T. Chargois,593160,Swinging Strike,null,null
FF,J.T. Chargois,593160,Called Strike,null,null
FT,J.T. Chargois,593160,Foul,null,null
FF,J.T. Chargois,542993,"In play, out(s)",null,null
FF,J.T. Chargois,444876,Swinging Strike,null,null
SL,J.T. Chargois,444876,Swinging Strike,null,null
SL,J.T. Chargois,444876,"In play, out(s)",86.1,-17.15
FF,J.T. Chargois,541645,Foul,null,null
SL,J.T. Chargois,541645,Ball,null,null
SL,J.T. Chargois,541645,Swinging Strike,null,null
