pitch_type,player_name,batter,description,hit_speed,hit_angle
FC,Jon Lester,606299,Foul,null,null
SI,Jon Lester,606299,Ball,null,null
FF,Jon Lester,606299,Called Strike,null,null
CU,Jon Lester,606299,Hit By Pitch,null,null
FF,Jon Lester,594807,Swinging Strike,null,null
FF,Jon Lester,594807,Swinging Strike,null,null
CU,Jon Lester,594807,Called Strike,null,null
CU,Jon Lester,594807,Ball,null,null
SI,Jon Lester,592731,Ball,null,null
FF,Jon Lester,592731,Called Strike,null,null
SI,Jon Lester,592731,"In play, no out",90.5,4.2
FF,Jon Lester,553993,Called Strike,null,null
FC,Jon Lester,553993,Ball,null,null
FF,Jon Lester,553993,Ball,null,null
SI,Jon Lester,553993,Ball,null,null
FF,Jon Lester,553993,"In play, run(s)",97.1,28.29
SI,Jon Lester,623182,Ball,null,null
FF,Jon Lester,623182,Foul,null,null
FF,Jon Lester,623182,Swinging Strike,null,null
CU,Jon Lester,623182,Ball,null,null
FF,Jon Lester,623182,Foul,null,null
FF,Jon Lester,541608,Foul,null,null
CU,Jon Lester,541608,Foul,null,null
FF,Jon Lester,541608,Foul,null,null
FF,Jon Lester,541608,Swinging Strike,null,null
SI,Jon Lester,534947,Ball,null,null
FC,Jon Lester,534947,"In play, no out",92.4,4.25
FF,Jon Lester,534947,Called Strike,null,null
CH,Jon Lester,606299,Ball,null,null
FC,Jon Lester,606299,Ball,null,null
SI,Jon Lester,606299,Ball,null,null
FF,Jon Lester,606299,Called Strike,null,null
FF,Jon Lester,606299,Swinging Strike,null,null
FF,Jon Lester,606299,"In play, out(s)",86.9,30.27
FF,Jon Lester,474443,Ball,null,null
CH,Jon Lester,474443,Ball,null,null
FF,Jon Lester,474443,Ball,null,null
FF,Jon Lester,474443,Foul,null,null
FF,Jon Lester,474443,Foul,null,null
FF,Jon Lester,474443,Called Strike,null,null
FF,Jon Lester,474443,Foul,null,null
FC,Jon Lester,474443,Foul,null,null
FF,Jon Lester,474443,Ball,null,null
FF,Jon Lester,458015,Called Strike,null,null
SI,Jon Lester,458015,"In play, no out",75.4,-28.24
FF,Jon Lester,458015,Foul,null,null
SI,Jon Lester,458015,Ball In Dirt,null,null
FF,Jon Lester,594807,Called Strike,null,null
FF,Jon Lester,594807,Foul,null,null
SI,Jon Lester,594807,Ball,null,null
FF,Jon Lester,594807,Ball,null,null
FF,Jon Lester,594807,Ball,null,null
FF,Jon Lester,594807,Ball In Dirt,null,null
FF,Jon Lester,594807,Foul,null,null
FF,Jon Lester,553993,Ball,null,null
CU,Jon Lester,553993,"In play, run(s)",89.4,48.92
CU,Jon Lester,553993,Called Strike,null,null
FF,Jon Lester,553993,Foul,null,null
FF,Jon Lester,553993,Ball,null,null
FF,Jon Lester,623182,Ball,null,null
FF,Jon Lester,623182,Called Strike,null,null
CH,Jon Lester,623182,Swinging Strike,null,null
CU,Jon Lester,623182,Swinging Strike (Blocked),null,null
FF,Jon Lester,534947,Ball,null,null
FF,Jon Lester,534947,Foul,null,null
SI,Jon Lester,534947,Called Strike,null,null
FF,Jon Lester,534947,Called Strike,null,null
FF,Jon Lester,534947,Called Strike,null,null
SI,Jon Lester,474443,"In play, no out",102.5,20.93
SI,Jon Lester,474443,Ball,null,null
FF,Jon Lester,458015,Called Strike,null,null
FF,Jon Lester,458015,Swinging Strike,null,null
SI,Jon Lester,458015,"In play, run(s)",45.6,-22.84
FC,Jon Lester,458015,Ball,null,null
FF,Jon Lester,458015,Ball,null,null
FF,Jon Lester,458015,Foul,null,null
CH,Jon Lester,594807,"In play, out(s)",85.4,-5.55
FF,Jon Lester,592731,Called Strike,null,null
FC,Jon Lester,592731,Swinging Strike,null,null
FF,Jon Lester,592731,Called Strike,null,null
FF,Jon Lester,592731,Ball,null,null
FF,Jon Lester,592731,Ball,null,null
CH,Jon Lester,553993,Ball,null,null
FF,Jon Lester,553993,Foul,null,null
SI,Jon Lester,553993,Foul,null,null
FF,Jon Lester,553993,Ball,null,null
FF,Jon Lester,553993,Called Strike,null,null
CH,Jon Lester,553993,Ball,null,null
SI,Jon Lester,553993,Ball,null,null
FF,Jon Lester,623182,Swinging Strike,null,null
CU,Jon Lester,623182,"In play, out(s)",90.7,40.98
SI,Jon Lester,623182,Called Strike,null,null
FF,Jon Lester,623182,Ball,null,null
CU,Jon Lester,541608,Ball,null,null
FF,Jon Lester,541608,"In play, out(s)",69.3,-31.53
FF,Jon Lester,541608,Called Strike,null,null
FF,Jon Lester,541608,Ball,null,null
FF,Jon Lester,474443,Foul,null,null
FF,Jon Lester,474443,Foul,null,null
FF,Jon Lester,474443,Ball,null,null
FF,Jon Lester,474443,Called Strike,null,null
FF,Jon Lester,474443,Ball,null,null
FF,Jon Lester,474443,Ball,null,null
CH,Jon Lester,474443,"In play, out(s)",50.3,-22.93
SI,Jon Lester,592731,"In play, out(s)",96.4,8.92
SI,Jon Lester,592731,Ball,null,null
FF,Jon Lester,606299,"In play, out(s)",96.1,-8.55
FF,Jon Lester,606299,Ball,null,null
FF,Jon Lester,458015,Called Strike,null,null
FC,Jon Lester,458015,"In play, run(s)",85.9,-1.4
SI,Jon Lester,458015,Ball,null,null
FC,Jon Lester,572761,Swinging Strike,null,null
FF,Jon Lester,572761,Ball,null,null
FC,Jon Lester,572761,Ball,null,null
FF,Jon Lester,572761,"In play, out(s)",87.8,40.97
FF,Jon Lester,572761,Called Strike,null,null
FF,Jon Lester,572761,Foul,null,null
SI,Jon Lester,572761,Ball,null,null
FF,Jon Lester,572761,Foul,null,null
FC,Jon Lester,572039,"In play, out(s)",84.6,67.95
SI,Jon Lester,572039,Foul,null,null
FF,Jon Lester,425509,Ball,null,null
CU,Jon Lester,425509,Ball,null,null
FC,Jon Lester,425509,Ball,null,null
CH,Jon Lester,425509,Foul,null,null
FF,Jon Lester,425509,Called Strike,null,null
CU,Jon Lester,425509,Swinging Strike,null,null
FF,Jon Lester,425509,"In play, out(s)",82.6,-2.68
SI,Jon Lester,461235,Ball,null,null
SI,Jon Lester,461235,"In play, out(s)",null,null
FF,Jon Lester,461235,Ball,null,null
FF,Jon Lester,425877,Ball,null,null
FF,Jon Lester,425877,Ball,null,null
FF,Jon Lester,425877,Ball,null,null
FF,Jon Lester,425877,Foul,null,null
FF,Jon Lester,425877,"In play, no out",101.2,23.5
CU,Jon Lester,576397,Ball,null,null
FF,Jon Lester,576397,Called Strike,null,null
CU,Jon Lester,576397,Foul,null,null
FF,Jon Lester,576397,Foul,null,null
SI,Jon Lester,576397,Ball In Dirt,null,null
SI,Jon Lester,576397,Ball In Dirt,null,null
FF,Jon Lester,576397,Swinging Strike,null,null
CU,Jon Lester,545341,"In play, out(s)",78.1,34.01
FC,Jon Lester,500874,"In play, out(s)",91.8,-12.49
SI,Jon Lester,500874,Ball,null,null
FF,Jon Lester,593372,Called Strike,null,null
CU,Jon Lester,593372,Swinging Strike (Blocked),null,null
FF,Jon Lester,593372,Ball,null,null
FF,Jon Lester,593372,Foul,null,null
SI,Jon Lester,572761,Swinging Strike,null,null
FF,Jon Lester,572761,Ball,null,null
SI,Jon Lester,572761,Called Strike,null,null
SI,Jon Lester,572761,Swinging Strike,null,null
FF,Jon Lester,572039,"In play, out(s)",88.5,69.85
CH,Jon Lester,425509,Called Strike,null,null
FF,Jon Lester,425509,Ball,null,null
FC,Jon Lester,425509,Swinging Strike,null,null
FF,Jon Lester,425509,Ball,null,null
FF,Jon Lester,425509,Called Strike,null,null
SI,Jon Lester,461235,Ball,null,null
SI,Jon Lester,461235,Ball,null,null
CU,Jon Lester,461235,Foul,null,null
FF,Jon Lester,461235,Ball,null,null
SI,Jon Lester,461235,Swinging Strike,null,null
FF,Jon Lester,461235,Swinging Strike,null,null
SI,Jon Lester,461235,Foul,null,null
FC,Jon Lester,461235,"In play, out(s)",57.9,-46.47
CH,Jon Lester,425877,Foul,null,null
CU,Jon Lester,425877,Swinging Strike,null,null
SI,Jon Lester,425877,Called Strike,null,null
SI,Jon Lester,576397,Ball,null,null
FC,Jon Lester,576397,Foul,null,null
CU,Jon Lester,576397,Foul,null,null
SI,Jon Lester,576397,Foul,null,null
CU,Jon Lester,576397,Ball,null,null
CH,Jon Lester,576397,Swinging Strike,null,null
CU,Jon Lester,576397,Swinging Strike (Blocked),null,null
SI,Jon Lester,545341,Foul,null,null
SI,Jon Lester,545341,Ball,null,null
CH,Jon Lester,545341,"In play, out(s)",81.7,-9.45
SI,Jon Lester,500874,Foul,null,null
CH,Jon Lester,500874,"In play, no out",90.6,3.43
SI,Jon Lester,500874,Ball,null,null
FF,Jon Lester,593372,"In play, no out",null,null
FC,Jon Lester,572761,"In play, out(s)",58.3,-24.18
FF,Jon Lester,572039,Ball,null,null
FF,Jon Lester,572039,Foul,null,null
CH,Jon Lester,572039,"In play, out(s)",74.2,-2.73
FF,Jon Lester,425509,Foul,null,null
FF,Jon Lester,425509,Foul Tip,null,null
CU,Jon Lester,425509,Called Strike,null,null
CH,Jon Lester,425509,Ball,null,null
SI,Jon Lester,461235,"In play, out(s)",79.8,29.69
SI,Jon Lester,461235,Ball,null,null
FF,Jon Lester,576397,Ball,null,null
FF,Jon Lester,576397,Ball,null,null
CU,Jon Lester,576397,Ball,null,null
SI,Jon Lester,576397,Called Strike,null,null
FC,Jon Lester,576397,Foul,null,null
CU,Jon Lester,576397,Ball,null,null
FF,Jon Lester,425877,Foul,null,null
CU,Jon Lester,425877,Foul,null,null
CU,Jon Lester,425877,Ball,null,null
FF,Jon Lester,425877,Ball,null,null
FF,Jon Lester,425877,Foul,null,null
FF,Jon Lester,425877,"In play, no out",68.5,29.73
FF,Jon Lester,606299,Ball,null,null
null,Jon Lester,606299,"In play, out(s)",76.8,6.93
SI,Jon Lester,606299,Called Strike,null,null
SI,Jon Lester,458015,"In play, out(s)",66.5,-9.81
SI,Jon Lester,458015,Ball,null,null
SI,Jon Lester,594807,Called Strike,null,null
FF,Jon Lester,594807,"In play, out(s)",101.7,48.34
FF,Jon Lester,594807,Ball,null,null
FF,Jon Lester,408252,Swinging Strike,null,null
FF,Jon Lester,408252,Swinging Strike,null,null
FF,Jon Lester,408252,Ball,null,null
SI,Jon Lester,408252,"In play, out(s)",84.4,19.93
SI,Jon Lester,534627,Ball,null,null
FF,Jon Lester,534627,Foul,null,null
FF,Jon Lester,534627,Foul,null,null
null,Jon Lester,534627,Hit By Pitch,null,null
FF,Jon Lester,534627,Called Strike,null,null
CH,Jon Lester,534627,Ball,null,null
FF,Jon Lester,541608,Ball,null,null
SI,Jon Lester,541608,"In play, out(s)",76.2,54.24
SI,Jon Lester,541608,Foul,null,null
FF,Jon Lester,595001,Ball,null,null
FF,Jon Lester,595001,"In play, no out",null,null
FF,Jon Lester,595001,Foul Bunt,null,null
FF,Jon Lester,595001,Ball,null,null
FC,Jon Lester,606299,"In play, out(s)",53.5,34.63
SI,Jon Lester,606299,Ball,null,null
FC,Jon Lester,573113,"In play, out(s)",83.3,-19.02
FF,Jon Lester,458015,Foul,null,null
FC,Jon Lester,458015,Ball,null,null
FC,Jon Lester,458015,Foul,null,null
FC,Jon Lester,458015,Ball,null,null
SI,Jon Lester,458015,Foul,null,null
FC,Jon Lester,458015,"In play, out(s)",null,null
FF,Jon Lester,594807,"In play, no out",103.4,4.73
SI,Jon Lester,594807,Ball,null,null
SI,Jon Lester,408252,"In play, no out",null,null
FC,Jon Lester,594988,Ball,null,null
FC,Jon Lester,594988,"In play, out(s)",83.4,-5.39
FC,Jon Lester,594988,Foul,null,null
CH,Jon Lester,534627,Ball,null,null
FF,Jon Lester,534627,Called Strike,null,null
CH,Jon Lester,534627,"In play, out(s)",96.1,-1.03
SI,Jon Lester,541608,Called Strike,null,null
CU,Jon Lester,541608,Swinging Strike (Blocked),null,null
FF,Jon Lester,541608,Called Strike,null,null
FF,Jon Lester,541608,Ball,null,null
SI,Jon Lester,592731,Called Strike,null,null
FF,Jon Lester,592731,Ball,null,null
FF,Jon Lester,592731,Foul,null,null
FF,Jon Lester,592731,Ball,null,null
FF,Jon Lester,592731,Called Strike,null,null
FF,Jon Lester,592731,"In play, no out",96.1,-1.38
FC,Jon Lester,606299,"In play, run(s)",98.5,8.71
SI,Jon Lester,606299,Called Strike,null,null
FF,Jon Lester,573113,Ball,null,null
FC,Jon Lester,573113,"In play, out(s)",84.8,25.9
FF,Jon Lester,573113,Called Strike,null,null
FF,Jon Lester,573113,Ball,null,null
CU,Jon Lester,594807,Swinging Strike (Blocked),null,null
CU,Jon Lester,594807,Called Strike,null,null
FC,Jon Lester,594807,Foul,null,null
CH,Jon Lester,408252,Ball In Dirt,null,null
SI,Jon Lester,408252,"In play, no out",86.3,11.12
FF,Jon Lester,408252,Ball,null,null
SI,Jon Lester,594988,Foul Tip,null,null
FF,Jon Lester,594988,Foul,null,null
FC,Jon Lester,594988,Called Strike,null,null
FC,Jon Lester,594988,Ball,null,null
CH,Jon Lester,594988,Ball,null,null
FF,Jon Lester,534627,Ball,null,null
FF,Jon Lester,534627,Ball,null,null
CU,Jon Lester,534627,Called Strike,null,null
FC,Jon Lester,534627,"In play, out(s)",67.9,-8.49
CU,Jon Lester,541608,Swinging Strike,null,null
CU,Jon Lester,541608,Swinging Strike,null,null
FC,Jon Lester,541608,Called Strike,null,null
FF,Jon Lester,474443,"In play, out(s)",91.1,51.36
FF,Jon Lester,474443,Called Strike,null,null
CH,Jon Lester,606299,Ball,null,null
FC,Jon Lester,606299,Foul,null,null
CU,Jon Lester,606299,Foul,null,null
FF,Jon Lester,606299,Called Strike,null,null
CU,Jon Lester,606299,Ball,null,null
FF,Jon Lester,606299,Foul,null,null
CH,Jon Lester,606299,Swinging Strike,null,null
FF,Jon Lester,594988,Foul Tip,null,null
FF,Jon Lester,594988,Called Strike,null,null
FF,Jon Lester,594988,"In play, out(s)",null,null
FF,Jon Lester,594988,Ball,null,null
FF,Jon Lester,594988,Ball,null,null
null,Jon Lester,573113,Ball,null,null
FF,Jon Lester,573113,"In play, out(s)",101.5,-8.54
null,Jon Lester,573113,Ball,null,null
FF,Jon Lester,458015,Called Strike,null,null
SI,Jon Lester,458015,"In play, no out",101.8,5.31
CH,Jon Lester,458015,Ball,null,null
FF,Jon Lester,572761,Foul,null,null
FF,Jon Lester,572761,Ball,null,null
SI,Jon Lester,572761,"In play, out(s)",105.7,-1.09
SI,Jon Lester,649557,Swinging Strike,null,null
SI,Jon Lester,649557,Ball,null,null
FF,Jon Lester,649557,Foul,null,null
FF,Jon Lester,649557,Ball,null,null
FF,Jon Lester,649557,Ball,null,null
FC,Jon Lester,649557,Ball,null,null
SI,Jon Lester,461235,Foul,null,null
SI,Jon Lester,461235,Foul,null,null
FF,Jon Lester,461235,Foul,null,null
FF,Jon Lester,461235,Ball,null,null
FC,Jon Lester,461235,Foul,null,null
CU,Jon Lester,461235,Swinging Strike (Blocked),null,null
FF,Jon Lester,425877,Ball,null,null
SI,Jon Lester,425877,Called Strike,null,null
CH,Jon Lester,425877,"In play, out(s)",82.1,0.36
FF,Jon Lester,425877,Foul,null,null
SI,Jon Lester,576397,"In play, out(s)",76.6,2.39
CH,Jon Lester,545341,Called Strike,null,null
CU,Jon Lester,545341,Swinging Strike (Blocked),null,null
CU,Jon Lester,545341,Called Strike,null,null
FF,Jon Lester,545341,Ball,null,null
FF,Jon Lester,593372,Called Strike,null,null
FC,Jon Lester,593372,Foul,null,null
CU,Jon Lester,593372,Foul,null,null
FC,Jon Lester,593372,Swinging Strike,null,null
FF,Jon Lester,593372,Ball,null,null
