pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Kevin Quackenbush,594838,Called Strike,null,null
SL,Kevin Quackenbush,594838,"In play, out(s)",71.5,-27.9
CU,Kevin Quackenbush,594838,Ball,null,null
SL,Kevin Quackenbush,516416,Ball,null,null
FF,Kevin Quackenbush,516416,Ball,null,null
FF,Kevin Quackenbush,516416,Called Strike,null,null
FF,Kevin Quackenbush,516416,Swinging Strike,null,null
FF,Kevin Quackenbush,516416,"In play, no out",107.5,16.13
CU,Kevin Quackenbush,572008,Swinging Strike,null,null
CU,Kevin Quackenbush,572008,Ball,null,null
SL,Kevin Quackenbush,572008,Swinging Strike,null,null
SL,Kevin Quackenbush,572008,"In play, run(s)",96.8,13.87
SL,Kevin Quackenbush,502671,Swinging Strike,null,null
FF,Kevin Quackenbush,502671,Called Strike,null,null
SL,Kevin Quackenbush,502671,Ball,null,null
SL,Kevin Quackenbush,502671,Ball,null,null
FF,Kevin Quackenbush,502671,Foul,null,null
FF,Kevin Quackenbush,502671,Ball,null,null
FF,Kevin Quackenbush,502671,Foul,null,null
CU,Kevin Quackenbush,502671,Swinging Strike,null,null
FF,Kevin Quackenbush,502671,Ball,null,null
CU,Kevin Quackenbush,502671,Called Strike,null,null
CU,Kevin Quackenbush,502671,Ball,null,null
CU,Kevin Quackenbush,502671,"In play, out(s)",null,null
CU,Kevin Quackenbush,456078,Called Strike,null,null
FF,Kevin Quackenbush,456078,Ball,null,null
FF,Kevin Quackenbush,456078,"In play, out(s)",null,null
CU,Kevin Quackenbush,571771,Ball,null,null
FF,Kevin Quackenbush,571771,Ball,null,null
FF,Kevin Quackenbush,571771,Ball,null,null
CU,Kevin Quackenbush,571771,Called Strike,null,null
FF,Kevin Quackenbush,571771,Foul,null,null
CU,Kevin Quackenbush,571771,Ball,null,null
FF,Kevin Quackenbush,571771,Foul,null,null
FF,Kevin Quackenbush,605509,"In play, run(s)",91.8,7.55
CU,Kevin Quackenbush,605509,Ball,null,null
FF,Kevin Quackenbush,605509,Called Strike,null,null
FF,Kevin Quackenbush,605509,Swinging Strike,null,null
CU,Kevin Quackenbush,474832,Foul,null,null
FF,Kevin Quackenbush,474832,"In play, out(s)",100.6,41.91
CU,Kevin Quackenbush,474832,Called Strike,null,null
FF,Kevin Quackenbush,474832,Ball,null,null
CU,Kevin Quackenbush,474832,Ball,null,null
FF,Kevin Quackenbush,474832,Called Strike,null,null
FF,Kevin Quackenbush,457763,Foul,null,null
FF,Kevin Quackenbush,457763,"In play, out(s)",96.1,3.74
FF,Kevin Quackenbush,501303,"In play, out(s)",null,null
CU,Kevin Quackenbush,452655,Called Strike,null,null
FF,Kevin Quackenbush,452655,"In play, run(s)",89.5,26.83
CU,Kevin Quackenbush,434636,Ball,null,null
FF,Kevin Quackenbush,434636,Ball,null,null
FF,Kevin Quackenbush,434636,"In play, no out",105.7,6.51
CU,Kevin Quackenbush,434636,Ball,null,null
FF,Kevin Quackenbush,434636,Called Strike,null,null
FF,Kevin Quackenbush,434636,Called Strike,null,null
CU,Kevin Quackenbush,572008,Swinging Strike,null,null
CU,Kevin Quackenbush,572008,Ball,null,null
FF,Kevin Quackenbush,572008,"In play, out(s)",99.9,36.87
CU,Kevin Quackenbush,572008,Called Strike,null,null
FF,Kevin Quackenbush,456078,Called Strike,null,null
FF,Kevin Quackenbush,456078,"In play, out(s)",95.9,21.23
FF,Kevin Quackenbush,456078,Ball,null,null
CU,Kevin Quackenbush,456078,Called Strike,null,null
CU,Kevin Quackenbush,502671,Called Strike,null,null
FF,Kevin Quackenbush,502671,Ball,null,null
CU,Kevin Quackenbush,502671,Called Strike,null,null
FF,Kevin Quackenbush,502671,Ball,null,null
CU,Kevin Quackenbush,502671,"In play, out(s)",104.4,3.37
FF,Kevin Quackenbush,630111,Ball,null,null
FF,Kevin Quackenbush,630111,"In play, no out",104.2,0.32
FF,Kevin Quackenbush,630111,Ball,null,null
FF,Kevin Quackenbush,630111,Called Strike,null,null
FF,Kevin Quackenbush,592273,Called Strike,null,null
CU,Kevin Quackenbush,592273,Ball,null,null
CU,Kevin Quackenbush,592273,"In play, out(s)",100.7,8.65
FF,Kevin Quackenbush,571745,Ball,null,null
FF,Kevin Quackenbush,571745,"In play, out(s)",100,13.83
CU,Kevin Quackenbush,571745,Called Strike,null,null
FF,Kevin Quackenbush,456078,Swinging Strike,null,null
FF,Kevin Quackenbush,456078,Foul,null,null
FF,Kevin Quackenbush,456078,Foul,null,null
CU,Kevin Quackenbush,456078,Ball,null,null
CU,Kevin Quackenbush,456078,Foul,null,null
CU,Kevin Quackenbush,456078,Ball,null,null
SL,Kevin Quackenbush,456078,Ball,null,null
FF,Kevin Quackenbush,456078,"In play, out(s)",76.6,39.53
null,Kevin Quackenbush,471865,Ball,null,null
FF,Kevin Quackenbush,471865,Ball,null,null
FF,Kevin Quackenbush,471865,"In play, no out",null,null
SL,Kevin Quackenbush,571448,"In play, out(s)",97.1,25.49
FF,Kevin Quackenbush,621311,Foul,null,null
CU,Kevin Quackenbush,621311,Ball In Dirt,null,null
CU,Kevin Quackenbush,621311,Ball,null,null
FF,Kevin Quackenbush,621311,"In play, out(s)",81.5,47.42
FF,Kevin Quackenbush,547172,"In play, no out",96.5,8.18
FF,Kevin Quackenbush,606132,Called Strike,null,null
CU,Kevin Quackenbush,606132,Swinging Strike (Blocked),null,null
CU,Kevin Quackenbush,606132,Ball In Dirt,null,null
FF,Kevin Quackenbush,606132,Foul,null,null
FF,Kevin Quackenbush,606132,"In play, out(s)",77.3,-15.59
FF,Kevin Quackenbush,453568,Called Strike,null,null
FF,Kevin Quackenbush,453568,Ball,null,null
CU,Kevin Quackenbush,453568,Ball In Dirt,null,null
FF,Kevin Quackenbush,453568,Ball,null,null
CU,Kevin Quackenbush,453568,"In play, out(s)",92.9,44.59
FF,Kevin Quackenbush,467827,Called Strike,null,null
FF,Kevin Quackenbush,467827,Swinging Strike,null,null
CU,Kevin Quackenbush,467827,"In play, out(s)",53.1,-68.57
CU,Kevin Quackenbush,518614,Called Strike,null,null
SL,Kevin Quackenbush,518614,Ball,null,null
FF,Kevin Quackenbush,518614,"In play, out(s)",93.4,-1.03
FF,Kevin Quackenbush,457763,Ball,null,null
FF,Kevin Quackenbush,457763,Called Strike,null,null
SL,Kevin Quackenbush,457763,Ball,null,null
FF,Kevin Quackenbush,457763,Called Strike,null,null
FF,Kevin Quackenbush,457763,"In play, out(s)",61.6,-27.99
FF,Kevin Quackenbush,452254,Foul,null,null
FF,Kevin Quackenbush,452254,Called Strike,null,null
CU,Kevin Quackenbush,452254,Called Strike,null,null
FF,Kevin Quackenbush,452254,Swinging Strike,null,null
CU,Kevin Quackenbush,452254,Ball,null,null
CH,Kevin Quackenbush,543063,"In play, out(s)",100.7,7.6
CU,Kevin Quackenbush,543063,Ball,null,null
SL,Kevin Quackenbush,448602,Foul,null,null
SL,Kevin Quackenbush,448602,"In play, run(s)",99.9,21.95
CU,Kevin Quackenbush,448602,Ball,null,null
FF,Kevin Quackenbush,448602,Called Strike,null,null
CU,Kevin Quackenbush,448602,Ball,null,null
FF,Kevin Quackenbush,448602,Called Strike,null,null
FF,Kevin Quackenbush,460026,Foul,null,null
FF,Kevin Quackenbush,460026,Called Strike,null,null
FF,Kevin Quackenbush,460026,Called Strike,null,null
CU,Kevin Quackenbush,460026,Swinging Strike,null,null
CU,Kevin Quackenbush,518614,Ball,null,null
FF,Kevin Quackenbush,518614,"In play, no out",92.7,29.48
SL,Kevin Quackenbush,448602,Ball,null,null
FF,Kevin Quackenbush,448602,Called Strike,null,null
FF,Kevin Quackenbush,448602,Ball,null,null
FF,Kevin Quackenbush,448602,Swinging Strike,null,null
FF,Kevin Quackenbush,448602,Ball,null,null
SL,Kevin Quackenbush,448602,Ball,null,null
FF,Kevin Quackenbush,518614,Foul,null,null
CU,Kevin Quackenbush,518614,Swinging Strike (Blocked),null,null
CU,Kevin Quackenbush,518614,Ball In Dirt,null,null
FF,Kevin Quackenbush,518614,Foul,null,null
FF,Kevin Quackenbush,606132,Foul,null,null
FF,Kevin Quackenbush,606132,Ball,null,null
FF,Kevin Quackenbush,606132,Ball,null,null
FF,Kevin Quackenbush,606132,"In play, out(s)",84.6,44.77
FF,Kevin Quackenbush,621311,Swinging Strike,null,null
CH,Kevin Quackenbush,621311,"In play, out(s)",82.1,27.91
CU,Kevin Quackenbush,547172,Ball In Dirt,null,null
FF,Kevin Quackenbush,547172,Called Strike,null,null
FF,Kevin Quackenbush,547172,"In play, no out",98.3,2.53
CU,Kevin Quackenbush,547172,Ball,null,null
FF,Kevin Quackenbush,547172,Called Strike,null,null
CU,Kevin Quackenbush,547172,Ball In Dirt,null,null
FF,Kevin Quackenbush,598265,Ball,null,null
FF,Kevin Quackenbush,598265,Called Strike,null,null
FF,Kevin Quackenbush,598265,Called Strike,null,null
SL,Kevin Quackenbush,598265,Foul,null,null
FF,Kevin Quackenbush,598265,Ball,null,null
CU,Kevin Quackenbush,598265,"In play, out(s)",97.2,8.62
CU,Kevin Quackenbush,543768,Ball,null,null
FF,Kevin Quackenbush,543768,Foul,null,null
SL,Kevin Quackenbush,543768,Ball,null,null
CU,Kevin Quackenbush,543768,Called Strike,null,null
FF,Kevin Quackenbush,543768,Ball,null,null
CU,Kevin Quackenbush,543768,Foul,null,null
FF,Kevin Quackenbush,543768,Ball,null,null
FF,Kevin Quackenbush,456034,Foul,null,null
FF,Kevin Quackenbush,456034,Foul,null,null
CU,Kevin Quackenbush,456034,Foul,null,null
FF,Kevin Quackenbush,456034,Called Strike,null,null
FF,Kevin Quackenbush,456034,Foul Tip,null,null
CU,Kevin Quackenbush,456030,Ball,null,null
CU,Kevin Quackenbush,456030,"In play, out(s)",63.4,-42.59
FF,Kevin Quackenbush,456030,Called Strike,null,null
FF,Kevin Quackenbush,456030,Ball,null,null
CU,Kevin Quackenbush,605141,Ball,null,null
FF,Kevin Quackenbush,605141,Ball,null,null
FF,Kevin Quackenbush,605141,Called Strike,null,null
FF,Kevin Quackenbush,605141,"In play, out(s)",null,null
CU,Kevin Quackenbush,605141,Ball,null,null
FF,Kevin Quackenbush,455759,Ball,null,null
SL,Kevin Quackenbush,455759,Ball,null,null
FF,Kevin Quackenbush,455759,Ball,null,null
CU,Kevin Quackenbush,455759,Called Strike,null,null
FF,Kevin Quackenbush,455759,Called Strike,null,null
FF,Kevin Quackenbush,455759,"In play, out(s)",91.9,18.4
CU,Kevin Quackenbush,593428,Ball,null,null
FF,Kevin Quackenbush,593428,Ball,null,null
CU,Kevin Quackenbush,593428,Ball,null,null
SL,Kevin Quackenbush,593428,Called Strike,null,null
SL,Kevin Quackenbush,593428,Foul,null,null
FF,Kevin Quackenbush,593428,"In play, out(s)",null,null
CH,Kevin Quackenbush,624577,Ball,null,null
FF,Kevin Quackenbush,624577,Ball,null,null
