pitch_type,player_name,batter,description,hit_speed,hit_angle
SI,Kyle Hendricks,606299,Called Strike,null,null
FC,Kyle Hendricks,606299,Ball,null,null
FC,Kyle Hendricks,606299,Ball,null,null
FC,Kyle Hendricks,606299,Called Strike,null,null
SI,Kyle Hendricks,606299,Called Strike,null,null
SI,Kyle Hendricks,458015,Ball In Dirt,null,null
CU,Kyle Hendricks,458015,Ball,null,null
FC,Kyle Hendricks,458015,Foul,null,null
CH,Kyle Hendricks,458015,"In play, out(s)",74.5,42.92
CH,Kyle Hendricks,594807,Ball,null,null
SI,Kyle Hendricks,594807,Called Strike,null,null
CH,Kyle Hendricks,594807,"In play, no out",87.6,18.7
FC,Kyle Hendricks,594988,Hit By Pitch,null,null
CH,Kyle Hendricks,594988,Called Strike,null,null
FC,Kyle Hendricks,553993,Ball,null,null
CU,Kyle Hendricks,553993,Ball,null,null
FC,Kyle Hendricks,553993,Ball,null,null
FC,Kyle Hendricks,553993,Swinging Strike,null,null
FC,Kyle Hendricks,553993,Ball,null,null
SI,Kyle Hendricks,571466,Ball,null,null
CH,Kyle Hendricks,571466,Called Strike,null,null
CH,Kyle Hendricks,571466,Swinging Strike,null,null
CH,Kyle Hendricks,571466,Foul,null,null
SI,Kyle Hendricks,571466,Ball,null,null
SI,Kyle Hendricks,571466,"In play, run(s)",80.7,4.78
SI,Kyle Hendricks,573113,Ball,null,null
SI,Kyle Hendricks,573113,Ball,null,null
SI,Kyle Hendricks,573113,Ball,null,null
SI,Kyle Hendricks,573113,Called Strike,null,null
SI,Kyle Hendricks,573113,Foul Tip,null,null
SI,Kyle Hendricks,573113,"In play, out(s)",87.3,32.62
SI,Kyle Hendricks,596112,Foul,null,null
SI,Kyle Hendricks,596112,Called Strike,null,null
FC,Kyle Hendricks,596112,"In play, out(s)",88.1,2.57
CH,Kyle Hendricks,474443,Ball,null,null
CH,Kyle Hendricks,474443,Ball,null,null
SI,Kyle Hendricks,474443,Called Strike,null,null
SI,Kyle Hendricks,474443,Called Strike,null,null
CH,Kyle Hendricks,474443,Foul,null,null
CH,Kyle Hendricks,474443,Swinging Strike,null,null
FC,Kyle Hendricks,458015,Called Strike,null,null
SI,Kyle Hendricks,458015,Foul,null,null
FC,Kyle Hendricks,458015,Ball,null,null
SI,Kyle Hendricks,458015,Called Strike,null,null
CH,Kyle Hendricks,458015,"In play, out(s)",88.7,17.75
FC,Kyle Hendricks,594807,Foul,null,null
SI,Kyle Hendricks,594807,Called Strike,null,null
SI,Kyle Hendricks,594807,Called Strike,null,null
CH,Kyle Hendricks,594988,"In play, out(s)",68.5,-27.66
CH,Kyle Hendricks,594988,Swinging Strike,null,null
SI,Kyle Hendricks,553993,Ball,null,null
SI,Kyle Hendricks,553993,Ball,null,null
