NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,61,CH|CH,0.0688,1.4019,0.1273,0.763,0.0045,0.0525,0.1669,76.64444444,0.323333333,0.215686275,0.509803922,0.666666667,0.111111111,0.222222222,0
Adam Conley,157,CH|FA,0.2349,1.7644,0.1726,0.9083,0.044,0.2134,0.19,89.7,20.263125,0.127118644,0.466101695,0.3125,0.28125,0.34375,0.0625
Adam Conley,186,FA|CH,0.2416,1.6897,0.1354,0.8782,0.0415,0.2122,0.1542,85.0625,18.68,0.2,0.515789474,0.36,0.2,0.36,0.08
Adam Conley,693,FA|FA,0.0591,1.4316,0.1455,0.7915,0.0042,0.0468,0.1839,89.92911392,19.54047059,0.101098901,0.450549451,0.282352941,0.352941176,0.317647059,0.047058824
Adam Conley,225,FA|SL,0.1994,1.5444,0.1638,0.7351,0.027,0.1466,0.2229,90.11666667,4.411290323,0.319327731,0.630252101,0.612903226,0.193548387,0.193548387,0
Adam Conley,160,SL|FA,0.2064,1.7394,0.1698,0.7876,0.0321,0.1626,0.2156,88.36666667,21.23846154,0.057692308,0.394230769,0.461538462,0.076923077,0.384615385,0.076923077
Adam Conley,69,SL|SL,0.055,1.2919,0.1202,0.7448,0.0051,0.0409,0.1613,93.7,22.96666667,0.36,0.74,0.333333333,0.333333333,0.166666667,0.166666667
Adam Wainwright,141,CU|CU,0.0602,1.511,0.1272,0.8464,0.0081,0.0509,0.1503,84.23571429,11.56290323,0.214953271,0.46728972,0.516129032,0.225806452,0.193548387,0.064516129
Adam Wainwright,86,CU|FA,0.8026,1.7909,0.1765,1.1885,0.1036,0.954,0.1485,84.9,14.645,0.114285714,0.514285714,0.333333333,0.333333333,0.333333333,0
Adam Wainwright,231,CU|FC,0.6241,1.6239,0.1655,1.1376,0.0769,0.71,0.1455,82.56551724,4.111666667,0.133333333,0.5,0.633333333,0.2,0.166666667,0
Adam Wainwright,143,CU|SI,0.7373,1.6691,0.2182,1.1128,0.1026,0.8204,0.1961,91.7,9.888333333,0.044642857,0.3125,0.416666667,0.333333333,0.25,0
Adam Wainwright,91,FA|CU,0.8955,1.9022,0.1665,1.0463,0.0978,0.9369,0.1591,81.33157895,-0.857894737,0.177419355,0.403225806,0.578947368,0.368421053,0.052631579,0
Adam Wainwright,82,FA|FA,0.0605,1.2452,0.164,0.7085,0.0063,0.0429,0.2314,82.37777778,11.82666667,0.075,0.275,0.444444444,0.111111111,0.444444444,0
Adam Wainwright,108,FA|FC,0.3074,1.4681,0.1503,0.7613,0.0232,0.234,0.1974,86.11363636,21.45818182,0.137931034,0.465517241,0.409090909,0.227272727,0.272727273,0.090909091
Adam Wainwright,230,FC|CU,0.7048,1.5862,0.1937,1.0022,0.0717,0.7064,0.1933,84.4,12.87823529,0.2,0.438461538,0.352941176,0.411764706,0.235294118,0
Adam Wainwright,91,FC|FA,0.268,1.6181,0.1853,0.8942,0.0265,0.2397,0.2073,82.21818182,21.05727273,0.12,0.38,0.272727273,0.454545455,0.272727273,0
Adam Wainwright,155,FC|FC,0.0873,1.299,0.1363,0.7344,0.006,0.0641,0.1856,83.071875,8.463939394,0.171875,0.453125,0.606060606,0.151515152,0.181818182,0.060606061
Adam Wainwright,169,FC|SI,0.1391,1.6258,0.2037,0.8226,0.0256,0.1144,0.2477,88.58214286,6.349666667,0.061538462,0.323076923,0.533333333,0.366666667,0.1,0
Adam Wainwright,198,SI|CU,0.7454,1.5422,0.2468,1.0867,0.0968,0.81,0.2271,86.21428571,5.99862069,0.189655172,0.422413793,0.448275862,0.344827586,0.206896552,0
Adam Wainwright,204,SI|FC,0.1356,1.5321,0.1861,0.808,0.022,0.1095,0.2303,87.10243902,7.469756098,0.128571429,0.471428571,0.609756098,0.146341463,0.243902439,0
Adam Wainwright,170,SI|SI,0.0604,1.3694,0.1448,0.7786,0.0041,0.0471,0.186,93.77142857,6.182413793,0.070175439,0.315789474,0.517241379,0.275862069,0.206896552,0
Adam Warren,66,FA|CH,0.4226,1.6118,0.2072,0.8226,0.0395,0.3476,0.2519,90.7,18.96,0.344827586,0.75862069,0.5,0.25,0,0.25
Adam Warren,126,FA|FA,0.0459,1.3546,0.1276,0.7791,0.0027,0.0358,0.1638,90.27222222,30.69555556,0.116883117,0.493506494,0.277777778,0.111111111,0.5,0.111111111
Adam Warren,102,FA|SL,0.3457,1.6264,0.1626,0.8089,0.0248,0.2797,0.201,84.45714286,13.865625,0.120689655,0.413793103,0.5,0.125,0.3125,0.0625
Adam Warren,106,SL|FA,0.3605,1.6207,0.208,0.8074,0.0267,0.2911,0.2576,89.35,26.44888889,0.1,0.48,0.111111111,0.444444444,0.444444444,0
Adam Warren,108,SL|SL,0.0878,1.1973,0.1218,0.6959,0.006,0.0611,0.175,89.35,19.361,0.210526316,0.543859649,0.3,0.3,0.3,0.1
Addison Reed,467,FA|FA,0.0573,1.1542,0.1196,0.6435,0.0031,0.0369,0.1859,90.42096774,19.86941176,0.117117117,0.48048048,0.308823529,0.279411765,0.382352941,0.029411765
Addison Reed,166,FA|SL,0.4146,1.6908,0.207,0.7796,0.0282,0.3232,0.2656,91.99411765,6.725882353,0.360465116,0.674418605,0.647058824,0.117647059,0.176470588,0.058823529
Addison Reed,146,SL|FA,0.4148,1.7455,0.174,0.7794,0.0294,0.3233,0.2233,91.00909091,12.17576923,0.111111111,0.512820513,0.346153846,0.307692308,0.346153846,0
Addison Reed,96,SL|SL,0.0877,1.095,0.1077,0.619,0.0045,0.0543,0.1739,77.06666667,7.552222222,0.291666667,0.583333333,0.555555556,0.222222222,0.222222222,0
Andrew Bailey,242,FA|FA,0.0623,1.3257,0.1554,0.7397,0.0028,0.0461,0.2101,91.22413793,22.41677419,0.167741935,0.55483871,0.290322581,0.225806452,0.483870968,0
Andrew Bailey,88,FA|FC,0.5935,1.5531,0.2898,0.784,0.037,0.4653,0.3696,91.48571429,7.806666667,0.176470588,0.450980392,0.6,0.266666667,0.133333333,0
Andrew Bailey,87,FC|FA,0.5096,1.6409,0.2973,0.858,0.0357,0.4373,0.3465,88.75714286,10.48142857,0.125,0.515625,0.285714286,0.428571429,0.285714286,0
Andrew Cashner,74,CH|FA,0.5753,1.7871,0.1744,1.1389,0.0624,0.6552,0.1531,97.88333333,-1.911428571,0.097560976,0.512195122,0.857142857,0,0.142857143,0
Andrew Cashner,267,FA|FA,0.0573,1.329,0.1724,0.7715,0.0037,0.0442,0.2235,94.02786885,16.24275362,0.089219331,0.416356877,0.362318841,0.217391304,0.391304348,0.028985507
Andrew Cashner,160,FA|SI,0.1621,1.2612,0.208,0.7508,0.0046,0.1217,0.2771,91.26842105,7.718095238,0.082191781,0.356164384,0.523809524,0.19047619,0.238095238,0.047619048
Andrew Cashner,178,FA|SL,0.3334,1.7756,0.2113,0.8861,0.0319,0.2954,0.2385,87.76976744,3.920222222,0.25308642,0.50617284,0.577777778,0.288888889,0.133333333,0
Andrew Cashner,149,SI|FA,0.1506,1.4165,0.201,0.8174,0.0066,0.1231,0.2459,89.96,26.96,0.102941176,0.558823529,0.333333333,0,0.5,0.166666667
