pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Max Scherzer,543829,Swinging Strike,null,null
FF,Max Scherzer,543829,Ball,null,null
FF,Max Scherzer,543829,Foul,null,null
FF,Max Scherzer,543829,Foul,null,null
CH,Max Scherzer,543829,Foul,null,null
SL,Max Scherzer,543829,Swinging Strike,null,null
FF,Max Scherzer,542513,Ball,null,null
FF,Max Scherzer,542513,"In play, out(s)",98.6,26.46
SL,Max Scherzer,445988,Ball,null,null
FF,Max Scherzer,445988,Ball,null,null
SL,Max Scherzer,445988,Called Strike,null,null
FF,Max Scherzer,445988,"In play, no out",82.8,16.06
FF,Max Scherzer,592885,"In play, no out",94.3,7.03
FF,Max Scherzer,592885,Foul,null,null
FF,Max Scherzer,571506,Ball,null,null
SL,Max Scherzer,571506,Called Strike,null,null
FF,Max Scherzer,571506,"In play, no out",86.4,19.76
FF,Max Scherzer,489305,Ball,null,null
FF,Max Scherzer,489305,"In play, out(s)",67,-35.33
SL,Max Scherzer,543329,Ball In Dirt,null,null
FF,Max Scherzer,543329,Called Strike,null,null
SL,Max Scherzer,543329,Swinging Strike (Blocked),null,null
SL,Max Scherzer,543329,Called Strike,null,null
SL,Max Scherzer,588751,Ball,null,null
FF,Max Scherzer,588751,Ball,null,null
CH,Max Scherzer,588751,Ball,null,null
FF,Max Scherzer,588751,Foul,null,null
SL,Max Scherzer,588751,Swinging Strike,null,null
FF,Max Scherzer,588751,"In play, out(s)",81.4,53.24
SL,Max Scherzer,543408,Swinging Strike,null,null
FF,Max Scherzer,543408,Swinging Strike,null,null
FF,Max Scherzer,543408,Called Strike,null,null
SL,Max Scherzer,543408,Ball,null,null
SL,Max Scherzer,542513,Ball,null,null
CH,Max Scherzer,542513,Swinging Strike,null,null
SL,Max Scherzer,542513,Ball,null,null
CU,Max Scherzer,542513,Called Strike,null,null
FF,Max Scherzer,542513,"In play, out(s)",null,null
FF,Max Scherzer,445988,"In play, out(s)",97.8,7.84
SL,Max Scherzer,445988,Called Strike,null,null
SL,Max Scherzer,592885,Called Strike,null,null
CU,Max Scherzer,592885,Swinging Strike,null,null
SL,Max Scherzer,592885,Ball,null,null
CH,Max Scherzer,592885,Called Strike,null,null
FF,Max Scherzer,571506,Ball,null,null
FF,Max Scherzer,571506,Ball,null,null
CU,Max Scherzer,571506,Called Strike,null,null
SL,Max Scherzer,571506,Swinging Strike,null,null
CH,Max Scherzer,571506,Ball,null,null
FF,Max Scherzer,571506,Ball,null,null
FF,Max Scherzer,489305,Swinging Strike,null,null
CH,Max Scherzer,489305,Ball,null,null
FF,Max Scherzer,489305,Foul,null,null
SL,Max Scherzer,489305,Called Strike,null,null
FF,Max Scherzer,489305,Ball,null,null
SL,Max Scherzer,489305,Called Strike,null,null
FF,Max Scherzer,543329,Ball,null,null
FF,Max Scherzer,543329,"In play, run(s)",102.5,29.71
FF,Max Scherzer,588751,Called Strike,null,null
CH,Max Scherzer,588751,Ball,null,null
SL,Max Scherzer,588751,Swinging Strike,null,null
FF,Max Scherzer,588751,Foul,null,null
CH,Max Scherzer,588751,Ball,null,null
SL,Max Scherzer,588751,"In play, out(s)",86.8,8.76
FF,Max Scherzer,400085,Swinging Strike,null,null
FF,Max Scherzer,400085,Swinging Strike,null,null
