pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Nate Jones,593934,Ball,null,null
FT,Nate Jones,593934,"In play, out(s)",86,-22.53
FT,Nate Jones,593934,Foul,null,null
FT,Nate Jones,593934,Ball,null,null
FT,Nate Jones,573627,Ball,null,null
FT,Nate Jones,573627,Ball,null,null
FT,Nate Jones,573627,Ball,null,null
FT,Nate Jones,573627,Ball,null,null
SL,Nate Jones,500871,Ball,null,null
FT,Nate Jones,500871,Foul,null,null
SL,Nate Jones,500871,Called Strike,null,null
SL,Nate Jones,500871,"In play, out(s)",86.9,-13.05
FT,Nate Jones,543484,"In play, no out",104,3.17
FT,Nate Jones,543094,"In play, no out",84.5,19.87
FT,Nate Jones,543094,Ball,null,null
SL,Nate Jones,592200,Swinging Strike,null,null
SL,Nate Jones,592200,"In play, out(s)",46.6,-46.34
FT,Nate Jones,592200,Swinging Strike,null,null
SL,Nate Jones,493351,Ball,null,null
FT,Nate Jones,493351,Called Strike,null,null
FT,Nate Jones,493351,"In play, out(s)",101.4,-2.61
FT,Nate Jones,570481,Ball,null,null
SL,Nate Jones,570481,Foul,null,null
SL,Nate Jones,570481,Swinging Strike,null,null
FT,Nate Jones,570481,Called Strike,null,null
FT,Nate Jones,570481,Foul Tip,null,null
FT,Nate Jones,542583,Ball,null,null
SL,Nate Jones,542583,"In play, out(s)",55.3,-82.51
FT,Nate Jones,542583,Ball,null,null
FT,Nate Jones,542583,Foul,null,null
SL,Nate Jones,542583,Called Strike,null,null
FT,Nate Jones,467793,"In play, out(s)",95.6,33.78
SL,Nate Jones,435063,Swinging Strike,null,null
SL,Nate Jones,435063,Called Strike,null,null
SL,Nate Jones,435063,Swinging Strike,null,null
FT,Nate Jones,435063,Ball,null,null
CH,Nate Jones,467793,Ball,null,null
FT,Nate Jones,467793,Ball,null,null
SL,Nate Jones,467793,Ball,null,null
FT,Nate Jones,467793,Foul,null,null
FT,Nate Jones,467793,Called Strike,null,null
FT,Nate Jones,467793,Swinging Strike,null,null
FT,Nate Jones,467793,Swinging Strike,null,null
FT,Nate Jones,608070,Ball,null,null
SL,Nate Jones,608070,Ball,null,null
FT,Nate Jones,608070,Foul,null,null
FT,Nate Jones,608070,"In play, out(s)",91.2,17.93
FT,Nate Jones,596144,Foul,null,null
SL,Nate Jones,596144,"In play, out(s)",88.3,-6.09
FT,Nate Jones,596144,Swinging Strike,null,null
FT,Nate Jones,596144,Called Strike,null,null
FT,Nate Jones,609275,Ball,null,null
FT,Nate Jones,609275,Ball,null,null
FT,Nate Jones,609275,"In play, no out",92.8,8.36
FT,Nate Jones,593160,"In play, no out",94.7,1.84
FT,Nate Jones,449181,Ball,null,null
FT,Nate Jones,449181,Ball,null,null
FT,Nate Jones,449181,"In play, out(s)",null,null
FT,Nate Jones,444876,"In play, out(s)",73.9,5.26
SL,Nate Jones,444876,Swinging Strike,null,null
SL,Nate Jones,444876,Swinging Strike,null,null
FT,Nate Jones,457727,Called Strike,null,null
FT,Nate Jones,457727,Called Strike,null,null
FT,Nate Jones,457727,Ball,null,null
SL,Nate Jones,457727,Swinging Strike (Blocked),null,null
FT,Nate Jones,578428,"In play, out(s)",88.5,16.41
FT,Nate Jones,578428,Ball,null,null
FT,Nate Jones,408234,"In play, out(s)",106.4,-5.45
FT,Nate Jones,400121,Foul,null,null
SL,Nate Jones,400121,Ball,null,null
SL,Nate Jones,400121,Swinging Strike (Blocked),null,null
FT,Nate Jones,400121,Foul,null,null
FT,Nate Jones,502110,Ball,null,null
SL,Nate Jones,502110,Foul,null,null
SL,Nate Jones,502110,Called Strike,null,null
SL,Nate Jones,502110,Swinging Strike,null,null
FT,Nate Jones,502110,Ball,null,null
SL,Nate Jones,502110,Swinging Strike (Blocked),null,null
FT,Nate Jones,457708,Ball,null,null
SL,Nate Jones,457708,Swinging Strike,null,null
FT,Nate Jones,457708,Called Strike,null,null
SL,Nate Jones,457708,Called Strike,null,null
SL,Nate Jones,457454,Swinging Strike,null,null
SL,Nate Jones,457454,Ball,null,null
SL,Nate Jones,457454,Foul,null,null
SL,Nate Jones,457454,Ball,null,null
FT,Nate Jones,457454,Swinging Strike,null,null
FT,Nate Jones,457454,Swinging Strike,null,null
FT,Nate Jones,408045,Called Strike,null,null
FT,Nate Jones,408045,Foul,null,null
FT,Nate Jones,408045,Ball,null,null
SL,Nate Jones,408045,Called Strike,null,null
SL,Nate Jones,461858,Ball,null,null
SL,Nate Jones,461858,Swinging Strike,null,null
SL,Nate Jones,461858,Called Strike,null,null
FT,Nate Jones,461858,Ball,null,null
SL,Nate Jones,461858,Foul,null,null
FT,Nate Jones,461858,Ball,null,null
FT,Nate Jones,461858,"In play, no out",91.9,-5.26
FT,Nate Jones,596146,Foul,null,null
FT,Nate Jones,596146,Called Strike,null,null
SL,Nate Jones,596146,Swinging Strike,null,null
SL,Nate Jones,500871,Swinging Strike (Blocked),null,null
FT,Nate Jones,500871,Ball,null,null
FT,Nate Jones,500871,Swinging Strike,null,null
SL,Nate Jones,500871,Swinging Strike,null,null
SL,Nate Jones,500871,Foul,null,null
SL,Nate Jones,593871,Ball,null,null
FT,Nate Jones,593871,Foul,null,null
FT,Nate Jones,593871,Called Strike,null,null
FT,Nate Jones,593871,Foul Tip,null,null
FT,Nate Jones,593871,Ball,null,null
SL,Nate Jones,593871,Foul,null,null
SL,Nate Jones,593871,Foul,null,null
FT,Nate Jones,593871,Foul,null,null
SL,Nate Jones,593871,Swinging Strike,null,null
FT,Nate Jones,461858,Called Strike,null,null
FT,Nate Jones,461858,"In play, out(s)",65.3,82.75
SL,Nate Jones,461858,Ball,null,null
FT,Nate Jones,461858,Ball,null,null
FT,Nate Jones,593934,"In play, out(s)",98.1,5.16
SL,Nate Jones,502110,Called Strike,null,null
SL,Nate Jones,502110,Ball,null,null
FT,Nate Jones,502110,Foul,null,null
FT,Nate Jones,502110,Ball,null,null
SL,Nate Jones,502110,Ball,null,null
FT,Nate Jones,502110,Ball,null,null
FT,Nate Jones,457708,Swinging Strike,null,null
FT,Nate Jones,457708,Called Strike,null,null
FT,Nate Jones,457708,Foul,null,null
FT,Nate Jones,457454,"In play, run(s)",107.9,37.4
FT,Nate Jones,457454,Ball,null,null
SL,Nate Jones,431171,"In play, out(s)",null,null
FT,Nate Jones,430947,"In play, out(s)",null,null
FT,Nate Jones,430947,Called Strike,null,null
FT,Nate Jones,547982,Swinging Strike,null,null
SL,Nate Jones,547982,Ball,null,null
FT,Nate Jones,547982,Called Strike,null,null
SL,Nate Jones,547982,Ball,null,null
SL,Nate Jones,547982,Foul,null,null
FT,Nate Jones,547982,Foul,null,null
SL,Nate Jones,547982,Foul,null,null
SL,Nate Jones,547982,Foul,null,null
SL,Nate Jones,547982,Foul,null,null
FT,Nate Jones,547982,Swinging Strike,null,null
SL,Nate Jones,452234,Ball,null,null
FT,Nate Jones,452234,Swinging Strike,null,null
SL,Nate Jones,452234,Swinging Strike (Blocked),null,null
SL,Nate Jones,452234,Called Strike,null,null
SL,Nate Jones,452234,Ball,null,null
FT,Nate Jones,606466,Ball,null,null
FT,Nate Jones,606466,"In play, out(s)",96.1,18.11
FT,Nate Jones,606466,Ball,null,null
FT,Nate Jones,452234,"In play, out(s)",null,null
FT,Nate Jones,452234,Ball,null,null
FT,Nate Jones,452252,Ball,null,null
FT,Nate Jones,452252,Foul,null,null
FT,Nate Jones,452252,Ball,null,null
FT,Nate Jones,452252,"In play, out(s)",106.1,-19.72
FT,Nate Jones,572287,Called Strike,null,null
SL,Nate Jones,572287,Ball,null,null
SL,Nate Jones,572287,Ball,null,null
SL,Nate Jones,572287,Swinging Strike,null,null
SL,Nate Jones,572287,"In play, out(s)",null,null
FT,Nate Jones,547982,Foul Bunt,null,null
FT,Nate Jones,547982,"In play, out(s)",96.6,40.68
SL,Nate Jones,543760,Swinging Strike,null,null
SL,Nate Jones,543760,Ball In Dirt,null,null
FT,Nate Jones,543760,Ball,null,null
CU,Nate Jones,543760,Called Strike,null,null
SL,Nate Jones,543760,Ball,null,null
FT,Nate Jones,543760,Foul,null,null
FT,Nate Jones,543760,Foul,null,null
FT,Nate Jones,543760,Foul,null,null
FT,Nate Jones,543760,Foul,null,null
FT,Nate Jones,543760,Foul,null,null
FT,Nate Jones,543760,Foul,null,null
FT,Nate Jones,543760,Swinging Strike,null,null
SL,Nate Jones,501981,Swinging Strike,null,null
SL,Nate Jones,501981,Called Strike,null,null
SL,Nate Jones,501981,Swinging Strike (Blocked),null,null
FT,Nate Jones,592387,Called Strike,null,null
SL,Nate Jones,592387,Ball,null,null
SL,Nate Jones,592387,Called Strike,null,null
SL,Nate Jones,592387,"In play, no out",80.4,-4.89
SL,Nate Jones,518649,Swinging Strike,null,null
FT,Nate Jones,518649,Ball,null,null
SL,Nate Jones,518649,Ball,null,null
SL,Nate Jones,518649,"In play, out(s)",78.8,48.18
SL,Nate Jones,518649,Called Strike,null,null
SL,Nate Jones,518649,Foul,null,null
FT,Nate Jones,501981,Called Strike,null,null
FT,Nate Jones,501981,"In play, out(s)",90,67.07
FT,Nate Jones,501981,Ball,null,null
SL,Nate Jones,592387,Ball,null,null
FT,Nate Jones,592387,Called Strike,null,null
FT,Nate Jones,592387,"In play, no out",100.1,4.81
SL,Nate Jones,519390,Called Strike,null,null
FT,Nate Jones,519390,"In play, no out",67.4,-17.12
FT,Nate Jones,519390,Foul,null,null
FT,Nate Jones,518649,Ball,null,null
FT,Nate Jones,518649,"In play, run(s)",92.5,14.28
FT,Nate Jones,518649,Ball,null,null
FT,Nate Jones,502143,"In play, run(s)",104.8,22.19
FT,Nate Jones,502143,Ball,null,null
SL,Nate Jones,543401,Ball In Dirt,null,null
SL,Nate Jones,543401,Swinging Strike,null,null
SL,Nate Jones,543401,Called Strike,null,null
FT,Nate Jones,543401,Foul,null,null
FT,Nate Jones,596019,"In play, out(s)",null,null
FT,Nate Jones,596019,Ball,null,null
FT,Nate Jones,435063,Ball,null,null
FT,Nate Jones,435063,Ball,null,null
FT,Nate Jones,435063,Foul,null,null
SL,Nate Jones,435063,Swinging Strike,null,null
SL,Nate Jones,435063,Ball,null,null
FT,Nate Jones,435063,Swinging Strike,null,null
SL,Nate Jones,435063,Ball,null,null
SL,Nate Jones,467793,Ball,null,null
SL,Nate Jones,467793,Ball In Dirt,null,null
FT,Nate Jones,467793,Foul,null,null
SL,Nate Jones,467793,Ball In Dirt,null,null
FT,Nate Jones,467793,Called Strike,null,null
SL,Nate Jones,467793,Foul,null,null
SL,Nate Jones,467793,Called Strike,null,null
FT,Nate Jones,608070,Ball,null,null
SL,Nate Jones,608070,Ball,null,null
SL,Nate Jones,608070,Foul,null,null
SL,Nate Jones,608070,"In play, run(s)",103.2,0.48
FT,Nate Jones,608070,Called Strike,null,null
FT,Nate Jones,608070,Foul,null,null
FT,Nate Jones,608070,Foul,null,null
FT,Nate Jones,502082,"In play, out(s)",92.6,-19.58
SL,Nate Jones,588751,Ball,null,null
SL,Nate Jones,588751,Swinging Strike,null,null
FT,Nate Jones,588751,Called Strike,null,null
FT,Nate Jones,588751,Ball,null,null
FT,Nate Jones,588751,Foul,null,null
FT,Nate Jones,400085,Called Strike,null,null
FT,Nate Jones,400085,"In play, out(s)",91.5,40.77
SL,Nate Jones,543829,Swinging Strike (Blocked),null,null
FT,Nate Jones,543829,Foul,null,null
FT,Nate Jones,543829,Foul,null,null
SL,Nate Jones,592885,Called Strike,null,null
SL,Nate Jones,592885,Swinging Strike (Blocked),null,null
FT,Nate Jones,592885,Called Strike,null,null
FT,Nate Jones,592885,Ball,null,null
FT,Nate Jones,519317,Foul Tip,null,null
SL,Nate Jones,519317,Swinging Strike (Blocked),null,null
FT,Nate Jones,519317,Ball,null,null
FT,Nate Jones,519317,Foul,null,null
SL,Nate Jones,542303,Ball,null,null
SL,Nate Jones,542303,Swinging Strike,null,null
FT,Nate Jones,542303,"In play, out(s)",105,6.59
SL,Nate Jones,445988,Ball,null,null
FT,Nate Jones,445988,"In play, out(s)",99.8,-9.54
SL,Nate Jones,445988,Called Strike,null,null
FT,Nate Jones,596144,"In play, run(s)",94.8,22.78
FT,Nate Jones,456715,Swinging Strike,null,null
SL,Nate Jones,456715,Ball In Dirt,null,null
SL,Nate Jones,456715,Foul,null,null
SL,Nate Jones,456715,Swinging Strike,null,null
FT,Nate Jones,460086,"In play, no out",102.3,22.07
FT,Nate Jones,460086,Ball,null,null
SL,Nate Jones,460086,Foul,null,null
null,Nate Jones,444876,Intent Ball,null,null
null,Nate Jones,444876,Intent Ball,null,null
null,Nate Jones,444876,Intent Ball,null,null
null,Nate Jones,444876,Intent Ball,null,null
SL,Nate Jones,609275,Ball,null,null
SL,Nate Jones,609275,Swinging Strike,null,null
FT,Nate Jones,609275,Foul,null,null
SL,Nate Jones,609275,Swinging Strike,null,null
SL,Nate Jones,434778,Foul,null,null
FT,Nate Jones,434778,"In play, no out",101.5,12.44
SL,Nate Jones,434778,Called Strike,null,null
PO,Nate Jones,521692,Pitchout,null,null
SL,Nate Jones,521692,"In play, out(s)",87,-15.93
FT,Nate Jones,521692,Called Strike,null,null
SL,Nate Jones,521692,Swinging Strike,null,null
SL,Nate Jones,543333,"In play, out(s)",null,null
SL,Nate Jones,543333,Called Strike,null,null
FT,Nate Jones,596144,Foul,null,null
FT,Nate Jones,596144,Ball,null,null
FT,Nate Jones,596144,"In play, out(s)",104.1,-1.97
FT,Nate Jones,456715,Ball,null,null
SL,Nate Jones,456715,Foul,null,null
SL,Nate Jones,456715,Foul,null,null
SL,Nate Jones,456715,Swinging Strike,null,null
SL,Nate Jones,456715,Called Strike,null,null
SL,Nate Jones,456715,Swinging Strike,null,null
FT,Nate Jones,456715,Foul,null,null
SL,Nate Jones,456715,Foul,null,null
SL,Nate Jones,456715,Ball,null,null
FT,Nate Jones,543333,Ball,null,null
FT,Nate Jones,543333,"In play, out(s)",95.9,49.54
FT,Nate Jones,592518,Called Strike,null,null
SL,Nate Jones,592518,Ball,null,null
SL,Nate Jones,592518,Called Strike,null,null
FT,Nate Jones,592518,"In play, out(s)",null,null
FT,Nate Jones,444432,Foul,null,null
FT,Nate Jones,444432,Foul,null,null
SL,Nate Jones,444432,Swinging Strike,null,null
FT,Nate Jones,456665,"In play, out(s)",101,15.82
FT,Nate Jones,448801,Called Strike,null,null
SL,Nate Jones,448801,Foul,null,null
SL,Nate Jones,448801,Ball,null,null
SL,Nate Jones,448801,Swinging Strike,null,null
FT,Nate Jones,429666,Called Strike,null,null
SL,Nate Jones,429666,Ball In Dirt,null,null
FT,Nate Jones,429666,Called Strike,null,null
SL,Nate Jones,429666,"In play, out(s)",81.8,51.07
FT,Nate Jones,592206,"In play, out(s)",79.1,24.47
SL,Nate Jones,502110,Swinging Strike,null,null
SL,Nate Jones,502110,Ball,null,null
SL,Nate Jones,502110,Swinging Strike,null,null
FT,Nate Jones,502110,Foul,null,null
SL,Nate Jones,435559,Ball,null,null
FT,Nate Jones,435559,Foul,null,null
SL,Nate Jones,435559,Called Strike,null,null
SL,Nate Jones,435559,Ball,null,null
SL,Nate Jones,435559,Ball,null,null
FT,Nate Jones,435559,Ball,null,null
FT,Nate Jones,621439,"In play, out(s)",null,null
FT,Nate Jones,572821,Ball,null,null
FT,Nate Jones,572821,Swinging Strike,null,null
SL,Nate Jones,572821,Foul,null,null
SL,Nate Jones,572821,Swinging Strike,null,null
SL,Nate Jones,543257,Ball,null,null
FT,Nate Jones,543257,"In play, out(s)",92.9,28.06
FT,Nate Jones,451594,"In play, out(s)",104.1,17.75
SL,Nate Jones,519203,Swinging Strike,null,null
FT,Nate Jones,519203,Foul,null,null
FT,Nate Jones,519203,Ball,null,null
SL,Nate Jones,519203,Called Strike,null,null
FT,Nate Jones,592178,Ball,null,null
FT,Nate Jones,592178,Foul,null,null
SL,Nate Jones,592178,"In play, out(s)",null,null
FT,Nate Jones,450314,Foul,null,null
FT,Nate Jones,450314,"In play, no out",101.4,9.26
SL,Nate Jones,575929,"In play, out(s)",null,null
CH,Nate Jones,575929,Called Strike,null,null
FT,Nate Jones,575929,Called Strike,null,null
FT,Nate Jones,575929,Foul,null,null
SL,Nate Jones,575929,Ball In Dirt,null,null
FT,Nate Jones,608365,Called Strike,null,null
FT,Nate Jones,608365,Ball,null,null
SL,Nate Jones,608365,Ball,null,null
SL,Nate Jones,608365,"In play, run(s)",null,null
FT,Nate Jones,608365,Ball,null,null
FT,Nate Jones,608365,"In play, out(s)",null,null
FT,Nate Jones,608365,Ball,null,null
FT,Nate Jones,608365,Called Strike,null,null
FT,Nate Jones,449107,Ball,null,null
FT,Nate Jones,449107,Ball,null,null
FT,Nate Jones,449107,Called Strike,null,null
FT,Nate Jones,449107,Ball,null,null
FT,Nate Jones,449107,Called Strike,null,null
SL,Nate Jones,449107,Swinging Strike,null,null
FT,Nate Jones,543510,"In play, out(s)",99.4,37.11
SL,Nate Jones,543510,Ball,null,null
FT,Nate Jones,461865,"In play, run(s)",101.2,26.69
SL,Nate Jones,435079,Swinging Strike,null,null
FT,Nate Jones,435079,Foul,null,null
SL,Nate Jones,435079,"In play, no out",94,9.9
SL,Nate Jones,435079,Called Strike,null,null
SL,Nate Jones,435079,Ball,null,null
FT,Nate Jones,578428,Called Strike,null,null
FT,Nate Jones,578428,Ball,null,null
FT,Nate Jones,578428,"In play, out(s)",90.5,-27.17
FT,Nate Jones,408234,Ball,null,null
SL,Nate Jones,408234,Ball,null,null
FT,Nate Jones,408234,Ball,null,null
FT,Nate Jones,408234,Foul,null,null
SL,Nate Jones,408234,Swinging Strike,null,null
