NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,157,CH|FA,0.2349,1.7644,0.1726,0.9083,0.044,0.2134,0.19,89.7,20.263125,0.127118644,0.466101695,0.3125,0.28125,0.34375,0.0625
Andrew Cashner,74,CH|FA,0.5753,1.7871,0.1744,1.1389,0.0624,0.6552,0.1531,97.88333333,-1.911428571,0.097560976,0.512195122,0.857142857,0,0.142857143,0
Carlos Martinez,123,CH|FA,0.4216,1.635,0.2398,0.8146,0.0442,0.3434,0.2943,81,14.99529412,0.126436782,0.471264368,0.470588235,0.176470588,0.294117647,0.058823529
Carlos Rodon,113,CH|FA,0.3306,2.0141,0.336,1.0995,0.0501,0.3634,0.3056,96.32857143,19.53857143,0.075,0.425,0.428571429,0.142857143,0.428571429,0
Chris Sale,171,CH|FA,0.2677,1.4941,0.3138,0.7739,0.0362,0.2071,0.4055,94.46153846,14.43590909,0.104395604,0.494505495,0.340909091,0.295454545,0.318181818,0.045454545
Cole Hamels,97,CH|FA,0.3554,1.8799,0.1477,0.8359,0.0415,0.2971,0.1767,89.88181818,11.23727273,0.166666667,0.583333333,0.636363636,0,0.363636364,0
Daniel Mengden,96,CH|FA,0.4667,1.4918,0.1926,0.8663,0.0555,0.4043,0.2223,89.78,21.902,0.14893617,0.382978723,0.3,0.4,0.2,0.1
Daniel Norris,73,CH|FA,0.428,1.734,0.2027,0.854,0.0368,0.3655,0.2374,93.0375,19.781875,0.092307692,0.523076923,0.4375,0.125,0.4375,0
Danny Farquhar,86,CH|FA,0.389,2.191,0.2051,0.9809,0.0274,0.3816,0.2091,99.87777778,17.226,0.195652174,0.695652174,0.3,0.4,0.3,0
Jose Berrios,60,CH|FA,0.3675,1.9706,0.2723,0.9503,0.0437,0.3492,0.2865,93.24444444,8.584,0.225806452,0.516129032,0.5,0.3,0.1,0.1
Jose Quintana,84,CH|FA,0.2331,1.9763,0.1564,0.9747,0.0282,0.2272,0.1605,90.45384615,20.17538462,0.055555556,0.37037037,0.230769231,0.384615385,0.307692308,0.076923077
Kyle Hendricks,85,CH|FA,0.3487,1.9261,0.1323,0.8723,0.0447,0.3041,0.1516,104,19.75,0.076923077,0.307692308,0,0.5,0.5,0
Max Scherzer,184,CH|FA,0.4211,1.7287,0.1844,0.8539,0.0446,0.3596,0.216,91.64090909,30.39071429,0.159090909,0.545454545,0.214285714,0.142857143,0.535714286,0.107142857
Mike Fiers,115,CH|FA,0.4292,1.7755,0.4047,0.8742,0.0362,0.3752,0.463,92.275,15.28416667,0.12371134,0.422680412,0.5,0.083333333,0.416666667,0
Noah Syndergaard,69,CH|FA,0.3256,1.871,0.3935,0.9434,0.0355,0.3071,0.4171,87.775,11.57615385,0.095238095,0.380952381,0.615384615,0.230769231,0.153846154,0
Pedro Baez,83,CH|FA,0.2597,1.9128,0.2312,0.9534,0.0421,0.2476,0.2425,87.53333333,22.733,0.25862069,0.603448276,0.2,0.4,0.3,0.1
Ross Ohlendorf,102,CH|FA,0.2398,1.6344,0.1391,0.8351,0.037,0.2003,0.1665,89,17.56461538,0.14893617,0.531914894,0.307692308,0.384615385,0.307692308,0
Wei-Yin Chen,83,CH|FA,0.2712,1.6293,0.137,0.8147,0.0358,0.221,0.1681,84.59285714,16.169375,0.071428571,0.482142857,0.5625,0.125,0.1875,0.125
,,,,,,,,,,,,,,,,,
