NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Wainwright,91,FA|CU,0.8955,1.9022,0.1665,1.0463,0.0978,0.9369,0.1591,81.33157895,-0.857894737,0.177419355,0.403225806,0.578947368,0.368421053,0.052631579,0
Clayton Kershaw,184,FA|CU,1.0638,1.716,0.4589,1.0582,0.1127,1.1257,0.4337,77.56956522,-9.034347826,0.338235294,0.544117647,0.826086957,0.043478261,0.130434783,0
Cole Hamels,82,FA|CU,0.7571,2.2407,0.3757,0.8785,0.0651,0.6651,0.4276,81.31428571,15.40142857,0.264150943,0.509433962,0.285714286,0.428571429,0.285714286,0
Daniel Mengden,74,FA|CU,1.0614,2.0262,0.2629,0.931,0.0976,0.9881,0.2824,102.2,3.65,0.2,0.56,1,0,0,0
Jon Lester,153,FA|CU,0.8539,2.2282,0.1391,0.8734,0.0959,0.7458,0.1592,90.98571429,23.113125,0.371134021,0.567010309,0.3125,0.125,0.5625,0
Jose Berrios,76,FA|CU,0.6821,1.5109,0.1531,0.8413,0.0603,0.5738,0.182,90.18571429,17.77625,0.184210526,0.473684211,0.375,0.25,0.375,0
Jose Quintana,237,FA|CU,0.7319,1.8961,0.1681,0.8448,0.0741,0.6183,0.199,89.32580645,24.20242424,0.189781022,0.437956204,0.303030303,0.303030303,0.272727273,0.121212121
Kevin Gausman,187,FA|CU,0.657,1.7613,0.1963,0.832,0.0706,0.5466,0.236,87.44705882,9.187222222,0.244680851,0.468085106,0.5,0.166666667,0.333333333,0
Kevin Quackenbush,149,FA|CU,0.9157,1.9781,0.1671,0.8498,0.0641,0.7781,0.1967,84.40384615,2.341111111,0.156626506,0.325301205,0.592592593,0.148148148,0.259259259,0
Matt Barnes,104,FA|CU,0.8291,2.1731,0.1392,0.879,0.0666,0.7288,0.1584,96.27,-0.076363636,0.243243243,0.472972973,0.727272727,0.272727273,0,0
Max Scherzer,126,FA|CU,0.5855,1.6941,0.3677,1.0122,0.0812,0.5926,0.3633,85.37777778,24.80555556,0.140625,0.359375,0.222222222,0.333333333,0.444444444,0
Mike Fiers,160,FA|CU,0.9617,2.0634,0.4413,1.1166,0.0917,1.0738,0.3952,90.30769231,2.456923077,0.119047619,0.392857143,0.576923077,0.346153846,0.076923077,0
Pat Venditte,82,FA|CU,0.3538,1.4786,0.4965,0.982,0.0731,0.3474,0.5055,80.71666667,18.90875,0.1,0.314285714,0.25,0.25,0.5,0
Ross Stripling,122,FA|CU,0.9809,2.0855,0.1838,0.8548,0.0684,0.8384,0.215,88.24705882,-1.742631579,0.219178082,0.452054795,0.789473684,0.052631579,0.157894737,0
Tyler Duffey,218,FA|CU,0.7041,1.7555,0.3589,0.9295,0.0518,0.6545,0.3861,88.71363636,-0.415454545,0.064516129,0.370967742,0.545454545,0.409090909,0.045454545,0
Wei-Yin Chen,89,FA|CU,0.7954,1.7789,0.2722,0.9692,0.0855,0.7709,0.2809,92.425,2.523333333,0.225,0.475,0.666666667,0.111111111,0.222222222,0
,,,,,,,,,,,,,,,,,
