NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Andrew Cashner,160,FA|SI,0.1621,1.2612,0.208,0.7508,0.0046,0.1217,0.2771,91.26842105,7.718095238,0.082191781,0.356164384,0.523809524,0.19047619,0.238095238,0.047619048
Carlos Martinez,142,FA|SI,0.2301,1.5179,0.2396,0.8082,0.0064,0.186,0.2964,84.91333333,-5.24125,0.088607595,0.341772152,0.8125,0.125,0.0625,0
Carlos Rodon,166,FA|SI,0.1732,1.3939,0.1574,0.7619,0.0053,0.132,0.2066,90,11.83148148,0.125,0.442307692,0.481481481,0.222222222,0.296296296,0
Cole Hamels,80,FA|SI,0.1767,1.4321,0.1701,0.7806,0.0032,0.138,0.2179,94.135,5.408636,0,0.3815789,0.6363636,0.2272727,0.1363636,0
Jon Lester,107,FA|SI,0.2537,1.6118,0.1305,0.839,0.0052,0.2128,0.1555,88.87826087,-1.29,0.157303371,0.415730337,0.75,0.083333333,0.166666667,0
Kyle Hendricks,178,FA|SI,0.2414,1.3439,0.1905,0.7187,0.0037,0.1735,0.265,77.5,-30.85,0,0.363636364,1,0,0,0
Noah Syndergaard,77,FA|SI,0.1347,1.3496,0.149,0.7078,0.0023,0.0953,0.2105,90.17,6.079047619,0.107142857,0.428571429,0.619047619,0.142857143,0.238095238,0
Tyler Chatwood,178,FA|SI,0.1184,1.6537,0.1398,0.8153,0.0038,0.0966,0.1715,92.19354839,10.69151515,0.087719298,0.385964912,0.515151515,0.242424242,0.212121212,0.03030303
Tyler Duffey,104,FA|SI,0.2171,1.4636,0.2973,0.7681,0.0037,0.1667,0.3871,87.45,0.585,0.235294118,0.470588235,0.5,0.25,0.25,0
,,,,,,,,,,,,,,,,,
