NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,160,SL|FA,0.2064,1.7394,0.1698,0.7876,0.0321,0.1626,0.2156,88.36666667,21.23846154,0.057692308,0.394230769,0.461538462,0.076923077,0.384615385,0.076923077
Adam Warren,106,SL|FA,0.3605,1.6207,0.208,0.8074,0.0267,0.2911,0.2576,89.35,26.44888889,0.1,0.48,0.111111111,0.444444444,0.444444444,0
Addison Reed,146,SL|FA,0.4148,1.7455,0.174,0.7794,0.0294,0.3233,0.2233,91.00909091,12.17576923,0.111111111,0.512820513,0.346153846,0.307692308,0.346153846,0
Andrew Cashner,128,SL|FA,0.3132,1.8533,0.2361,0.9787,0.0347,0.3065,0.2412,89.58064516,17.6,0.085365854,0.469512195,0.363636364,0.272727273,0.333333333,0.03030303
Andrew Miller,200,SL|FA,0.6228,1.4601,0.4789,0.7358,0.0543,0.4582,0.6509,87.075,7.665,0.073394495,0.302752294,0.6,0.2,0.15,0.05
Aroldis Chapman,83,SL|FA,0.3837,1.6332,0.1501,0.888,0.0538,0.3408,0.169,85.68333333,6.543333333,0.326923077,0.730769231,0.5,0.5,0,0
Carlos Martinez,119,SL|FA,0.4479,1.5152,0.2164,0.938,0.0569,0.4201,0.2307,91.92222222,12.08952381,0.141509434,0.556603774,0.476190476,0.142857143,0.380952381,0
Carlos Rodon,199,SL|FA,0.3154,1.7102,0.1753,0.8743,0.0352,0.2757,0.2004,91.65714286,20.98137931,0.111111111,0.427350427,0.344827586,0.275862069,0.344827586,0.034482759
Chad Kuhl,94,SL|FA,0.2279,1.7399,0.2194,0.8533,0.0291,0.1944,0.2571,104.35,6.885,0.142857143,0.428571429,0.5,0.5,0,0
Chris Sale,273,SL|FA,0.4703,1.8245,0.2058,0.999,0.08,0.4698,0.206,89.97837838,14.21772727,0.158536585,0.524390244,0.477272727,0.181818182,0.272727273,0.068181818
Clayton Kershaw,224,SL|FA,0.4129,1.6802,0.1633,0.821,0.0247,0.339,0.199,89.04324324,20.71268293,0.104972376,0.464088398,0.463414634,0.12195122,0.317073171,0.097560976
Daniel Mengden,98,SL|FA,0.2772,1.5912,0.3062,0.8867,0.0227,0.2457,0.3454,87.35384615,17.06384615,0.210526316,0.456140351,0.384615385,0.230769231,0.384615385,0
Daniel Norris,77,SL|FA,0.351,2.1195,0.3085,0.8949,0.0271,0.3141,0.3448,89.45833333,23.51916667,0.23255814,0.418604651,0.333333333,0.166666667,0.416666667,0.083333333
Edwin Jackson,119,SL|FA,0.3793,1.8,0.1513,0.8893,0.0354,0.3373,0.1702,92.54375,13.57848485,0.12,0.38,0.484848485,0.272727273,0.181818182,0.060606061
Heath Hembree,95,SL|FA,0.3955,1.4382,0.153,0.7584,0.0273,0.2999,0.2017,92.55,23.55,0.128571429,0.542857143,0.285714286,0.428571429,0.142857143,0.142857143
Leonel Campos,67,SL|FA,0.3241,1.839,0.1377,1.0463,0.0342,0.3391,0.1316,87.05,15.29666667,0.121212121,0.545454545,0.5,0,0.5,0
Max Scherzer,298,SL|FA,0.3536,1.5097,0.1956,0.768,0.0392,0.2716,0.2547,92.05588235,24.10333333,0.188976378,0.551181102,0.205128205,0.307692308,0.435897436,0.051282051
Nick Goody,90,SL|FA,0.4812,1.9646,0.2741,0.9577,0.0454,0.4609,0.2862,99.25,22.93833333,0.114754098,0.540983607,0.166666667,0.333333333,0.5,0
Noah Syndergaard,142,SL|FA,0.4058,1.7067,0.1632,0.8256,0.0306,0.3351,0.1977,89.02727273,10.90208333,0.121495327,0.514018692,0.458333333,0.416666667,0.083333333,0.041666667
Pedro Baez,83,SL|FA,0.3575,1.8187,0.216,0.908,0.0408,0.3247,0.2379,90.06666667,35.29,0.145454545,0.545454545,0.111111111,0.222222222,0.555555556,0.111111111
Ross Ohlendorf,86,SL|FA,0.4706,2.2695,0.3003,1.1844,0.0653,0.5574,0.2535,94.07142857,6.2375,0.1,0.5,0.5,0.25,0.25,0
Ross Stripling,101,SL|FA,0.3822,1.6834,0.3608,0.815,0.0208,0.3115,0.4427,95.08461538,16.645,0.138461538,0.430769231,0.357142857,0.357142857,0.285714286,0
Tyler Chatwood,81,SL|FA,0.3366,1.6479,0.1737,0.8117,0.0283,0.2732,0.2139,84.01666667,6.026666667,0.176470588,0.352941176,0.5,0.333333333,0.166666667,0
Wei-Yin Chen,115,SL|FA,0.2866,1.7337,0.1324,0.8573,0.0309,0.2457,0.1544,87.03571429,22.73705882,0.112359551,0.471910112,0.117647059,0.411764706,0.411764706,0.058823529
Zach Eflin,88,SL|FA,0.3949,1.7663,0.1857,0.8522,0.0455,0.3365,0.218,90.85833333,7.975833333,0.052631579,0.473684211,0.416666667,0.25,0.333333333,0
