pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Pat Venditte,475174,"In play, no out",106.1,16.92
SI,Pat Venditte,475174,Ball,null,null
SI,Pat Venditte,475174,Foul,null,null
SI,Pat Venditte,622194,Swinging Strike,null,null
SL,Pat Venditte,622194,Swinging Strike,null,null
SL,Pat Venditte,622194,Called Strike,null,null
SI,Pat Venditte,622194,Foul,null,null
SI,Pat Venditte,518649,Ball,null,null
SL,Pat Venditte,518649,Swinging Strike,null,null
SL,Pat Venditte,518649,Ball,null,null
SL,Pat Venditte,518649,Ball,null,null
SL,Pat Venditte,518649,Ball,null,null
SI,Pat Venditte,518649,Called Strike,null,null
SL,Pat Venditte,621566,Ball,null,null
SL,Pat Venditte,621566,Ball,null,null
SI,Pat Venditte,621566,"In play, out(s)",101,-2.93
SI,Pat Venditte,621566,Called Strike,null,null
SI,Pat Venditte,621566,Swinging Strike,null,null
SL,Pat Venditte,621566,Foul,null,null
SI,Pat Venditte,519295,"In play, no out",84.2,16.99
SI,Pat Venditte,519295,Ball,null,null
SL,Pat Venditte,519295,Called Strike,null,null
SI,Pat Venditte,543760,"In play, out(s)",90.7,-4.49
SI,Pat Venditte,621563,Ball,null,null
SL,Pat Venditte,621563,Foul,null,null
SI,Pat Venditte,621563,Ball,null,null
SI,Pat Venditte,621563,Ball,null,null
SI,Pat Venditte,621563,Called Strike,null,null
SL,Pat Venditte,621563,Ball,null,null
SI,Pat Venditte,640461,"In play, out(s)",50.6,56.31
SL,Pat Venditte,572365,Foul,null,null
SI,Pat Venditte,572365,Ball,null,null
SL,Pat Venditte,572365,Ball,null,null
SI,Pat Venditte,572365,Called Strike,null,null
SL,Pat Venditte,572365,Ball,null,null
SI,Pat Venditte,572365,Called Strike,null,null
SI,Pat Venditte,459431,Ball,null,null
SI,Pat Venditte,459431,Called Strike,null,null
SI,Pat Venditte,459431,Swinging Strike,null,null
SL,Pat Venditte,459431,Ball,null,null
SL,Pat Venditte,459431,Ball,null,null
SI,Pat Venditte,459431,Called Strike,null,null
SL,Pat Venditte,607680,"In play, out(s)",81.3,40.21
SI,Pat Venditte,607680,Foul,null,null
SI,Pat Venditte,607680,Foul,null,null
SL,Pat Venditte,458675,Foul,null,null
SL,Pat Venditte,458675,Foul,null,null
SI,Pat Venditte,458675,Swinging Strike,null,null
SI,Pat Venditte,458675,Called Strike,null,null
SI,Pat Venditte,458675,Ball,null,null
SL,Pat Venditte,519048,Called Strike,null,null
SL,Pat Venditte,519048,Ball In Dirt,null,null
SI,Pat Venditte,519048,"In play, out(s)",99.3,36.16
SL,Pat Venditte,608577,Swinging Strike,null,null
SI,Pat Venditte,608577,Called Strike,null,null
SI,Pat Venditte,608577,"In play, no out",null,null
SL,Pat Venditte,435622,Swinging Strike,null,null
SL,Pat Venditte,435622,Ball,null,null
SL,Pat Venditte,435622,Swinging Strike,null,null
SI,Pat Venditte,435622,Hit By Pitch,null,null
IN,Pat Venditte,134181,Intent Ball,null,null
IN,Pat Venditte,134181,Intent Ball,null,null
IN,Pat Venditte,134181,Intent Ball,null,null
IN,Pat Venditte,134181,Intent Ball,null,null
SI,Pat Venditte,596059,Foul,null,null
SL,Pat Venditte,596059,Foul,null,null
SI,Pat Venditte,596059,Foul,null,null
SL,Pat Venditte,596059,Ball,null,null
SL,Pat Venditte,596059,"In play, out(s)",null,null
SI,Pat Venditte,518960,Ball,null,null
SL,Pat Venditte,518960,Ball,null,null
SL,Pat Venditte,518960,Called Strike,null,null
SL,Pat Venditte,518960,Ball,null,null
SI,Pat Venditte,518960,Ball,null,null
