pitch_type,player_name,batter,description,hit_speed,hit_angle
CH,Pedro Baez,543063,Ball,null,null
FT,Pedro Baez,543063,Ball,null,null
FF,Pedro Baez,543063,Ball,null,null
FF,Pedro Baez,543063,Ball,null,null
FF,Pedro Baez,605412,"In play, out(s)",83.8,47.79
FT,Pedro Baez,605412,Ball,null,null
CH,Pedro Baez,605412,Ball,null,null
FF,Pedro Baez,543216,Swinging Strike,null,null
FF,Pedro Baez,543216,Swinging Strike,null,null
FF,Pedro Baez,543216,Ball,null,null
CH,Pedro Baez,543216,Ball In Dirt,null,null
FF,Pedro Baez,543216,Foul,null,null
FF,Pedro Baez,519043,Called Strike,null,null
FF,Pedro Baez,519043,Swinging Strike,null,null
FF,Pedro Baez,519043,Ball,null,null
FF,Pedro Baez,519043,Ball,null,null
FF,Pedro Baez,519043,"In play, out(s)",null,null
FF,Pedro Baez,434636,Ball,null,null
FF,Pedro Baez,434636,Foul,null,null
FF,Pedro Baez,434636,Called Strike,null,null
CH,Pedro Baez,434636,"In play, no out",null,null
FT,Pedro Baez,572863,Foul (Runner Going),null,null
FT,Pedro Baez,572863,Foul (Runner Going),null,null
FF,Pedro Baez,572863,Swinging Strike,null,null
FT,Pedro Baez,572863,Ball,null,null
FF,Pedro Baez,572863,Ball,null,null
FT,Pedro Baez,572863,Ball,null,null
FF,Pedro Baez,453568,"In play, out(s)",100.1,16.59
SL,Pedro Baez,518934,Called Strike,null,null
SL,Pedro Baez,518934,"In play, out(s)",85.7,7.67
FT,Pedro Baez,518934,Ball,null,null
FT,Pedro Baez,518934,Ball,null,null
FF,Pedro Baez,506924,Foul,null,null
FF,Pedro Baez,506924,"In play, out(s)",59.2,18.75
FT,Pedro Baez,506924,Foul,null,null
FF,Pedro Baez,606132,Foul,null,null
FF,Pedro Baez,606132,Foul,null,null
FF,Pedro Baez,606132,Swinging Strike,null,null
FT,Pedro Baez,453568,Ball,null,null
CH,Pedro Baez,453568,Ball,null,null
FF,Pedro Baez,453568,Foul,null,null
FF,Pedro Baez,453568,Foul,null,null
FF,Pedro Baez,453568,"In play, out(s)",92.6,26.3
FT,Pedro Baez,518934,Ball,null,null
FT,Pedro Baez,518934,"In play, out(s)",79.3,38.41
FF,Pedro Baez,571448,Called Strike,null,null
FF,Pedro Baez,571448,Called Strike,null,null
FF,Pedro Baez,571448,Swinging Strike,null,null
SL,Pedro Baez,457763,Ball,null,null
FF,Pedro Baez,457763,Foul,null,null
SL,Pedro Baez,457763,Ball,null,null
FF,Pedro Baez,457763,Ball,null,null
FF,Pedro Baez,457763,Foul,null,null
FF,Pedro Baez,457763,Foul,null,null
FF,Pedro Baez,457763,Foul,null,null
FF,Pedro Baez,457763,"In play, no out",95.1,12.05
FF,Pedro Baez,452254,Foul,null,null
FF,Pedro Baez,452254,"In play, out(s)",null,null
FF,Pedro Baez,452254,Ball,null,null
FF,Pedro Baez,452254,Foul Tip,null,null
FF,Pedro Baez,607776,Foul,null,null
FF,Pedro Baez,607776,Swinging Strike,null,null
SL,Pedro Baez,607776,Swinging Strike,null,null
FF,Pedro Baez,452254,Ball,null,null
FF,Pedro Baez,452254,"In play, out(s)",69.5,-19.63
FF,Pedro Baez,452254,Foul,null,null
SL,Pedro Baez,491676,Ball,null,null
FF,Pedro Baez,491676,Called Strike,null,null
FF,Pedro Baez,491676,Ball,null,null
FT,Pedro Baez,491676,Ball,null,null
FF,Pedro Baez,491676,"In play, out(s)",94.7,0.99
FF,Pedro Baez,592273,Ball,null,null
SL,Pedro Baez,592273,"In play, out(s)",96.6,4.33
SL,Pedro Baez,592273,Swinging Strike,null,null
SL,Pedro Baez,592273,Called Strike,null,null
FF,Pedro Baez,571745,Ball,null,null
FF,Pedro Baez,571745,Foul,null,null
CH,Pedro Baez,571745,Ball,null,null
FF,Pedro Baez,571745,Foul,null,null
FF,Pedro Baez,571745,Foul,null,null
FT,Pedro Baez,571745,Ball,null,null
SL,Pedro Baez,571745,Swinging Strike,null,null
CH,Pedro Baez,594838,Ball,null,null
FF,Pedro Baez,594838,"In play, no out",97.2,12.2
FF,Pedro Baez,516416,Called Strike,null,null
SL,Pedro Baez,516416,Ball,null,null
FF,Pedro Baez,516416,Ball,null,null
FF,Pedro Baez,516416,Swinging Strike,null,null
FF,Pedro Baez,516416,Foul,null,null
FF,Pedro Baez,594838,Called Strike,null,null
SL,Pedro Baez,594838,Ball,null,null
FF,Pedro Baez,594838,Called Strike,null,null
FF,Pedro Baez,594838,Called Strike,null,null
FF,Pedro Baez,594838,Foul,null,null
FT,Pedro Baez,516416,"In play, no out",90.5,19.36
SL,Pedro Baez,516416,Ball,null,null
FT,Pedro Baez,572008,"In play, out(s)",50,-12.4
FF,Pedro Baez,502671,Ball,null,null
FF,Pedro Baez,502671,Foul,null,null
SL,Pedro Baez,502671,Swinging Strike,null,null
FF,Pedro Baez,502671,Called Strike,null,null
FT,Pedro Baez,596142,Called Strike,null,null
FF,Pedro Baez,596142,"In play, out(s)",102.9,-8.75
CH,Pedro Baez,516770,Foul,null,null
SL,Pedro Baez,516770,"In play, no out",98.7,-11.7
FF,Pedro Baez,516770,Called Strike,null,null
FF,Pedro Baez,516770,Ball,null,null
CH,Pedro Baez,452104,Ball,null,null
FF,Pedro Baez,452104,Called Strike,null,null
FT,Pedro Baez,452104,Swinging Strike,null,null
FF,Pedro Baez,452104,Ball,null,null
FF,Pedro Baez,452104,Ball,null,null
FT,Pedro Baez,452104,Ball,null,null
FF,Pedro Baez,544369,Foul,null,null
FF,Pedro Baez,544369,Ball,null,null
FF,Pedro Baez,544369,"In play, out(s)",88.6,52.02
FT,Pedro Baez,516770,Foul,null,null
FT,Pedro Baez,516770,Foul,null,null
CH,Pedro Baez,516770,Ball,null,null
FF,Pedro Baez,516770,Swinging Strike,null,null
FF,Pedro Baez,592122,Ball,null,null
FF,Pedro Baez,592122,Foul Tip,null,null
FF,Pedro Baez,592122,Swinging Strike,null,null
FF,Pedro Baez,592122,Foul,null,null
FT,Pedro Baez,592122,Ball,null,null
FF,Pedro Baez,592122,Ball,null,null
SL,Pedro Baez,592450,Ball,null,null
FF,Pedro Baez,592450,Foul,null,null
FF,Pedro Baez,592450,Swinging Strike,null,null
FF,Pedro Baez,592450,Called Strike,null,null
FT,Pedro Baez,452104,Ball,null,null
FF,Pedro Baez,452104,Ball,null,null
FF,Pedro Baez,452104,"In play, out(s)",74.4,-7.9
CH,Pedro Baez,452104,Called Strike,null,null
