NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Wainwright,141,CU|CU,0.0602,1.511,0.1272,0.8464,0.0081,0.0509,0.1503,84.23571429,11.56290323,0.214953271,0.46728972,0.516129032,0.225806452,0.193548387,0.064516129
Cole Hamels,61,CU|CU,0.0633,1.6193,0.1216,0.8922,0.0055,0.0565,0.1363,90.43333333,14.75428571,0.275,0.475,0.428571429,0.142857143,0.428571429,0
Doug Fister,61,CU|CU,0.0575,1.8411,0.2131,1.0441,0.0069,0.0601,0.2041,85.08571429,17.61857143,0.25,0.46875,0.571428571,0.142857143,0.285714286,0
Jose Quintana,193,CU|CU,0.0652,1.5065,0.1188,0.8477,0.0061,0.0553,0.1402,87.155,3.619090909,0.28440367,0.541284404,0.590909091,0.272727273,0.136363636,0
Kevin Gausman,66,CU|CU,0.0776,1.3811,0.1449,0.7871,0.0076,0.0611,0.1841,92.61,14.626,0.323529412,0.558823529,0.2,0.5,0.3,0
Kevin Quackenbush,62,CU|CU,0.0883,1.7006,0.1667,0.9643,0.0064,0.0851,0.1728,87.06666667,4.076666667,0.239130435,0.434782609,0.444444444,0.333333333,0.222222222,0
Matt Barnes,60,CU|CU,0.0566,1.5853,0.1085,0.8993,0.0047,0.0509,0.1207,88.41428571,-0.64,0.275,0.375,0.571428571,0.285714286,0.142857143,0
Mike Fiers,109,CU|CU,0.0578,2.1831,0.1558,1.2093,0.0068,0.0699,0.1289,88.25,-4.102,0.285714286,0.489795918,0.6,0.1,0.3,0
Tyler Duffey,289,CU|CU,0.0797,1.4234,0.1367,0.8206,0.0078,0.0654,0.1666,94.88,4.9675,0.047058824,0.517647059,0.55,0.35,0.05,0.05
,,,,,,,,,,,,,,,,,
