PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up,PITCHES
Adam Wainwright,86,CU|FA,0.8026,1.7909,0.1765,1.1885,0.1036,0.954,0.1485,84.9,14.645,0.114285714,0.514285714,0.333333333,0.333333333,0.333333333,0
Clayton Kershaw,102,CU|FA,1.0449,2.0013,0.4806,1.069,0.1143,1.117,0.4496,86.96153846,13.94,0.130841121,0.420560748,0.444444444,0.222222222,0.333333333,0
Cole Hamels,72,CU|FA,0.7221,2.1565,0.3499,0.9467,0.0709,0.6836,0.3696,89.9375,2.07,0.066666667,0.466666667,0.444444444,0.333333333,0.222222222,0
Daniel Mengden,69,CU|FA,1.1019,2.155,0.2312,0.9032,0.1004,0.9952,0.256,84.86,2.39,0.083333333,0.5,0.4,0.6,0,0
Jon Lester,125,CU|FA,0.8271,2.0777,0.1606,0.9227,0.1013,0.7632,0.1741,86.18235294,15.32411765,0.101851852,0.481481481,0.294117647,0.470588235,0.235294118,0
Jose Berrios,74,CU|FA,0.636,1.6515,0.1508,0.9532,0.0653,0.6062,0.1582,87.0375,18.47636364,0.083333333,0.458333333,0.363636364,0.272727273,0.363636364,0
Jose Quintana,228,CU|FA,0.6832,1.8826,0.1658,0.9276,0.0788,0.6337,0.1788,86.22727273,27.98469388,0.124352332,0.414507772,0.306122449,0.163265306,0.448979592,0.081632653
Kevin Gausman,188,CU|FA,0.6677,1.7295,0.1846,0.8547,0.0757,0.5707,0.216,87.98181818,15.99588235,0.104477612,0.417910448,0.411764706,0.264705882,0.323529412,0
Kevin Quackenbush,182,CU|FA,0.8511,1.8703,0.1566,0.9332,0.0668,0.7943,0.1678,88.29583333,17.3576,0.096153846,0.423076923,0.36,0.28,0.36,0
Matt Barnes,139,CU|FA,0.755,2.0873,0.1219,0.9695,0.0701,0.7319,0.1258,87.29,13.98619048,0.174757282,0.533980583,0.428571429,0.285714286,0.238095238,0.047619048
Max Scherzer,175,CU|FA,0.5132,1.7835,0.4347,1.1808,0.0839,0.606,0.3681,82.61176471,18.65611111,0.142857143,0.581632653,0.277777778,0.277777778,0.444444444,0
Mike Fiers,143,CU|FA,0.9651,2.2856,0.4316,1.1325,0.0956,1.093,0.3811,91.888,14.8208,0.141732283,0.472440945,0.32,0.32,0.36,0
Pat Venditte,70,CU|FA,0.3277,1.6212,0.5545,1.0852,0.0743,0.3556,0.511,79.425,22.42,0.194029851,0.343283582,0.285714286,0.142857143,0.571428571,0
Ross Stripling,104,CU|FA,1.0257,2.0004,0.1926,0.8375,0.072,0.859,0.23,93.35333333,25.35095238,0.046153846,0.446153846,0.238095238,0.333333333,0.428571429,0
Tyler Duffey,184,CU|FA,0.6992,1.819,0.3304,0.9444,0.0541,0.6603,0.3499,86.03076923,7.84,0.06557377,0.475409836,0.4,0.2,0.4,0
Wei-Yin Chen,90,CU|FA,0.8067,1.9462,0.27,0.9826,0.0912,0.7926,0.2748,90.01666667,17.106875,0.148148148,0.518518519,0.4375,0.125,0.375,0.0625
,,,,,,,,,,,,,,,,,
