NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,186,FA|CH,0.2416,1.6897,0.1354,0.8782,0.0415,0.2122,0.1542,85.0625,18.68,0.2,0.515789474,0.36,0.2,0.36,0.08
Adam Warren,66,FA|CH,0.4226,1.6118,0.2072,0.8226,0.0395,0.3476,0.2519,90.7,18.96,0.344827586,0.75862069,0.5,0.25,0,0.25
Carlos Martinez,164,FA|CH,0.4232,1.5929,0.2151,0.7772,0.0422,0.3289,0.2768,85.40869565,3.827826087,0.211111111,0.477777778,0.652173913,0.173913043,0.173913043,0
Carlos Rodon,76,FA|CH,0.4096,1.6483,0.3558,0.8803,0.0478,0.3606,0.4042,88.3875,4.59375,0.172413793,0.344827586,0.625,0.125,0.25,0
Chris Sale,155,FA|CH,0.242,1.5011,0.2962,0.7937,0.0316,0.1921,0.3731,86.0547619,18.46826087,0.214723926,0.496932515,0.434782609,0.195652174,0.326086957,0.043478261
Cole Hamels,100,FA|CH,0.3406,1.832,0.1647,0.8618,0.0408,0.2935,0.1911,83.05,2.847222222,0.363636364,0.654545455,0.611111111,0.055555556,0.277777778,0.055555556
Daniel Mengden,73,FA|CH,0.4523,1.6074,0.1951,0.8694,0.0524,0.3932,0.2245,84.18571429,14.315,0.068965517,0.362068966,0.428571429,0.285714286,0.285714286,0
Danny Farquhar,101,FA|CH,0.3885,2.1112,0.209,0.97,0.0269,0.3768,0.2155,81.15,-13.06875,0.428571429,0.742857143,0.75,0,0.25,0
Jose Berrios,67,FA|CH,0.3921,1.6723,0.2932,0.8429,0.0416,0.3305,0.3478,80.01666667,12.07571429,0.095238095,0.476190476,0.428571429,0,0.428571429,0.142857143
Jose Quintana,88,FA|CH,0.2522,1.7969,0.1341,0.8567,0.0271,0.2161,0.1565,83.68333333,-4.011666667,0.111111111,0.472222222,0.666666667,0.166666667,0.166666667,0
Kyle Hendricks,111,FA|CH,0.3437,1.9565,0.1207,0.8601,0.0433,0.2956,0.1403,75.76666667,-5.14,0.666666667,0.777777778,0.666666667,0,0.333333333,0
Max Scherzer,247,FA|CH,0.423,1.7166,0.1875,0.8274,0.0417,0.35,0.2267,86.07878788,4.782972973,0.268292683,0.593495935,0.567567568,0.162162162,0.27027027,0
Mike Fiers,174,FA|CH,0.5061,1.5872,0.4393,0.7562,0.0353,0.3827,0.5809,91.01,9.463170732,0.268965517,0.517241379,0.512195122,0.292682927,0.170731707,0.024390244
Noah Syndergaard,67,FA|CH,0.3524,1.8194,0.3673,0.888,0.0339,0.3129,0.4137,87.93333333,7.187777778,0.333333333,0.666666667,0.444444444,0.444444444,0.111111111,0
Pedro Baez,81,FA|CH,0.2532,1.8536,0.1803,0.9497,0.0407,0.2405,0.1899,92.00833333,17.90692308,0.282608696,0.456521739,0.307692308,0.461538462,0.153846154,0.076923077
Ross Ohlendorf,94,FA|CH,0.224,1.6546,0.1447,0.8801,0.0362,0.1971,0.1644,88.13333333,11.37615385,0.227272727,0.431818182,0.461538462,0.153846154,0.384615385,0
Ross Stripling,61,FA|CH,0.3093,1.8002,0.2783,0.8692,0.0412,0.2689,0.3202,85.37272727,3.469230769,0.1875,0.46875,0.538461538,0.153846154,0.307692308,0
Wei-Yin Chen,67,FA|CH,0.292,1.5348,0.1515,0.7823,0.0338,0.2284,0.1937,88.20833333,22.61214286,0.139534884,0.325581395,0.357142857,0.142857143,0.428571429,0.071428571
,,,,,,,,,,,,,,,,,
