NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,693,FA|FA,0.0591,1.4316,0.1455,0.7915,0.0042,0.0468,0.1839,89.92911392,19.54047059,0.101098901,0.450549451,0.282352941,0.352941176,0.317647059,0.047058824
Adam Wainwright,82,FA|FA,0.0605,1.2452,0.164,0.7085,0.0063,0.0429,0.2314,82.37777778,11.82666667,0.075,0.275,0.444444444,0.111111111,0.444444444,0
Adam Warren,126,FA|FA,0.0459,1.3546,0.1276,0.7791,0.0027,0.0358,0.1638,90.27222222,30.69555556,0.116883117,0.493506494,0.277777778,0.111111111,0.5,0.111111111
Addison Reed,467,FA|FA,0.0573,1.1542,0.1196,0.6435,0.0031,0.0369,0.1859,90.42096774,19.86941176,0.117117117,0.48048048,0.308823529,0.279411765,0.382352941,0.029411765
Andrew Bailey,242,FA|FA,0.0623,1.3257,0.1554,0.7397,0.0028,0.0461,0.2101,91.22413793,22.41677419,0.167741935,0.55483871,0.290322581,0.225806452,0.483870968,0
Andrew Cashner,267,FA|FA,0.0573,1.329,0.1724,0.7715,0.0037,0.0442,0.2235,94.02786885,16.24275362,0.089219331,0.416356877,0.362318841,0.217391304,0.391304348,0.028985507
Andrew Miller,114,FA|FA,0.0727,1.3028,0.1434,0.7145,0.0045,0.0519,0.2007,97.36666667,6.361666667,0.06557377,0.426229508,0.666666667,0.166666667,0.166666667,0
Aroldis Chapman,485,FA|FA,0.0587,1.456,0.1525,0.8034,0.004,0.0472,0.1898,89.43409091,8.7175,0.259938838,0.675840979,0.590909091,0.136363636,0.227272727,0.045454545
Arquimedes Caminero,246,FA|FA,0.055,1.3689,0.176,0.7652,0.0045,0.0421,0.23,91.0575,10.63261905,0.16,0.508571429,0.5,0.214285714,0.285714286,0
Carlos Martinez,266,FA|FA,0.064,1.3067,0.1843,0.739,0.0045,0.0473,0.2494,85.81481481,16.8237037,0.087301587,0.5,0.444444444,0.185185185,0.37037037,0
Carlos Rodon,374,FA|FA,0.0563,1.3642,0.1398,0.7606,0.0051,0.0428,0.1838,89.84594595,19.51815789,0.095744681,0.441489362,0.315789474,0.315789474,0.342105263,0.026315789
Casey Fien,127,FA|FA,0.0623,1.2548,0.1505,0.7087,0.0029,0.0442,0.2124,84.05714286,28.07545455,0.136363636,0.579545455,0.181818182,0.272727273,0.454545455,0.090909091
Chad Kuhl,198,FA|FA,0.0597,1.4705,0.1547,0.8305,0.0032,0.0496,0.1863,88.63333333,28.52166667,0.142857143,0.380952381,0.166666667,0.166666667,0.666666667,0
Chris Beck,68,FA|FA,0.0857,1.2744,0.144,0.7101,0.0035,0.0609,0.2028,85.55714286,20.35142857,0.170212766,0.425531915,0.357142857,0.285714286,0.214285714,0.142857143
Chris Sale,531,FA|FA,0.0675,1.3751,0.1877,0.7707,0.0063,0.052,0.2436,91.98736842,15.76542857,0.168674699,0.52811245,0.438095238,0.171428571,0.333333333,0.057142857
Clayton Kershaw,319,FA|FA,0.0637,1.2588,0.1557,0.7038,0.0024,0.0448,0.2212,88.00980392,12.09280702,0.16730038,0.433460076,0.421052632,0.333333333,0.210526316,0.035087719
Cole Hamels,178,FA|FA,0.0494,1.2979,0.1341,0.7166,0.0031,0.0354,0.1871,87.94347826,15.67458333,0.13559322,0.508474576,0.5,0.125,0.375,0
Daniel Mengden,246,FA|FA,0.0613,1.268,0.1555,0.7059,0.0039,0.0433,0.2203,87.15,12.2975,0.116022099,0.502762431,0.4375,0.3125,0.25,0
Daniel Norris,265,FA|FA,0.0509,1.2373,0.1346,0.6977,0.0038,0.0355,0.1929,93.18888889,17.27944444,0.15,0.445833333,0.388888889,0.203703704,0.37037037,0.037037037
Danny Farquhar,74,FA|FA,0.0453,1.3471,0.1206,0.7431,0.0031,0.0336,0.1622,83.58888889,10.99555556,0.145833333,0.479166667,0.555555556,0.222222222,0.111111111,0.111111111
Edwin Jackson,184,FA|FA,0.063,1.4097,0.134,0.7826,0.0048,0.0493,0.1712,88.88823529,8.765192308,0.075268817,0.376344086,0.461538462,0.326923077,0.192307692,0.019230769
Heath Hembree,260,FA|FA,0.055,1.3275,0.1238,0.7365,0.0038,0.0405,0.1681,92.95,15.96533333,0.129032258,0.490322581,0.288888889,0.333333333,0.333333333,0.044444444
Homer Bailey,75,FA|FA,0.053,1.1537,0.1073,0.6461,0.0036,0.0343,0.166,92.46666667,6.523333333,0.119047619,0.5,0.5,0.5,0,0
J.T. Chargois,96,FA|FA,0.068,1.3365,0.1716,0.7421,0.003,0.0505,0.2312,89.96666667,4.265,0.142857143,0.523809524,0.666666667,0.166666667,0.166666667,0
Jeff Samardzija,153,FA|FA,0.0512,1.1755,0.122,0.6561,0.0037,0.0336,0.1859,90.17111111,6.253333333,0.095744681,0.478723404,0.466666667,0.177777778,0.355555556,0
Joe Kelly,205,FA|FA,0.0611,1.4164,0.1318,0.7944,0.0032,0.0485,0.1659,88.88125,11.11235294,0.243589744,0.525641026,0.529411765,0.235294118,0.235294118,0
Jon Lester,537,FA|FA,0.0428,1.3582,0.0889,0.763,0.0027,0.0326,0.1165,88.74805195,16.08197531,0.106796117,0.45631068,0.419753086,0.234567901,0.271604938,0.074074074
Jose Berrios,264,FA|FA,0.061,1.3923,0.1248,0.7796,0.0029,0.0475,0.1601,95.36153846,22.77785714,0.14084507,0.492957746,0.214285714,0.357142857,0.357142857,0.071428571
