NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Wainwright,108,FA|FC,0.3074,1.4681,0.1503,0.7613,0.0232,0.234,0.1974,86.11363636,21.45818182,0.137931034,0.465517241,0.409090909,0.227272727,0.272727273,0.090909091
Andrew Bailey,88,FA|FC,0.5935,1.5531,0.2898,0.784,0.037,0.4653,0.3696,91.48571429,7.806666667,0.176470588,0.450980392,0.6,0.266666667,0.133333333,0
Arquimedes Caminero,97,FA|FC,0.1755,1.4408,0.2251,0.772,0.0244,0.1355,0.2916,87.4,13.54785714,0.148148148,0.481481481,0.357142857,0.285714286,0.357142857,0
Casey Fien,109,FA|FC,0.3167,1.4022,0.3959,0.7424,0.0201,0.2351,0.5332,94.7,13.48666667,0.150943396,0.452830189,0.533333333,0.266666667,0.066666667,0.133333333
Cole Hamels,145,FA|FC,0.1832,1.6115,0.2341,0.7638,0.014,0.1399,0.3064,91.71111111,11.866,0.229166667,0.583333333,0.5,0.4,0.1,0
Jeff Samardzija,91,FA|FC,0.062,1.2603,0.1476,0.6691,0.0061,0.0415,0.2206,86.54117647,20.75117647,0.175675676,0.513513514,0.352941176,0.235294118,0.411764706,0
Jon Lester,294,FA|FC,0.187,1.4683,0.0897,0.7559,0.0142,0.1414,0.1187,88.18888889,13.00944444,0.234899329,0.563758389,0.416666667,0.25,0.333333333,0
Max Scherzer,79,FA|FC,0.1563,1.7941,0.202,0.8406,0.0248,0.1314,0.2403,93.2,18.445,0.470588235,0.882352941,0,1,0,0
Mike Fiers,101,FA|FC,0.2279,1.4838,0.2338,0.7881,0.0149,0.1796,0.2967,84.28,16.16904762,0.140625,0.484375,0.428571429,0.142857143,0.428571429,0
,,,,,,,,,,,,,,,,,
