NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,225,FA|SL,0.1994,1.5444,0.1638,0.7351,0.027,0.1466,0.2229,90.11666667,4.411290323,0.319327731,0.630252101,0.612903226,0.193548387,0.193548387,0
Adam Warren,102,FA|SL,0.3457,1.6264,0.1626,0.8089,0.0248,0.2797,0.201,84.45714286,13.865625,0.120689655,0.413793103,0.5,0.125,0.3125,0.0625
Addison Reed,166,FA|SL,0.4146,1.6908,0.207,0.7796,0.0282,0.3232,0.2656,91.99411765,6.725882353,0.360465116,0.674418605,0.647058824,0.117647059,0.176470588,0.058823529
Andrew Cashner,178,FA|SL,0.3334,1.7756,0.2113,0.8861,0.0319,0.2954,0.2385,87.76976744,3.920222222,0.25308642,0.50617284,0.577777778,0.288888889,0.133333333,0
Andrew Miller,225,FA|SL,0.5864,1.5926,0.466,0.7792,0.05,0.4569,0.5981,85.83809524,10.33,0.349206349,0.515873016,0.5,0.227272727,0.227272727,0.045454545
Aroldis Chapman,85,FA|SL,0.4044,1.5807,0.1519,0.8452,0.0507,0.3418,0.1797,92.22857143,16.68857143,0.283333333,0.516666667,0.285714286,0.285714286,0.428571429,0
Carlos Martinez,180,FA|SL,0.4393,1.6572,0.2037,0.9302,0.0533,0.4087,0.2189,83.72352941,16.56588235,0.214285714,0.5,0.294117647,0.411764706,0.294117647,0
Carlos Rodon,250,FA|SL,0.3114,1.6614,0.1698,0.8148,0.031,0.2538,0.2085,85.80434783,14.50608696,0.315789474,0.622807018,0.47826087,0.173913043,0.347826087,0
Chad Kuhl,113,FA|SL,0.2136,1.7815,0.2328,0.886,0.028,0.1893,0.2628,94.73333333,22.36,0.272727273,0.363636364,0,0.333333333,0.666666667,0
Chris Sale,347,FA|SL,0.4821,1.7214,0.1954,0.9256,0.0737,0.4462,0.2112,87.10943396,16.47963636,0.260700389,0.490272374,0.436363636,0.309090909,0.218181818,0.036363636
Clayton Kershaw,280,FA|SL,0.4439,1.4746,0.1523,0.7382,0.0221,0.3277,0.2064,86.93714286,7.28925,0.3125,0.604166667,0.55,0.175,0.275,0
Daniel Mengden,95,FA|SL,0.2797,1.6443,0.3574,0.9193,0.021,0.2571,0.3888,89.3,8.966,0.166666667,0.416666667,0.6,0.2,0.2,0
Daniel Norris,97,FA|SL,0.3852,1.8526,0.3223,0.7939,0.0272,0.3058,0.406,90.17857143,8.872857143,0.153846154,0.557692308,0.642857143,0,0.357142857,0
Edwin Jackson,110,FA|SL,0.4003,1.7298,0.1629,0.8531,0.0319,0.3415,0.191,89.2875,6.573333333,0.214285714,0.489795918,0.583333333,0.208333333,0.208333333,0
Heath Hembree,107,FA|SL,0.3825,1.664,0.1353,0.789,0.0261,0.3018,0.1715,86.51,6.284761905,0.243902439,0.475609756,0.523809524,0.238095238,0.19047619,0.047619048
Jeff Samardzija,86,FA|SL,0.2751,1.4965,0.1518,0.7806,0.0331,0.2148,0.1945,89.65517241,12.80275862,0.133333333,0.388888889,0.482758621,0.172413793,0.310344828,0.034482759
Leonel Campos,66,FA|SL,0.3357,1.7477,0.1483,0.9753,0.0327,0.3274,0.1521,79.775,-19.216,0.28125,0.5,1,0,0,0
Max Scherzer,314,FA|SL,0.3294,1.5583,0.2058,0.7837,0.0355,0.2582,0.2626,86.62926829,15.66833333,0.36637931,0.612068966,0.375,0.208333333,0.375,0.041666667
Nick Goody,112,FA|SL,0.5209,1.9328,0.2517,0.8803,0.045,0.4586,0.2859,86.44166667,13.63666667,0.426229508,0.704918033,0.333333333,0.416666667,0.25,0
Noah Syndergaard,151,FA|SL,0.4046,1.7648,0.1562,0.845,0.0297,0.3419,0.1849,88.45555556,2.838888889,0.361538462,0.607692308,0.62962963,0.222222222,0.148148148,0
Pedro Baez,63,FA|SL,0.3815,1.7917,0.1991,0.8177,0.0378,0.312,0.2435,83.84285714,-5.005714286,0.21875,0.40625,0.857142857,0.142857143,0,0
Ross Ohlendorf,90,FA|SL,0.5215,2.3308,0.3028,1.0163,0.0599,0.53,0.2979,91.57,12.102,0.326530612,0.571428571,0.6,0.3,0.1,0
Ross Stripling,110,FA|SL,0.3798,1.4736,0.4082,0.8034,0.0177,0.3051,0.5081,93.10952381,7.120434783,0.128571429,0.428571429,0.652173913,0.173913043,0.086956522,0.086956522
Tyler Chatwood,109,FA|SL,0.3236,1.7581,0.1726,0.8397,0.0273,0.2718,0.2056,105.95,9.49,0.25,0.5,1,0,0,0
Wei-Yin Chen,155,FA|SL,0.3449,1.5857,0.1149,0.759,0.0304,0.2618,0.1513,90.30454545,12.21521739,0.218390805,0.563218391,0.47826087,0.260869565,0.260869565,0
Zach Eflin,88,FA|SL,0.3883,1.8096,0.1602,0.8521,0.0435,0.3309,0.188,89.7625,10.31375,0.155555556,0.4,0.4375,0.375,0.1875,0
,,,,,,,,,,,,,,,,,
