NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Andrew Cashner,149,SI|FA,0.1506,1.4165,0.201,0.8174,0.0066,0.1231,0.2459,89.96,26.96,0.102941176,0.558823529,0.333333333,0,0.5,0.166666667
Carlos Martinez,132,SI|FA,0.2075,1.6357,0.2868,0.9012,0.0077,0.187,0.3182,93.68181818,23.32153846,0.091954023,0.482758621,0.307692308,0.384615385,0.230769231,0.076923077
Carlos Rodon,138,SI|FA,0.1686,1.3426,0.1549,0.7351,0.0055,0.124,0.2107,92.415,23.37333333,0.141304348,0.445652174,0.238095238,0.333333333,0.380952381,0.047619048
Cole Hamels,72,SI|FA,0.1668,1.6149,0.1763,0.8379,0.0035,0.1397,0.2104,85.07894737,24.99454545,0.11827957,0.35483871,0.409090909,0.090909091,0.363636364,0.136363636
Jeff Samardzija,77,SI|FA,0.1522,1.5054,0.1263,0.8064,0.0039,0.1228,0.1567,91.3,21.72111111,0.054054054,0.405405405,0.333333333,0.166666667,0.5,0
Jon Lester,95,SI|FA,0.2559,1.6191,0.1128,0.8198,0.0048,0.2098,0.1376,89.88571429,18.44391304,0.119266055,0.385321101,0.347826087,0.304347826,0.304347826,0.043478261
Jose Quintana,205,SI|FA,0.1394,1.5455,0.1221,0.8205,0.0029,0.1144,0.1488,87.73913043,16.7576,0.095890411,0.431506849,0.36,0.28,0.36,0
Kyle Hendricks,110,SI|FA,0.1962,1.6535,0.1833,0.8626,0.0046,0.1692,0.2125,90.5,6.51,0.214285714,0.714285714,1,0,0,0
Noah Syndergaard,129,SI|FA,0.1576,1.4415,0.1398,0.7362,0.0027,0.1161,0.1899,87.945,15.524,0.089108911,0.465346535,0.35,0.35,0.3,0
Tyler Chatwood,205,SI|FA,0.1217,1.7539,0.1377,0.8871,0.0039,0.108,0.1552,79.725,-0.012307692,0.081967213,0.426229508,0.692307692,0.153846154,0.153846154,0
Tyler Duffey,68,SI|FA,0.1824,1.629,0.2969,0.8604,0.0037,0.157,0.345,89.875,9.855,0.058823529,0.470588235,0.25,0.75,0,0
,,,,,,,,,,,,,,,,,
