NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Wainwright,170,SI|SI,0.0604,1.3694,0.1448,0.7786,0.0041,0.0471,0.186,93.77142857,6.182413793,0.070175439,0.315789474,0.517241379,0.275862069,0.206896552,0
Andrew Cashner,106,SI|SI,0.0529,1.2503,0.1826,0.73,0.0039,0.0386,0.2502,91.73636364,2.335833333,0.029411765,0.382352941,0.75,0.166666667,0,0.083333333
Carlos Martinez,220,SI|SI,0.0599,1.3815,0.1723,0.7787,0.0045,0.0467,0.2213,86.48,1.131714286,0.070422535,0.394366197,0.714285714,0.114285714,0.171428571,0
Carlos Rodon,149,SI|SI,0.065,1.269,0.1467,0.7079,0.0049,0.046,0.2072,92.50789474,7.315121951,0.082278481,0.455696203,0.512195122,0.341463415,0.146341463,0
Chad Kuhl,98,SI|SI,0.0606,1.3725,0.1397,0.7786,0.004,0.0472,0.1795,93.23673,19.55265,0,0.3072626,0.3877551,0.244898,0.2857143,0.08163265
Cole Hamels,148,SI|SI,0.0571,1.2782,0.1349,0.726,0.0027,0.0415,0.1859,89.27777778,4.047222222,0.155555556,0.444444444,0.555555556,0.314814815,0.12962963,0
Dillon Gee,200,SI|SI,0.0614,1.2671,0.113,0.7215,0.0028,0.0443,0.1566,90.67083333,17.39666667,0.06870229,0.427480916,0.296296296,0.259259259,0.444444444,0
Doug Fister,775,SI|SI,0.0607,1.4174,0.2333,0.8079,0.0037,0.049,0.2888,89.22317073,10.68414894,0.064724919,0.330097087,0.478723404,0.223404255,0.265957447,0.031914894
Jeanmar Gomez,313,SI|SI,0.0638,1.2774,0.1522,0.733,0.004,0.0468,0.2076,89.12153846,9.445571429,0.076576577,0.31981982,0.514285714,0.242857143,0.214285714,0.028571429
Jeff Samardzija,231,SI|SI,0.0566,1.2004,0.1177,0.6739,0.003,0.0381,0.1746,85.03333333,-4.143846154,0.162162162,0.5,0.769230769,0.076923077,0.153846154,0
Jose Quintana,168,SI|SI,0.0598,1.3849,0.1253,0.7746,0.003,0.0463,0.1618,89.96538462,16.52518519,0.095238095,0.457142857,0.37037037,0.296296296,0.333333333,0
Kyle Hendricks,534,SI|SI,0.065,1.1277,0.1185,0.6409,0.0026,0.0417,0.1849,89.25454545,3.886956522,0.044444444,0.311111111,0.565217391,0.304347826,0.130434783,0
Lucas Harrell,76,SI|SI,0.0705,1.3382,0.2408,0.7696,0.003,0.0542,0.313,91.53448276,7.549655172,0.057142857,0.352380952,0.551724138,0.379310345,0.068965517,0
Nate Jones,300,SI|SI,0.061,1.2646,0.1232,0.713,0.0024,0.0435,0.1728,92.53111111,15.11884615,0.120879121,0.505494505,0.423076923,0.25,0.25,0.076923077
Noah Syndergaard,258,SI|SI,0.0609,1.1038,0.1332,0.6238,0.0024,0.038,0.2135,94.11363636,-6.6596,0.078651685,0.438202247,0.84,0.12,0.04,0
Rob Scahill,93,SI|SI,0.0709,1.2416,0.1175,0.685,0.003,0.0486,0.1716,99.18,2.542,0.224489796,0.530612245,0.7,0.3,0,0
Tommy Layne,73,SI|SI,0.0759,1.2712,0.5307,0.8008,0.0058,0.0608,0.6627,81.04,4.57625,0.14,0.44,0.625,0.125,0.25,0
Tyler Chatwood,254,SI|SI,0.0587,1.3508,0.1238,0.7539,0.0031,0.0443,0.1642,88.70204082,8.145,0.074534161,0.385093168,0.58,0.1,0.26,0.06
Tyler Duffey,117,SI|SI,0.0578,1.2308,0.1679,0.7046,0.0038,0.0407,0.2383,99.7,18.16,0.2,0.6,0,1,0,0
,,,,,,,,,,,,,,,,,
