NAME,PITCHES,PITCH_SEQUENCE,Break:Tunnel,Plate Diff,Release Diff,Tunnel Differential,Flight Time Diff,Post-tunnel Break,Release:Tunnel,hit_speed_avg,hit_angle_avg,swinging.strike,strike.rate,ground,line_drive,fly_ball,pop_up
Adam Conley,69,SL|SL,0.055,1.2919,0.1202,0.7448,0.0051,0.0409,0.1613,93.7,22.96666667,0.36,0.74,0.333333333,0.333333333,0.166666667,0.166666667
Adam Warren,108,SL|SL,0.0878,1.1973,0.1218,0.6959,0.006,0.0611,0.175,89.35,19.361,0.210526316,0.543859649,0.3,0.3,0.3,0.1
Addison Reed,96,SL|SL,0.0877,1.095,0.1077,0.619,0.0045,0.0543,0.1739,77.06666667,7.552222222,0.291666667,0.583333333,0.555555556,0.222222222,0.222222222,0
Andrew Cashner,86,SL|SL,0.0717,1.4173,0.1227,0.8033,0.0051,0.0576,0.1528,87.92857143,9.905,0.307692308,0.582417582,0.5,0.214285714,0.285714286,0
Andrew Miller,291,SL|SL,0.0886,1.2131,0.1496,0.6745,0.0047,0.0597,0.2219,84.11818182,0.297575758,0.31441048,0.56768559,0.636363636,0.181818182,0.181818182,0
Carlos Martinez,163,SL|SL,0.095,1.4704,0.2005,0.8448,0.0071,0.0802,0.2374,84.37647059,7.620555556,0.28440367,0.458715596,0.5,0.166666667,0.333333333,0
Carlos Rodon,178,SL|SL,0.0975,1.4557,0.1695,0.8244,0.0086,0.0804,0.2056,91.56,11.85666667,0.286956522,0.582608696,0.533333333,0.333333333,0.066666667,0.066666667
Chad Kuhl,88,SL|SL,0.0633,1.362,0.1169,0.766,0.0049,0.0485,0.1526,87.51428571,12.82714286,0.339622642,0.566037736,0.428571429,0.142857143,0.428571429,0
Chris Sale,205,SL|SL,0.0803,1.4655,0.1786,0.8369,0.0106,0.0672,0.2134,85.72727273,14.37181818,0.182539683,0.515873016,0.363636364,0.272727273,0.363636364,0
Clayton Kershaw,169,SL|SL,0.115,1.2601,0.1298,0.7214,0.0058,0.0829,0.1799,93.0952381,7.60875,0.375,0.640625,0.625,0.208333333,0.125,0.041666667
Edwin Jackson,79,SL|SL,0.0598,1.3661,0.1189,0.7634,0.0057,0.0456,0.1557,89.4625,15.04,0.323529412,0.573529412,0.5,0.125,0.25,0.125
Jeff Samardzija,88,SL|SL,0.0704,1.1811,0.1291,0.6826,0.0064,0.0481,0.1891,87.50526316,11.98263158,0.22972973,0.486486486,0.315789474,0.368421053,0.315789474,0
Max Scherzer,176,SL|SL,0.0611,1.3517,0.1663,0.7736,0.0048,0.0473,0.2149,84.9,18.09923077,0.409090909,0.590909091,0.423076923,0.230769231,0.269230769,0.076923077
Nate Jones,138,SL|SL,0.0541,1.5185,0.1285,0.8673,0.0043,0.0469,0.1481,76.73333333,-2.358,0.363636364,0.590909091,0.7,0.1,0.2,0
Nick Goody,84,SL|SL,0.0527,1.5672,0.1305,0.8716,0.0032,0.0459,0.1498,90.75,17.71777778,0.203389831,0.406779661,0.444444444,0.222222222,0.333333333,0
Noah Syndergaard,135,SL|SL,0.0802,1.1644,0.1263,0.6632,0.0047,0.0532,0.1905,83.58,-1.804666667,0.428571429,0.654761905,0.6,0.333333333,0.066666667,0
Tyler Chatwood,155,SL|SL,0.0685,1.3786,0.1185,0.7766,0.0042,0.0532,0.1526,92.7,40.86,0,0,0,0,1,0
,,,,,,,,,,,,,,,,,
