"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Adam Warren",456422,"FF|SL","Strike","null","null"
"5","Adam Warren",456422,"FF|CU","Hit","59.7","-32.62"
"10","Adam Warren",592518,"FF|CU","Hit","null","null"
"11","Adam Warren",592518,"CU|FT","Strike","null","null"
"14","Adam Warren",506702,"SL|CU","Hit","85.6","-26.83"
"15","Adam Warren",506702,"CU|FF","Strike","null","null"
"19","Adam Warren",456030,"FF|SL","Strike","null","null"
"21","Adam Warren",593428,"SL|SL","Foul","null","null"
"25","Adam Warren",593428,"FF|CU","Hit","72.5","9.06"
"38","Adam Warren",430832,"FF|SL","Hit","71.5","-40.04"
"43","Adam Warren",431145,"SL|FF","Strike","null","null"
"47","Adam Warren",459431,"CH|SL","Hit","104.5","21.3"
"50","Adam Warren",429665,"FF|FF","Hit","86","-23.16"
"51","Adam Warren",429665,"FF|FF","Strike","null","null"
"52","Adam Warren",429665,"FF|FF","Foul","null","null"
"56","Adam Warren",485567,"SL|CU","Swinging Strike","null","null"
"58","Adam Warren",485567,"SL|SL","Strike","null","null"
"61","Adam Warren",581527,"SL|SL","Foul","null","null"
"63","Adam Warren",581527,"SL|FF","Foul","null","null"
"68","Adam Warren",459431,"FF|SL","Strike","null","null"
"69","Adam Warren",459431,"SL|SL","Foul","null","null"
"70","Adam Warren",459431,"SL|FF","Hit","75.6","13.76"
"76","Adam Warren",523253,"CU|FF","Strike","null","null"
"80","Adam Warren",446334,"SL|FF","Strike","null","null"
"81","Adam Warren",446334,"FF|FF","Foul","null","null"
"84","Adam Warren",543543,"FF|CU","Hit","104.4","24.44"
"86","Adam Warren",543543,"CU|FF","Foul","null","null"
"91","Adam Warren",595281,"SL|SL","Foul","null","null"
"92","Adam Warren",595281,"SL|SL","Strike","null","null"
"94","Adam Warren",595281,"FF|FF","Hit","81.8","-3.36"
"97","Adam Warren",434670,"FF|SL","Hit","110.7","-8"
"101","Adam Warren",506702,"CU|FF","Foul","null","null"
"103","Adam Warren",506702,"CU|CU","Strike","null","null"
"108","Adam Warren",643217,"CH|CU","Hit","95.6","32.27"
"109","Adam Warren",643217,"CU|CH","Strike","null","null"
"113","Adam Warren",456030,"SL|FF","Strike","null","null"
"115","Adam Warren",456030,"SL|FF","Hit","null","null"
"117","Adam Warren",543768,"CU|FF","Hit","91.9","-12.4"
"119","Adam Warren",605141,"SL|FF","Strike","null","null"
"120","Adam Warren",605141,"FF|SL","Hit","100.3","-26.2"
