"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"7","Andrew Cashner",150029,"FT|FF","Foul","null","null"
"8","Andrew Cashner",150029,"FF|FT","Hit","79.7","60.47"
"9","Andrew Cashner",150029,"FT|FF","Strike","null","null"
"13","Andrew Cashner",547180,"FF|FF","Strike","null","null"
"15","Andrew Cashner",547180,"FF|CH","Foul","null","null"
"17","Andrew Cashner",543685,"FT|SL","Hit","98.4","7.51"
"22","Andrew Cashner",452220,"FF|FF","Strike","null","null"
"23","Andrew Cashner",452220,"FF|FF","Hit","97.2","26.07"
"26","Andrew Cashner",519208,"FF|FF","Hit","91.8","-2.13"
"27","Andrew Cashner",519208,"FF|FF","Strike","null","null"
"28","Andrew Cashner",519208,"FF|SL","Foul","null","null"
"29","Andrew Cashner",519208,"SL|SL","Foul","null","null"
"36","Andrew Cashner",457787,"FF|FF","Hit","96.3","27.29"
"40","Andrew Cashner",519184,"CH|FF","Strike","null","null"
"42","Andrew Cashner",607208,"FF|FT","Strike","null","null"
"43","Andrew Cashner",607208,"FT|CH","Hit","99.5","16.41"
"45","Andrew Cashner",150029,"SL|FT","Strike","null","null"
"46","Andrew Cashner",150029,"FT|FF","Foul","null","null"
"47","Andrew Cashner",150029,"FF|FT","Strike","null","null"
"48","Andrew Cashner",150029,"FT|FF","Foul","null","null"
"51","Andrew Cashner",547180,"FF|FF","Strike","null","null"
"53","Andrew Cashner",547180,"FF|CH","Foul","null","null"
"57","Andrew Cashner",452220,"FF|FT","Foul","null","null"
"58","Andrew Cashner",452220,"FT|FF","Hit","102.2","30.14"
"60","Andrew Cashner",452220,"FF|FF","Strike","null","null"
"65","Andrew Cashner",457787,"FF|FF","Hit","88.5","65.22"
"70","Andrew Cashner",594694,"FF|FF","Foul","null","null"
"72","Andrew Cashner",594694,"FF|FF","Foul","null","null"
"79","Andrew Cashner",621020,"SL|SL","Strike","null","null"
"80","Andrew Cashner",621020,"SL|FF","Foul","null","null"
"82","Andrew Cashner",621020,"FF|SL","Foul","null","null"
"83","Andrew Cashner",621020,"SL|SL","Hit","null","null"
"85","Andrew Cashner",605538,"FF|CH","Strike","null","null"
"86","Andrew Cashner",605538,"CH|FF","Foul","null","null"
"89","Andrew Cashner",605538,"FF|FF","Foul","null","null"
"94","Andrew Cashner",611177,"FF|FF","Foul","null","null"
"95","Andrew Cashner",611177,"FF|SL","Hit","103.8","17.83"
"102","Andrew Cashner",461314,"SL|SL","Foul","null","null"
"105","Andrew Cashner",461314,"FF|FF","Foul","null","null"
"109","Andrew Cashner",455976,"FF|FF","Strike","null","null"
"110","Andrew Cashner",455976,"FF|SL","Strike","null","null"
"111","Andrew Cashner",455976,"SL|FF","Hit","75.7","40.62"
"113","Andrew Cashner",452095,"SL|SL","Foul","null","null"
"114","Andrew Cashner",452095,"SL|FF","Strike","null","null"
"118","Andrew Cashner",621020,"SL|FF","Foul","null","null"
"120","Andrew Cashner",621020,"FF|SL","Strike","null","null"
"121","Andrew Cashner",621020,"SL|FT","Strike","null","null"
"124","Andrew Cashner",542255,"FF|FF","Strike","null","null"
"125","Andrew Cashner",542255,"FF|FF","Foul","null","null"
"127","Andrew Cashner",542255,"FF|FF","Foul","null","null"
"130","Andrew Cashner",611177,"FF|FF","Strike","null","null"
"134","Andrew Cashner",518692,"FT|FF","Foul","null","null"
