"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Aroldis Chapman",541608,"FF|CH","Hit","null","null"
"3","Aroldis Chapman",541608,"CH|FF","Foul","null","null"
"5","Aroldis Chapman",573113,"FF|FF","Foul","null","null"
"7","Aroldis Chapman",573113,"CH|FF","Foul","null","null"
"10","Aroldis Chapman",573113,"FF|FF","Foul","null","null"
"11","Aroldis Chapman",573113,"FF|FF","Hit","80.8","23.71"
"15","Aroldis Chapman",606299,"SL|FF","Strike","null","null"
"18","Aroldis Chapman",474443,"FF|FF","Foul","null","null"
"19","Aroldis Chapman",474443,"FF|FF","Foul","null","null"
"21","Aroldis Chapman",474443,"FF|SL","Strike","null","null"
"22","Aroldis Chapman",474443,"SL|SL","Hit","null","null"
"26","Aroldis Chapman",458015,"FF|FF","Hit","null","null"
"27","Aroldis Chapman",458015,"FF|FF","Hit","null","null"
"29","Aroldis Chapman",624428,"FF|FF","Foul","null","null"
"30","Aroldis Chapman",624428,"FF|SL","Strike","null","null"
"32","Aroldis Chapman",624428,"FF|SL","Hit","null","null"
"35","Aroldis Chapman",465753,"CH|FF","Foul","null","null"
"37","Aroldis Chapman",465753,"FF|FF","Foul","null","null"
"38","Aroldis Chapman",465753,"FF|CH","Foul","null","null"
"39","Aroldis Chapman",465753,"CH|FF","Strike","null","null"
"41","Aroldis Chapman",457705,"CH|FF","Hit","null","null"
"42","Aroldis Chapman",457705,"FF|CH","Foul","null","null"
"46","Aroldis Chapman",444379,"SL|SL","Strike","null","null"
"47","Aroldis Chapman",444379,"SL|SL","Hit","null","null"
"50","Aroldis Chapman",605137,"FF|FF","Hit","null","null"
"51","Aroldis Chapman",605137,"FF|CH","Hit","null","null"
"55","Aroldis Chapman",595386,"SL|FF","Foul","null","null"
"56","Aroldis Chapman",595386,"FF|FF","Foul","null","null"
"57","Aroldis Chapman",595386,"FF|FF","Hit","null","null"
"58","Aroldis Chapman",595386,"FF|SL","Strike","null","null"
"61","Aroldis Chapman",425877,"FF|FF","Hit","93","-13.74"
"66","Aroldis Chapman",576397,"FF|FF","Hit","99.1","32.95"
"68","Aroldis Chapman",576397,"FF|FF","Strike","null","null"
"74","Aroldis Chapman",500874,"FF|FF","Strike","null","null"
"75","Aroldis Chapman",500874,"FF|FF","Strike","null","null"
"76","Aroldis Chapman",500874,"FF|FF","Foul","null","null"
"77","Aroldis Chapman",500874,"FF|FF","Foul","null","null"
"78","Aroldis Chapman",500874,"FF|FF","Foul","null","null"
"79","Aroldis Chapman",500874,"FF|SL","Strike","null","null"
"85","Aroldis Chapman",573113,"FF|FF","Hit","null","null"
