"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"3","Cesar Vargas",516416,"FF|SL","Swinging Strike","null","null"
"7","Cesar Vargas",456422,"FF|FF","Strike","null","null"
"10","Cesar Vargas",502671,"FF|FF","Hit","70.1","32.03"
"13","Cesar Vargas",571875,"FF|FF","Strike","null","null"
"14","Cesar Vargas",571875,"FF|FF","Hit","103.6","10.42"
"16","Cesar Vargas",456078,"FF|FF","Swinging Strike","null","null"
"17","Cesar Vargas",456078,"FF|CU","Hit","null","null"
"19","Cesar Vargas",592273,"FF|FF","Hit","81.9","4.03"
"22","Cesar Vargas",572008,"CU|FF","Hit","73.1","34.16"
"25","Cesar Vargas",425844,"FF|FF","Foul","null","null"
"26","Cesar Vargas",425844,"FF|SL","Hit","88.8","3.52"
"28","Cesar Vargas",605113,"SL|FF","Foul","null","null"
"30","Cesar Vargas",605113,"SL|FF","Foul","null","null"
"31","Cesar Vargas",605113,"FF|SL","Foul","null","null"
"33","Cesar Vargas",605113,"FF|SL","Foul","null","null"
"36","Cesar Vargas",516416,"SL|FF","Swinging Strike","null","null"
"37","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"39","Cesar Vargas",516416,"SL|FF","Foul","null","null"
"41","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"42","Cesar Vargas",516416,"FF|FF","Foul","null","null"
"43","Cesar Vargas",516416,"FF|FF","Hit","74.4","38.23"
"47","Cesar Vargas",456422,"FF|CH","Foul","null","null"
"48","Cesar Vargas",456422,"CH|FF","Hit","95.3","10.4"
"50","Cesar Vargas",502671,"FF|FF","Hit","106.8","30.54"
"53","Cesar Vargas",571875,"FT|FF","Swinging Strike","null","null"
"54","Cesar Vargas",571875,"FF|FF","Foul","null","null"
"56","Cesar Vargas",571875,"SL|FF","Foul","null","null"
"58","Cesar Vargas",571875,"FT|FT","Foul","null","null"
"59","Cesar Vargas",571875,"FT|FF","Foul","null","null"
"60","Cesar Vargas",571875,"FF|FF","Foul","null","null"
"61","Cesar Vargas",571875,"FF|FF","Hit","86.9","-4.56"
"63","Cesar Vargas",592626,"SL|SL","Strike","null","null"
"64","Cesar Vargas",592626,"SL|FF","Hit","89.2","-20.45"
"66","Cesar Vargas",624577,"CH|FF","Strike","null","null"
"68","Cesar Vargas",624577,"CH|FF","Hit","81.3","-5.64"
"71","Cesar Vargas",457759,"FF|FF","Strike","null","null"
"72","Cesar Vargas",457759,"FF|FF","Swinging Strike","null","null"
"73","Cesar Vargas",457759,"FF|FF","Strike","null","null"
"77","Cesar Vargas",572204,"FF|FF","Strike","null","null"
"82","Cesar Vargas",624577,"FF|FF","Foul","null","null"
"83","Cesar Vargas",624577,"FF|FF","Strike","null","null"
"85","Cesar Vargas",518735,"FF|SL","Strike","null","null"
"87","Cesar Vargas",518735,"CU|FF","Foul","null","null"
"88","Cesar Vargas",518735,"FF|SL","Hit","null","null"
"93","Cesar Vargas",400284,"FC|FF","Foul","null","null"
"96","Cesar Vargas",400284,"FC|FF","Strike","null","null"
"97","Cesar Vargas",400284,"FF|FF","Strike","null","null"
"99","Cesar Vargas",608369,"FF|FF","Hit","107.4","5.74"
"100","Cesar Vargas",608369,"FF|FF","Foul","null","null"
"106","Cesar Vargas",408236,"SL|FC","Foul","null","null"
"107","Cesar Vargas",408236,"FC|SL","Strike","null","null"
"109","Cesar Vargas",408236,"SL|FF","Swinging Strike","null","null"
"112","Cesar Vargas",624577,"FC|FC","Foul","null","null"
"113","Cesar Vargas",624577,"FC|FF","Foul","null","null"
"114","Cesar Vargas",624577,"FF|FC","Foul","null","null"
"117","Cesar Vargas",624577,"FC|FF","Hit","99.2","22.55"
"120","Cesar Vargas",518735,"FC|FF","Foul","null","null"
