"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Chad Kuhl",572761,"SI|SI","Foul","null","null"
"3","Chad Kuhl",572761,"SI|SL","Swinging Strike","null","null"
"4","Chad Kuhl",572761,"SL|SI","Strike","null","null"
"8","Chad Kuhl",425877,"SI|SL","Strike","null","null"
"10","Chad Kuhl",572039,"SI|SI","Foul","null","null"
"11","Chad Kuhl",572039,"SI|SI","Foul","null","null"
"13","Chad Kuhl",572039,"FF|SI","Swinging Strike","null","null"
"15","Chad Kuhl",572039,"FF|SL","Swinging Strike","null","null"
"18","Chad Kuhl",425509,"SI|SI","Foul","null","null"
"19","Chad Kuhl",425509,"SI|SI","Foul","null","null"
"20","Chad Kuhl",425509,"SI|SI","Strike","null","null"
"22","Chad Kuhl",425509,"FF|FF","Swinging Strike","null","null"
"24","Chad Kuhl",461235,"SI|SI","Hit","99.2","48.74"
"29","Chad Kuhl",576397,"SI|SI","Hit","101.6","15.03"
"32","Chad Kuhl",545341,"SI|FF","Strike","null","null"
"33","Chad Kuhl",545341,"FF|FF","Hit","74.7","25.98"
"36","Chad Kuhl",571431,"SI|SI","Hit","88.2","68.11"
"38","Chad Kuhl",649557,"SL|SL","Hit","84.4","26.82"
"47","Chad Kuhl",576397,"SI|SL","Swinging Strike","null","null"
"48","Chad Kuhl",576397,"SL|FF","Swinging Strike","null","null"
"51","Chad Kuhl",545341,"SI|SI","Swinging Strike","null","null"
"52","Chad Kuhl",545341,"SI|SI","Swinging Strike","null","null"
"59","Chad Kuhl",425877,"SI|FF","Strike","null","null"
"61","Chad Kuhl",425877,"FF|SI","Strike","null","null"
"62","Chad Kuhl",425877,"SI|SL","Foul","null","null"
"64","Chad Kuhl",461235,"SI|SI","Foul","null","null"
"66","Chad Kuhl",649557,"SI|SI","Hit","null","null"
"67","Chad Kuhl",649557,"SI|FF","Foul","null","null"
"71","Chad Kuhl",572761,"CH|SI","Swinging Strike","null","null"
"74","Chad Kuhl",572761,"FF|SI","Hit","79.4","-34.77"
"76","Chad Kuhl",572039,"SI|SL","Hit","91.8","61.34"
"77","Chad Kuhl",572039,"SL|SL","Swinging Strike","null","null"
"79","Chad Kuhl",425877,"SI|SI","Hit","null","null"
"86","Chad Kuhl",458085,"SI|SI","Strike","null","null"
"88","Chad Kuhl",592178,"SI|SI","Foul","null","null"
"90","Chad Kuhl",519203,"SI|SI","Swinging Strike","null","null"
"91","Chad Kuhl",519203,"SI|SI","Foul","null","null"
"92","Chad Kuhl",519203,"SI|SI","Hit","null","null"
"101","Chad Kuhl",518792,"SI|FF","Foul","null","null"
"104","Chad Kuhl",608365,"SI|SL","Foul","null","null"
"105","Chad Kuhl",608365,"SL|SL","Hit","null","null"
"106","Chad Kuhl",608365,"SL|SL","Strike","null","null"
"108","Chad Kuhl",546991,"SI|SI","Foul","null","null"
"110","Chad Kuhl",546991,"SI|SL","Swinging Strike","null","null"
"111","Chad Kuhl",546991,"SL|SI","Strike","null","null"
"114","Chad Kuhl",543294,"SI|SI","Swinging Strike","null","null"
"115","Chad Kuhl",543294,"SI|SI","Hit","null","null"
"118","Chad Kuhl",458085,"CH|CH","Strike","null","null"
"120","Chad Kuhl",592178,"SL|SI","Swinging Strike","null","null"
"121","Chad Kuhl",592178,"SI|SL","Strike","null","null"
"126","Chad Kuhl",575929,"SI|SL","Foul","null","null"
"128","Chad Kuhl",575929,"SI|CH","Swinging Strike","null","null"
"129","Chad Kuhl",575929,"CH|SL","Swinging Strike","null","null"
"132","Chad Kuhl",518792,"SI|CH","Foul","null","null"
"134","Chad Kuhl",518792,"SI|SI","Hit","null","null"
"135","Chad Kuhl",518792,"SI|SI","Strike","null","null"
"141","Chad Kuhl",595879,"SI|SI","Hit","null","null"
"142","Chad Kuhl",595879,"SI|SI","Strike","null","null"
"145","Chad Kuhl",458085,"SI|SI","Strike","null","null"
"146","Chad Kuhl",458085,"SI|SI","Foul","null","null"
"147","Chad Kuhl",458085,"SI|SL","Hit","null","null"
"150","Chad Kuhl",592178,"SL|CH","Hit","null","null"
"152","Chad Kuhl",592178,"SI|SL","Strike","null","null"
"154","Chad Kuhl",595879,"SL|SI","Foul","null","null"
"155","Chad Kuhl",595879,"SI|CH","Foul","null","null"
"156","Chad Kuhl",595879,"CH|CH","Foul","null","null"
"158","Chad Kuhl",595879,"SL|SI","Foul","null","null"
"159","Chad Kuhl",595879,"SI|SI","Hit","null","null"
"161","Chad Kuhl",595879,"SL|SL","Foul","null","null"
"162","Chad Kuhl",595879,"SL|SI","Foul","null","null"
