"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Chris Sale",593871,"CH|CH","Strike","null","null"
"4","Chris Sale",593871,"CH|FT","Hit","94.5","49.69"
"7","Chris Sale",543257,"CH|SL","Strike","null","null"
"8","Chris Sale",543257,"SL|FT","Strike","null","null"
"10","Chris Sale",543257,"SL|FT","Foul","null","null"
"15","Chris Sale",593934,"CH|FT","Swinging Strike","null","null"
"18","Chris Sale",573627,"SL|FT","Strike","null","null"
"19","Chris Sale",573627,"FT|FT","Strike","null","null"
"21","Chris Sale",596146,"SL|SL","Foul","null","null"
"22","Chris Sale",596146,"SL|FT","Strike","null","null"
"24","Chris Sale",596146,"FT|SL","Strike","null","null"
"28","Chris Sale",571974,"CH|FT","Strike","null","null"
"34","Chris Sale",543257,"FT|FT","Foul","null","null"
"36","Chris Sale",543257,"SL|SL","Hit","74.4","-7.18"
"37","Chris Sale",543257,"SL|SL","Foul","null","null"
"42","Chris Sale",593934,"FT|CH","Swinging Strike","null","null"
"44","Chris Sale",593934,"FT|CH","Hit","102.9","29.4"
"46","Chris Sale",573627,"SL|FT","Hit","116.4","-6.87"
"49","Chris Sale",596146,"FT|FT","Foul","null","null"
"50","Chris Sale",596146,"FT|SL","Hit","60.7","29.21"
"52","Chris Sale",500871,"SL|SL","Foul","null","null"
"55","Chris Sale",500871,"FT|CH","Hit","101.2","44.66"
"57","Chris Sale",500871,"FT|CH","Swinging Strike","null","null"
"63","Chris Sale",502582,"SL|FT","Foul","null","null"
"64","Chris Sale",502582,"FT|SL","Swinging Strike","null","null"
"66","Chris Sale",621439,"FT|FT","Hit","85.6","-25.52"
"69","Chris Sale",593871,"FT|CH","Swinging Strike","null","null"
"70","Chris Sale",593871,"CH|FT","Strike","null","null"
"71","Chris Sale",593871,"FT|CH","Foul","null","null"
"72","Chris Sale",593871,"CH|SL","Foul","null","null"
"75","Chris Sale",543257,"FT|FT","Hit","80.2","-15.59"
"76","Chris Sale",543257,"FT|CH","Strike","null","null"
"79","Chris Sale",593934,"FT|FT","Swinging Strike","null","null"
"80","Chris Sale",593934,"FT|SL","Strike","null","null"
"84","Chris Sale",593934,"FT|FT","Foul","null","null"
"87","Chris Sale",500871,"FT|FT","Foul","null","null"
"88","Chris Sale",500871,"FT|SL","Hit","72.3","2.02"
"90","Chris Sale",621439,"FT|SL","Hit","96.6","9.71"
"91","Chris Sale",621439,"SL|CH","Strike","null","null"
"93","Chris Sale",523253,"FT|FT","Strike","null","null"
"94","Chris Sale",523253,"FT|CH","Strike","null","null"
"97","Chris Sale",572816,"FT|FT","Foul","null","null"
"99","Chris Sale",446334,"FT|FT","Foul","null","null"
"100","Chris Sale",446334,"FT|FT","Hit","76.6","43.51"
"102","Chris Sale",446334,"FT|CH","Foul","null","null"
"104","Chris Sale",543543,"CH|FT","Hit","97.5","-11.68"
"106","Chris Sale",572128,"CH|SL","Hit","81.4","8.09"
"107","Chris Sale",572128,"SL|FT","Strike","null","null"
"110","Chris Sale",578570,"FT|SL","Foul","null","null"
"112","Chris Sale",578570,"FT|CH","Foul","null","null"
"113","Chris Sale",578570,"CH|FT","Strike","null","null"
"114","Chris Sale",578570,"FT|FT","Hit","81.6","58.04"
"116","Chris Sale",523253,"FT|SL","Foul","null","null"
"117","Chris Sale",523253,"SL|CH","Strike","null","null"
"118","Chris Sale",523253,"CH|SL","Foul","null","null"
"119","Chris Sale",523253,"SL|FT","Foul","null","null"
"123","Chris Sale",572816,"FT|FT","Strike","null","null"
"124","Chris Sale",572816,"FT|SL","Hit","68.8","24.92"
"126","Chris Sale",446334,"FT|FT","Foul","null","null"
"127","Chris Sale",446334,"FT|CH","Foul","null","null"
"129","Chris Sale",543543,"FT|FT","Hit","null","null"
"132","Chris Sale",543484,"CH|CH","Hit","91.4","30.73"
"134","Chris Sale",543484,"CH|FT","Strike","null","null"
"137","Chris Sale",493351,"CH|CH","Foul","null","null"
"141","Chris Sale",578570,"FT|CH","Swinging Strike","null","null"
"142","Chris Sale",578570,"CH|CH","Strike","null","null"
"146","Chris Sale",446334,"FT|CH","Swinging Strike","null","null"
"148","Chris Sale",543543,"SL|FT","Strike","null","null"
"149","Chris Sale",543543,"FT|SL","Strike","null","null"
"153","Chris Sale",592200,"SL|SL","Strike","null","null"
"155","Chris Sale",592200,"CH|CH","Strike","null","null"
"158","Chris Sale",493351,"FT|SL","Strike","null","null"
"159","Chris Sale",493351,"SL|FT","Hit","82.9","3.06"
"161","Chris Sale",572128,"CH|CH","Swinging Strike","null","null"
"162","Chris Sale",572128,"CH|SL","Swinging Strike","null","null"
"163","Chris Sale",572128,"SL|CH","Strike","null","null"
"166","Chris Sale",578570,"CH|FT","Foul","null","null"
"167","Chris Sale",578570,"FT|FT","Foul","null","null"
"168","Chris Sale",578570,"FT|SL","Swinging Strike","null","null"
"171","Chris Sale",523253,"CH|SL","Hit","84.4","-0.93"
"173","Chris Sale",572816,"SL|FT","Strike","null","null"
"176","Chris Sale",571912,"SL|CH","Hit","95.9","21.5"
"177","Chris Sale",571912,"CH|FT","Strike","null","null"
"180","Chris Sale",523253,"FT|SL","Hit","93.1","1.01"
"181","Chris Sale",523253,"SL|FT","Strike","null","null"
"183","Chris Sale",592200,"CH|FT","Hit","76.5","-21.84"
"186","Chris Sale",543484,"CH|CH","Foul","null","null"
"188","Chris Sale",543484,"FT|FT","Hit","97.3","4.06"
"191","Chris Sale",543484,"CH|CH","Foul","null","null"
"193","Chris Sale",493351,"FT|CH","Hit","70.2","15.74"
"195","Chris Sale",514917,"FT|FT","Strike","null","null"
"196","Chris Sale",514917,"FT|FT","Hit","104.7","-0.44"
"199","Chris Sale",596451,"SL|FT","Swinging Strike","null","null"
"200","Chris Sale",596451,"FT|FT","Foul","null","null"
"202","Chris Sale",596748,"FT|CH","Foul","null","null"
"209","Chris Sale",520471,"FT|SL","Foul","null","null"
"210","Chris Sale",520471,"SL|CH","Swinging Strike","null","null"
"212","Chris Sale",520471,"FT|FT","Foul","null","null"
"215","Chris Sale",571437,"FT|FT","Swinging Strike","null","null"
"217","Chris Sale",595963,"CH|CH","Strike","null","null"
"218","Chris Sale",595963,"CH|CH","Hit","null","null"
"220","Chris Sale",595191,"SL|FT","Hit","85","49.65"
"221","Chris Sale",595191,"FT|FT","Strike","null","null"
"223","Chris Sale",514917,"FT|FT","Swinging Strike","null","null"
"225","Chris Sale",514917,"FT|SL","Foul","null","null"
"228","Chris Sale",596451,"null|CH","Foul","null","null"
"230","Chris Sale",596748,"SL|SL","Hit","null","null"
"231","Chris Sale",596748,"SL|FT","Foul","null","null"
"233","Chris Sale",519237,"CH|CH","Hit","97.5","-6"
"237","Chris Sale",520471,"FT|CH","Hit","73.3","24.14"
"240","Chris Sale",571437,"FT|FT","Foul","null","null"
"242","Chris Sale",571437,"CH|FT","Strike","null","null"
"243","Chris Sale",571437,"FT|CH","Swinging Strike","null","null"
"245","Chris Sale",571437,"SL|FT","Swinging Strike","null","null"
"248","Chris Sale",595191,"FT|CH","Foul","null","null"
"251","Chris Sale",514917,"CH|CH","Hit","99.8","11.75"
"253","Chris Sale",596451,"SL|CH","Foul","null","null"
"256","Chris Sale",596451,"null|SL","Strike","null","null"
"258","Chris Sale",596748,"CH|SL","Hit","101.8","7.25"
"262","Chris Sale",571830,"FT|SL","Hit","105.9","20.45"
"267","Chris Sale",593160,"FT|CH","Strike","null","null"
"268","Chris Sale",593160,"CH|FT","Strike","null","null"
"271","Chris Sale",543333,"FT|FT","Strike","null","null"
"272","Chris Sale",543333,"FT|FT","Hit","110.8","-19.85"
"274","Chris Sale",434778,"CH|SL","Foul","null","null"
"276","Chris Sale",434778,"CH|CH","Strike","null","null"
"277","Chris Sale",434778,"CH|FT","Foul","null","null"
"278","Chris Sale",434778,"FT|SL","Swinging Strike","null","null"
"280","Chris Sale",521692,"SL|FT","Strike","null","null"
"281","Chris Sale",521692,"FT|FT","Hit","95.1","36.84"
"283","Chris Sale",444876,"FT|FT","Hit","93.6","24.47"
"284","Chris Sale",444876,"FT|CH","Foul","null","null"
"285","Chris Sale",444876,"CH|CH","Foul","null","null"
"286","Chris Sale",444876,"CH|SL","Foul","null","null"
"291","Chris Sale",641531,"SL|FT","Foul","null","null"
"292","Chris Sale",641531,"FT|FT","Foul","null","null"
"294","Chris Sale",641531,"FT|FT","Swinging Strike","null","null"
"298","Chris Sale",518568,"FT|FT","Hit","96.9","-9.64"
"300","Chris Sale",542993,"SL|FT","Strike","null","null"
"301","Chris Sale",542993,"FT|SL","Strike","null","null"
"304","Chris Sale",593160,"FT|CH","Swinging Strike","null","null"
"306","Chris Sale",434778,"CH|SL","Swinging Strike","null","null"
"307","Chris Sale",434778,"SL|SL","Strike","null","null"
"309","Chris Sale",521692,"FT|CH","Foul","null","null"
"310","Chris Sale",521692,"CH|SL","Foul","null","null"
"311","Chris Sale",521692,"SL|FT","Hit","96.2","-3.87"
"313","Chris Sale",444876,"SL|FT","Strike","null","null"
"314","Chris Sale",444876,"FT|SL","Foul","null","null"
"316","Chris Sale",444876,"SL|FT","Foul","null","null"
"320","Chris Sale",518568,"FT|FT","Hit","94.7","22.84"
"321","Chris Sale",518568,"FT|FT","Strike","null","null"
"322","Chris Sale",518568,"FT|CH","Foul","null","null"
"327","Chris Sale",543333,"FT|SL","Swinging Strike","null","null"
"328","Chris Sale",543333,"SL|SL","Foul","null","null"
"329","Chris Sale",543333,"SL|SL","Foul","null","null"
"334","Chris Sale",444876,"CH|FT","Foul","null","null"
"335","Chris Sale",444876,"FT|FT","Hit","null","null"
"337","Chris Sale",641531,"SL|SL","Strike","null","null"
"338","Chris Sale",641531,"SL|FT","Foul","null","null"
"342","Chris Sale",518568,"SL|SL","Hit","76.3","-29.52"
"344","Chris Sale",518568,"CH|FT","Foul","null","null"
"353","Chris Sale",543333,"SL|FT","Hit","94.1","21.05"
"355","Chris Sale",434778,"FT|CH","Hit","89.6","56.66"
"358","Chris Sale",444876,"SL|FT","Swinging Strike","null","null"
"361","Chris Sale",444876,"FT|CH","Strike","null","null"
"362","Chris Sale",444876,"CH|FT","Foul","null","null"
"365","Chris Sale",596144,"FT|FT","Swinging Strike","null","null"
"366","Chris Sale",596144,"FT|CH","Strike","null","null"
"368","Chris Sale",449181,"FT|FT","Foul","null","null"
"369","Chris Sale",449181,"FT|FT","Swinging Strike","null","null"
"372","Chris Sale",449181,"FT|FT","Foul","null","null"
"373","Chris Sale",449181,"FT|FT","Foul","null","null"
"376","Chris Sale",543333,"FT|SL","Hit","93.3","-19.22"
"378","Chris Sale",596144,"CH|FT","Hit","null","null"
"380","Chris Sale",596144,"FT|FT","Strike","null","null"
"383","Chris Sale",596144,"CH|CH","Hit","86.8","4.81"
"384","Chris Sale",596144,"CH|FT","Foul","null","null"
"386","Chris Sale",593160,"SL|FT","Swinging Strike","null","null"
"387","Chris Sale",593160,"FT|FT","Strike","null","null"
"388","Chris Sale",593160,"FT|FT","Foul","null","null"
"390","Chris Sale",449181,"FT|FT","Foul","null","null"
"394","Chris Sale",449181,"CH|FT","Swinging Strike","null","null"
"396","Chris Sale",543333,"SL|SL","Strike","null","null"
"398","Chris Sale",543333,"SL|FT","Strike","null","null"
"401","Chris Sale",521692,"FT|FT","Strike","null","null"
"402","Chris Sale",521692,"FT|CH","Strike","null","null"
"404","Chris Sale",521692,"CH|CH","Foul","null","null"
"406","Chris Sale",460086,"FT|FT","Strike","null","null"
"408","Chris Sale",460086,"FT|SL","Swinging Strike","null","null"
"410","Chris Sale",596144,"FT|CH","Swinging Strike","null","null"
"411","Chris Sale",596144,"CH|FT","Hit","89.5","64.02"
"413","Chris Sale",444876,"FT|SL","Swinging Strike","null","null"
"414","Chris Sale",444876,"SL|FT","Strike","null","null"
"415","Chris Sale",444876,"FT|SL","Foul","null","null"
"417","Chris Sale",518568,"FT|FT","Swinging Strike","null","null"
"418","Chris Sale",518568,"FT|FT","Foul","null","null"
"420","Chris Sale",593160,"FT|FT","Hit","98.4","-0.75"
"422","Chris Sale",543333,"SL|FT","Foul","null","null"
"425","Chris Sale",543333,"SL|FT","Strike","null","null"
"427","Chris Sale",543333,"CH|FT","Strike","null","null"
"430","Chris Sale",521692,"SL|FT","Strike","null","null"
"431","Chris Sale",521692,"FT|FT","Foul","null","null"
"432","Chris Sale",521692,"FT|CH","Hit","98.2","31.45"
"434","Chris Sale",460086,"SL|FT","Swinging Strike","null","null"
"435","Chris Sale",460086,"FT|SL","Strike","null","null"
"436","Chris Sale",460086,"SL|SL","Swinging Strike","null","null"
"438","Chris Sale",596144,"FT|CH","Hit","99.5","4.18"
