"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Clayton Kershaw",491676,"SL|CU","Swinging Strike","null","null"
"3","Clayton Kershaw",491676,"CU|FF","Strike","null","null"
"4","Clayton Kershaw",491676,"FF|SL","Foul","null","null"
"6","Clayton Kershaw",474832,"SL|FF","Strike","null","null"
"9","Clayton Kershaw",452254,"SL|FF","Foul","null","null"
"12","Clayton Kershaw",452254,"FF|CU","Swinging Strike","null","null"
"15","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"17","Clayton Kershaw",474832,"SL|FF","Foul","null","null"
"21","Clayton Kershaw",434636,"SL|FF","Hit","95.2","26.36"
"22","Clayton Kershaw",434636,"FF|FF","Strike","null","null"
"24","Clayton Kershaw",493596,"CU|FF","Strike","null","null"
"25","Clayton Kershaw",493596,"FF|SL","Strike","null","null"
"27","Clayton Kershaw",621389,"FF|FF","Strike","null","null"
"28","Clayton Kershaw",621389,"FF|FF","Hit","88.1","15.5"
"31","Clayton Kershaw",491676,"SL|FF","Foul","null","null"
"32","Clayton Kershaw",491676,"FF|FF","Swinging Strike","null","null"
"33","Clayton Kershaw",491676,"FF|CU","Hit","65.6","4.7"
"36","Clayton Kershaw",474832,"FF|CH","Hit","94.2","49.24"
"37","Clayton Kershaw",474832,"CH|FF","Foul","null","null"
"38","Clayton Kershaw",474832,"FF|FF","Foul","null","null"
"41","Clayton Kershaw",457763,"SL|SL","Foul","null","null"
"42","Clayton Kershaw",457763,"SL|SL","Swinging Strike","null","null"
"44","Clayton Kershaw",457763,"SL|SL","Foul","null","null"
"47","Clayton Kershaw",452254,"SL|SL","Hit","null","null"
"48","Clayton Kershaw",452254,"SL|FF","Strike","null","null"
"52","Clayton Kershaw",605412,"CU|FF","Foul","null","null"
"54","Clayton Kershaw",605412,"CU|FF","Hit","81.1","5.06"
"56","Clayton Kershaw",621389,"FF|SL","Hit","96.1","1.45"
"60","Clayton Kershaw",621389,"FF|FF","Strike","null","null"
"61","Clayton Kershaw",621389,"FF|CU","Hit","62.1","-58.07"
"63","Clayton Kershaw",605412,"FF|FF","Foul","null","null"
"65","Clayton Kershaw",605412,"CU|FF","Strike","null","null"
"68","Clayton Kershaw",605412,"CH|FF","Hit","null","null"
"70","Clayton Kershaw",434636,"SL|FF","Hit","74.5","83.5"
"72","Clayton Kershaw",543063,"FF|CU","Swinging Strike","null","null"
"73","Clayton Kershaw",543063,"CU|FF","Foul","null","null"
"74","Clayton Kershaw",543063,"FF|FF","Hit","82","-7.66"
"79","Clayton Kershaw",491676,"SL|FF","Foul","null","null"
"81","Clayton Kershaw",434636,"FF|FF","Hit","82.6","14.04"
"82","Clayton Kershaw",434636,"FF|FF","Strike","null","null"
"84","Clayton Kershaw",542436,"FF|FF","Hit","88.5","24.22"
"86","Clayton Kershaw",453568,"FF|SL","Foul","null","null"
"87","Clayton Kershaw",453568,"SL|FF","Hit","84.8","67.88"
"90","Clayton Kershaw",453568,"FF|FF","Foul","null","null"
"91","Clayton Kershaw",453568,"FF|FF","Foul","null","null"
"93","Clayton Kershaw",518614,"SL|FF","Strike","null","null"
"96","Clayton Kershaw",518614,"FF|FF","Foul","null","null"
"98","Clayton Kershaw",571448,"FF|FF","Strike","null","null"
"100","Clayton Kershaw",571448,"CU|CU","Foul","null","null"
"102","Clayton Kershaw",430605,"FF|SL","Swinging Strike","null","null"
"104","Clayton Kershaw",430605,"SL|FF","Hit","91.1","-10.14"
"107","Clayton Kershaw",467827,"CU|SL","Hit","null","null"
"108","Clayton Kershaw",467827,"SL|SL","Swinging Strike","null","null"
"109","Clayton Kershaw",467827,"SL|CU","Foul","null","null"
"111","Clayton Kershaw",506924,"FF|SL","Foul","null","null"
"113","Clayton Kershaw",506924,"CU|FF","Foul","null","null"
"114","Clayton Kershaw",506924,"FF|SL","Swinging Strike","null","null"
"115","Clayton Kershaw",506924,"SL|FF","Strike","null","null"
"116","Clayton Kershaw",506924,"FF|CU","Strike","null","null"
"117","Clayton Kershaw",506924,"CU|CU","Foul","null","null"
"119","Clayton Kershaw",642162,"FF|FF","Strike","null","null"
"120","Clayton Kershaw",642162,"FF|SL","Foul","null","null"
"122","Clayton Kershaw",547172,"FF|FF","Strike","null","null"
"123","Clayton Kershaw",547172,"FF|SL","Hit","null","null"
"125","Clayton Kershaw",518452,"CU|FF","Foul","null","null"
"126","Clayton Kershaw",518452,"FF|FF","Strike","null","null"
"127","Clayton Kershaw",518452,"FF|FF","Strike","null","null"
"128","Clayton Kershaw",518452,"FF|FF","Foul","null","null"
"130","Clayton Kershaw",518614,"SL|FF","Hit","93.2","49.77"
"133","Clayton Kershaw",571448,"CU|SL","Swinging Strike","null","null"
"135","Clayton Kershaw",571448,"CU|SL","Swinging Strike","null","null"
"138","Clayton Kershaw",430605,"FF|SL","Hit","96.9","16.91"
"140","Clayton Kershaw",467827,"FF|FF","Strike","null","null"
"145","Clayton Kershaw",506924,"CU|FF","Foul","null","null"
"146","Clayton Kershaw",506924,"FF|CU","Swinging Strike","null","null"
"148","Clayton Kershaw",642162,"SL|SL","Swinging Strike","null","null"
"149","Clayton Kershaw",642162,"SL|FF","Foul","null","null"
"150","Clayton Kershaw",642162,"FF|FF","Strike","null","null"
"152","Clayton Kershaw",547172,"FF|SL","Hit","80.8","-15.86"
"154","Clayton Kershaw",547172,"FF|FF","Strike","null","null"
"155","Clayton Kershaw",547172,"FF|SL","Swinging Strike","null","null"
"157","Clayton Kershaw",453568,"FF|FF","Hit","85.9","21.38"
"160","Clayton Kershaw",571448,"FF|SL","Hit","90.2","-18.86"
"161","Clayton Kershaw",571448,"SL|FF","Strike","null","null"
"164","Clayton Kershaw",571448,"SL|SL","Swinging Strike","null","null"
"166","Clayton Kershaw",572863,"CU|FF","Strike","null","null"
"167","Clayton Kershaw",572863,"FF|FF","Foul","null","null"
"169","Clayton Kershaw",467827,"FF|SL","Strike","null","null"
"170","Clayton Kershaw",467827,"SL|CU","Foul","null","null"
"172","Clayton Kershaw",453568,"SL|FF","Foul","null","null"
"173","Clayton Kershaw",453568,"FF|CU","Swinging Strike","null","null"
"175","Clayton Kershaw",456488,"FF|FF","Hit","90.8","22.24"
"177","Clayton Kershaw",434636,"FF|SL","Hit","67.7","6.76"
"178","Clayton Kershaw",434636,"SL|FF","Strike","null","null"
"181","Clayton Kershaw",457763,"FF|FF","Hit","107.4","18.14"
"183","Clayton Kershaw",452254,"CU|FF","Swinging Strike","null","null"
"185","Clayton Kershaw",452254,"FF|FF","Hit","null","null"
"186","Clayton Kershaw",452254,"FF|FF","Foul","null","null"
"187","Clayton Kershaw",452254,"FF|SL","Foul","null","null"
"189","Clayton Kershaw",491676,"SL|CU","Hit","96.3","33.75"
"191","Clayton Kershaw",491676,"FF|SL","Foul","null","null"
"194","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"197","Clayton Kershaw",474832,"FF|FF","Swinging Strike","null","null"
"200","Clayton Kershaw",518516,"SL|CU","Foul","null","null"
