"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"5","Daniel Mengden",543068,"CU|CU","Foul","null","null"
"7","Daniel Mengden",543068,"FF|FF","Strike","null","null"
"10","Daniel Mengden",527043,"FF|FF","Hit","76.5","-43.1"
"11","Daniel Mengden",527043,"FF|FF","Strike","null","null"
"16","Daniel Mengden",492802,"CU|CU","Strike","null","null"
"17","Daniel Mengden",492802,"CU|CU","Strike","null","null"
"19","Daniel Mengden",492802,"FF|FF","Foul","null","null"
"20","Daniel Mengden",492802,"FF|CU","Foul","null","null"
"21","Daniel Mengden",492802,"CU|FF","Hit","87.1","23.02"
"23","Daniel Mengden",492802,"CU|FF","Foul","null","null"
"24","Daniel Mengden",492802,"FF|FF","Foul","null","null"
"30","Daniel Mengden",594777,"CU|FF","Strike","null","null"
"31","Daniel Mengden",594777,"FF|FF","Foul","null","null"
"32","Daniel Mengden",594777,"FF|FF","Foul","null","null"
"33","Daniel Mengden",594777,"FF|CH","Strike","null","null"
"36","Daniel Mengden",594777,"CU|FF","Hit","104.8","22.78"
"42","Daniel Mengden",527043,"FF|FF","Foul","null","null"
"43","Daniel Mengden",527043,"FF|FF","Hit","102.3","31.43"
"48","Daniel Mengden",542364,"FF|FF","Hit","64.2","34.22"
"49","Daniel Mengden",542364,"FF|CH","Strike","null","null"
"53","Daniel Mengden",492802,"FF|FF","Hit","86.1","4.72"
"57","Daniel Mengden",488862,"CU|CU","Hit","93.6","2.26"
"58","Daniel Mengden",488862,"CU|FF","Foul","null","null"
"60","Daniel Mengden",488862,"FF|FF","Foul","null","null"
"62","Daniel Mengden",543068,"FF|FF","Foul","null","null"
"67","Daniel Mengden",543807,"FF|FF","Strike","null","null"
"71","Daniel Mengden",493329,"FF|FF","Hit","null","null"
"73","Daniel Mengden",493329,"FF|FF","Foul","null","null"
"79","Daniel Mengden",503556,"FF|FF","Strike","null","null"
"80","Daniel Mengden",503556,"FF|CU","Foul","null","null"
"81","Daniel Mengden",503556,"CU|CH","Foul","null","null"
"85","Daniel Mengden",488771,"FF|FF","Strike","null","null"
"86","Daniel Mengden",488771,"FF|FF","Foul","null","null"
"87","Daniel Mengden",488771,"FF|CH","Foul","null","null"
"91","Daniel Mengden",543807,"FF|FF","Foul","null","null"
"96","Daniel Mengden",514888,"FF|FF","Foul","null","null"
"97","Daniel Mengden",514888,"FF|FF","Foul","null","null"
"100","Daniel Mengden",514888,"FF|CH","Strike","null","null"
"103","Daniel Mengden",621043,"FF|CH","Hit","74.9","39.91"
"106","Daniel Mengden",594828,"CH|FF","Strike","null","null"
"108","Daniel Mengden",594828,"FF|FF","Foul","null","null"
"109","Daniel Mengden",594828,"FF|FF","Strike","null","null"
"115","Daniel Mengden",643393,"FT|FF","Hit","86.7","40.4"
"116","Daniel Mengden",643393,"FF|FF","Strike","null","null"
"117","Daniel Mengden",643393,"FF|FT","Foul","null","null"
"119","Daniel Mengden",488771,"FF|FF","Foul","null","null"
"123","Daniel Mengden",488771,"CH|FF","Strike","null","null"
"127","Daniel Mengden",545350,"SL|SL","Hit","95.3","-2.68"
"129","Daniel Mengden",545350,"FF|FF","Strike","null","null"
"131","Daniel Mengden",543807,"CU|FF","Foul","null","null"
"132","Daniel Mengden",543807,"FF|CU","Strike","null","null"
"133","Daniel Mengden",543807,"CU|FF","Foul","null","null"
"136","Daniel Mengden",493329,"CU|FF","Foul","null","null"
"137","Daniel Mengden",493329,"FF|CH","Hit","66.2","37.83"
"138","Daniel Mengden",493329,"CH|FF","Foul","null","null"
"141","Daniel Mengden",514888,"FF|FF","Hit","98.1","18.79"
"144","Daniel Mengden",621043,"FF|FF","Foul","null","null"
"145","Daniel Mengden",621043,"FF|FF","Hit","103.8","18.78"
"147","Daniel Mengden",594828,"FF|CU","Strike","null","null"
"148","Daniel Mengden",594828,"CU|CU","Hit","96.8","25.83"
"154","Daniel Mengden",643393,"FF|FF","Foul","null","null"
"155","Daniel Mengden",643393,"FF|FF","Hit","90","4.54"
"157","Daniel Mengden",594828,"SL|FF","Strike","null","null"
"160","Daniel Mengden",503556,"CH|FF","Hit","104.9","15.07"
"165","Daniel Mengden",543333,"FF|CH","Foul","null","null"
"166","Daniel Mengden",543333,"CH|CH","Foul","null","null"
"167","Daniel Mengden",543333,"CH|FF","Foul","null","null"
"170","Daniel Mengden",543333,"CH|FF","Hit","76.8","-12.01"
"172","Daniel Mengden",434778,"CU|CU","Strike","null","null"
"174","Daniel Mengden",521692,"CU|FF","Foul","null","null"
"175","Daniel Mengden",521692,"FF|FF","Strike","null","null"
"176","Daniel Mengden",521692,"FF|FF","Hit","104.9","-22.42"
"179","Daniel Mengden",460086,"CH|FF","Strike","null","null"
"180","Daniel Mengden",460086,"FF|CU","Strike","null","null"
"184","Daniel Mengden",444876,"FF|FF","Strike","null","null"
"185","Daniel Mengden",444876,"FF|FF","Foul","null","null"
"187","Daniel Mengden",518568,"CU|FF","Strike","null","null"
"189","Daniel Mengden",518568,"FF|FF","Strike","null","null"
"192","Daniel Mengden",542993,"FF|FF","Hit","null","null"
"194","Daniel Mengden",593160,"CH|FF","Strike","null","null"
"198","Daniel Mengden",521692,"FF|FF","Strike","null","null"
"200","Daniel Mengden",521692,"FF|FF","Foul","null","null"
"203","Daniel Mengden",460086,"FF|CH","Strike","null","null"
"204","Daniel Mengden",460086,"CH|CH","Hit","93.5","-2.69"
"207","Daniel Mengden",518568,"CH|FF","Hit","84.9","60.87"
"209","Daniel Mengden",542993,"FT|FF","Strike","null","null"
"210","Daniel Mengden",542993,"FF|FF","Hit","88.7","29.16"
"213","Daniel Mengden",502481,"FF|FF","Foul","null","null"
"214","Daniel Mengden",502481,"FF|FF","Strike","null","null"
"215","Daniel Mengden",502481,"FF|CH","Strike","null","null"
"216","Daniel Mengden",502481,"CH|FF","Hit","null","null"
"218","Daniel Mengden",434778,"FF|FF","Hit","103.2","41.44"
"222","Daniel Mengden",488810,"FF|CU","Strike","null","null"
"226","Daniel Mengden",641531,"SL|FF","Strike","null","null"
"227","Daniel Mengden",641531,"FF|CU","Strike","null","null"
"231","Daniel Mengden",543333,"FF|FF","Foul","null","null"
"232","Daniel Mengden",543333,"FF|CH","Hit","95.9","36.89"
