"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Danny Farquhar",592261,"FF|FF","Strike","null","null"
"4","Danny Farquhar",592261,"FF|FF","Foul","null","null"
"7","Danny Farquhar",607387,"FF|FF","Hit","83","53.7"
"14","Danny Farquhar",519048,"CU|FF","Foul","null","null"
"17","Danny Farquhar",595777,"CH|CU","Strike","null","null"
"19","Danny Farquhar",607345,"FF|CH","Foul","null","null"
"26","Danny Farquhar",544725,"FF|FF","Foul","null","null"
"31","Danny Farquhar",466320,"CH|FF","Strike","null","null"
"33","Danny Farquhar",506702,"CU|FF","Strike","null","null"
"34","Danny Farquhar",506702,"FF|CH","Hit","80.5","-45.78"
"37","Danny Farquhar",456030,"CH|CH","Foul","null","null"
"39","Danny Farquhar",456030,"FF|CH","Hit","98.6","26.83"
"40","Danny Farquhar",456030,"CH|CU","Strike","null","null"
"41","Danny Farquhar",456030,"CU|CH","Foul","null","null"
"42","Danny Farquhar",456030,"CH|CH","Foul","null","null"
"45","Danny Farquhar",593428,"CU|FF","Foul","null","null"
"54","Danny Farquhar",543768,"FF|FC","Strike","null","null"
"56","Danny Farquhar",543768,"CH|FC","Foul","null","null"
"57","Danny Farquhar",543768,"FC|CH","Hit","null","null"
"59","Danny Farquhar",598265,"IN|IN","Hit","null","null"
"60","Danny Farquhar",598265,"IN|IN","Hit","null","null"
"61","Danny Farquhar",598265,"IN|IN","Hit","null","null"
"64","Danny Farquhar",643217,"CH|FF","Foul","null","null"
"66","Danny Farquhar",643217,"CH|FF","Foul","null","null"
"69","Danny Farquhar",571788,"FF|FF","Hit","88.2","63.22"
"75","Danny Farquhar",476883,"FF|FF","Strike","null","null"
"76","Danny Farquhar",476883,"FF|FF","Foul","null","null"
"82","Danny Farquhar",543376,"FF|FF","Hit","null","null"
"86","Danny Farquhar",592518,"CH|FF","Foul","null","null"
"87","Danny Farquhar",592518,"FF|CH","Foul","null","null"
"92","Danny Farquhar",592518,"FF|FF","Foul","null","null"
"94","Danny Farquhar",448801,"CH|CH","Foul","null","null"
"95","Danny Farquhar",448801,"CH|CH","Foul","null","null"
