"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Dillon Gee",435079,"FC|FT","Strike","null","null"
"3","Dillon Gee",435079,"FT|FT","Foul","null","null"
"6","Dillon Gee",435079,"FT|CH","Strike","null","null"
"7","Dillon Gee",435079,"CH|FT","Hit","93.9","47.28"
"9","Dillon Gee",457727,"CH|FC","Foul","null","null"
"11","Dillon Gee",408234,"CH|FC","Hit","102.9","2.82"
"14","Dillon Gee",400121,"FT|CH","Hit","68.5","-28.33"
"15","Dillon Gee",400121,"CH|KC","Strike","null","null"
"16","Dillon Gee",400121,"KC|KC","Strike","null","null"
"19","Dillon Gee",502110,"KC|FF","Hit","95.1","-5.33"
"20","Dillon Gee",502110,"FF|FC","Strike","null","null"
"21","Dillon Gee",502110,"FC|CH","Strike","null","null"
"23","Dillon Gee",430947,"KC|FT","Hit","89.9","-23.27"
"24","Dillon Gee",430947,"FT|CH","Strike","null","null"
"28","Dillon Gee",408234,"CH|CH","Hit","89.7","17.2"
"31","Dillon Gee",461865,"KC|FT","Strike","null","null"
"32","Dillon Gee",461865,"FT|FC","Hit","98.9","1.62"
"34","Dillon Gee",457708,"FT|CH","Strike","null","null"
"36","Dillon Gee",457727,"FC|FT","Foul","null","null"
"39","Dillon Gee",457727,"FC|CH","Strike","null","null"
"40","Dillon Gee",457727,"CH|FC","Hit","73.3","8.75"
"42","Dillon Gee",435079,"FC|FT","Strike","null","null"
"43","Dillon Gee",435079,"FT|FF","Hit","100.5","12.67"
"46","Dillon Gee",547379,"CH|CH","Strike","null","null"
"49","Dillon Gee",502082,"KC|FF","Foul","null","null"
"50","Dillon Gee",502082,"FF|FF","Foul","null","null"
"51","Dillon Gee",502082,"FF|FC","Foul","null","null"
"52","Dillon Gee",502082,"FC|FC","Foul","null","null"
"57","Dillon Gee",424825,"KC|CH","Hit","72.9","27.89"
"58","Dillon Gee",424825,"CH|FT","Swinging Strike","null","null"
"59","Dillon Gee",424825,"FT|FT","Foul","null","null"
"60","Dillon Gee",424825,"FT|KC","Foul","null","null"
"65","Dillon Gee",543401,"FT|FT","Strike","null","null"
"66","Dillon Gee",543401,"FT|FC","Foul","null","null"
"76","Dillon Gee",467793,"FC|FC","Hit","94.5","29.87"
"80","Dillon Gee",502082,"CH|FT","Foul","null","null"
"82","Dillon Gee",502082,"KC|KC","Hit","74.7","50.8"
"90","Dillon Gee",605183,"FT|FT","Strike","null","null"
"91","Dillon Gee",605183,"FT|FC","Foul","null","null"
"93","Dillon Gee",570560,"KC|FT","Foul","null","null"
"94","Dillon Gee",570560,"FT|CH","Hit","81.5","13.91"
"96","Dillon Gee",594809,"KC|FF","Hit","96.9","24.19"
"97","Dillon Gee",594809,"FF|CH","Foul","null","null"
"98","Dillon Gee",594809,"CH|FT","Strike","null","null"
"101","Dillon Gee",547989,"FT|FT","Hit","83.1","39.33"
