"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"6","Doug Fister",429664,"FT|FF","Hit","96.8","32.78"
"8","Doug Fister",429664,"FT|FF","Strike","null","null"
"10","Doug Fister",443558,"FT|FT","Hit","80.1","-30.19"
"14","Doug Fister",452252,"FF|CU","Swinging Strike","null","null"
"15","Doug Fister",452252,"CU|FT","Swinging Strike","null","null"
"17","Doug Fister",547982,"CU|FT","Swinging Strike","null","null"
"21","Doug Fister",547982,"FT|FF","Strike","null","null"
"22","Doug Fister",547982,"FF|CH","Hit","100.4","0.74"
"24","Doug Fister",572287,"FT|FT","Swinging Strike","null","null"
"25","Doug Fister",572287,"FT|FT","Strike","null","null"
"26","Doug Fister",572287,"FT|FF","Foul","null","null"
"29","Doug Fister",493114,"FF|FF","Strike","null","null"
"31","Doug Fister",488862,"FF|FT","Hit","null","null"
"35","Doug Fister",545361,"FT|FF","Strike","null","null"
"36","Doug Fister",545361,"FF|FT","Hit","null","null"
"38","Doug Fister",405395,"FF|FT","Strike","null","null"
"39","Doug Fister",405395,"FT|CU","Hit","null","null"
"41","Doug Fister",543068,"FT|FC","Hit","102.6","19.79"
"44","Doug Fister",502544,"FT|FT","Swinging Strike","null","null"
"45","Doug Fister",502544,"FT|FT","Hit","85.2","21.3"
"48","Doug Fister",542208,"FT|FT","Hit","90","-1.17"
"51","Doug Fister",460060,"FF|FT","Hit","62.5","-37.25"
"53","Doug Fister",488862,"FC|FT","Foul","null","null"
"55","Doug Fister",488862,"FT|FT","Strike","null","null"
"57","Doug Fister",488862,"CU|FF","Strike","null","null"
"59","Doug Fister",594777,"CU|FT","Hit","106.1","4.78"
"62","Doug Fister",545361,"FF|FF","Hit","73.9","24.96"
"65","Doug Fister",405395,"FT|FF","Foul","null","null"
"66","Doug Fister",405395,"FF|FT","Foul","null","null"
"68","Doug Fister",405395,"FF|FT","Hit","99.4","11.75"
"71","Doug Fister",592743,"FC|FT","Strike","null","null"
"73","Doug Fister",592743,"FC|FT","Swinging Strike","null","null"
"75","Doug Fister",502544,"FT|FC","Swinging Strike","null","null"
"80","Doug Fister",542208,"FT|FT","Foul","null","null"
"83","Doug Fister",542208,"FT|FT","Hit","101.8","1.44"
"86","Doug Fister",460060,"CH|FF","Foul","null","null"
"88","Doug Fister",460060,"CU|FT","Foul","null","null"
"90","Doug Fister",488862,"CU|FT","Hit","88.1","4.17"
"92","Doug Fister",594777,"CU|FT","Strike","null","null"
"93","Doug Fister",594777,"FT|FF","Foul","null","null"
"96","Doug Fister",594777,"FT|FT","Hit","98.7","6.59"
"98","Doug Fister",543068,"FT|FT","Hit","68.1","-3.36"
"101","Doug Fister",594777,"FT|FF","Swinging Strike","null","null"
"102","Doug Fister",594777,"FF|FF","Swinging Strike","null","null"
"104","Doug Fister",594777,"FT|CU","Hit","101.8","0.72"
"106","Doug Fister",452234,"FT|CU","Strike","null","null"
"110","Doug Fister",452234,"FC|FF","Foul","null","null"
"115","Doug Fister",443558,"FT|FT","Hit","104.9","10.44"
"118","Doug Fister",572122,"CH|FF","Hit","107.2","16.66"
"120","Doug Fister",452252,"FT|FT","Strike","null","null"
"121","Doug Fister",452252,"FT|CU","Swinging Strike","null","null"
"123","Doug Fister",452252,"FT|CU","Swinging Strike","null","null"
"126","Doug Fister",547982,"CU|CU","Foul","null","null"
"129","Doug Fister",547982,"CH|FF","Hit","76.2","-3.04"
"131","Doug Fister",572287,"FF|FT","Strike","null","null"
"132","Doug Fister",572287,"FT|FC","Hit","95","-10.43"
"134","Doug Fister",502523,"FF|FT","Foul","null","null"
"135","Doug Fister",502523,"FT|FC","Hit","53.4","-30.51"
"138","Doug Fister",493114,"CU|FT","Strike","null","null"
"139","Doug Fister",493114,"FT|CH","Hit","80.4","20.27"
"141","Doug Fister",429664,"FT|CH","Strike","null","null"
"142","Doug Fister",429664,"CH|FT","Foul","null","null"
"144","Doug Fister",429664,"FC|CU","Swinging Strike","null","null"
"148","Doug Fister",443558,"FC|FT","Hit","100.5","-18.43"
"151","Doug Fister",572122,"CH|CH","Strike","null","null"
"152","Doug Fister",572122,"CH|FC","Foul","null","null"
"155","Doug Fister",452252,"CU|FT","Strike","null","null"
"157","Doug Fister",452252,"FC|CU","Swinging Strike","null","null"
"160","Doug Fister",572287,"FC|FC","Hit","88.8","23.91"
"162","Doug Fister",502523,"CU|CH","Strike","null","null"
"167","Doug Fister",493114,"CU|FF","Hit","96.1","21.29"
"172","Doug Fister",452234,"CU|FT","Hit","104.4","24.69"
"176","Doug Fister",429664,"CU|FT","Strike","null","null"
"177","Doug Fister",429664,"FT|CH","Hit","109","-3.06"
"179","Doug Fister",443558,"FC|FT","Foul","null","null"
"180","Doug Fister",443558,"FT|FT","Foul","null","null"
"182","Doug Fister",443558,"FF|FC","Hit","91.2","12.71"
"186","Doug Fister",493114,"CH|FT","Foul","null","null"
"187","Doug Fister",493114,"FT|FT","Hit","null","null"
"190","Doug Fister",452234,"CH|FT","Strike","null","null"
"192","Doug Fister",452234,"FT|FT","Hit","98.1","27.06"
"196","Doug Fister",460576,"FF|FF","Strike","null","null"
"199","Doug Fister",518960,"FC|FC","Swinging Strike","null","null"
"200","Doug Fister",518960,"FC|FT","Strike","null","null"
"201","Doug Fister",518960,"FT|FF","Strike","null","null"
"208","Doug Fister",460576,"FF|FF","Strike","null","null"
"209","Doug Fister",460576,"FF|FT","Foul","null","null"
"210","Doug Fister",460576,"FT|FC","Foul","null","null"
"213","Doug Fister",136860,"FF|CH","Hit","64.2","-47.27"
"216","Doug Fister",460576,"FC|FF","Strike","null","null"
"217","Doug Fister",460576,"FF|FF","Hit","null","null"
"222","Doug Fister",435622,"FC|FF","Strike","null","null"
"223","Doug Fister",435622,"FF|FF","Strike","null","null"
"227","Doug Fister",134181,"FF|FF","Foul","null","null"
"228","Doug Fister",134181,"FF|FF","Foul","null","null"
"229","Doug Fister",134181,"FF|FT","Foul","null","null"
"231","Doug Fister",134181,"FC|CH","Swinging Strike","null","null"
"232","Doug Fister",134181,"CH|FF","Strike","null","null"
"233","Doug Fister",134181,"FF|FT","Foul","null","null"
"235","Doug Fister",134181,"FF|CU","Hit","101.6","15.26"
"236","Doug Fister",134181,"CU|FF","Strike","null","null"
"237","Doug Fister",134181,"FF|FF","Foul","null","null"
"238","Doug Fister",134181,"FF|FF","Hit","96.7","28.73"
"241","Doug Fister",519048,"FF|FF","Strike","null","null"
"244","Doug Fister",519048,"CU|FT","Foul","null","null"
"245","Doug Fister",519048,"FT|FT","Hit","101.2","37.51"
"247","Doug Fister",462101,"FT|FT","Hit","101.7","-0.85"
"248","Doug Fister",462101,"FT|FF","Strike","null","null"
"252","Doug Fister",608577,"FF|FF","Strike","null","null"
"253","Doug Fister",608577,"FF|FF","Hit","72.9","6.48"
"254","Doug Fister",608577,"FF|FF","Foul","null","null"
"257","Doug Fister",435622,"FF|FT","Hit","96.2","-23.64"
"258","Doug Fister",435622,"FT|FF","Strike","null","null"
"262","Doug Fister",462101,"FC|FT","Hit","83.5","-25.52"
"264","Doug Fister",435622,"FC|FF","Strike","null","null"
"265","Doug Fister",435622,"FF|CH","Hit","109.4","10.24"
"270","Doug Fister",518960,"FF|FF","Foul","null","null"
"271","Doug Fister",518960,"FF|FC","Foul","null","null"
"272","Doug Fister",518960,"FC|FT","Strike","null","null"
"274","Doug Fister",518960,"FC|FC","Swinging Strike","null","null"
"275","Doug Fister",518960,"FC|FF","Hit","87.2","54.9"
"277","Doug Fister",596059,"FC|FF","Foul","null","null"
"278","Doug Fister",596059,"FF|FC","Foul","null","null"
