"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Heath Hembree",429665,"FF|FF","Foul","null","null"
"7","Heath Hembree",430832,"FF|SL","Foul","null","null"
"8","Heath Hembree",430832,"SL|FF","Foul","null","null"
"10","Heath Hembree",430832,"SL|SL","Hit","63.1","-47.83"
"12","Heath Hembree",453064,"SL|CU","Strike","null","null"
"22","Heath Hembree",452104,"FF|FF","Strike","null","null"
"24","Heath Hembree",596142,"SL|FF","Strike","null","null"
"25","Heath Hembree",596142,"FF|SL","Hit","78.6","57.34"
"28","Heath Hembree",543484,"SL|FF","Strike","null","null"
"30","Heath Hembree",543484,"SL|FF","Foul","null","null"
"33","Heath Hembree",572816,"FF|FF","Strike","null","null"
"34","Heath Hembree",572816,"FF|FF","Foul","null","null"
"38","Heath Hembree",592200,"FF|SL","Strike","null","null"
"45","Heath Hembree",572128,"CU|FF","Foul","null","null"
"46","Heath Hembree",572128,"FF|FF","Foul","null","null"
"47","Heath Hembree",572128,"FF|FF","Strike","null","null"
"52","Heath Hembree",596142,"CU|SL","Foul","null","null"
"53","Heath Hembree",596142,"SL|FF","Foul","null","null"
"54","Heath Hembree",596142,"FF|FF","Hit","65.8","-72.11"
"58","Heath Hembree",456714,"SL|SL","Strike","null","null"
"59","Heath Hembree",456714,"SL|FF","Foul","null","null"
"60","Heath Hembree",456714,"FF|FF","Foul","null","null"
"61","Heath Hembree",456714,"FF|SL","Hit","68.3","-35.63"
"65","Heath Hembree",456781,"SL|SL","Hit","81.6","41.9"
"68","Heath Hembree",544369,"CU|FF","Hit","null","null"
"71","Heath Hembree",608701,"SL|SL","Foul","null","null"
"76","Heath Hembree",458731,"SL|SL","Foul","null","null"
"79","Heath Hembree",458731,"FF|FF","Foul","null","null"
"82","Heath Hembree",596142,"FF|SL","Hit","88.3","-27.03"
"83","Heath Hembree",596142,"SL|SL","Strike","null","null"
"86","Heath Hembree",516770,"SL|SL","Foul","null","null"
"87","Heath Hembree",516770,"SL|FF","Strike","null","null"
"89","Heath Hembree",516770,"FF|FF","Hit","100","-32.4"
"99","Heath Hembree",448801,"SL|FF","Strike","null","null"
"100","Heath Hembree",448801,"FF|FF","Foul","null","null"
"101","Heath Hembree",448801,"FF|SL","Foul","null","null"
"106","Heath Hembree",429666,"SL|FF","Strike","null","null"
"110","Heath Hembree",453211,"SL|SL","Strike","null","null"
"113","Heath Hembree",460099,"SL|FF","Foul","null","null"
"115","Heath Hembree",460099,"FF|FF","Strike","null","null"
"119","Heath Hembree",430945,"FF|SL","Foul","null","null"
"123","Heath Hembree",446308,"FF|FF","Hit","97.4","55.85"
"126","Heath Hembree",572365,"FF|FF","Foul","null","null"
"127","Heath Hembree",572365,"FF|FF","Foul","null","null"
"129","Heath Hembree",572365,"SL|FF","Foul","null","null"
"130","Heath Hembree",572365,"FF|CU","Foul","null","null"
"131","Heath Hembree",572365,"CU|FF","Foul","null","null"
"132","Heath Hembree",572365,"FF|SL","Foul","null","null"
"133","Heath Hembree",572365,"SL|FF","Foul","null","null"
"134","Heath Hembree",572365,"FF|FF","Foul","null","null"
"138","Heath Hembree",581527,"FF|SL","Strike","null","null"
"139","Heath Hembree",581527,"SL|FF","Foul","null","null"
