"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"5","Homer Bailey",594838,"SL|CH","Foul","null","null"
"8","Homer Bailey",594838,"FF|FF","Hit","99.9","10.19"
"10","Homer Bailey",571875,"CH|FF","Strike","null","null"
"11","Homer Bailey",571875,"FF|FF","Hit","105.4","-2.04"
"17","Homer Bailey",456078,"FF|SL","Hit","93","-13.99"
"18","Homer Bailey",456078,"SL|SL","Strike","null","null"
"20","Homer Bailey",572008,"CH|SL","Foul","null","null"
"21","Homer Bailey",572008,"SL|SL","Hit","null","null"
"23","Homer Bailey",572008,"FF|CH","Strike","null","null"
"24","Homer Bailey",572008,"CH|FF","Foul","null","null"
"25","Homer Bailey",572008,"FF|KC","Foul","null","null"
"26","Homer Bailey",572008,"KC|CH","Foul","null","null"
"29","Homer Bailey",456422,"FF|CH","Foul","null","null"
"33","Homer Bailey",456422,"SL|FT","Foul","null","null"
"34","Homer Bailey",456422,"FT|CH","Hit","98.4","-3.04"
"37","Homer Bailey",608369,"CH|CH","Foul","null","null"
"41","Homer Bailey",518735,"CH|SL","Hit","106.9","17.46"
"42","Homer Bailey",518735,"SL|FT","Strike","null","null"
"44","Homer Bailey",592626,"CH|FT","Foul","null","null"
"50","Homer Bailey",592808,"FF|SL","Foul","null","null"
"51","Homer Bailey",592808,"SL|FT","Foul","null","null"
"52","Homer Bailey",592808,"FT|SL","Foul","null","null"
"55","Homer Bailey",592808,"FF|FT","Foul","null","null"
"56","Homer Bailey",592808,"FT|KC","Foul","null","null"
"57","Homer Bailey",592808,"KC|SL","Foul","null","null"
"58","Homer Bailey",592808,"SL|FT","Foul","null","null"
"59","Homer Bailey",592808,"FT|FF","Foul","null","null"
"60","Homer Bailey",592808,"FF|CH","Hit","86.2","41.33"
"62","Homer Bailey",574847,"KC|FF","Foul","null","null"
"64","Homer Bailey",574847,"CH|SL","Strike","null","null"
"66","Homer Bailey",574847,"SL|SL","Hit","89.4","8.56"
"68","Homer Bailey",431148,"CH|CH","Strike","null","null"
"70","Homer Bailey",400284,"CH|SL","Hit","null","null"
"75","Homer Bailey",518735,"FF|FF","Strike","null","null"
"78","Homer Bailey",518735,"CH|CH","Strike","null","null"
"79","Homer Bailey",518735,"CH|SL","Hit","96.1","50.78"
"87","Homer Bailey",592808,"FT|CH","Foul","null","null"
"88","Homer Bailey",592808,"CH|SL","Hit","94.4","18.44"
"90","Homer Bailey",574847,"SL|FT","Strike","null","null"
"91","Homer Bailey",574847,"FT|CH","Hit","88.8","39.68"
"93","Homer Bailey",408236,"FF|CH","Strike","null","null"
"97","Homer Bailey",542303,"KC|FT","Foul","null","null"
"98","Homer Bailey",542303,"FT|CH","Hit","93.4","-8.74"
"100","Homer Bailey",518618,"SL|FT","Foul","null","null"
"101","Homer Bailey",518618,"FT|FF","Foul","null","null"
"111","Homer Bailey",542303,"FT|SL","Hit","67.2","-40.13"
"112","Homer Bailey",542303,"SL|FT","Strike","null","null"
"113","Homer Bailey",542303,"FT|CH","Foul","null","null"
"115","Homer Bailey",518618,"FF|FF","Strike","null","null"
"116","Homer Bailey",518618,"FF|FT","Strike","null","null"
"119","Homer Bailey",400085,"FT|FT","Strike","null","null"
"122","Homer Bailey",592663,"FF|FF","Hit","76.5","19.72"
"124","Homer Bailey",592663,"SL|FF","Strike","null","null"
"126","Homer Bailey",588751,"SL|CH","Hit","82.2","32.38"
"127","Homer Bailey",588751,"CH|SL","Strike","null","null"
