"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Joe Kelly",429665,"FF|FF","Foul","null","null"
"3","Joe Kelly",429665,"FF|SL","Strike","null","null"
"6","Joe Kelly",430832,"FF|SL","Strike","null","null"
"7","Joe Kelly",430832,"SL|FF","Foul","null","null"
"9","Joe Kelly",431145,"SL|SL","Hit","null","null"
"10","Joe Kelly",431145,"SL|SL","Foul","null","null"
"13","Joe Kelly",453064,"SL|SL","Strike","null","null"
"14","Joe Kelly",453064,"SL|SL","Strike","null","null"
"19","Joe Kelly",518626,"SL|FF","Hit","102.3","8.43"
"21","Joe Kelly",518626,"CU|SL","Foul","null","null"
"23","Joe Kelly",581527,"FF|FF","Strike","null","null"
"26","Joe Kelly",516770,"CU|CU","Foul","null","null"
"27","Joe Kelly",516770,"CU|FF","Strike","null","null"
"29","Joe Kelly",544369,"FF|FF","Hit","null","null"
"30","Joe Kelly",544369,"FF|CU","Foul","null","null"
"32","Joe Kelly",407893,"FF|CU","Strike","null","null"
"34","Joe Kelly",545338,"FF|FF","Foul","null","null"
"35","Joe Kelly",545338,"FF|SL","Hit","77.8","-0.62"
"38","Joe Kelly",592200,"SL|FF","Foul","null","null"
"39","Joe Kelly",592200,"FF|FF","Strike","null","null"
"40","Joe Kelly",592200,"FF|SL","Hit","null","null"
"43","Joe Kelly",571912,"FF|FF","Strike","null","null"
"44","Joe Kelly",571912,"FF|FF","Hit","null","null"
"46","Joe Kelly",572128,"SL|FF","Foul","null","null"
"49","Joe Kelly",523253,"FF|FF","Strike","null","null"
"50","Joe Kelly",523253,"FF|FF","Hit","null","null"
"55","Joe Kelly",543094,"FF|FF","Foul","null","null"
"56","Joe Kelly",543094,"FF|FF","Strike","null","null"
"58","Joe Kelly",543094,"FF|CU","Foul","null","null"
"59","Joe Kelly",543094,"CU|FF","Hit","null","null"
"62","Joe Kelly",446334,"FF|FF","Foul","null","null"
"63","Joe Kelly",446334,"FF|FF","Foul","null","null"
"69","Joe Kelly",523253,"CU|FF","Hit","98.4","-2.68"
"71","Joe Kelly",595281,"CU|FF","Hit","105.4","-9.4"
"75","Joe Kelly",446334,"SL|SL","Foul","null","null"
"76","Joe Kelly",446334,"SL|FF","Hit","null","null"
"78","Joe Kelly",456781,"FF|FF","Strike","null","null"
"79","Joe Kelly",456781,"FF|CU","Hit","null","null"
"83","Joe Kelly",608701,"FF|FF","Hit","73.5","-21.78"
"88","Joe Kelly",435263,"CU|FF","Hit","null","null"
"90","Joe Kelly",435263,"FF|FF","Hit","null","null"
"94","Joe Kelly",544369,"FF|FF","Foul","null","null"
"97","Joe Kelly",452104,"FF|FF","Hit","null","null"
"99","Joe Kelly",452104,"CU|FF","Foul","null","null"
"103","Joe Kelly",592863,"FF|FF","Hit","90.5","5.12"
"106","Joe Kelly",596142,"SL|FF","Hit","null","null"
"109","Joe Kelly",596142,"FF|SL","Strike","null","null"
"117","Joe Kelly",592518,"CU|SL","Strike","null","null"
"124","Joe Kelly",448801,"FF|FF","Strike","null","null"
"126","Joe Kelly",446308,"CU|FF","Hit","null","null"
"130","Joe Kelly",453211,"CU|FF","Strike","null","null"
"132","Joe Kelly",453211,"CU|CU","Strike","null","null"
"133","Joe Kelly",453211,"CU|CU","Strike","null","null"
"135","Joe Kelly",460099,"FF|FF","Foul","null","null"
"137","Joe Kelly",429666,"FF|CU","Foul","null","null"
"139","Joe Kelly",429666,"FF|FF","Strike","null","null"
"140","Joe Kelly",429666,"FF|FF","Hit","77.5","34.51"
"143","Joe Kelly",430832,"FF|FF","Hit","85.4","20.57"
"144","Joe Kelly",430832,"FF|CU","Strike","null","null"
"146","Joe Kelly",431145,"FF|FF","Foul","null","null"
"149","Joe Kelly",431145,"SL|FF","Foul","null","null"
