"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Kevin Quackenbush",594838,"FF|SL","Hit","71.5","-27.9"
"6","Kevin Quackenbush",516416,"FF|FF","Strike","null","null"
"12","Kevin Quackenbush",572008,"SL|SL","Hit","96.8","13.87"
"14","Kevin Quackenbush",502671,"SL|FF","Strike","null","null"
"17","Kevin Quackenbush",502671,"SL|FF","Foul","null","null"
"19","Kevin Quackenbush",502671,"FF|FF","Foul","null","null"
"22","Kevin Quackenbush",502671,"FF|CU","Strike","null","null"
"24","Kevin Quackenbush",502671,"CU|CU","Hit","null","null"
"27","Kevin Quackenbush",456078,"FF|FF","Hit","null","null"
"31","Kevin Quackenbush",571771,"FF|CU","Strike","null","null"
"32","Kevin Quackenbush",571771,"CU|FF","Foul","null","null"
"34","Kevin Quackenbush",571771,"CU|FF","Foul","null","null"
"37","Kevin Quackenbush",605509,"CU|FF","Strike","null","null"
"40","Kevin Quackenbush",474832,"CU|FF","Hit","100.6","41.91"
"41","Kevin Quackenbush",474832,"FF|CU","Strike","null","null"
"44","Kevin Quackenbush",474832,"CU|FF","Strike","null","null"
"46","Kevin Quackenbush",457763,"FF|FF","Hit","96.1","3.74"
"49","Kevin Quackenbush",452655,"CU|FF","Hit","89.5","26.83"
"54","Kevin Quackenbush",434636,"CU|FF","Strike","null","null"
"55","Kevin Quackenbush",434636,"FF|FF","Strike","null","null"
"58","Kevin Quackenbush",572008,"CU|FF","Hit","99.9","36.87"
"59","Kevin Quackenbush",572008,"FF|CU","Strike","null","null"
"61","Kevin Quackenbush",456078,"FF|FF","Hit","95.9","21.23"
"63","Kevin Quackenbush",456078,"FF|CU","Strike","null","null"
"66","Kevin Quackenbush",502671,"FF|CU","Strike","null","null"
"68","Kevin Quackenbush",502671,"FF|CU","Hit","104.4","3.37"
"72","Kevin Quackenbush",630111,"FF|FF","Strike","null","null"
"75","Kevin Quackenbush",592273,"CU|CU","Hit","100.7","8.65"
"77","Kevin Quackenbush",571745,"FF|FF","Hit","100","13.83"
"78","Kevin Quackenbush",571745,"FF|CU","Strike","null","null"
"80","Kevin Quackenbush",456078,"FF|FF","Foul","null","null"
"81","Kevin Quackenbush",456078,"FF|FF","Foul","null","null"
"83","Kevin Quackenbush",456078,"CU|CU","Foul","null","null"
"86","Kevin Quackenbush",456078,"SL|FF","Hit","76.6","39.53"
"94","Kevin Quackenbush",621311,"CU|FF","Hit","81.5","47.42"
"97","Kevin Quackenbush",606132,"FF|CU","Swinging Strike","null","null"
"99","Kevin Quackenbush",606132,"CU|FF","Foul","null","null"
"100","Kevin Quackenbush",606132,"FF|FF","Hit","77.3","-15.59"
"105","Kevin Quackenbush",453568,"FF|CU","Hit","92.9","44.59"
"108","Kevin Quackenbush",467827,"FF|CU","Hit","53.1","-68.57"
"111","Kevin Quackenbush",518614,"SL|FF","Hit","93.4","-1.03"
"113","Kevin Quackenbush",457763,"FF|FF","Strike","null","null"
"115","Kevin Quackenbush",457763,"SL|FF","Strike","null","null"
"116","Kevin Quackenbush",457763,"FF|FF","Hit","61.6","-27.99"
"118","Kevin Quackenbush",452254,"FF|FF","Strike","null","null"
"119","Kevin Quackenbush",452254,"FF|CU","Strike","null","null"
"125","Kevin Quackenbush",448602,"SL|SL","Hit","99.9","21.95"
"127","Kevin Quackenbush",448602,"CU|FF","Strike","null","null"
"129","Kevin Quackenbush",448602,"CU|FF","Strike","null","null"
"131","Kevin Quackenbush",460026,"FF|FF","Strike","null","null"
"132","Kevin Quackenbush",460026,"FF|FF","Strike","null","null"
"137","Kevin Quackenbush",448602,"SL|FF","Strike","null","null"
"143","Kevin Quackenbush",518614,"FF|CU","Swinging Strike","null","null"
"145","Kevin Quackenbush",518614,"CU|FF","Foul","null","null"
"149","Kevin Quackenbush",606132,"FF|FF","Hit","84.6","44.77"
"151","Kevin Quackenbush",621311,"FF|CH","Hit","82.1","27.91"
"153","Kevin Quackenbush",547172,"CU|FF","Strike","null","null"
"156","Kevin Quackenbush",547172,"CU|FF","Strike","null","null"
"159","Kevin Quackenbush",598265,"FF|FF","Strike","null","null"
"160","Kevin Quackenbush",598265,"FF|FF","Strike","null","null"
"161","Kevin Quackenbush",598265,"FF|SL","Foul","null","null"
"163","Kevin Quackenbush",598265,"FF|CU","Hit","97.2","8.62"
"165","Kevin Quackenbush",543768,"CU|FF","Foul","null","null"
