"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Mike Fiers",452234,"FC|FF","Strike","null","null"
"4","Mike Fiers",443558,"SL|SL","Strike","null","null"
"6","Mike Fiers",572122,"CH|FC","Strike","null","null"
"10","Mike Fiers",452252,"CU|FF","Swinging Strike","null","null"
"11","Mike Fiers",452252,"FF|CU","Strike","null","null"
"12","Mike Fiers",452252,"CU|CU","Foul","null","null"
"13","Mike Fiers",452252,"CU|FF","Foul","null","null"
"14","Mike Fiers",452252,"FF|FF","Foul","null","null"
"16","Mike Fiers",606466,"CU|FF","Hit","101.7","-11.94"
"17","Mike Fiers",606466,"FF|FF","Strike","null","null"
"18","Mike Fiers",606466,"FF|CH","Swinging Strike","null","null"
"19","Mike Fiers",606466,"CH|CH","Foul","null","null"
"22","Mike Fiers",493114,"FF|FF","Strike","null","null"
"24","Mike Fiers",452234,"FF|CU","Strike","null","null"
"27","Mike Fiers",429664,"FF|FF","Strike","null","null"
"29","Mike Fiers",429664,"CU|FF","Foul","null","null"
"31","Mike Fiers",443558,"FF|FF","Foul","null","null"
"34","Mike Fiers",572122,"CU|FF","Hit","88.5","48.53"
"36","Mike Fiers",572122,"CU|CU","Strike","null","null"
"39","Mike Fiers",452252,"FF|CU","Strike","null","null"
"40","Mike Fiers",452252,"CU|FF","Foul","null","null"
"41","Mike Fiers",452252,"FF|FF","Hit","105.3","14.37"
"45","Mike Fiers",547982,"FF|CH","Foul","null","null"
"46","Mike Fiers",547982,"CH|CU","Foul","null","null"
"48","Mike Fiers",547982,"CU|CH","Strike","null","null"
"50","Mike Fiers",491696,"SL|FF","Strike","null","null"
"53","Mike Fiers",606466,"CH|FF","Foul","null","null"
"56","Mike Fiers",606466,"CH|CH","Hit","85.6","19.42"
"59","Mike Fiers",452234,"CU|FF","Foul","null","null"
"60","Mike Fiers",452234,"FF|FC","Strike","null","null"
"61","Mike Fiers",452234,"FC|FC","Foul","null","null"
"62","Mike Fiers",452234,"FC|FC","Hit","73.1","12.25"
"64","Mike Fiers",429664,"FC|CU","Swinging Strike","null","null"
"65","Mike Fiers",429664,"CU|FC","Foul","null","null"
"69","Mike Fiers",443558,"CH|FF","Foul","null","null"
"71","Mike Fiers",443558,"CH|FF","Swinging Strike","null","null"
"75","Mike Fiers",493114,"CH|CH","Swinging Strike","null","null"
"76","Mike Fiers",493114,"CH|FF","Foul","null","null"
"77","Mike Fiers",493114,"FF|CU","Strike","null","null"
"79","Mike Fiers",493114,"CU|CU","Hit","77.1","-34.64"
"81","Mike Fiers",547982,"CH|CU","Hit","90.8","-19.84"
"86","Mike Fiers",491696,"FF|FF","Strike","null","null"
"87","Mike Fiers",491696,"FF|SL","Strike","null","null"
"90","Mike Fiers",491696,"SL|FF","Hit","81.1","21.71"
"92","Mike Fiers",592743,"SL|CH","Hit","68.6","-10.97"
"93","Mike Fiers",592743,"CH|SL","Strike","null","null"
"96","Mike Fiers",488862,"SL|CU","Foul","null","null"
"97","Mike Fiers",488862,"CU|FF","Strike","null","null"
"98","Mike Fiers",488862,"FF|FF","Foul","null","null"
"99","Mike Fiers",488862,"FF|CU","Swinging Strike","null","null"
"101","Mike Fiers",545361,"FF|FF","Foul","null","null"
"107","Mike Fiers",543068,"FF|CH","Foul","null","null"
"108","Mike Fiers",543068,"CH|CU","Foul","null","null"
"109","Mike Fiers",543068,"CU|FF","Foul","null","null"
"110","Mike Fiers",543068,"FF|FF","Strike","null","null"
"113","Mike Fiers",543068,"CU|CU","Foul","null","null"
"116","Mike Fiers",527043,"CU|CH","Swinging Strike","null","null"
"117","Mike Fiers",527043,"CH|CU","Strike","null","null"
"118","Mike Fiers",527043,"CU|FF","Strike","null","null"
"122","Mike Fiers",542364,"CH|CH","Swinging Strike","null","null"
"123","Mike Fiers",542364,"CH|CU","Hit","73.5","-2.19"
"124","Mike Fiers",542364,"CU|FF","Strike","null","null"
"125","Mike Fiers",542364,"FF|CU","Foul","null","null"
"127","Mike Fiers",463610,"SL|FF","Strike","null","null"
"129","Mike Fiers",488862,"CH|CH","Strike","null","null"
"130","Mike Fiers",488862,"CH|CU","Swinging Strike","null","null"
"132","Mike Fiers",545361,"SL|SL","Swinging Strike","null","null"
"133","Mike Fiers",545361,"SL|SL","Strike","null","null"
