"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Pat Venditte",475174,"SI|SI","Foul","null","null"
"5","Pat Venditte",622194,"SI|SL","Hit","null","null"
"6","Pat Venditte",622194,"SL|SL","Strike","null","null"
"7","Pat Venditte",622194,"SL|SI","Foul","null","null"
"9","Pat Venditte",518649,"SI|SL","Hit","null","null"
"13","Pat Venditte",518649,"SL|SI","Strike","null","null"
"17","Pat Venditte",621566,"SI|SI","Strike","null","null"
"18","Pat Venditte",621566,"SI|SI","Hit","null","null"
"19","Pat Venditte",621566,"SI|SL","Foul","null","null"
"22","Pat Venditte",519295,"SI|SL","Strike","null","null"
"25","Pat Venditte",621563,"SI|SL","Foul","null","null"
"28","Pat Venditte",621563,"SI|SI","Strike","null","null"
"34","Pat Venditte",572365,"SL|SI","Strike","null","null"
"36","Pat Venditte",572365,"SL|SI","Strike","null","null"
"38","Pat Venditte",459431,"SI|SI","Strike","null","null"
"39","Pat Venditte",459431,"SI|SI","Hit","null","null"
"42","Pat Venditte",459431,"SL|SI","Strike","null","null"
"44","Pat Venditte",607680,"SL|SI","Foul","null","null"
"45","Pat Venditte",607680,"SI|SI","Foul","null","null"
"47","Pat Venditte",458675,"SL|SL","Foul","null","null"
"48","Pat Venditte",458675,"SL|SI","Hit","null","null"
"49","Pat Venditte",458675,"SI|SI","Strike","null","null"
"55","Pat Venditte",608577,"SL|SI","Strike","null","null"
"56","Pat Venditte",608577,"SI|SI","Foul","null","null"
"59","Pat Venditte",435622,"SL|SL","Hit","null","null"
"60","Pat Venditte",435622,"SL|SI","Foul","null","null"
"62","Pat Venditte",134181,"IN|IN","Hit","null","null"
"63","Pat Venditte",134181,"IN|IN","Hit","null","null"
"64","Pat Venditte",134181,"IN|IN","Hit","null","null"
"66","Pat Venditte",596059,"SI|SL","Foul","null","null"
"67","Pat Venditte",596059,"SL|SI","Foul","null","null"
"72","Pat Venditte",518960,"SL|SL","Strike","null","null"
"77","Pat Venditte",462101,"SL|SI","Foul","null","null"
"78","Pat Venditte",462101,"SI|SI","Strike","null","null"
