"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"12","Pedro Baez",543216,"CH|FF","Foul","null","null"
"17","Pedro Baez",519043,"FF|FF","Hit","null","null"
"19","Pedro Baez",434636,"FF|FF","Foul","null","null"
"20","Pedro Baez",434636,"FF|FF","Strike","null","null"
"21","Pedro Baez",434636,"FF|CH","Hit","null","null"
"23","Pedro Baez",572863,"FT|FT","Foul","null","null"
"30","Pedro Baez",518934,"SL|SL","Hit","85.7","7.67"
"34","Pedro Baez",506924,"FF|FF","Hit","59.2","18.75"
"35","Pedro Baez",506924,"FF|FT","Foul","null","null"
"37","Pedro Baez",606132,"FF|FF","Foul","null","null"
"41","Pedro Baez",453568,"CH|FF","Foul","null","null"
"42","Pedro Baez",453568,"FF|FF","Foul","null","null"
"43","Pedro Baez",453568,"FF|FF","Hit","92.6","26.3"
"45","Pedro Baez",518934,"FT|FT","Hit","79.3","38.41"
"47","Pedro Baez",571448,"FF|FF","Strike","null","null"
"50","Pedro Baez",457763,"SL|FF","Foul","null","null"
"53","Pedro Baez",457763,"FF|FF","Foul","null","null"
"54","Pedro Baez",457763,"FF|FF","Foul","null","null"
"55","Pedro Baez",457763,"FF|FF","Foul","null","null"
"56","Pedro Baez",457763,"FF|FF","Hit","95.1","12.05"
"58","Pedro Baez",452254,"FF|FF","Hit","null","null"
"60","Pedro Baez",452254,"FF|FF","Foul","null","null"
"65","Pedro Baez",452254,"FF|FF","Hit","69.5","-19.63"
"66","Pedro Baez",452254,"FF|FF","Foul","null","null"
"68","Pedro Baez",491676,"SL|FF","Strike","null","null"
"71","Pedro Baez",491676,"FT|FF","Hit","94.7","0.99"
"73","Pedro Baez",592273,"FF|SL","Hit","96.6","4.33"
"75","Pedro Baez",592273,"SL|SL","Strike","null","null"
"77","Pedro Baez",571745,"FF|FF","Foul","null","null"
"79","Pedro Baez",571745,"CH|FF","Foul","null","null"
"80","Pedro Baez",571745,"FF|FF","Foul","null","null"
"84","Pedro Baez",594838,"CH|FF","Hit","97.2","12.2"
"89","Pedro Baez",516416,"FF|FF","Foul","null","null"
"92","Pedro Baez",594838,"SL|FF","Strike","null","null"
"93","Pedro Baez",594838,"FF|FF","Strike","null","null"
"94","Pedro Baez",594838,"FF|FF","Foul","null","null"
"99","Pedro Baez",502671,"FF|FF","Foul","null","null"
"101","Pedro Baez",502671,"SL|FF","Strike","null","null"
"103","Pedro Baez",596142,"FT|FF","Hit","102.9","-8.75"
"105","Pedro Baez",516770,"CH|SL","Hit","98.7","-11.7"
"106","Pedro Baez",516770,"SL|FF","Strike","null","null"
"109","Pedro Baez",452104,"CH|FF","Strike","null","null"
"116","Pedro Baez",544369,"FF|FF","Hit","88.6","52.02"
"118","Pedro Baez",516770,"FT|FT","Foul","null","null"
"122","Pedro Baez",592122,"FF|FF","Foul","null","null"
"124","Pedro Baez",592122,"FF|FF","Foul","null","null"
"128","Pedro Baez",592450,"SL|FF","Foul","null","null"
"130","Pedro Baez",592450,"FF|FF","Strike","null","null"
"133","Pedro Baez",452104,"FF|FF","Hit","74.4","-7.9"
"134","Pedro Baez",452104,"FF|CH","Strike","null","null"
"136","Pedro Baez",452104,"CH|FF","Foul","null","null"
"137","Pedro Baez",452104,"FF|FF","Foul","null","null"
"141","Pedro Baez",435263,"FF|FF","Hit","84.4","26.62"
"143","Pedro Baez",435263,"FF|FF","Strike","null","null"
"146","Pedro Baez",591720,"FT|FF","Hit","92.3","9.65"
"148","Pedro Baez",630111,"SL|SL","Strike","null","null"
"154","Pedro Baez",543302,"FF|FF","Strike","null","null"
"158","Pedro Baez",571745,"SL|CH","Strike","null","null"
"164","Pedro Baez",594838,"FF|SL","Hit","89","-18.46"
"165","Pedro Baez",594838,"SL|FF","Foul","null","null"
"167","Pedro Baez",594838,"SL|FF","Foul","null","null"
"169","Pedro Baez",502671,"FF|SL","Strike","null","null"
"170","Pedro Baez",502671,"SL|FF","Strike","null","null"
"173","Pedro Baez",571875,"FT|CH","Foul","null","null"
"174","Pedro Baez",571875,"CH|FF","Hit","75.1","61.65"
"175","Pedro Baez",571875,"FF|CH","Strike","null","null"
"179","Pedro Baez",456078,"CH|FF","Hit","96.8","-1.43"
"181","Pedro Baez",630111,"FT|FF","Foul","null","null"
"184","Pedro Baez",630111,"FF|FT","Hit","99","16.06"
"186","Pedro Baez",571448,"FF|FT","Strike","null","null"
"188","Pedro Baez",621311,"CH|FT","Strike","null","null"
"193","Pedro Baez",467827,"FF|CH","Strike","null","null"
"195","Pedro Baez",467827,"FF|FF","Foul","null","null"
"196","Pedro Baez",467827,"FF|FF","Hit","65","18.48"
"199","Pedro Baez",460026,"SL|FF","Strike","null","null"
"200","Pedro Baez",460026,"FF|FF","Foul","null","null"
"205","Pedro Baez",595879,"FT|FF","Foul","null","null"
"206","Pedro Baez",595879,"FF|FT","Foul","null","null"
"208","Pedro Baez",595879,"FT|FT","Foul","null","null"
"209","Pedro Baez",595879,"FT|FT","Hit","71","-25.4"
"211","Pedro Baez",518792,"CH|FT","Foul","null","null"
"212","Pedro Baez",518792,"FT|FT","Foul","null","null"
"213","Pedro Baez",518792,"FT|FT","Strike","null","null"
"214","Pedro Baez",518792,"FT|FT","Foul","null","null"
"215","Pedro Baez",518792,"FT|FT","Foul","null","null"
"216","Pedro Baez",518792,"FT|CH","Hit","96","11.51"
"218","Pedro Baez",451594,"CH|FF","Foul","null","null"
"220","Pedro Baez",451594,"FT|FF","Foul","null","null"
"221","Pedro Baez",451594,"FF|FT","Foul","null","null"
"223","Pedro Baez",451594,"FF|FT","Foul","null","null"
"226","Pedro Baez",592178,"FT|FT","Foul","null","null"
"227","Pedro Baez",592178,"FT|FF","Foul","null","null"
"230","Pedro Baez",592178,"FT|FF","Strike","null","null"
"234","Pedro Baez",608365,"SL|FF","Strike","null","null"
"237","Pedro Baez",518792,"FF|FF","Foul","null","null"
"238","Pedro Baez",518792,"FF|FF","Foul","null","null"
"239","Pedro Baez",518792,"FF|FF","Foul","null","null"
"240","Pedro Baez",518792,"FF|FT","Hit","93.1","31.74"
"241","Pedro Baez",518792,"FT|FF","Foul","null","null"
"243","Pedro Baez",518792,"CH|FF","Foul","null","null"
"246","Pedro Baez",624585,"FF|SL","Strike","null","null"
"248","Pedro Baez",452655,"FT|CH","Hit","72.2","65.4"
"253","Pedro Baez",474832,"FF|CH","Foul","null","null"
"257","Pedro Baez",501303,"FT|FF","Strike","null","null"
"258","Pedro Baez",501303,"FF|FF","Strike","null","null"
"261","Pedro Baez",571740,"FT|FT","Foul","null","null"
"262","Pedro Baez",571740,"FT|FF","Hit","89.5","34.16"
"264","Pedro Baez",606299,"CH|FF","Foul","null","null"
"265","Pedro Baez",606299,"FF|FF","Foul","null","null"
"267","Pedro Baez",606299,"CH|SL","Foul","null","null"
"268","Pedro Baez",606299,"SL|SL","Hit","75.7","2.1"
"271","Pedro Baez",458015,"FT|FF","Hit","98.7","21.6"
"274","Pedro Baez",594807,"SL|FF","Hit","99.7","52.47"
"284","Pedro Baez",594988,"FF|FT","Strike","null","null"
"285","Pedro Baez",594988,"FT|FF","Foul","null","null"
"287","Pedro Baez",571740,"FF|FF","Strike","null","null"
"290","Pedro Baez",571740,"SL|FT","Strike","null","null"
"294","Pedro Baez",408252,"CH|FT","Hit","101.5","-5.8"
"298","Pedro Baez",458015,"FF|CH","Hit","77.1","17.54"
"303","Pedro Baez",408252,"FF|FT","Hit","96.5","-12.21"
"306","Pedro Baez",553993,"FF|FF","Strike","null","null"
"311","Pedro Baez",594988,"FF|FF","Foul","null","null"
"316","Pedro Baez",571466,"FT|FF","Foul","null","null"
"322","Pedro Baez",429667,"FT|CH","Strike","null","null"
"323","Pedro Baez",429667,"CH|FT","Foul","null","null"
"324","Pedro Baez",429667,"FT|FT","Hit","109.2","37.35"
"327","Pedro Baez",519237,"CH|FT","Foul","null","null"
"329","Pedro Baez",519237,"FF|FF","Strike","null","null"
"335","Pedro Baez",520471,"CH|FF","Strike","null","null"
"338","Pedro Baez",488721,"FT|FT","Foul","null","null"
"344","Pedro Baez",457705,"FT|FT","Hit","72.1","17.02"
"346","Pedro Baez",570256,"FF|CH","Hit","59.9","40.31"
"349","Pedro Baez",501896,"FF|FF","Hit","100.1","25.02"
"351","Pedro Baez",501896,"SL|FF","Strike","null","null"
"354","Pedro Baez",465041,"FT|SL","Hit","80","-2.76"
"356","Pedro Baez",474568,"null|FT","Hit","88.3","50.25"
"357","Pedro Baez",474568,"FT|FF","Strike","null","null"
"362","Pedro Baez",596748,"SL|FT","Strike","null","null"
"364","Pedro Baez",571830,"FT|FT","Strike","null","null"
"365","Pedro Baez",571830,"FT|FT","Hit","102.5","25.85"
"367","Pedro Baez",519237,"FF|SL","Hit","76","15.59"
"368","Pedro Baez",519237,"SL|SL","Strike","null","null"
"370","Pedro Baez",546318,"FF|FF","Foul","null","null"
"373","Pedro Baez",517370,"FT|FF","Foul","null","null"
"375","Pedro Baez",517370,"FT|CH","Foul","null","null"
"378","Pedro Baez",543768,"CH|CH","Strike","null","null"
"380","Pedro Baez",431094,"SL|FF","Hit","93.9","40.11"
"381","Pedro Baez",431094,"FF|FF","Strike","null","null"
"384","Pedro Baez",643217,"FF|FT","Strike","null","null"
"386","Pedro Baez",501255,"CH|SL","Foul","null","null"
"389","Pedro Baez",501255,"FF|FF","Hit","90.3","25.35"
"392","Pedro Baez",542436,"FF|FF","Foul","null","null"
"399","Pedro Baez",547172,"FF|FF","Hit","97.4","-4.98"
"402","Pedro Baez",430605,"SL|SL","Foul","null","null"
"403","Pedro Baez",430605,"SL|FF","Hit","96.2","1.09"
"405","Pedro Baez",453568,"FF|CH","Foul","null","null"
"409","Pedro Baez",453568,"FT|FF","Hit","94.3","34.94"
"411","Pedro Baez",592273,"SL|FF","Foul","null","null"
"412","Pedro Baez",592273,"FF|FF","Strike","null","null"
"414","Pedro Baez",592273,"FF|FT","Foul","null","null"
"419","Pedro Baez",502671,"CH|FF","Foul","null","null"
"420","Pedro Baez",502671,"FF|FF","Hit","null","null"
"421","Pedro Baez",502671,"FF|SL","Strike","null","null"
"425","Pedro Baez",592273,"FT|FT","Hit","83.9","-7.78"
"426","Pedro Baez",592273,"FT|FF","Strike","null","null"
"429","Pedro Baez",456078,"FF|SL","Strike","null","null"
"430","Pedro Baez",456078,"SL|FF","Strike","null","null"
"435","Pedro Baez",456422,"CH|FF","Hit","92.5","43.44"
"438","Pedro Baez",630111,"SL|FF","Foul","null","null"
"439","Pedro Baez",630111,"FF|CH","Hit","89.6","-20.48"
"442","Pedro Baez",502671,"FF|FF","Hit","107.2","17.44"
"445","Pedro Baez",542455,"FT|FF","Hit","88.2","64.98"
"446","Pedro Baez",542455,"FF|CH","Strike","null","null"
"447","Pedro Baez",542455,"CH|FT","Foul","null","null"
"450","Pedro Baez",489149,"FF|FF","Hit","null","null"
"454","Pedro Baez",407812,"SL|FT","Foul","null","null"
"455","Pedro Baez",407812,"FT|FT","Hit","89.6","47.48"
"458","Pedro Baez",576397,"FT|FF","Foul","null","null"
"464","Pedro Baez",425877,"FF|FT","Hit","101.8","0.58"
"467","Pedro Baez",425877,"FF|FF","Foul","null","null"
"470","Pedro Baez",572039,"SL|FF","Hit","93.4","44.74"
"473","Pedro Baez",407812,"FF|FF","Foul","null","null"
"474","Pedro Baez",407812,"FF|FF","Foul","null","null"
"478","Pedro Baez",544931,"FF|FF","Foul","null","null"
"479","Pedro Baez",544931,"FF|FF","Foul","null","null"
"481","Pedro Baez",544931,"CH|FF","Strike","null","null"
"482","Pedro Baez",544931,"FF|FT","Foul","null","null"
"484","Pedro Baez",544931,"SL|FT","Foul","null","null"
"487","Pedro Baez",607208,"FT|FT","Foul","null","null"
"489","Pedro Baez",607208,"FF|FF","Foul","null","null"
"490","Pedro Baez",607208,"FF|FF","Foul","null","null"
"491","Pedro Baez",607208,"FF|FF","Hit","null","null"
"492","Pedro Baez",607208,"FF|FT","Strike","null","null"
"495","Pedro Baez",607208,"CH|FT","Foul","null","null"
"496","Pedro Baez",607208,"FT|FF","Foul","null","null"
"497","Pedro Baez",607208,"FF|FF","Foul","null","null"
"501","Pedro Baez",592273,"FT|FF","Strike","null","null"
"502","Pedro Baez",592273,"FF|FF","Strike","null","null"
"503","Pedro Baez",592273,"FF|FF","Foul","null","null"
"505","Pedro Baez",592273,"SL|FT","Foul","null","null"
"510","Pedro Baez",605113,"FT|FF","Strike","null","null"
"511","Pedro Baez",605113,"FF|FF","Hit","98.6","-0.21"
"514","Pedro Baez",543302,"CH|FF","Strike","null","null"
"516","Pedro Baez",543302,"FF|CH","Strike","null","null"
"517","Pedro Baez",543302,"CH|SL","Hit","90.7","4.99"
"520","Pedro Baez",592273,"FF|SL","Hit","null","null"
"522","Pedro Baez",630111,"FT|FF","Hit","105","-11.86"
"525","Pedro Baez",630111,"FF|FT","Foul","null","null"
"528","Pedro Baez",500208,"FF|FT","Foul","null","null"
"530","Pedro Baez",500208,"CH|FF","Hit","101.7","15.96"
"533","Pedro Baez",542194,"SL|FT","Foul","null","null"
"534","Pedro Baez",542194,"FT|SL","Strike","null","null"
"536","Pedro Baez",542194,"FT|FT","Foul","null","null"
"542","Pedro Baez",543105,"FT|FF","Hit","75.7","60.58"
"546","Pedro Baez",425834,"FF|FF","Strike","null","null"
"551","Pedro Baez",608671,"CH|FF","Foul","null","null"
"552","Pedro Baez",608671,"FF|FT","Hit","null","null"
"553","Pedro Baez",608671,"FT|SL","Strike","null","null"
"559","Pedro Baez",448801,"FF|FF","Foul","null","null"
"562","Pedro Baez",448801,"FF|CH","Strike","null","null"
"565","Pedro Baez",444432,"SL|FF","Foul","null","null"
"569","Pedro Baez",444432,"FF|FT","Foul","null","null"
"572","Pedro Baez",572073,"FF|FT","Strike","null","null"
"575","Pedro Baez",592518,"SL|FF","Hit","72","50.07"
"577","Pedro Baez",444432,"FF|FT","Strike","null","null"
"582","Pedro Baez",448801,"FF|FF","Foul","null","null"
"586","Pedro Baez",429666,"FT|FF","Hit","87.2","57.05"
"589","Pedro Baez",429666,"FF|FT","Strike","null","null"
"593","Pedro Baez",571448,"FF|SL","Strike","null","null"
"596","Pedro Baez",471865,"FF|CH","Foul","null","null"
"604","Pedro Baez",448602,"FF|SL","Strike","null","null"
"606","Pedro Baez",518614,"FF|FF","Strike","null","null"
"609","Pedro Baez",460075,"FT|FF","Strike","null","null"
"612","Pedro Baez",518960,"FF|FT","Strike","null","null"
"613","Pedro Baez",518960,"FT|FF","Hit","91.6","2.67"
"615","Pedro Baez",628356,"FF|FF","Strike","null","null"
"618","Pedro Baez",628356,"SL|FF","Foul","null","null"
"620","Pedro Baez",516782,"FF|FF","Foul","null","null"
"621","Pedro Baez",516782,"FF|FF","Foul","null","null"
"623","Pedro Baez",624428,"FF|FF","Foul","null","null"
"624","Pedro Baez",624428,"FF|CH","Hit","97","20.37"
"626","Pedro Baez",446481,"SL|FF","Foul","null","null"
"627","Pedro Baez",446481,"FF|SL","Foul","null","null"
"628","Pedro Baez",446481,"SL|FF","Foul","null","null"
"630","Pedro Baez",446481,"FF|FF","Foul","null","null"
"631","Pedro Baez",446481,"FF|FT","Hit","76.2","-29.71"
"633","Pedro Baez",516782,"FT|FF","Hit","71.9","-3.15"
"634","Pedro Baez",516782,"FF|SL","Strike","null","null"
"636","Pedro Baez",457787,"FF|FF","Hit","94.2","67.5"
"640","Pedro Baez",467092,"FF|CH","Hit","108.4","23.78"
"643","Pedro Baez",475582,"FF|SL","Foul","null","null"
"644","Pedro Baez",475582,"SL|FF","Foul","null","null"
"645","Pedro Baez",475582,"FF|FF","Foul","null","null"
"646","Pedro Baez",475582,"FF|FF","Foul","null","null"
"655","Pedro Baez",150029,"FF|FF","Foul","null","null"
"656","Pedro Baez",150029,"FF|FF","Foul","null","null"
"657","Pedro Baez",150029,"FF|FT","Foul","null","null"
"658","Pedro Baez",150029,"FT|FF","Strike","null","null"
"662","Pedro Baez",150029,"FF|FF","Foul","null","null"
"667","Pedro Baez",543685,"FF|FF","Foul","null","null"
"668","Pedro Baez",543685,"FF|SL","Strike","null","null"
"670","Pedro Baez",543685,"FF|FF","Hit","86.9","14.37"
"674","Pedro Baez",542340,"FF|FF","Strike","null","null"
"675","Pedro Baez",542340,"FF|FF","Foul","null","null"
"680","Pedro Baez",460075,"FF|FF","Hit","105.7","0.13"
"681","Pedro Baez",460075,"FF|FF","Foul","null","null"
"687","Pedro Baez",570717,"FF|CH","Hit","97.3","6.97"
"691","Pedro Baez",571697,"CH|FT","Foul","null","null"
"694","Pedro Baez",571697,"FF|CH","Strike","null","null"
