"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Raul Alcantara",493114,"FF|FF","Foul","null","null"
"5","Raul Alcantara",493114,"CH|FF","Strike","null","null"
"6","Raul Alcantara",493114,"FF|FF","Strike","null","null"
"7","Raul Alcantara",493114,"FF|FF","Foul","null","null"
"9","Raul Alcantara",493114,"FF|CH","Foul","null","null"
"12","Raul Alcantara",452234,"FT|FF","Foul","null","null"
"14","Raul Alcantara",452234,"FF|FF","Hit","100.5","21.78"
"17","Raul Alcantara",443558,"CU|SL","Strike","null","null"
"26","Raul Alcantara",452252,"FF|CH","Hit","101.1","-10.65"
"27","Raul Alcantara",452252,"CH|FF","Strike","null","null"
"29","Raul Alcantara",547982,"CH|CH","Strike","null","null"
"30","Raul Alcantara",547982,"CH|FF","Strike","null","null"
"33","Raul Alcantara",493114,"FF|FF","Foul","null","null"
"37","Raul Alcantara",443558,"FF|SL","Hit","103.5","26.59"
"38","Raul Alcantara",443558,"SL|SL","Strike","null","null"
"39","Raul Alcantara",443558,"SL|SL","Strike","null","null"
"44","Raul Alcantara",572122,"CH|FF","Strike","null","null"
"46","Raul Alcantara",606466,"CH|FF","Strike","null","null"
"48","Raul Alcantara",429664,"CH|FF","Hit","106.8","20.48"
"50","Raul Alcantara",429664,"FF|CH","Hit","102.4","27.19"
"54","Raul Alcantara",595777,"FF|FF","Foul","null","null"
"55","Raul Alcantara",595777,"FF|null","Hit","null","null"
"57","Raul Alcantara",608577,"FF|FF","Hit","null","null"
"61","Raul Alcantara",608577,"FF|FF","Strike","null","null"
"63","Raul Alcantara",608336,"FF|FF","Strike","null","null"
"64","Raul Alcantara",608336,"FF|FF","Strike","null","null"
"65","Raul Alcantara",608336,"FF|FF","Strike","null","null"
"67","Raul Alcantara",607387,"FF|FF","Strike","null","null"
"68","Raul Alcantara",607387,"FF|FF","Strike","null","null"
"69","Raul Alcantara",607387,"FF|FT","Hit","null","null"
"71","Raul Alcantara",462101,"FF|SL","Foul","null","null"
"74","Raul Alcantara",462101,"FF|SL","Foul","null","null"
"79","Raul Alcantara",592261,"CU|FF","Hit","76.6","-25.34"
"80","Raul Alcantara",592261,"FF|FT","Strike","null","null"
"82","Raul Alcantara",592261,"FF|SL","Strike","null","null"
"84","Raul Alcantara",608577,"FF|CH","Strike","null","null"
"85","Raul Alcantara",608577,"CH|FF","Strike","null","null"
"86","Raul Alcantara",608577,"FF|FF","Foul","null","null"
"90","Raul Alcantara",608336,"FF|FF","Strike","null","null"
"92","Raul Alcantara",608336,"CH|CH","Hit","null","null"
"97","Raul Alcantara",592419,"CH|FF","Hit","102.7","-1.24"
"100","Raul Alcantara",462101,"FT|CH","Hit","87.5","-10.81"
"102","Raul Alcantara",455139,"FF|CH","Strike","null","null"
"103","Raul Alcantara",455139,"CH|FF","Strike","null","null"
"105","Raul Alcantara",593643,"FT|SL","Hit","73.2","-21.03"
"106","Raul Alcantara",593643,"SL|CH","Strike","null","null"
"107","Raul Alcantara",593643,"CH|FT","Foul","null","null"
"109","Raul Alcantara",592261,"FT|SL","Hit","null","null"
"110","Raul Alcantara",592261,"SL|FT","Strike","null","null"
"112","Raul Alcantara",592261,"FT|CH","Foul","null","null"
"116","Raul Alcantara",608336,"CU|CH","Foul","null","null"
"117","Raul Alcantara",608336,"CH|FF","Foul","null","null"
"119","Raul Alcantara",607387,"FT|CH","Hit","null","null"
"123","Raul Alcantara",592419,"FF|CH","Hit","96","35.61"
"125","Raul Alcantara",462101,"FT|CH","Hit","104.4","27.65"
"127","Raul Alcantara",455139,"SL|SL","Hit","88.9","37.45"
"132","Raul Alcantara",460576,"FF|FF","Strike","null","null"
"134","Raul Alcantara",460576,"FT|SL","Foul","null","null"
"136","Raul Alcantara",435622,"FF|SL","Foul","null","null"
"137","Raul Alcantara",435622,"SL|FT","Hit","null","null"
"138","Raul Alcantara",435622,"FT|FF","Strike","null","null"
"139","Raul Alcantara",435622,"FF|FF","Foul","null","null"
"146","Raul Alcantara",134181,"FT|FT","Hit","null","null"
"147","Raul Alcantara",134181,"FT|FF","Strike","null","null"
"150","Raul Alcantara",596059,"FF|CH","Hit","82.8","-13.51"
"153","Raul Alcantara",518960,"FT|FF","Foul","null","null"
"154","Raul Alcantara",518960,"FF|CU","Hit","86.6","28.88"
"155","Raul Alcantara",518960,"CU|FF","Strike","null","null"
"156","Raul Alcantara",518960,"FF|SL","Strike","null","null"
"158","Raul Alcantara",608577,"FF|FF","Foul","null","null"
"161","Raul Alcantara",608577,"FF|FF","Hit","91.3","19.56"
"163","Raul Alcantara",460576,"FF|SL","Strike","null","null"
"165","Raul Alcantara",460576,"FF|FF","Hit","99.2","14.62"
"168","Raul Alcantara",435622,"FF|CH","Hit","85.2","47.94"
"172","Raul Alcantara",518960,"FF|FF","Hit","67.4","16.87"
"174","Raul Alcantara",519048,"CH|FF","Hit","null","null"
"176","Raul Alcantara",519048,"FF|CH","Hit","92.1","20.13"
"178","Raul Alcantara",608577,"FF|FF","Foul","null","null"
"180","Raul Alcantara",608577,"FT|FF","Hit","null","null"
"187","Raul Alcantara",136860,"CH|FF","Foul","null","null"
"191","Raul Alcantara",136860,"CH|CH","Strike","null","null"
