"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"3","Rob Scahill",471865,"SL|FT","Strike","null","null"
"5","Rob Scahill",471865,"FT|FT","Hit","99.7","-6.12"
"9","Rob Scahill",608596,"FT|CU","Hit","null","null"
"11","Rob Scahill",641958,"FF|FF","Strike","null","null"
"14","Rob Scahill",642162,"SL|FF","Strike","null","null"
"16","Rob Scahill",642162,"SL|CU","Strike","null","null"
"17","Rob Scahill",642162,"CU|CU","Foul","null","null"
"21","Rob Scahill",608566,"FT|FT","Foul","null","null"
"23","Rob Scahill",608566,"FF|FF","Strike","null","null"
"27","Rob Scahill",453568,"FT|FF","Foul","null","null"
"29","Rob Scahill",621311,"FT|CU","Foul","null","null"
"32","Rob Scahill",621311,"FF|FT","Foul","null","null"
"33","Rob Scahill",621311,"FT|FF","Hit","77.9","27.44"
"37","Rob Scahill",571448,"SL|SL","Hit","65.6","-13.64"
"38","Rob Scahill",571448,"SL|FF","Strike","null","null"
"42","Rob Scahill",460576,"SL|SL","Strike","null","null"
"44","Rob Scahill",608577,"FT|FT","Hit","99.2","-16.83"
"45","Rob Scahill",608577,"FT|FT","Strike","null","null"
"48","Rob Scahill",573185,"FF|FF","Hit","73.3","-24.13"
"50","Rob Scahill",606299,"SL|FT","Hit","95.6","-7.74"
"52","Rob Scahill",606299,"FT|FT","Strike","null","null"
"53","Rob Scahill",606299,"FT|CH","Foul","null","null"
"55","Rob Scahill",594988,"FT|FT","Hit","108.8","8.43"
"58","Rob Scahill",458015,"SL|FT","Foul","null","null"
"60","Rob Scahill",458015,"FT|SL","Foul","null","null"
"61","Rob Scahill",458015,"SL|SL","Foul","null","null"
"62","Rob Scahill",458015,"SL|FT","Foul","null","null"
"65","Rob Scahill",594807,"FT|SL","Hit","null","null"
"66","Rob Scahill",594807,"SL|FF","Foul","null","null"
"67","Rob Scahill",594807,"FF|FT","Strike","null","null"
"70","Rob Scahill",446481,"FT|SL","Foul","null","null"
"72","Rob Scahill",446481,"FF|FT","Foul","null","null"
"74","Rob Scahill",474568,"SL|FF","Strike","null","null"
"75","Rob Scahill",474568,"FF|FF","Strike","null","null"
"78","Rob Scahill",474568,"FF|FT","Hit","74.5","-28.17"
"80","Rob Scahill",501896,"FT|SL","Foul","null","null"
"83","Rob Scahill",501896,"SL|FF","Strike","null","null"
"86","Rob Scahill",519333,"FT|FF","Hit","80.2","47"
"89","Rob Scahill",493128,"FT|FT","Foul","null","null"
"90","Rob Scahill",493128,"FT|FF","Foul","null","null"
"92","Rob Scahill",471083,"FT|CU","Hit","null","null"
"93","Rob Scahill",471083,"CU|FT","Strike","null","null"
