"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Tommy Layne",446308,"CH|FT","Hit","104.1","36.12"
"3","Tommy Layne",446308,"FT|SL","Foul","null","null"
"4","Tommy Layne",446308,"SL|FT","Foul","null","null"
"6","Tommy Layne",448801,"CU|FT","Foul","null","null"
"8","Tommy Layne",448801,"FF|CU","Strike","null","null"
"18","Tommy Layne",643217,"SL|CU","Strike","null","null"
"20","Tommy Layne",431094,"SL|FF","Strike","null","null"
"24","Tommy Layne",598265,"FT|FT","Hit","101.6","-6.62"
"26","Tommy Layne",643217,"FT|FT","Foul","null","null"
"29","Tommy Layne",643217,"SL|CU","Strike","null","null"
"30","Tommy Layne",643217,"CU|CU","Swinging Strike","null","null"
"34","Tommy Layne",456030,"FT|FF","Hit","74.9","0.89"
"35","Tommy Layne",456030,"FF|CU","Strike","null","null"
"37","Tommy Layne",518626,"CU|CU","Hit","94.3","46.42"
"38","Tommy Layne",518626,"CU|SL","Foul","null","null"
"39","Tommy Layne",518626,"SL|CU","Strike","null","null"
"43","Tommy Layne",429665,"CH|SL","Swinging Strike","null","null"
"45","Tommy Layne",429665,"FT|SL","Strike","null","null"
"48","Tommy Layne",425900,"SL|FT","Strike","null","null"
"51","Tommy Layne",425900,"SL|CU","Hit","75.3","41.5"
"53","Tommy Layne",453064,"FT|CH","Hit","75.8","39.73"
"54","Tommy Layne",453064,"CH|SL","Strike","null","null"
"58","Tommy Layne",431145,"FT|FT","Strike","null","null"
"59","Tommy Layne",431145,"FT|SL","Hit","54.7","-79.94"
"62","Tommy Layne",572816,"CU|CU","Strike","null","null"
"63","Tommy Layne",572816,"CU|FT","Foul","null","null"
"64","Tommy Layne",572816,"FT|CU","Hit","100.8","22.88"
"65","Tommy Layne",572816,"CU|FT","Foul","null","null"
"66","Tommy Layne",572816,"FT|CU","Swinging Strike","null","null"
"68","Tommy Layne",572816,"FT|FT","Foul","null","null"
"70","Tommy Layne",598265,"CU|CU","Strike","null","null"
"72","Tommy Layne",598265,"SL|FT","Swinging Strike","null","null"
"74","Tommy Layne",543877,"FT|CH","Strike","null","null"
"75","Tommy Layne",543877,"CH|FT","Foul","null","null"
"77","Tommy Layne",543877,"CU|CH","Hit","null","null"
"80","Tommy Layne",120074,"FT|CU","Hit","91.9","30.43"
"82","Tommy Layne",431094,"CH|CU","Swinging Strike","null","null"
"83","Tommy Layne",431094,"CU|SL","Strike","null","null"
"85","Tommy Layne",592626,"CU|CU","Foul","null","null"
"86","Tommy Layne",592626,"CU|CU","Strike","null","null"
"87","Tommy Layne",592626,"CU|FT","Swinging Strike","null","null"
"88","Tommy Layne",592626,"FT|CU","Hit","95.3","4.67"
"90","Tommy Layne",592808,"SL|FT","Strike","null","null"
"92","Tommy Layne",592808,"CU|SL","Strike","null","null"
"94","Tommy Layne",592808,"CU|CU","Hit","null","null"
"99","Tommy Layne",572816,"CU|CU","Swinging Strike","null","null"
"100","Tommy Layne",572816,"CU|CU","Swinging Strike","null","null"
"103","Tommy Layne",489149,"FT|CU","Strike","null","null"
"106","Tommy Layne",543543,"FT|CU","Strike","null","null"
"109","Tommy Layne",489149,"CU|CU","Swinging Strike","null","null"
"111","Tommy Layne",489149,"CU|CU","Swinging Strike","null","null"
"113","Tommy Layne",425834,"SL|SL","Foul","null","null"
"114","Tommy Layne",425834,"SL|CU","Foul","null","null"
"116","Tommy Layne",425834,"CU|SL","Strike","null","null"
"118","Tommy Layne",425834,"SL|CU","Foul","null","null"
"122","Tommy Layne",431145,"FT|CU","Hit","62.6","31.46"
"124","Tommy Layne",431145,"SL|SL","Strike","null","null"
"125","Tommy Layne",431145,"SL|SL","Strike","null","null"
"128","Tommy Layne",476883,"FT|FT","Hit","76.4","36.28"
"131","Tommy Layne",460086,"CU|CU","Strike","null","null"
"132","Tommy Layne",460086,"CU|CU","Hit","94.7","29.81"
"135","Tommy Layne",434778,"FF|SL","Foul","null","null"
"136","Tommy Layne",434778,"SL|CU","Foul","null","null"
"140","Tommy Layne",460086,"CU|CU","Strike","null","null"
"143","Tommy Layne",446308,"FT|CU","Foul","null","null"
"144","Tommy Layne",446308,"CU|SL","Foul","null","null"
"145","Tommy Layne",446308,"SL|SL","Strike","null","null"
"146","Tommy Layne",446308,"SL|CU","Foul","null","null"
"150","Tommy Layne",429666,"SL|FF","Strike","null","null"
"151","Tommy Layne",429666,"FF|CU","Hit","60","-60.53"
"153","Tommy Layne",474865,"CU|FT","Strike","null","null"
"156","Tommy Layne",476883,"CU|FT","Hit","80","-41.75"
"163","Tommy Layne",606466,"SL|CU","Foul","null","null"
"164","Tommy Layne",606466,"CU|FF","Strike","null","null"
"165","Tommy Layne",606466,"FF|CU","Hit","null","null"
"167","Tommy Layne",452252,"FT|CU","Foul","null","null"
"168","Tommy Layne",452252,"CU|CU","Strike","null","null"
"169","Tommy Layne",452252,"CU|CU","Hit","67.1","47.24"
"172","Tommy Layne",594777,"SL|CU","Strike","null","null"
"176","Tommy Layne",594777,"SL|CU","Foul","null","null"
"180","Tommy Layne",545361,"SL|CU","Swinging Strike","null","null"
"182","Tommy Layne",545361,"FF|SL","Strike","null","null"
"183","Tommy Layne",545361,"SL|SL","Strike","null","null"
"185","Tommy Layne",502544,"CU|SL","Strike","null","null"
"187","Tommy Layne",594777,"CU|CU","Strike","null","null"
"192","Tommy Layne",485567,"FT|SL","Strike","null","null"
"194","Tommy Layne",446381,"CU|FF","Strike","null","null"
"195","Tommy Layne",446381,"FF|FT","Swinging Strike","null","null"
"198","Tommy Layne",571553,"FT|FT","Foul","null","null"
"201","Tommy Layne",571553,"SL|CU","Strike","null","null"
"203","Tommy Layne",581527,"SL|FF","Strike","null","null"
"204","Tommy Layne",581527,"FF|CU","Strike","null","null"
"206","Tommy Layne",571553,"CU|CU","Hit","94.3","22.98"
"207","Tommy Layne",571553,"CU|CU","Strike","null","null"
"211","Tommy Layne",622110,"CU|FT","Swinging Strike","null","null"
"212","Tommy Layne",622110,"FT|FF","Strike","null","null"
"214","Tommy Layne",622110,"FF|CU","Foul","null","null"
"217","Tommy Layne",519306,"FF|CU","Hit","71.7","-19.78"
"219","Tommy Layne",431094,"SL|SL","Foul","null","null"
"220","Tommy Layne",431094,"SL|CU","Swinging Strike","null","null"
"221","Tommy Layne",431094,"CU|FF","Strike","null","null"
"225","Tommy Layne",506702,"SL|FF","Strike","null","null"
"228","Tommy Layne",643217,"CU|FT","Hit","null","null"
"232","Tommy Layne",120074,"CU|CU","Foul","null","null"
"234","Tommy Layne",120074,"SL|CU","Strike","null","null"
"238","Tommy Layne",434670,"SL|FF","Hit","90.6","8.89"
"240","Tommy Layne",598265,"CU|CU","Swinging Strike","null","null"
"241","Tommy Layne",598265,"CU|SL","Strike","null","null"
"243","Tommy Layne",598265,"CU|FT","Swinging Strike","null","null"
"245","Tommy Layne",543768,"CH|SL","Strike","null","null"
"246","Tommy Layne",543768,"SL|FT","Foul","null","null"
"248","Tommy Layne",571788,"CU|SL","Strike","null","null"
"249","Tommy Layne",571788,"SL|FT","Hit","null","null"
"251","Tommy Layne",594777,"FT|CU","Swinging Strike","null","null"
"252","Tommy Layne",594777,"CU|CU","Strike","null","null"
"256","Tommy Layne",457708,"FT|FT","Hit","95.2","22.88"
"260","Tommy Layne",449107,"SL|FF","Hit","99.1","-26.83"
"261","Tommy Layne",449107,"FF|FF","Foul","null","null"
"267","Tommy Layne",607385,"FT|FT","Hit","94","7.86"
"269","Tommy Layne",592696,"FT|FT","Swinging Strike","null","null"
"271","Tommy Layne",518542,"FT|FT","Strike","null","null"
"277","Tommy Layne",500871,"FF|CU","Hit","93.1","-8.01"
"286","Tommy Layne",543063,"FF|SL","Foul","null","null"
"289","Tommy Layne",474832,"FT|FF","Strike","null","null"
"291","Tommy Layne",543063,"FF|SL","Swinging Strike","null","null"
"293","Tommy Layne",543063,"FF|FT","Strike","null","null"
"297","Tommy Layne",457763,"CU|FT","Hit","null","null"
"299","Tommy Layne",457763,"CU|CU","Strike","null","null"
"300","Tommy Layne",457763,"CU|FF","Foul","null","null"
"301","Tommy Layne",457763,"FF|SL","Foul","null","null"
"306","Tommy Layne",453056,"FT|FT","Foul","null","null"
"308","Tommy Layne",453056,"FF|FT","Hit","97.4","-14.49"
"310","Tommy Layne",596059,"FT|FF","Swinging Strike","null","null"
"311","Tommy Layne",596059,"FF|FT","Swinging Strike","null","null"
"313","Tommy Layne",592419,"FF|FT","Foul","null","null"
"314","Tommy Layne",592419,"FT|CU","Foul","null","null"
"315","Tommy Layne",592419,"CU|FT","Foul","null","null"
"317","Tommy Layne",592419,"FT|FT","Foul","null","null"
"318","Tommy Layne",592419,"FT|SL","Hit","81.4","14.56"
"320","Tommy Layne",425902,"FT|FT","Swinging Strike","null","null"
"322","Tommy Layne",425902,"FT|FT","Swinging Strike","null","null"
"324","Tommy Layne",607387,"FF|FT","Foul","null","null"
"326","Tommy Layne",607387,"FT|FF","Strike","null","null"
"328","Tommy Layne",607387,"CU|FT","Swinging Strike","null","null"
"330","Tommy Layne",608577,"FT|CU","Hit","null","null"
"331","Tommy Layne",608577,"CU|FT","Strike","null","null"
"338","Tommy Layne",463610,"SL|FT","Hit","71.4","-17.89"
"340","Tommy Layne",463610,"SL|FT","Strike","null","null"
"342","Tommy Layne",542908,"SL|FF","Foul","null","null"
"343","Tommy Layne",542908,"FF|SL","Foul","null","null"
"346","Tommy Layne",542908,"CU|FF","Foul","null","null"
"349","Tommy Layne",592743,"SL|FT","Foul","null","null"
"351","Tommy Layne",592743,"FT|FT","Hit","63","-34.05"
"354","Tommy Layne",488862,"FT|SL","Strike","null","null"
"356","Tommy Layne",488862,"CU|SL","Hit","92.9","7.12"
"358","Tommy Layne",594777,"FT|FT","Hit","74.6","29.29"
"360","Tommy Layne",594777,"FT|FT","Strike","null","null"
"362","Tommy Layne",545338,"SL|SL","Hit","94.7","-7.64"
"364","Tommy Layne",592200,"FT|SL","Strike","null","null"
"368","Tommy Layne",592200,"SL|FT","Foul","null","null"
"370","Tommy Layne",523253,"CH|CH","Hit","103.3","26.07"
"372","Tommy Layne",542921,"SL|CU","Strike","null","null"
"374","Tommy Layne",542921,"FT|FF","Hit","71.2","16.25"
"378","Tommy Layne",600301,"FT|SL","Hit","null","null"
"380","Tommy Layne",519048,"FT|FT","Hit","null","null"
"383","Tommy Layne",608577,"SL|SL","Swinging Strike","null","null"
"386","Tommy Layne",608577,"SL|SL","Foul","null","null"
"388","Tommy Layne",425902,"SL|FT","Foul","null","null"
"389","Tommy Layne",425902,"FT|FT","Hit","77.3","59.47"
"392","Tommy Layne",425902,"FT|FT","Strike","null","null"
"393","Tommy Layne",425902,"FT|FT","Foul","null","null"
"395","Tommy Layne",462101,"SL|FT","Hit","96.7","17.05"
"397","Tommy Layne",596059,"FT|FT","Foul","null","null"
"398","Tommy Layne",596059,"FT|CU","Hit","107.2","15.42"
"400","Tommy Layne",595777,"SL|FT","Hit","100.9","18.08"
"402","Tommy Layne",435064,"FF|CU","Foul","null","null"
"403","Tommy Layne",435064,"CU|SL","Strike","null","null"
"405","Tommy Layne",435064,"CU|SL","Foul","null","null"
"406","Tommy Layne",435064,"SL|CU","Foul","null","null"
"407","Tommy Layne",435064,"CU|CH","Swinging Strike","null","null"
"410","Tommy Layne",425783,"FT|SL","Strike","null","null"
"411","Tommy Layne",425783,"SL|FT","Swinging Strike","null","null"
"413","Tommy Layne",425783,"SL|FT","Swinging Strike","null","null"
"417","Tommy Layne",543776,"SL|FT","Strike","null","null"
"421","Tommy Layne",641313,"FT|SL","Strike","null","null"
"423","Tommy Layne",541645,"FF|FT","Hit","101.5","-15.84"
"426","Tommy Layne",488671,"FT|FT","Hit","93.3","-3.72"
"427","Tommy Layne",488671,"FT|SL","Foul","null","null"
"430","Tommy Layne",594809,"FT|FT","Foul","null","null"
"432","Tommy Layne",547989,"SL|FF","Strike","null","null"
"434","Tommy Layne",547989,"CU|FT","Hit","88.5","-7.8"
"436","Tommy Layne",466320,"FF|FT","Swinging Strike","null","null"
"437","Tommy Layne",466320,"FT|SL","Strike","null","null"
"440","Tommy Layne",453943,"FF|FT","Strike","null","null"
"442","Tommy Layne",453943,"CU|SL","Swinging Strike","null","null"
"444","Tommy Layne",543434,"FT|FT","Strike","null","null"
"446","Tommy Layne",543434,"SL|SL","Strike","null","null"
"452","Tommy Layne",455104,"SL|FT","Strike","null","null"
"455","Tommy Layne",547982,"SL|FT","Foul","null","null"
"456","Tommy Layne",547982,"FT|FF","Hit","63.4","64.68"
"458","Tommy Layne",547982,"FT|FT","Foul","null","null"
"460","Tommy Layne",493114,"FF|SL","Hit","89.6","16.6"
"463","Tommy Layne",606466,"SL|SL","Strike","null","null"
"466","Tommy Layne",606466,"FT|FT","Hit","58","-4.03"
"468","Tommy Layne",429711,"FF|FT","Hit","83.1","-42.59"
"471","Tommy Layne",429664,"FT|SL","Foul","null","null"
"472","Tommy Layne",429664,"SL|FT","Hit","80.8","35.21"
"475","Tommy Layne",429664,"SL|SL","Foul","null","null"
"485","Tommy Layne",448801,"FT|FT","Hit","null","null"
"487","Tommy Layne",448801,"SL|FT","Foul","null","null"
"493","Tommy Layne",475253,"SL|FT","Hit","90.4","13.91"
"495","Tommy Layne",518614,"FT|FT","Swinging Strike","null","null"
"496","Tommy Layne",518614,"FT|FT","Strike","null","null"
"500","Tommy Layne",453568,"FT|FF","Hit","82.3","24.17"
"502","Tommy Layne",518934,"FT|FF","Foul","null","null"
"503","Tommy Layne",518934,"FF|FT","Hit","104.8","8.78"
"507","Tommy Layne",571448,"SL|FF","Foul","null","null"
"508","Tommy Layne",571448,"FF|FF","Strike","null","null"
"509","Tommy Layne",571448,"FF|FF","Swinging Strike","null","null"
"513","Tommy Layne",467827,"FT|FT","Strike","null","null"
"517","Tommy Layne",467793,"FT|FT","Hit","77.3","26.26"
"518","Tommy Layne",467793,"FT|SL","Strike","null","null"
"521","Tommy Layne",543401,"FT|FT","Strike","null","null"
"522","Tommy Layne",543401,"FT|FT","Hit","65.1","-14.26"
"524","Tommy Layne",543401,"FF|FT","Foul","null","null"
"525","Tommy Layne",543401,"FT|FT","Foul","null","null"
"526","Tommy Layne",543401,"FT|SL","Hit","71.2","6.47"
"528","Tommy Layne",543401,"FT|FT","Foul","null","null"
"530","Tommy Layne",467793,"SL|FT","Strike","null","null"
"531","Tommy Layne",467793,"FT|FT","Hit","82.7","-7.71"
"534","Tommy Layne",467793,"FF|SL","Foul","null","null"
"539","Tommy Layne",460086,"FF|FF","Strike","null","null"
"540","Tommy Layne",460086,"FF|FT","Strike","null","null"
"545","Tommy Layne",521692,"CU|FF","Strike","null","null"
"547","Tommy Layne",596144,"SL|CH","Swinging Strike","null","null"
"548","Tommy Layne",596144,"CH|FF","Strike","null","null"
"551","Tommy Layne",434778,"FT|SL","Foul","null","null"
"552","Tommy Layne",434778,"SL|SL","Strike","null","null"
"553","Tommy Layne",434778,"SL|FF","Hit","85.1","49.11"
"556","Tommy Layne",458675,"FF|FT","Strike","null","null"
"557","Tommy Layne",458675,"FT|FT","Foul","null","null"
"561","Tommy Layne",503556,"FT|SL","Foul","null","null"
"563","Tommy Layne",503556,"FF|SL","Foul","null","null"
"564","Tommy Layne",503556,"SL|FT","Hit","102","17.06"
"571","Tommy Layne",488771,"FT|FT","Swinging Strike","null","null"
"574","Tommy Layne",488771,"SL|FT","Strike","null","null"
"576","Tommy Layne",488771,"SL|SL","Foul","null","null"
"577","Tommy Layne",488771,"SL|CU","Foul","null","null"
"579","Tommy Layne",502210,"SL|FT","Foul","null","null"
"580","Tommy Layne",502210,"FT|FT","Foul","null","null"
"581","Tommy Layne",502210,"FT|SL","Foul","null","null"
"584","Tommy Layne",458085,"FT|SL","Hit","64.9","-46.04"
"585","Tommy Layne",458085,"SL|SL","Strike","null","null"
"589","Tommy Layne",475174,"CU|FT","Swinging Strike","null","null"
"590","Tommy Layne",475174,"FT|FT","Strike","null","null"
"592","Tommy Layne",572033,"FF|SL","Swinging Strike","null","null"
"593","Tommy Layne",572033,"SL|FT","Swinging Strike","null","null"
"594","Tommy Layne",572033,"FT|SL","Strike","null","null"
"597","Tommy Layne",136860,"SL|SL","Foul","null","null"
"598","Tommy Layne",136860,"SL|FF","Swinging Strike","null","null"
"599","Tommy Layne",136860,"FF|FF","Foul","null","null"
"601","Tommy Layne",554429,"FT|CU","Strike","null","null"
"604","Tommy Layne",554429,"SL|FT","Hit","null","null"
"609","Tommy Layne",458731,"SL|FT","Foul","null","null"
"614","Tommy Layne",407893,"FT|FT","Hit","97","-19.96"
"618","Tommy Layne",150229,"CU|FT","Hit","68.8","-56.55"
"619","Tommy Layne",150229,"FT|FF","Foul","null","6.76"
"625","Tommy Layne",607054,"FT|FT","Foul","null","null"
"627","Tommy Layne",607054,"SL|CU","Swinging Strike","null","null"
"629","Tommy Layne",430947,"SL|FT","Strike","null","null"
"631","Tommy Layne",605480,"SL|SL","Hit","105.3","17.88"
"632","Tommy Layne",605480,"SL|SL","Strike","null","null"
"635","Tommy Layne",455976,"SL|FT","Hit","101.6","-0.05"
"636","Tommy Layne",455976,"FT|FF","Foul","null","null"
"637","Tommy Layne",455976,"FF|FT","Foul","null","41.34"
"639","Tommy Layne",518692,"SL|FF","Hit","107.7","27.24"
"644","Tommy Layne",150229,"SL|FT","Hit","83.6","-2.99"
"646","Tommy Layne",430637,"SL|SL","Swinging Strike","null","null"
"647","Tommy Layne",430637,"SL|CU","Swinging Strike","null","null"
"653","Tommy Layne",472528,"SL|SL","Foul","null","null"
"656","Tommy Layne",488771,"FT|SL","Strike","null","null"
"658","Tommy Layne",488771,"FT|SL","Strike","null","null"
"660","Tommy Layne",446386,"FT|FT","Hit","87.9","-5.43"
"661","Tommy Layne",446386,"FT|FT","Foul","null","-30.59"
"663","Tommy Layne",457775,"FT|FT","Strike","null","null"
"665","Tommy Layne",543543,"SL|SL","Swinging Strike","null","null"
"668","Tommy Layne",543543,"SL|SL","Strike","null","null"
"671","Tommy Layne",519306,"FF|SL","Foul","null","null"
"673","Tommy Layne",519306,"FT|FF","Foul","null","47.69"
"674","Tommy Layne",519306,"FF|SL","Hit","null","null"
"677","Tommy Layne",572365,"FT|FT","Hit","72.2","17.55"
"679","Tommy Layne",459431,"SL|CU","Swinging Strike","null","null"
"682","Tommy Layne",448801,"SL|CU","Swinging Strike","null","null"
"684","Tommy Layne",448801,"SL|SL","Hit","98.8","31.06"
"685","Tommy Layne",448801,"SL|FT","Strike","null","null"
"688","Tommy Layne",446308,"FT|FT","Swinging Strike","null","null"
"689","Tommy Layne",446308,"FT|FT","Swinging Strike","null","null"
"690","Tommy Layne",446308,"FT|SL","Strike","null","null"
"693","Tommy Layne",476883,"CU|FT","Strike","null","null"
"694","Tommy Layne",476883,"FT|SL","Swinging Strike","null","null"
"698","Tommy Layne",429666,"CH|FT","Strike","null","null"
