"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Tyler Chatwood",452655,"FF|FC","In play, no out","97","5.09"
"3","Tyler Chatwood",452655,"FC|FT","Called Strike","null","null"
"4","Tyler Chatwood",452655,"FT|FC","Swinging Strike","null","null"
"5","Tyler Chatwood",452655,"FC|FF","Ball","null","null"
"7","Tyler Chatwood",474832,"FF|FC","Swinging Strike","null","null"
"8","Tyler Chatwood",474832,"FC|FF","Foul","null","null"
"10","Tyler Chatwood",452254,"FF|FF","Called Strike","null","null"
"11","Tyler Chatwood",452254,"FF|FC","Ball","null","null"
"12","Tyler Chatwood",452254,"FC|FC","Swinging Strike","null","null"
"13","Tyler Chatwood",452254,"FC|FT","In play, no out","97.8","2.52"
"14","Tyler Chatwood",452254,"FT|CH","Ball","null","null"
"16","Tyler Chatwood",543063,"FF|FC","Swinging Strike","null","null"
"17","Tyler Chatwood",543063,"FC|FT","Called Strike","null","null"
"18","Tyler Chatwood",543063,"FT|FT","Ball","null","null"
"19","Tyler Chatwood",543063,"FT|FF","Foul","null","null"
"21","Tyler Chatwood",605412,"FF|FC","Foul","null","null"
"22","Tyler Chatwood",605412,"FC|FT","Ball","null","null"
"23","Tyler Chatwood",605412,"FT|FF","Foul","null","null"
"24","Tyler Chatwood",605412,"FF|FF","Swinging Strike (Blocked)","null","null"
"25","Tyler Chatwood",605412,"FF|FF","Swinging Strike","null","null"
"26","Tyler Chatwood",605412,"FF|FC","Ball","null","null"
"28","Tyler Chatwood",543216,"FT|FT","Called Strike","null","null"
"29","Tyler Chatwood",543216,"FT|FT","In play, no out","103.1","-5.49"
"31","Tyler Chatwood",502188,"FT|FT","Ball In Dirt","null","null"
"32","Tyler Chatwood",502188,"FT|FF","Called Strike","null","null"
"33","Tyler Chatwood",502188,"FF|FF","Swinging Strike","null","null"
"34","Tyler Chatwood",502188,"FF|FF","Swinging Strike","null","null"
"35","Tyler Chatwood",502188,"FF|FT","Ball","null","null"
"37","Tyler Chatwood",452655,"FF|FF","Ball","null","null"
"38","Tyler Chatwood",452655,"FF|CU","Called Strike","null","null"
"39","Tyler Chatwood",452655,"CU|CU","Swinging Strike (Blocked)","null","null"
"41","Tyler Chatwood",474832,"FC|FF","In play, out(s)","71.3","4.7"
"43","Tyler Chatwood",457763,"FT|FF","Ball","null","null"
"45","Tyler Chatwood",452254,"FF|FT","Ball","null","null"
"46","Tyler Chatwood",452254,"FT|FF","Foul Tip","null","null"
"47","Tyler Chatwood",452254,"FF|FF","Foul","null","null"
"48","Tyler Chatwood",452254,"FF|FT","Ball","null","null"
"49","Tyler Chatwood",452254,"FT|FT","Ball","null","null"
"50","Tyler Chatwood",452254,"FT|FF","Swinging Strike","null","null"
"52","Tyler Chatwood",543063,"FC|FF","Ball","null","null"
"53","Tyler Chatwood",543063,"FF|FC","Swinging Strike","null","null"
"54","Tyler Chatwood",543063,"FC|FC","Ball","null","null"
"55","Tyler Chatwood",543063,"FC|FF","Foul","null","null"
"57","Tyler Chatwood",434636,"FT|FF","Ball","null","null"
"58","Tyler Chatwood",434636,"FF|FT","Ball","null","null"
"59","Tyler Chatwood",434636,"FT|FF","In play, out(s)","87.7","-26.22"
"61","Tyler Chatwood",543216,"FT|FC","Foul","null","null"
"62","Tyler Chatwood",543216,"FC|FF","Ball","null","null"
"63","Tyler Chatwood",543216,"FF|CU","Called Strike","null","null"
"64","Tyler Chatwood",543216,"CU|FC","Ball","null","null"
"65","Tyler Chatwood",543216,"FC|CU","Swinging Strike (Blocked)","null","null"
"67","Tyler Chatwood",474832,"FF|FF","Ball In Dirt","null","null"
"68","Tyler Chatwood",474832,"FF|FF","Ball","null","null"
"69","Tyler Chatwood",474832,"FF|FF","Ball","null","null"
"71","Tyler Chatwood",457763,"FT|FT","In play, out(s)","null","null"
"72","Tyler Chatwood",457763,"FT|FT","Ball","null","null"
"74","Tyler Chatwood",452254,"FF|FF","Swinging Strike","null","null"
"75","Tyler Chatwood",452254,"FF|FF","Called Strike","null","null"
"77","Tyler Chatwood",543063,"CH|FF","Ball","null","null"
"78","Tyler Chatwood",543063,"FF|FT","Ball","null","null"
"79","Tyler Chatwood",543063,"FT|FT","Ball In Dirt","null","null"
"81","Tyler Chatwood",434636,"FF|FT","Foul","null","null"
"83","Tyler Chatwood",605412,"FF|FT","In play, out(s)","93.1","8.09"
"84","Tyler Chatwood",605412,"FT|FF","Called Strike","null","null"
"85","Tyler Chatwood",605412,"FF|FF","Called Strike","null","null"
"86","Tyler Chatwood",605412,"FF|FF","Ball","null","null"
"87","Tyler Chatwood",605412,"FF|FT","Called Strike","null","null"
"88","Tyler Chatwood",605412,"FT|FT","Ball","null","null"
"89","Tyler Chatwood",605412,"FT|FC","In play, out(s)","93.1","4.82"
"91","Tyler Chatwood",434636,"FF|FF","Called Strike","null","null"
"92","Tyler Chatwood",434636,"FF|FF","Ball","null","null"
"93","Tyler Chatwood",434636,"FF|FT","Ball In Dirt","null","null"
"94","Tyler Chatwood",434636,"FT|CH","In play, out(s)","61.2","-20.77"
"96","Tyler Chatwood",452655,"FT|FT","Ball","null","null"
"99","Tyler Chatwood",457763,"FT|FC","Ball In Dirt","null","null"
"100","Tyler Chatwood",457763,"FC|FC","Ball In Dirt","null","null"
"101","Tyler Chatwood",457763,"FC|FT","Called Strike","null","null"
"102","Tyler Chatwood",457763,"FT|FT","In play, out(s)","89.9","38.63"
"104","Tyler Chatwood",608369,"FT|FF","In play, out(s)","103","-1.44"
"105","Tyler Chatwood",608369,"FF|FF","Ball","null","null"
"106","Tyler Chatwood",608369,"FF|FF","Called Strike","null","null"
"107","Tyler Chatwood",608369,"FF|FT","Ball","null","null"
"109","Tyler Chatwood",408236,"FT|FF","In play, out(s)","92.5","45.41"
"110","Tyler Chatwood",408236,"FF|FT","Ball","null","null"
"112","Tyler Chatwood",518735,"FT|FT","Ball","null","null"
"114","Tyler Chatwood",502210,"FT|FF","Foul","null","null"
"115","Tyler Chatwood",502210,"FF|FT","Ball","null","null"
"116","Tyler Chatwood",502210,"FT|FT","In play, out(s)","84.2","32.28"
"118","Tyler Chatwood",592626,"FF|FF","Ball","null","null"
"119","Tyler Chatwood",592626,"FF|FT","Ball","null","null"
"120","Tyler Chatwood",592626,"FT|FF","Ball","null","null"
"122","Tyler Chatwood",435062,"FC|FF","Called Strike","null","null"
"123","Tyler Chatwood",435062,"FF|FT","In play, out(s)","null","null"
"124","Tyler Chatwood",435062,"FT|FF","Called Strike","null","null"
"125","Tyler Chatwood",435062,"FF|FT","Ball In Dirt","null","null"
"126","Tyler Chatwood",435062,"FT|FT","Ball","null","null"
"128","Tyler Chatwood",474463,"FT|FT","Called Strike","null","null"
"129","Tyler Chatwood",474463,"FT|FT","In play, out(s)","87.8","-12.21"
"131","Tyler Chatwood",400284,"FT|FT","Ball","null","null"
"132","Tyler Chatwood",400284,"FT|FF","Foul","null","null"
"133","Tyler Chatwood",400284,"FF|FF","Foul","null","null"
"134","Tyler Chatwood",400284,"FF|FT","Called Strike","null","null"
"135","Tyler Chatwood",400284,"FT|FT","Foul Tip","null","null"
"136","Tyler Chatwood",400284,"FT|FT","Ball","null","null"
"137","Tyler Chatwood",400284,"FT|FT","Ball","null","null"
"139","Tyler Chatwood",608369,"FF|FF","Foul","null","null"
"140","Tyler Chatwood",608369,"FF|FT","Foul","null","null"
"141","Tyler Chatwood",608369,"FT|FF","Ball","null","null"
"142","Tyler Chatwood",608369,"FF|FC","Ball","null","null"
"143","Tyler Chatwood",608369,"FC|FF","Ball","null","null"
"144","Tyler Chatwood",608369,"FF|FF","Called Strike","null","null"
"146","Tyler Chatwood",408236,"CH|FT","Ball","null","null"
"147","Tyler Chatwood",408236,"FT|FT","Ball","null","null"
"148","Tyler Chatwood",408236,"FT|FT","Ball","null","null"
"150","Tyler Chatwood",518735,"FT|FF","Foul","null","null"
"151","Tyler Chatwood",518735,"FF|FF","In play, no out","95.1","0.38"
"153","Tyler Chatwood",502210,"FT|FT","Ball","null","null"
"154","Tyler Chatwood",502210,"FT|FF","Foul","null","null"
"155","Tyler Chatwood",502210,"FF|FF","Called Strike","null","null"
"156","Tyler Chatwood",502210,"FF|FT","In play, out(s)","86.6","30.26"
"158","Tyler Chatwood",592626,"FF|FT","Ball","null","null"
"159","Tyler Chatwood",592626,"FT|FC","Swinging Strike","null","null"
"160","Tyler Chatwood",592626,"FC|FT","Ball","null","null"
"161","Tyler Chatwood",592626,"FT|FF","Ball","null","null"
"162","Tyler Chatwood",592626,"FF|FF","Swinging Strike","null","null"
"164","Tyler Chatwood",435062,"FT|FT","Ball","null","null"
"166","Tyler Chatwood",574847,"FT|FT","Foul","null","null"
"167","Tyler Chatwood",574847,"FT|FF","Foul","null","null"
"168","Tyler Chatwood",574847,"FF|FC","Ball","null","null"
"169","Tyler Chatwood",574847,"FC|FT","Foul","null","null"
"170","Tyler Chatwood",574847,"FT|FT","Ball","null","null"
"171","Tyler Chatwood",574847,"FT|FC","Swinging Strike","null","null"
"173","Tyler Chatwood",400284,"FF|CU","Swinging Strike","null","null"
"174","Tyler Chatwood",400284,"CU|CU","Called Strike","null","null"
"175","Tyler Chatwood",400284,"CU|FT","Ball","null","null"
"177","Tyler Chatwood",408236,"FF|FT","Ball","null","null"
"178","Tyler Chatwood",408236,"FT|FT","Called Strike","null","null"
"179","Tyler Chatwood",408236,"FT|FC","In play, no out","81","8.58"
"181","Tyler Chatwood",518735,"FT|FF","Called Strike","null","null"
"182","Tyler Chatwood",518735,"FF|FC","Ball","null","null"
"184","Tyler Chatwood",502210,"FF|FF","In play, run(s)","42.8","20.17"
"185","Tyler Chatwood",502210,"FF|FF","Foul","null","null"
"186","Tyler Chatwood",502210,"FF|FT","Swinging Strike","null","null"
"188","Tyler Chatwood",592626,"FT|FF","Ball","null","null"
"189","Tyler Chatwood",592626,"FF|FF","Ball","null","null"
"190","Tyler Chatwood",592626,"FF|FF","Ball","null","null"
"192","Tyler Chatwood",435062,"FT|FT","In play, out(s)","null","null"
"195","Tyler Chatwood",592808,"FF|FT","Foul","null","null"
"196","Tyler Chatwood",592808,"FT|FF","Ball","null","null"
"197","Tyler Chatwood",592808,"FF|FT","Swinging Strike","null","null"
"198","Tyler Chatwood",592808,"FT|FT","Ball","null","null"
"199","Tyler Chatwood",592808,"FT|FF","Foul","null","null"
"200","Tyler Chatwood",592808,"FF|FF","In play, out(s)","62.3","-7.66"
"201","Tyler Chatwood",592808,"FF|FF","In play, out(s)","83.4","65.6"
"202","Tyler Chatwood",592808,"FF|CU","Foul","null","null"
"204","Tyler Chatwood",608369,"FF|FC","Swinging Strike","null","null"
"206","Tyler Chatwood",571976,"FT|FT","Ball In Dirt","null","null"
"207","Tyler Chatwood",571976,"FT|FC","Ball In Dirt","null","null"
