"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"10","Wei-Yin Chen",457787,"SL|FF","Strike","null","null"
"14","Wei-Yin Chen",543699,"FF|FT","Foul","null","null"
"15","Wei-Yin Chen",543699,"FT|FT","Foul","null","null"
"17","Wei-Yin Chen",543699,"SL|FF","Foul","null","null"
"18","Wei-Yin Chen",543699,"FF|SL","Foul","null","null"
"22","Wei-Yin Chen",572191,"CH|FT","Foul","null","null"
"23","Wei-Yin Chen",572191,"FT|CU","Strike","null","null"
"34","Wei-Yin Chen",594694,"CU|FF","Strike","null","null"
"35","Wei-Yin Chen",594694,"FF|FF","Strike","null","null"
"37","Wei-Yin Chen",600474,"CH|FT","Strike","null","null"
"39","Wei-Yin Chen",600474,"CU|SL","Strike","null","null"
"41","Wei-Yin Chen",543699,"CU|FF","Strike","null","null"
"43","Wei-Yin Chen",543699,"FT|FT","Foul","null","null"
"45","Wei-Yin Chen",607208,"FF|CU","Strike","null","null"
"49","Wei-Yin Chen",547180,"SL|SL","Strike","null","null"
"53","Wei-Yin Chen",572191,"SL|FT","Hit","102.9","-7.81"
"55","Wei-Yin Chen",607208,"CH|CH","Foul","null","null"
"57","Wei-Yin Chen",607208,"SL|SL","Foul","null","null"
"60","Wei-Yin Chen",607208,"CU|CH","Hit","92.7","5.55"
"65","Wei-Yin Chen",457787,"FF|CH","Hit","null","null"
"67","Wei-Yin Chen",543685,"FT|CH","Foul","null","null"
"68","Wei-Yin Chen",543685,"CH|CH","Strike","null","null"
"70","Wei-Yin Chen",543685,"FF|FF","Foul","null","null"
"71","Wei-Yin Chen",543685,"FF|FF","Hit","80.6","-35.44"
"72","Wei-Yin Chen",543685,"FF|FF","Strike","null","null"
"74","Wei-Yin Chen",543685,"CH|FF","Foul","null","null"
"76","Wei-Yin Chen",600474,"CU|FF","Strike","null","null"
"77","Wei-Yin Chen",600474,"FF|FF","Hit","null","null"
"83","Wei-Yin Chen",542255,"FF|FF","Strike","null","null"
"84","Wei-Yin Chen",542255,"FF|SL","Strike","null","null"
"86","Wei-Yin Chen",611177,"FF|FF","Hit","86.9","-2.31"
"88","Wei-Yin Chen",611177,"FT|FT","Foul","null","null"
"90","Wei-Yin Chen",611177,"FF|SL","Foul","null","null"
"94","Wei-Yin Chen",518692,"SL|FF","Foul","null","null"
"95","Wei-Yin Chen",518692,"FF|FF","Foul","null","null"
"98","Wei-Yin Chen",461314,"FT|SL","Strike","null","null"
"103","Wei-Yin Chen",621020,"CU|FF","Hit","78.2","37.8"
"104","Wei-Yin Chen",621020,"FF|SL","Foul","null","null"
"105","Wei-Yin Chen",621020,"SL|FF","Strike","null","null"
"106","Wei-Yin Chen",621020,"FF|SL","Foul","null","null"
"109","Wei-Yin Chen",493596,"SL|FF","Strike","null","null"
"111","Wei-Yin Chen",493596,"FF|SL","Hit","91.7","36.5"
"113","Wei-Yin Chen",594760,"FF|FF","Strike","null","null"
"116","Wei-Yin Chen",542255,"SL|FF","Foul","null","null"
"119","Wei-Yin Chen",611177,"SL|SL","Hit","101.9","-17.8"
"121","Wei-Yin Chen",518692,"FF|FF","Foul","null","null"
"123","Wei-Yin Chen",518692,"SL|SL","Strike","null","null"
"125","Wei-Yin Chen",518692,"CH|FF","Foul","null","null"
"127","Wei-Yin Chen",455976,"SL|SL","Foul","null","null"
"128","Wei-Yin Chen",455976,"SL|FF","Strike","null","null"
"131","Wei-Yin Chen",455976,"FF|FF","Strike","null","null"
"133","Wei-Yin Chen",489232,"SL|CH","Hit","99","48.27"
"135","Wei-Yin Chen",621020,"CH|FF","Hit","97.2","44.09"
"137","Wei-Yin Chen",455976,"SL|SL","Hit","92.8","-10.47"
"141","Wei-Yin Chen",489232,"CH|FF","Foul","null","null"
"144","Wei-Yin Chen",607208,"CU|FT","Foul","null","null"
"147","Wei-Yin Chen",607208,"FF|FF","Strike","null","null"
"148","Wei-Yin Chen",607208,"FF|FF","Foul","null","null"
"152","Wei-Yin Chen",150029,"FF|FF","Strike","null","null"
"156","Wei-Yin Chen",475582,"CU|FT","Strike","null","null"
"161","Wei-Yin Chen",457787,"SL|FF","Strike","null","null"
"162","Wei-Yin Chen",457787,"FF|FF","Foul","null","null"
"164","Wei-Yin Chen",594694,"FT|FF","Hit","null","null"
"167","Wei-Yin Chen",594694,"FF|FF","Foul","null","null"
"169","Wei-Yin Chen",595918,"FF|FF","Foul","null","null"
"170","Wei-Yin Chen",595918,"FF|FF","Hit","73.2","30.95"
"173","Wei-Yin Chen",595918,"FF|FF","Strike","null","null"
"176","Wei-Yin Chen",607208,"CH|FT","Strike","null","null"
"178","Wei-Yin Chen",543685,"SL|FF","Hit","92.7","-31.61"
"180","Wei-Yin Chen",543685,"FF|FT","Strike","null","null"
"182","Wei-Yin Chen",467092,"SL|FF","Hit","94.4","19.91"
"184","Wei-Yin Chen",475582,"FT|CH","Strike","null","null"
"187","Wei-Yin Chen",475582,"FF|FF","Strike","null","null"
"193","Wei-Yin Chen",502317,"FF|SL","Foul","null","null"
"194","Wei-Yin Chen",502317,"SL|CU","Foul","null","null"
"196","Wei-Yin Chen",150029,"SL|SL","Hit","99.2","-16.71"
"199","Wei-Yin Chen",150029,"FF|CH","Strike","null","null"
"200","Wei-Yin Chen",150029,"CH|FF","Foul","null","null"
"204","Wei-Yin Chen",457787,"FF|FF","Hit","96.7","26.61"
"208","Wei-Yin Chen",502317,"SL|FF","Strike","null","null"
"210","Wei-Yin Chen",488721,"FF|FF","Foul","null","null"
"212","Wei-Yin Chen",488721,"CH|FF","Strike","null","null"
"214","Wei-Yin Chen",595963,"FF|FF","Hit","92.3","30.67"
"218","Wei-Yin Chen",596748,"FF|FF","Foul","null","null"
"220","Wei-Yin Chen",571830,"CH|FF","Foul","null","null"
"221","Wei-Yin Chen",571830,"FF|CU","Hit","97.2","39.5"
"223","Wei-Yin Chen",571830,"FF|FF","Foul","null","null"
