"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"2","Kyle Hendricks","CH|CH",84.6966666666667,6.57966666666667,0.448,0.64,0.533333333333333,0.2,0.266666666666667,0
"5","Kyle Hendricks","FF|CH",75.7666666666667,-5.14,0.666666666666667,0.777777777777778,0.666666666666667,0,0.333333333333333,0
"7","Kyle Hendricks","CH|FF",104,19.75,0.0769230769230769,0.307692307692308,0,0.5,0.5,0
"9","Kyle Hendricks","CU|CH",85.5538461538462,11.7853846153846,0.25,0.5625,0.461538461538462,0.307692307692308,0.230769230769231,0
"10","Kyle Hendricks","CU|CU",88.28,12.926,0.0526315789473684,0.157894736842105,0.4,0.6,0,0
"12","Kyle Hendricks","FF|SI",77.5,-30.85,0,0.363636363636364,1,0,0,0
"15","Kyle Hendricks","FC|FC",94.7181818181818,20.81,0.148148148148148,0.388888888888889,0.166666666666667,0.5,0.25,0.0833333333333333
"27","Kyle Hendricks","CU|FC",79.65,7.61,0.0666666666666667,0.6,0.5,0,0.5,0
"28","Kyle Hendricks","CU|SI",93.5166666666667,10.9214285714286,0.037037037037037,0.296296296296296,0.428571428571429,0.142857142857143,0.428571428571429,0
"30","Kyle Hendricks","FC|SI",89.2545454545455,3.88695652173913,0.0444444444444444,0.311111111111111,0.565217391304348,0.304347826086957,0.130434782608696,0
"31","Kyle Hendricks","SI|CU",58.8,48.98,0.0769230769230769,0.384615384615385,0,0,1,0
"32","Kyle Hendricks","SI|FC",81.1111111111111,16.4277777777778,0.072289156626506,0.325301204819277,0.444444444444444,0.111111111111111,0.333333333333333,0.111111111111111
"33","Kyle Hendricks","SI|SI",88.3527777777778,9.35925,0.069164265129683,0.302593659942363,0.4875,0.2125,0.275,0.025
"34","Kyle Hendricks","CH|SI",94.3538461538461,5.97137931034483,0.0779220779220779,0.344155844155844,0.586206896551724,0.275862068965517,0.103448275862069,0.0344827586206897
"35","Kyle Hendricks","SI|CH",81.6867924528302,19.0188888888889,0.337423312883436,0.54601226993865,0.37037037037037,0.185185185185185,0.37037037037037,0.0740740740740741
"36","Kyle Hendricks","SI|FF",90.5,6.51,0.214285714285714,0.714285714285714,1,0,0,0
"38","Kyle Hendricks","SI|FF",90.5,6.51,0.214285714285714,0.714285714285714,1,0,0,0
