"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Noah Syndergaard","FF|FF",89.4645833333333,13.335,0.139705882352941,0.514705882352941,0.38,0.3,0.32,0
"2","Noah Syndergaard","CH|CH",92.5,9.85333333333333,0.28125,0.65625,0.444444444444444,0.444444444444444,0.111111111111111,0
"3","Noah Syndergaard","CU|FF",89.3666666666667,12.7258333333333,0.132075471698113,0.433962264150943,0.333333333333333,0.5,0.166666666666667,0
"5","Noah Syndergaard","FF|CH",87.9333333333333,7.18777777777778,0.333333333333333,0.666666666666667,0.444444444444444,0.444444444444444,0.111111111111111,0
"6","Noah Syndergaard","FF|CU",82.75,4.195,0.34375,0.46875,0.5,0.333333333333333,0.166666666666667,0
"7","Noah Syndergaard","CH|FF",87.775,11.5761538461538,0.0952380952380952,0.380952380952381,0.615384615384615,0.230769230769231,0.153846153846154,0
"10","Noah Syndergaard","CU|CU",78.5,16.49,0.571428571428571,0.642857142857143,0,1,0,0
"12","Noah Syndergaard","FF|SI",90.17,6.07904761904762,0.107142857142857,0.428571428571429,0.619047619047619,0.142857142857143,0.238095238095238,0
"13","Noah Syndergaard","FF|SL",88.4555555555555,2.83888888888889,0.361538461538462,0.607692307692308,0.62962962962963,0.222222222222222,0.148148148148148,0
"23","Noah Syndergaard","SL|FF",89.0272727272727,10.9020833333333,0.121495327102804,0.514018691588785,0.458333333333333,0.416666666666667,0.0833333333333333,0.0416666666666667
"25","Noah Syndergaard","SL|SL",83.58,-1.80466666666667,0.428571428571429,0.654761904761905,0.6,0.333333333333333,0.0666666666666667,0
"26","Noah Syndergaard","CU|SL",76.66,-15.776,0.448275862068966,0.724137931034483,0.6,0.4,0,0
"28","Noah Syndergaard","CU|SI",89.4125,7.503,0.0606060606060606,0.363636363636364,0.5,0.2,0.3,0
"31","Noah Syndergaard","SI|CU",83.875,3.988,0.263157894736842,0.473684210526316,0.6,0,0.4,0
"33","Noah Syndergaard","SI|SI",94.1136363636364,-6.6596,0.0786516853932584,0.438202247191011,0.84,0.12,0.04,0
"34","Noah Syndergaard","CH|SI",87.9272727272727,15.5454545454545,0.14,0.42,0.454545454545455,0.181818181818182,0.363636363636364,0
"35","Noah Syndergaard","SI|CH",76.675,-8.87,0.311111111111111,0.533333333333333,0.875,0,0.125,0
"36","Noah Syndergaard","SI|FF",87.945,15.524,0.0891089108910891,0.465346534653465,0.35,0.35,0.3,0
"37","Noah Syndergaard","SI|SL",85.5466666666667,9.983125,0.305555555555556,0.611111111111111,0.5,0.1875,0.3125,0
"38","Noah Syndergaard","SI|FF",87.945,15.524,0.0891089108910891,0.465346534653465,0.35,0.35,0.3,0
