"","player_name","pitch_seq","hit_speed_avg","hit_angle_avg","swinging.strike","strike.rate","ground","line_drive","fly_ball","pop_up"
"1","Tyler Duffey","FF|FF",97.07,21.73,0.135922330097087,0.466019417475728,0.3,0.15,0.55,0
"2","Tyler Duffey","CH|CH",99.7,18.16,0.2,0.6,0,1,0,0
"5","Tyler Duffey","FF|CH",87.45,0.585,0.235294117647059,0.470588235294118,0.5,0.25,0.25,0
"7","Tyler Duffey","CH|FF",89.875,9.855,0.0588235294117647,0.470588235294118,0.25,0.75,0,0
"8","Tyler Duffey","CH|FT",84.5714285714286,-16.95,0.0434782608695652,0.304347826086957,0.857142857142857,0.142857142857143,0,0
"11","Tyler Duffey","FF|FC",85.45,-1.36,0.25,0.25,0.5,0.5,0,0
"15","Tyler Duffey","FC|FC",83.9,12.63,0,0,0,1,0,0
"16","Tyler Duffey","FC|FT",98.3,-10.46,0,0.5,1,0,0,0
"17","Tyler Duffey","FT|CH",92.5833333333333,13.945,0.0588235294117647,0.470588235294118,0.333333333333333,0.5,0.166666666666667,0
"19","Tyler Duffey","FT|FF",86.0307692307692,7.84,0.0655737704918033,0.475409836065574,0.4,0.2,0.4,0
"21","Tyler Duffey","FT|FT",94.88,4.9675,0.0470588235294118,0.517647058823529,0.55,0.35,0.05,0.05
"39","Tyler Duffey","FF|FT",88.7136363636364,-0.415454545454546,0.0645161290322581,0.370967741935484,0.545454545454545,0.409090909090909,0.0454545454545455,0
