pitch_type,player_name,batter,description,hit_speed,hit_angle
SI,Adam Wainwright,444379,"In play, out(s)",98.5,-0.49
CH,Adam Wainwright,570256,Foul Bunt,null,null
SI,Adam Wainwright,570256,Called Strike,null,null
CU,Adam Wainwright,570256,Swinging Strike (Blocked),null,null
CU,Adam Wainwright,457705,Foul,null,null
SI,Adam Wainwright,457705,Ball,null,null
SI,Adam Wainwright,457705,Foul,null,null
CU,Adam Wainwright,457705,Foul,null,null
SI,Adam Wainwright,457705,"In play, no out",91.3,-21.74
SI,Adam Wainwright,628356,Ball,null,null
FF,Adam Wainwright,628356,"In play, out(s)",98.8,24.21
FC,Adam Wainwright,459964,"In play, out(s)",null,null
CU,Adam Wainwright,459964,Called Strike,null,null
CU,Adam Wainwright,593700,Ball,null,null
SI,Adam Wainwright,593700,Ball,null,null
FC,Adam Wainwright,593700,Foul Bunt,null,null
FC,Adam Wainwright,593700,"In play, out(s)",60.1,62.99
FF,Adam Wainwright,518700,Ball,null,null
FF,Adam Wainwright,518700,Foul,null,null
CU,Adam Wainwright,518700,Called Strike,null,null
SI,Adam Wainwright,518700,Called Strike,null,null
SI,Adam Wainwright,518700,Ball,null,null
SI,Adam Wainwright,465753,Ball,null,null
FC,Adam Wainwright,465753,Swinging Strike,null,null
SI,Adam Wainwright,465753,Foul,null,null
CU,Adam Wainwright,465753,Called Strike,null,null
CU,Adam Wainwright,465753,Ball,null,null
FC,Adam Wainwright,465753,Ball,null,null
FF,Adam Wainwright,465753,Swinging Strike,null,null
CU,Adam Wainwright,285064,Called Strike,null,null
CU,Adam Wainwright,285064,Called Strike,null,null
SI,Adam Wainwright,285064,Foul,null,null
FC,Adam Wainwright,285064,Foul,null,null
FC,Adam Wainwright,444379,Foul,null,null
FC,Adam Wainwright,444379,Ball,null,null
SI,Adam Wainwright,444379,Ball,null,null
CU,Adam Wainwright,444379,Foul,null,null
SI,Adam Wainwright,444379,Ball,null,null
CU,Adam Wainwright,444379,Ball,null,null
FC,Adam Wainwright,570256,"In play, out(s)",61,-7.95
FC,Adam Wainwright,457705,Ball,null,null
SI,Adam Wainwright,457705,Called Strike,null,null
CU,Adam Wainwright,457705,Called Strike,null,null
null,Adam Wainwright,457705,Ball,null,null
CU,Adam Wainwright,457705,Ball,null,null
FF,Adam Wainwright,457705,Foul,null,null
null,Adam Wainwright,628356,Ball,null,null
null,Adam Wainwright,628356,Called Strike,null,null
null,Adam Wainwright,628356,"In play, out(s)",93.1,-10.96
SI,Adam Wainwright,628356,Ball,null,null
null,Adam Wainwright,628356,Foul,null,null
FC,Adam Wainwright,628356,Ball,null,null
null,Adam Wainwright,459964,Ball,null,null
null,Adam Wainwright,459964,Ball,null,null
null,Adam Wainwright,459964,Ball,null,null
null,Adam Wainwright,459964,Foul,null,null
null,Adam Wainwright,459964,Ball,null,null
null,Adam Wainwright,459964,Foul,null,null
FC,Adam Wainwright,518700,"In play, no out",76.3,17.62
CU,Adam Wainwright,518700,Called Strike,null,null
FC,Adam Wainwright,465753,Ball,null,null
SI,Adam Wainwright,465753,Swinging Strike,null,null
CU,Adam Wainwright,465753,Called Strike,null,null
SI,Adam Wainwright,465753,Called Strike,null,null
FC,Adam Wainwright,465753,Ball,null,null
CU,Adam Wainwright,465753,Ball,null,null
FC,Adam Wainwright,285064,"In play, no out",93.3,12.26
SI,Adam Wainwright,285064,Called Strike,null,null
CU,Adam Wainwright,570256,Ball,null,null
FC,Adam Wainwright,570256,Ball,null,null
SI,Adam Wainwright,570256,Ball,null,null
CU,Adam Wainwright,570256,Ball,null,null
SI,Adam Wainwright,457705,Ball,null,null
SI,Adam Wainwright,457705,Swinging Strike,null,null
CU,Adam Wainwright,457705,"In play, run(s)",100.7,15.1
FC,Adam Wainwright,628356,Called Strike,null,null
SI,Adam Wainwright,628356,Ball,null,null
SI,Adam Wainwright,628356,Called Strike,null,null
SI,Adam Wainwright,628356,"In play, out(s)",95,51.16
SI,Adam Wainwright,459964,Ball,null,null
FC,Adam Wainwright,459964,Foul,null,null
SI,Adam Wainwright,459964,Ball,null,null
SI,Adam Wainwright,459964,"In play, no out",99.7,-7.51
CH,Adam Wainwright,459964,Called Strike,null,null
SI,Adam Wainwright,518700,Called Strike,null,null
FC,Adam Wainwright,518700,Foul,null,null
SI,Adam Wainwright,518700,Called Strike,null,null
CU,Adam Wainwright,518700,Ball In Dirt,null,null
SI,Adam Wainwright,518700,Foul,null,null
FF,Adam Wainwright,518700,Called Strike,null,null
FC,Adam Wainwright,465753,Foul,null,null
SI,Adam Wainwright,465753,Called Strike,null,null
FC,Adam Wainwright,465753,Called Strike,null,null
null,Adam Wainwright,593700,"In play, out(s)",97.2,-9.31
FC,Adam Wainwright,444379,Called Strike,null,null
FC,Adam Wainwright,444379,"In play, no out",83.2,4.67
FC,Adam Wainwright,593700,Foul,null,null
CU,Adam Wainwright,593700,Ball,null,null
SI,Adam Wainwright,593700,Called Strike,null,null
FC,Adam Wainwright,593700,"In play, out(s)",94.2,49.92
CU,Adam Wainwright,594988,Ball,null,null
SI,Adam Wainwright,594988,Foul,null,null
FC,Adam Wainwright,594988,"In play, out(s)",81.5,-3.71
CU,Adam Wainwright,553993,Ball,null,null
SI,Adam Wainwright,553993,Called Strike,null,null
SI,Adam Wainwright,553993,"In play, no out",98.5,8.91
CU,Adam Wainwright,458015,Foul,null,null
FC,Adam Wainwright,458015,Ball,null,null
SI,Adam Wainwright,458015,Ball,null,null
FF,Adam Wainwright,458015,Ball,null,null
SI,Adam Wainwright,458015,Called Strike,null,null
CU,Adam Wainwright,458015,"In play, run(s)",98.5,22.49
SI,Adam Wainwright,594807,Foul,null,null
FC,Adam Wainwright,594807,Ball In Dirt,null,null
CU,Adam Wainwright,594807,Swinging Strike,null,null
CU,Adam Wainwright,594807,Ball,null,null
SI,Adam Wainwright,594807,Foul,null,null
CU,Adam Wainwright,408252,Ball,null,null
CU,Adam Wainwright,408252,Swinging Strike,null,null
SI,Adam Wainwright,408252,Ball,null,null
SI,Adam Wainwright,408252,Called Strike,null,null
FC,Adam Wainwright,408252,Ball,null,null
SI,Adam Wainwright,408252,Called Strike,null,null
CU,Adam Wainwright,592731,Ball,null,null
FC,Adam Wainwright,592731,Ball,null,null
CU,Adam Wainwright,592731,"In play, no out",90.5,6.42
SI,Adam Wainwright,592731,Called Strike,null,null
FC,Adam Wainwright,592731,Swinging Strike,null,null
FC,Adam Wainwright,571466,"In play, no out",65.4,25.02
FC,Adam Wainwright,474443,"In play, out(s)",82.2,49.12
CU,Adam Wainwright,594988,Swinging Strike (Blocked),null,null
SI,Adam Wainwright,594988,Ball,null,null
CU,Adam Wainwright,594988,Called Strike,null,null
SI,Adam Wainwright,594988,Called Strike,null,null
CU,Adam Wainwright,553993,Ball,null,null
FF,Adam Wainwright,553993,Called Strike,null,null
SI,Adam Wainwright,553993,Ball,null,null
FC,Adam Wainwright,553993,Ball,null,null
SI,Adam Wainwright,553993,"In play, no out",105.6,6.37
CH,Adam Wainwright,458015,Ball,null,null
SI,Adam Wainwright,458015,Foul,null,null
FC,Adam Wainwright,458015,Ball,null,null
CU,Adam Wainwright,458015,Ball,null,null
SI,Adam Wainwright,458015,Called Strike,null,null
SI,Adam Wainwright,458015,Foul (Runner Going),null,null
FC,Adam Wainwright,458015,"In play, no out",95.6,11.09
FC,Adam Wainwright,594807,Swinging Strike,null,null
CU,Adam Wainwright,594807,Foul,null,null
CU,Adam Wainwright,594807,Ball,null,null
FC,Adam Wainwright,594807,Ball,null,null
SI,Adam Wainwright,594807,Ball,null,null
SI,Adam Wainwright,594807,Ball,null,null
SI,Adam Wainwright,408252,"In play, run(s)",95.6,25.15
FC,Adam Wainwright,408252,Ball,null,null
SI,Adam Wainwright,592731,Ball,null,null
SI,Adam Wainwright,592731,Ball,null,null
FC,Adam Wainwright,592731,Called Strike,null,null
FC,Adam Wainwright,592731,Foul,null,null
FC,Adam Wainwright,592731,Swinging Strike,null,null
FF,Adam Wainwright,571466,Ball,null,null
CU,Adam Wainwright,571466,Foul,null,null
CU,Adam Wainwright,571466,Ball In Dirt,null,null
SI,Adam Wainwright,571466,Ball,null,null
CU,Adam Wainwright,571466,Called Strike,null,null
CU,Adam Wainwright,571466,Swinging Strike (Blocked),null,null
CU,Adam Wainwright,571466,Ball,null,null
SI,Adam Wainwright,596112,"In play, out(s)",81,24.19
SI,Adam Wainwright,596112,Called Strike,null,null
SI,Adam Wainwright,594988,"In play, out(s)",101,-20.91
CU,Adam Wainwright,553993,Ball,null,null
FC,Adam Wainwright,553993,"In play, out(s)",82.9,-26.41
FC,Adam Wainwright,553993,Called Strike,null,null
CU,Adam Wainwright,553993,Ball,null,null
SI,Adam Wainwright,458015,"In play, run(s)",104.8,33.9
FC,Adam Wainwright,458015,Foul,null,null
