pitch_type,player_name,batter,description,hit_speed,hit_angle
FC,Andrew Bailey,643603,Ball,null,null
FF,Andrew Bailey,643603,Foul,null,null
FF,Andrew Bailey,643603,Foul,null,null
FF,Andrew Bailey,643603,Swinging Strike,null,null
FF,Andrew Bailey,643603,Ball,null,null
FC,Andrew Bailey,643603,Swinging Strike,null,null
CU,Andrew Bailey,643603,"In play, out(s)",77.3,30.34
FF,Andrew Bailey,503556,"In play, no out",103.1,-9.39
CU,Andrew Bailey,607223,Ball In Dirt,null,null
FC,Andrew Bailey,607223,Swinging Strike,null,null
FF,Andrew Bailey,607223,Called Strike,null,null
FF,Andrew Bailey,607223,Called Strike,null,null
FF,Andrew Bailey,607223,Foul,null,null
FF,Andrew Bailey,545358,"In play, out(s)",88.8,26.06
FF,Andrew Bailey,514888,Ball,null,null
FC,Andrew Bailey,514888,"In play, no out",71.7,23.27
CU,Andrew Bailey,519390,Foul,null,null
FC,Andrew Bailey,519390,"In play, out(s)",61.1,81
FF,Andrew Bailey,519390,Foul,null,null
FF,Andrew Bailey,519390,Foul,null,null
FC,Andrew Bailey,501981,Swinging Strike,null,null
FF,Andrew Bailey,501981,Foul,null,null
CU,Andrew Bailey,501981,Ball,null,null
FC,Andrew Bailey,501981,Ball,null,null
FF,Andrew Bailey,501981,Called Strike,null,null
FC,Andrew Bailey,501981,Ball,null,null
CU,Andrew Bailey,501981,Foul,null,null
FF,Andrew Bailey,501981,Ball,null,null
FF,Andrew Bailey,475174,Called Strike,null,null
FC,Andrew Bailey,475174,Foul,null,null
FF,Andrew Bailey,475174,Ball,null,null
FF,Andrew Bailey,475174,Foul,null,null
FF,Andrew Bailey,475174,Ball,null,null
FF,Andrew Bailey,475174,Foul,null,null
FF,Andrew Bailey,475174,"In play, out(s)",85.6,-22.75
FF,Andrew Bailey,592387,Ball,null,null
FC,Andrew Bailey,592387,"In play, out(s)",64.1,-45.64
FF,Andrew Bailey,592387,Called Strike,null,null
FC,Andrew Bailey,592387,Foul,null,null
FF,Andrew Bailey,545350,Ball,null,null
FF,Andrew Bailey,545350,Swinging Strike,null,null
FF,Andrew Bailey,545350,Called Strike,null,null
FF,Andrew Bailey,545350,Swinging Strike,null,null
FC,Andrew Bailey,493329,"In play, out(s)",null,null
FC,Andrew Bailey,493329,Swinging Strike,null,null
FF,Andrew Bailey,493329,Foul,null,null
FC,Andrew Bailey,514888,"In play, out(s)",67.3,-29.38
FC,Andrew Bailey,543807,Foul,null,null
FF,Andrew Bailey,543807,"In play, no out",85.8,14.6
FF,Andrew Bailey,543807,Swinging Strike,null,null
FF,Andrew Bailey,543807,Ball,null,null
FF,Andrew Bailey,543807,Foul,null,null
FC,Andrew Bailey,594828,"In play, out(s)",109,-6.88
FF,Andrew Bailey,514888,Called Strike,null,null
FF,Andrew Bailey,514888,Ball,null,null
FF,Andrew Bailey,514888,Ball,null,null
FC,Andrew Bailey,514888,"In play, no out",94.3,5.96
FF,Andrew Bailey,621043,Foul,null,null
FF,Andrew Bailey,621043,Called Strike,null,null
FF,Andrew Bailey,621043,Foul,null,null
CU,Andrew Bailey,621043,"In play, out(s)",86.9,28.92
FF,Andrew Bailey,621043,Ball,null,null
FF,Andrew Bailey,621043,Ball,null,null
FF,Andrew Bailey,518960,"In play, out(s)",70.2,9.52
FF,Andrew Bailey,518960,Ball,null,null
FC,Andrew Bailey,519048,Swinging Strike,null,null
FF,Andrew Bailey,519048,Called Strike,null,null
FF,Andrew Bailey,519048,Called Strike,null,null
CU,Andrew Bailey,519048,Ball,null,null
FF,Andrew Bailey,462101,"In play, no out",100.8,5.86
CU,Andrew Bailey,595777,Called Strike,null,null
FF,Andrew Bailey,595777,Foul,null,null
CU,Andrew Bailey,595777,Ball,null,null
null,Andrew Bailey,595777,Hit By Pitch,null,null
FF,Andrew Bailey,595777,Called Strike,null,null
FC,Andrew Bailey,460576,"In play, out(s)",72.8,-24.75
FF,Andrew Bailey,581527,Foul,null,null
FF,Andrew Bailey,581527,Foul,null,null
FF,Andrew Bailey,581527,Ball,null,null
FF,Andrew Bailey,581527,Ball,null,null
FF,Andrew Bailey,581527,Called Strike,null,null
FF,Andrew Bailey,581527,Swinging Strike,null,null
CU,Andrew Bailey,581527,Foul,null,null
CU,Andrew Bailey,581527,Swinging Strike,null,null
FF,Andrew Bailey,518626,Foul,null,null
FF,Andrew Bailey,518626,Foul,null,null
FC,Andrew Bailey,518626,"In play, out(s)",103.8,21.64
FF,Andrew Bailey,518626,Ball,null,null
FC,Andrew Bailey,518626,Called Strike,null,null
FC,Andrew Bailey,518626,Ball,null,null
CU,Andrew Bailey,518626,Called Strike,null,null
FF,Andrew Bailey,429665,Foul,null,null
FF,Andrew Bailey,429665,Ball,null,null
CU,Andrew Bailey,429665,"In play, no out",104.5,12.38
FC,Andrew Bailey,430832,Called Strike,null,null
FF,Andrew Bailey,430832,"In play, out(s)",82.7,-16.92
FF,Andrew Bailey,431145,Ball,null,null
FF,Andrew Bailey,431145,Foul,null,null
FF,Andrew Bailey,431145,"In play, no out",101.1,23.53
FF,Andrew Bailey,581527,Foul,null,null
FC,Andrew Bailey,581527,"In play, no out",92.3,8.02
FF,Andrew Bailey,581527,Foul,null,null
FC,Andrew Bailey,581527,Ball In Dirt,null,null
FF,Andrew Bailey,518626,Foul,null,null
FF,Andrew Bailey,518626,Swinging Strike,null,null
FF,Andrew Bailey,518626,"In play, run(s)",95.4,33.77
FC,Andrew Bailey,429665,Ball,null,null
FC,Andrew Bailey,429665,Foul,null,null
FF,Andrew Bailey,429665,"In play, run(s)",109.9,23.85
FF,Andrew Bailey,493193,Swinging Strike,null,null
FF,Andrew Bailey,493193,Foul,null,null
FF,Andrew Bailey,493193,"In play, out(s)",87.1,50.65
FC,Andrew Bailey,493193,Ball,null,null
FC,Andrew Bailey,493193,Ball,null,null
CU,Andrew Bailey,547982,Ball,null,null
FC,Andrew Bailey,547982,Ball,null,null
FF,Andrew Bailey,547982,"In play, out(s)",null,null
CU,Andrew Bailey,547982,Foul,null,null
FF,Andrew Bailey,572122,Called Strike,null,null
FC,Andrew Bailey,572122,Foul,null,null
FC,Andrew Bailey,572122,Called Strike,null,null
FF,Andrew Bailey,572122,Ball,null,null
FF,Andrew Bailey,572122,"In play, out(s)",98,43.49
FF,Andrew Bailey,134181,"In play, out(s)",84.6,52.86
FF,Andrew Bailey,134181,Foul,null,null
FF,Andrew Bailey,134181,Foul,null,null
CU,Andrew Bailey,519048,Ball,null,null
FC,Andrew Bailey,519048,Ball,null,null
FF,Andrew Bailey,519048,Called Strike,null,null
CU,Andrew Bailey,519048,"In play, out(s)",83.4,-15.8
FF,Andrew Bailey,608577,Called Strike,null,null
FC,Andrew Bailey,608577,Called Strike,null,null
FF,Andrew Bailey,608577,Called Strike,null,null
CU,Andrew Bailey,519295,Foul,null,null
CU,Andrew Bailey,519295,Ball,null,null
FC,Andrew Bailey,519295,Foul,null,null
CU,Andrew Bailey,519295,Swinging Strike (Blocked),null,null
FF,Andrew Bailey,519295,Called Strike,null,null
FF,Andrew Bailey,519295,Foul,null,null
FF,Andrew Bailey,519295,Foul,null,null
FF,Andrew Bailey,519295,Ball,null,null
FF,Andrew Bailey,622194,Called Strike,null,null
FC,Andrew Bailey,622194,Called Strike,null,null
FF,Andrew Bailey,622194,Called Strike,null,null
FF,Andrew Bailey,622194,Ball,null,null
FF,Andrew Bailey,622194,Ball,null,null
FC,Andrew Bailey,622194,Ball,null,null
FF,Andrew Bailey,640461,Foul,null,null
FC,Andrew Bailey,640461,"In play, out(s)",97.5,-0.56
FF,Andrew Bailey,640461,Ball,null,null
FF,Andrew Bailey,640461,Called Strike,null,null
FF,Andrew Bailey,493193,Foul,null,null
FF,Andrew Bailey,493193,Swinging Strike,null,null
FF,Andrew Bailey,493193,"In play, out(s)",88.6,-17.15
FC,Andrew Bailey,452252,Ball,null,null
CU,Andrew Bailey,452252,"In play, out(s)",96.9,-11.81
FF,Andrew Bailey,452252,Foul,null,null
FC,Andrew Bailey,452252,Foul,null,null
FF,Andrew Bailey,452252,Foul,null,null
CU,Andrew Bailey,547982,Ball,null,null
FF,Andrew Bailey,547982,Called Strike,null,null
FF,Andrew Bailey,547982,"In play, out(s)",89.7,33.51
FF,Andrew Bailey,572287,"In play, out(s)",96.4,70.06
FF,Andrew Bailey,572287,Called Strike,null,null
FF,Andrew Bailey,572287,Ball,null,null
FC,Andrew Bailey,606466,Ball,null,null
FF,Andrew Bailey,606466,Called Strike,null,null
FF,Andrew Bailey,606466,Foul,null,null
FF,Andrew Bailey,606466,Ball,null,null
FC,Andrew Bailey,606466,Ball,null,null
FC,Andrew Bailey,606466,Foul,null,null
FF,Andrew Bailey,606466,"In play, out(s)",96,-22.99
FC,Andrew Bailey,592325,Ball,null,null
FF,Andrew Bailey,592325,Called Strike,null,null
FC,Andrew Bailey,592325,Ball,null,null
FF,Andrew Bailey,592325,Foul,null,null
CU,Andrew Bailey,592325,Ball,null,null
FF,Andrew Bailey,592325,Swinging Strike,null,null
FC,Andrew Bailey,592325,Swinging Strike,null,null
FF,Andrew Bailey,628338,Ball,null,null
FF,Andrew Bailey,628338,Ball,null,null
FF,Andrew Bailey,628338,Called Strike,null,null
FC,Andrew Bailey,628338,Ball,null,null
FF,Andrew Bailey,628338,Ball,null,null
FF,Andrew Bailey,429664,Called Strike,null,null
FC,Andrew Bailey,429664,Ball In Dirt,null,null
FC,Andrew Bailey,429664,Called Strike,null,null
FC,Andrew Bailey,429664,"In play, out(s)",87.9,26.39
CU,Andrew Bailey,518692,"In play, out(s)",97.9,10.97
FF,Andrew Bailey,455976,Called Strike,null,null
CU,Andrew Bailey,455976,"In play, no out",94.8,3.17
CU,Andrew Bailey,455976,Ball,null,null
FF,Andrew Bailey,425796,Foul,null,null
FF,Andrew Bailey,425796,Swinging Strike,null,null
FF,Andrew Bailey,425796,"In play, run(s)",101.4,23.02
FF,Andrew Bailey,542255,Foul,null,null
FC,Andrew Bailey,542255,"In play, no out",90.1,9.28
FF,Andrew Bailey,542255,Called Strike,null,null
FF,Andrew Bailey,150229,Foul,null,null
FF,Andrew Bailey,150229,Called Strike,null,null
FF,Andrew Bailey,150229,Ball,null,null
CU,Andrew Bailey,150229,"In play, out(s)",67.7,-30.05
FF,Andrew Bailey,430947,Ball,null,null
FF,Andrew Bailey,430947,Foul,null,null
FC,Andrew Bailey,430947,Ball,null,null
FC,Andrew Bailey,430947,Called Strike,null,null
FF,Andrew Bailey,430947,Swinging Strike,null,null
CU,Andrew Bailey,430947,Ball,null,null
FF,Andrew Bailey,430947,Ball In Dirt,null,null
FC,Andrew Bailey,493596,Foul,null,null
FF,Andrew Bailey,493596,Ball,null,null
FF,Andrew Bailey,493596,Ball,null,null
FC,Andrew Bailey,493596,Called Strike,null,null
FF,Andrew Bailey,493596,Ball,null,null
FC,Andrew Bailey,493596,Ball,null,null
FF,Andrew Bailey,607054,"In play, out(s)",86.2,-4.32
FC,Andrew Bailey,607054,Foul,null,null
FC,Andrew Bailey,445988,Ball In Dirt,null,null
FF,Andrew Bailey,445988,Foul,null,null
CU,Andrew Bailey,445988,Foul,null,null
FC,Andrew Bailey,445988,Foul,null,null
CU,Andrew Bailey,445988,Ball,null,null
FC,Andrew Bailey,445988,Called Strike,null,null
FC,Andrew Bailey,445988,Swinging Strike,null,null
FC,Andrew Bailey,445988,Foul,null,null
FF,Andrew Bailey,445988,Foul,null,null
CU,Andrew Bailey,445988,Foul,null,null
CU,Andrew Bailey,445988,Ball In Dirt,null,null
FF,Andrew Bailey,445988,Ball,null,null
FF,Andrew Bailey,543045,"In play, run(s)",82.8,21.72
FC,Andrew Bailey,543045,Foul,null,null
FF,Andrew Bailey,592663,Called Strike,null,null
FC,Andrew Bailey,592663,Foul,null,null
FF,Andrew Bailey,592663,Ball,null,null
FF,Andrew Bailey,592663,"In play, no out",106.4,4.45
FF,Andrew Bailey,400085,Called Strike,null,null
CU,Andrew Bailey,400085,"In play, no out",77.7,14.54
FF,Andrew Bailey,400085,Ball,null,null
FF,Andrew Bailey,445988,Ball,null,null
FF,Andrew Bailey,445988,Ball,null,null
FF,Andrew Bailey,445988,Ball,null,null
FF,Andrew Bailey,445988,Ball,null,null
FF,Andrew Bailey,445988,Called Strike,null,null
FF,Andrew Bailey,592885,Ball,null,null
FF,Andrew Bailey,592885,Called Strike,null,null
FF,Andrew Bailey,592885,Ball,null,null
FC,Andrew Bailey,592885,Foul,null,null
FC,Andrew Bailey,592885,Ball,null,null
FF,Andrew Bailey,592885,Swinging Strike,null,null
CU,Andrew Bailey,519317,Foul,null,null
FF,Andrew Bailey,519317,Ball,null,null
FF,Andrew Bailey,519317,"In play, run(s)",105,18.88
FF,Andrew Bailey,553869,Ball,null,null
FF,Andrew Bailey,553869,Ball,null,null
FF,Andrew Bailey,553869,Foul (Runner Going),null,null
FF,Andrew Bailey,553869,Foul (Runner Going),null,null
FS,Andrew Bailey,553869,Ball,null,null
FF,Andrew Bailey,553869,Foul,null,null
FF,Andrew Bailey,553869,Foul,null,null
FC,Andrew Bailey,553869,Swinging Strike,null,null
FC,Andrew Bailey,592885,Foul,null,null
