pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Arquimedes Caminero,621563,Swinging Strike,null,null
FF,Arquimedes Caminero,621563,Ball,null,null
FS,Arquimedes Caminero,621563,Called Strike,null,null
FF,Arquimedes Caminero,621563,Foul,null,null
FF,Arquimedes Caminero,621563,Foul,null,null
FF,Arquimedes Caminero,640461,Foul,null,null
SL,Arquimedes Caminero,640461,Ball,null,null
FF,Arquimedes Caminero,640461,Ball,null,null
FF,Arquimedes Caminero,640461,Swinging Strike,null,null
SL,Arquimedes Caminero,640461,Ball,null,null
FF,Arquimedes Caminero,640461,Ball,null,null
FF,Arquimedes Caminero,592387,Foul,null,null
FF,Arquimedes Caminero,592387,Swinging Strike,null,null
FF,Arquimedes Caminero,592387,Called Strike,null,null
SL,Arquimedes Caminero,592387,Foul,null,null
FF,Arquimedes Caminero,475174,"In play, out(s)",88.5,43.04
FF,Arquimedes Caminero,593871,Ball,null,null
FF,Arquimedes Caminero,593871,Called Strike,null,null
FF,Arquimedes Caminero,593871,Ball,null,null
FS,Arquimedes Caminero,593871,Ball,null,null
FF,Arquimedes Caminero,593871,Called Strike,null,null
FF,Arquimedes Caminero,593871,Foul,null,null
FF,Arquimedes Caminero,593871,Foul,null,null
FF,Arquimedes Caminero,593871,Foul,null,null
FF,Arquimedes Caminero,593871,"In play, out(s)",88.8,32.86
FF,Arquimedes Caminero,543257,Called Strike,null,null
FS,Arquimedes Caminero,543257,Ball,null,null
FS,Arquimedes Caminero,543257,Swinging Strike,null,null
FT,Arquimedes Caminero,543257,Ball,null,null
FS,Arquimedes Caminero,543257,"In play, out(s)",null,null
SL,Arquimedes Caminero,593934,Ball,null,null
FF,Arquimedes Caminero,593934,Ball,null,null
FF,Arquimedes Caminero,593934,Ball,null,null
FF,Arquimedes Caminero,593934,Called Strike,null,null
SL,Arquimedes Caminero,593934,Ball In Dirt,null,null
FF,Arquimedes Caminero,573627,Ball,null,null
FF,Arquimedes Caminero,573627,Foul,null,null
FS,Arquimedes Caminero,573627,Swinging Strike,null,null
FS,Arquimedes Caminero,573627,Foul,null,null
FS,Arquimedes Caminero,573627,Swinging Strike,null,null
FT,Arquimedes Caminero,545350,Ball,null,null
FF,Arquimedes Caminero,545350,Swinging Strike,null,null
FT,Arquimedes Caminero,545350,Ball,null,null
FF,Arquimedes Caminero,545350,Ball,null,null
FF,Arquimedes Caminero,545350,Called Strike,null,null
FT,Arquimedes Caminero,545350,Foul,null,null
FT,Arquimedes Caminero,543807,Ball,null,null
FT,Arquimedes Caminero,543807,Ball,null,null
FF,Arquimedes Caminero,543807,Called Strike,null,null
SL,Arquimedes Caminero,543807,Ball,null,null
FT,Arquimedes Caminero,543807,Ball,null,null
FT,Arquimedes Caminero,543807,Foul,null,null
SL,Arquimedes Caminero,493329,Foul,null,null
SL,Arquimedes Caminero,493329,Swinging Strike,null,null
FT,Arquimedes Caminero,493329,Swinging Strike,null,null
