pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Casey Fien,506560,Swinging Strike,null,null
FF,Casey Fien,506560,Called Strike,null,null
SL,Casey Fien,506560,Called Strike,null,null
FT,Casey Fien,493351,Ball In Dirt,null,null
SL,Casey Fien,493351,Ball,null,null
FT,Casey Fien,493351,Ball,null,null
FT,Casey Fien,493351,"In play, out(s)",null,null
SL,Casey Fien,571976,"In play, run(s)",null,null
FF,Casey Fien,500208,Ball,null,null
SL,Casey Fien,500208,Foul,null,null
FF,Casey Fien,500208,"In play, out(s)",null,null
FF,Casey Fien,500208,Ball,null,null
FF,Casey Fien,500208,Swinging Strike,null,null
FF,Casey Fien,596143,"In play, no out",null,null
SL,Casey Fien,506924,Called Strike,null,null
FF,Casey Fien,506924,Ball,null,null
SL,Casey Fien,506924,Ball,null,null
FF,Casey Fien,506924,Foul,null,null
FF,Casey Fien,506924,Foul,null,null
SL,Casey Fien,506924,Foul,null,null
FF,Casey Fien,506924,Foul,null,null
SL,Casey Fien,506924,"In play, run(s)",105.2,22.55
SL,Casey Fien,453568,Foul,null,null
FF,Casey Fien,453568,"In play, out(s)",71.5,35.03
FF,Casey Fien,518934,Ball,null,null
SL,Casey Fien,518934,Ball,null,null
FF,Casey Fien,518934,Called Strike,null,null
SL,Casey Fien,518934,Foul,null,null
FF,Casey Fien,518934,Foul Tip,null,null
SL,Casey Fien,471865,Ball,null,null
SL,Casey Fien,471865,Ball,null,null
FF,Casey Fien,471865,Ball,null,null
SL,Casey Fien,471865,Foul,null,null
FF,Casey Fien,471865,Swinging Strike,null,null
FF,Casey Fien,471865,Ball,null,null
SL,Casey Fien,571448,Foul (Runner Going),null,null
CU,Casey Fien,571448,Ball,null,null
SL,Casey Fien,571448,Called Strike,null,null
FF,Casey Fien,571448,Ball,null,null
FF,Casey Fien,571448,Swinging Strike,null,null
FF,Casey Fien,571448,Foul,null,null
FF,Casey Fien,571448,Ball,null,null
FF,Casey Fien,571448,Foul (Runner Going),null,null
FF,Casey Fien,571448,Foul (Runner Going),null,null
FF,Casey Fien,571448,Foul (Runner Going),null,null
FF,Casey Fien,571448,Swinging Strike,null,null
SL,Casey Fien,571437,Swinging Strike,null,null
SL,Casey Fien,571437,Ball,null,null
SL,Casey Fien,571437,Swinging Strike (Blocked),null,null
FT,Casey Fien,571437,Foul,null,null
SL,Casey Fien,605227,Swinging Strike,null,null
FT,Casey Fien,605227,Foul,null,null
FF,Casey Fien,605227,"In play, out(s)",73.7,8.32
SL,Casey Fien,595963,Ball,null,null
SL,Casey Fien,595963,Ball,null,null
SL,Casey Fien,595963,Swinging Strike,null,null
CU,Casey Fien,595963,Called Strike,null,null
FF,Casey Fien,595963,Ball,null,null
FF,Casey Fien,595963,Ball,null,null
FT,Casey Fien,519237,Ball,null,null
SL,Casey Fien,519237,"In play, no out",76.8,41.29
SL,Casey Fien,520471,"In play, out(s)",88.8,57.34
FT,Casey Fien,520471,Ball,null,null
SL,Casey Fien,520471,Foul,null,null
FF,Casey Fien,488721,Called Strike,null,null
SL,Casey Fien,488721,"In play, out(s)",82.4,-6.2
SL,Casey Fien,517370,Ball,null,null
SL,Casey Fien,517370,Swinging Strike,null,null
FT,Casey Fien,517370,"In play, out(s)",105.5,39.28
FF,Casey Fien,517370,Ball,null,null
FT,Casey Fien,517370,Swinging Strike,null,null
FF,Casey Fien,571875,Ball,null,null
FF,Casey Fien,571875,Ball,null,null
CU,Casey Fien,571875,Called Strike,null,null
SL,Casey Fien,571875,"In play, no out",104.8,4.67
IN,Casey Fien,456078,Intent Ball,null,null
IN,Casey Fien,456078,Intent Ball,null,null
IN,Casey Fien,456078,Intent Ball,null,null
IN,Casey Fien,456078,Intent Ball,null,null
IN,Casey Fien,630111,Intent Ball,null,null
IN,Casey Fien,630111,Intent Ball,null,null
IN,Casey Fien,630111,Intent Ball,null,null
IN,Casey Fien,630111,Intent Ball,null,null
FF,Casey Fien,592273,Called Strike,null,null
FF,Casey Fien,592273,Ball,null,null
FF,Casey Fien,592273,"In play, run(s)",104.2,1.9
CU,Casey Fien,516416,"In play, run(s)",97.9,28.28
SL,Casey Fien,456422,Ball,null,null
FT,Casey Fien,456422,Ball,null,null
FF,Casey Fien,456422,Called Strike,null,null
SL,Casey Fien,456422,"In play, no out",96.1,5.05
CU,Casey Fien,456422,Called Strike,null,null
FT,Casey Fien,456422,Foul,null,null
SL,Casey Fien,502671,"In play, run(s)",105.3,26.96
SL,Casey Fien,605113,Called Strike,null,null
FF,Casey Fien,605113,Foul,null,null
SL,Casey Fien,605113,"In play, out(s)",85.4,-7.61
