pitch_type,player_name,batter,description,hit_speed,hit_angle
FF,Cesar Vargas,516416,Called Strike,null,null
FF,Cesar Vargas,516416,Foul Tip,null,null
SL,Cesar Vargas,516416,Swinging Strike (Blocked),null,null
FF,Cesar Vargas,456422,Ball,null,null
FF,Cesar Vargas,456422,Ball,null,null
FF,Cesar Vargas,456422,Ball,null,null
FF,Cesar Vargas,456422,Called Strike,null,null
FF,Cesar Vargas,456422,Ball,null,null
FF,Cesar Vargas,502671,Called Strike,null,null
FF,Cesar Vargas,502671,"In play, no out",70.1,32.03
SL,Cesar Vargas,571875,Ball,null,null
FF,Cesar Vargas,571875,Ball,null,null
FF,Cesar Vargas,571875,Called Strike,null,null
FF,Cesar Vargas,571875,"In play, run(s)",103.6,10.42
FF,Cesar Vargas,456078,Ball,null,null
FF,Cesar Vargas,456078,Swinging Strike,null,null
CU,Cesar Vargas,456078,"In play, out(s)",null,null
FF,Cesar Vargas,592273,Ball,null,null
FF,Cesar Vargas,592273,"In play, out(s)",81.9,4.03
FF,Cesar Vargas,572008,Foul,null,null
CU,Cesar Vargas,572008,Ball,null,null
FF,Cesar Vargas,572008,"In play, no out",73.1,34.16
FF,Cesar Vargas,425844,Called Strike,null,null
FF,Cesar Vargas,425844,Ball,null,null
FF,Cesar Vargas,425844,Foul Bunt,null,null
SL,Cesar Vargas,425844,"In play, no out",88.8,3.52
SL,Cesar Vargas,605113,Ball,null,null
FF,Cesar Vargas,605113,Foul,null,null
SL,Cesar Vargas,605113,Ball,null,null
FF,Cesar Vargas,605113,Foul,null,null
SL,Cesar Vargas,605113,Foul,null,null
FF,Cesar Vargas,605113,Ball,null,null
SL,Cesar Vargas,605113,Foul,null,null
FF,Cesar Vargas,605113,Ball,null,null
SL,Cesar Vargas,516416,Ball In Dirt,null,null
FF,Cesar Vargas,516416,Swinging Strike,null,null
FF,Cesar Vargas,516416,Foul,null,null
SL,Cesar Vargas,516416,Ball In Dirt,null,null
FF,Cesar Vargas,516416,Foul,null,null
FF,Cesar Vargas,516416,Ball,null,null
FF,Cesar Vargas,516416,Foul,null,null
FF,Cesar Vargas,516416,Foul,null,null
FF,Cesar Vargas,516416,"In play, run(s)",74.4,38.23
SL,Cesar Vargas,456422,Called Strike,null,null
CU,Cesar Vargas,456422,Ball In Dirt,null,null
FF,Cesar Vargas,456422,Ball,null,null
CH,Cesar Vargas,456422,Foul,null,null
FF,Cesar Vargas,456422,"In play, run(s)",95.3,10.4
FF,Cesar Vargas,502671,Ball,null,null
FF,Cesar Vargas,502671,"In play, run(s)",106.8,30.54
FF,Cesar Vargas,571875,Called Strike,null,null
FT,Cesar Vargas,571875,Ball,null,null
FF,Cesar Vargas,571875,Swinging Strike,null,null
FF,Cesar Vargas,571875,Foul,null,null
SL,Cesar Vargas,571875,Ball,null,null
FF,Cesar Vargas,571875,Foul,null,null
FT,Cesar Vargas,571875,Ball,null,null
FT,Cesar Vargas,571875,Foul,null,null
FF,Cesar Vargas,571875,Foul,null,null
FF,Cesar Vargas,571875,Foul,null,null
FF,Cesar Vargas,571875,"In play, out(s)",86.9,-4.56
SL,Cesar Vargas,592626,Ball,null,null
SL,Cesar Vargas,592626,Called Strike,null,null
FF,Cesar Vargas,592626,"In play, out(s)",89.2,-20.45
CH,Cesar Vargas,624577,Ball,null,null
FF,Cesar Vargas,624577,Called Strike,null,null
CH,Cesar Vargas,624577,Ball,null,null
FF,Cesar Vargas,624577,"In play, out(s)",81.3,-5.64
FF,Cesar Vargas,400284,"In play, out(s)",74.3,-36
FF,Cesar Vargas,457759,Ball,null,null
FF,Cesar Vargas,457759,Called Strike,null,null
FF,Cesar Vargas,457759,Swinging Strike,null,null
FF,Cesar Vargas,457759,Called Strike,null,null
FF,Cesar Vargas,408236,"In play, no out",100,2.94
FF,Cesar Vargas,408236,Ball,null,null
FF,Cesar Vargas,572204,"In play, out(s)",76.1,-40.89
FF,Cesar Vargas,572204,Called Strike,null,null
FF,Cesar Vargas,592626,"In play, no out",null,null
FF,Cesar Vargas,624577,Swinging Strike,null,null
FF,Cesar Vargas,624577,Ball,null,null
FF,Cesar Vargas,624577,Ball,null,null
FF,Cesar Vargas,624577,Foul,null,null
FF,Cesar Vargas,624577,Called Strike,null,null
FF,Cesar Vargas,518735,Ball,null,null
SL,Cesar Vargas,518735,Called Strike,null,null
CU,Cesar Vargas,518735,Ball,null,null
FF,Cesar Vargas,518735,Foul,null,null
SL,Cesar Vargas,518735,"In play, out(s)",null,null
FF,Cesar Vargas,622072,"In play, out(s)",65.6,-20.9
FF,Cesar Vargas,622072,Ball,null,null
FF,Cesar Vargas,400284,Ball,null,null
FC,Cesar Vargas,400284,Ball,null,null
FF,Cesar Vargas,400284,Foul,null,null
FF,Cesar Vargas,400284,Ball,null,null
FC,Cesar Vargas,400284,Ball,null,null
FF,Cesar Vargas,400284,Called Strike,null,null
FF,Cesar Vargas,400284,Called Strike,null,null
FF,Cesar Vargas,608369,Foul,null,null
FF,Cesar Vargas,608369,"In play, out(s)",107.4,5.74
FF,Cesar Vargas,608369,Foul,null,null
FF,Cesar Vargas,608369,Ball,null,null
SL,Cesar Vargas,608369,Ball,null,null
FF,Cesar Vargas,608369,Ball,null,null
FF,Cesar Vargas,457759,"In play, out(s)",66.1,50.36
SL,Cesar Vargas,408236,Ball,null,null
FC,Cesar Vargas,408236,Foul,null,null
SL,Cesar Vargas,408236,Called Strike,null,null
SL,Cesar Vargas,408236,Ball,null,null
FF,Cesar Vargas,408236,Swinging Strike,null,null
CH,Cesar Vargas,624577,Called Strike,null,null
FC,Cesar Vargas,624577,Ball,null,null
FC,Cesar Vargas,624577,Foul,null,null
FF,Cesar Vargas,624577,Foul,null,null
FC,Cesar Vargas,624577,Foul,null,null
SL,Cesar Vargas,624577,Ball,null,null
FC,Cesar Vargas,624577,Ball,null,null
FF,Cesar Vargas,624577,"In play, out(s)",99.2,22.55
SL,Cesar Vargas,518735,Called Strike,null,null
FC,Cesar Vargas,518735,Ball,null,null
FF,Cesar Vargas,518735,Foul,null,null
FC,Cesar Vargas,518735,Ball,null,null
FC,Cesar Vargas,518735,Called Strike,null,null
SL,Cesar Vargas,622072,Swinging Strike,null,null
FF,Cesar Vargas,622072,Foul,null,null
SL,Cesar Vargas,622072,Ball,null,null
FF,Cesar Vargas,622072,Ball,null,null
FF,Cesar Vargas,622072,Called Strike,null,null
FF,Cesar Vargas,400284,Foul,null,null
SL,Cesar Vargas,400284,Ball,null,null
CU,Cesar Vargas,400284,Ball,null,null
FF,Cesar Vargas,400284,Ball,null,null
