pitch_type,player_name,batter,description,hit_speed,hit_angle
FT,Chris Sale,621439,"In play, run(s)",100.4,23.35
CH,Chris Sale,593871,Swinging Strike,null,null
CH,Chris Sale,593871,Called Strike,null,null
FT,Chris Sale,593871,"In play, out(s)",94.5,49.69
SL,Chris Sale,543257,Called Strike,null,null
CH,Chris Sale,543257,Ball,null,null
SL,Chris Sale,543257,Called Strike,null,null
FT,Chris Sale,543257,Called Strike,null,null
SL,Chris Sale,543257,Ball,null,null
FT,Chris Sale,543257,Foul,null,null
FT,Chris Sale,593934,Ball,null,null
FT,Chris Sale,593934,Ball,null,null
CH,Chris Sale,593934,Ball,null,null
CH,Chris Sale,593934,Ball,null,null
FT,Chris Sale,593934,Swinging Strike,null,null
SL,Chris Sale,573627,Called Strike,null,null
SL,Chris Sale,573627,Ball,null,null
FT,Chris Sale,573627,Called Strike,null,null
FT,Chris Sale,573627,Called Strike,null,null
SL,Chris Sale,596146,Swinging Strike,null,null
SL,Chris Sale,596146,Foul,null,null
FT,Chris Sale,596146,Called Strike,null,null
FT,Chris Sale,596146,Ball,null,null
SL,Chris Sale,596146,Called Strike,null,null
FT,Chris Sale,596146,Ball,null,null
SL,Chris Sale,596146,Ball,null,null
CH,Chris Sale,571974,"In play, out(s)",null,null
FT,Chris Sale,571974,Called Strike,null,null
FT,Chris Sale,502582,"In play, no out",100.7,1.6
FT,Chris Sale,593871,"In play, run(s)",98.7,16.68
CH,Chris Sale,593871,Ball,null,null
FT,Chris Sale,593871,Ball,null,null
FT,Chris Sale,543257,Foul,null,null
FT,Chris Sale,543257,Foul,null,null
SL,Chris Sale,543257,Ball,null,null
SL,Chris Sale,543257,"In play, no out",74.4,-7.18
SL,Chris Sale,543257,Foul,null,null
FT,Chris Sale,543257,Ball,null,null
SL,Chris Sale,543257,Ball,null,null
FT,Chris Sale,593934,Ball,null,null
FT,Chris Sale,593934,Ball,null,null
CH,Chris Sale,593934,Swinging Strike,null,null
FT,Chris Sale,593934,Ball,null,null
CH,Chris Sale,593934,"In play, run(s)",102.9,29.4
SL,Chris Sale,573627,Ball,null,null
FT,Chris Sale,573627,"In play, out(s)",116.4,-6.87
SL,Chris Sale,596146,Ball,null,null
FT,Chris Sale,596146,Ball,null,null
FT,Chris Sale,596146,Foul,null,null
SL,Chris Sale,596146,"In play, no out",60.7,29.21
SL,Chris Sale,500871,Foul,null,null
SL,Chris Sale,500871,Foul,null,null
CH,Chris Sale,500871,Ball In Dirt,null,null
FT,Chris Sale,500871,Ball,null,null
CH,Chris Sale,500871,"In play, out(s)",101.2,44.66
FT,Chris Sale,500871,Ball,null,null
CH,Chris Sale,500871,Swinging Strike,null,null
FT,Chris Sale,571974,"In play, out(s)",76,53.63
FT,Chris Sale,571974,Ball,null,null
FT,Chris Sale,571974,Ball,null,null
SL,Chris Sale,502582,Swinging Strike,null,null
SL,Chris Sale,502582,Ball,null,null
FT,Chris Sale,502582,Foul,null,null
SL,Chris Sale,502582,Swinging Strike,null,null
FT,Chris Sale,621439,Ball,null,null
FT,Chris Sale,621439,"In play, out(s)",85.6,-25.52
CH,Chris Sale,593871,Swinging Strike,null,null
FT,Chris Sale,593871,Ball,null,null
CH,Chris Sale,593871,Swinging Strike,null,null
FT,Chris Sale,593871,Called Strike,null,null
CH,Chris Sale,593871,Foul,null,null
SL,Chris Sale,593871,Foul,null,null
CH,Chris Sale,543257,Ball,null,null
FT,Chris Sale,543257,Ball,null,null
FT,Chris Sale,543257,"In play, out(s)",80.2,-15.59
CH,Chris Sale,543257,Called Strike,null,null
FT,Chris Sale,543257,Ball,null,null
FT,Chris Sale,593934,Called Strike,null,null
FT,Chris Sale,593934,Swinging Strike,null,null
SL,Chris Sale,593934,Called Strike,null,null
FT,Chris Sale,593934,Ball,null,null
FT,Chris Sale,593934,Ball,null,null
FT,Chris Sale,593934,Ball,null,null
FT,Chris Sale,593934,Foul,null,null
FT,Chris Sale,500871,Foul,null,null
FT,Chris Sale,500871,Ball,null,null
FT,Chris Sale,500871,Foul,null,null
SL,Chris Sale,500871,"In play, out(s)",72.3,2.02
FT,Chris Sale,621439,Ball,null,null
SL,Chris Sale,621439,"In play, no out",96.6,9.71
CH,Chris Sale,621439,Called Strike,null,null
FT,Chris Sale,523253,Foul,null,null
FT,Chris Sale,523253,Called Strike,null,null
CH,Chris Sale,523253,Called Strike,null,null
SL,Chris Sale,523253,Ball,null,null
FT,Chris Sale,572816,"In play, out(s)",46.8,29.59
FT,Chris Sale,572816,Foul,null,null
FT,Chris Sale,446334,Ball,null,null
FT,Chris Sale,446334,Foul,null,null
FT,Chris Sale,446334,"In play, out(s)",76.6,43.51
FT,Chris Sale,446334,Ball,null,null
CH,Chris Sale,446334,Foul,null,null
CH,Chris Sale,543543,Foul,null,null
FT,Chris Sale,543543,"In play, out(s)",97.5,-11.68
CH,Chris Sale,572128,Foul,null,null
SL,Chris Sale,572128,"In play, no out",81.4,8.09
FT,Chris Sale,572128,Called Strike,null,null
SL,Chris Sale,572128,Ball,null,null
FT,Chris Sale,578570,Ball,null,null
SL,Chris Sale,578570,Foul,null,null
FT,Chris Sale,578570,Ball,null,null
CH,Chris Sale,578570,Foul,null,null
FT,Chris Sale,578570,Called Strike,null,null
FT,Chris Sale,578570,"In play, out(s)",81.6,58.04
FT,Chris Sale,523253,Foul,null,null
SL,Chris Sale,523253,Foul (Runner Going),null,null
CH,Chris Sale,523253,Called Strike,null,null
SL,Chris Sale,523253,Foul,null,null
FT,Chris Sale,523253,Foul Tip,null,null
FT,Chris Sale,572816,Swinging Strike,null,null
SL,Chris Sale,572816,Ball,null,null
FT,Chris Sale,572816,Ball,null,null
FT,Chris Sale,572816,Called Strike,null,null
SL,Chris Sale,572816,"In play, no out",68.8,24.92
FT,Chris Sale,446334,"In play, out(s)",85.9,51.6
FT,Chris Sale,446334,Foul,null,null
CH,Chris Sale,446334,Foul,null,null
FT,Chris Sale,543543,Ball,null,null
FT,Chris Sale,543543,"In play, out(s)",null,null
SL,Chris Sale,543543,Ball,null,null
CH,Chris Sale,543484,Swinging Strike,null,null
CH,Chris Sale,543484,"In play, out(s)",91.4,30.73
CH,Chris Sale,543484,Ball,null,null
FT,Chris Sale,543484,Called Strike,null,null
FT,Chris Sale,592200,"In play, run(s)",100.3,26.24
CH,Chris Sale,493351,"In play, out(s)",75.7,-7.51
CH,Chris Sale,493351,Foul,null,null
FT,Chris Sale,572128,"In play, no out",88.8,23.46
CH,Chris Sale,578570,Swinging Strike,null,null
FT,Chris Sale,578570,Ball,null,null
