pitch_type,player_name,batter,description,hit_speed,hit_angle
SL,Clayton Kershaw,491676,Missed Bunt,null,null
CU,Clayton Kershaw,491676,Swinging Strike (Blocked),null,null
FF,Clayton Kershaw,491676,Called Strike,null,null
SL,Clayton Kershaw,491676,Foul,null,null
SL,Clayton Kershaw,474832,"In play, out(s)",105.8,19.08
FF,Clayton Kershaw,474832,Called Strike,null,null
FF,Clayton Kershaw,457763,"In play, out(s)",88.9,38.57
SL,Clayton Kershaw,452254,Swinging Strike,null,null
FF,Clayton Kershaw,452254,Foul,null,null
FF,Clayton Kershaw,452254,Ball,null,null
FF,Clayton Kershaw,452254,Ball,null,null
CU,Clayton Kershaw,452254,Swinging Strike (Blocked),null,null
FF,Clayton Kershaw,493596,"In play, out(s)",85.1,53.08
FF,Clayton Kershaw,474832,Foul,null,null
FF,Clayton Kershaw,474832,Swinging Strike,null,null
SL,Clayton Kershaw,474832,Ball,null,null
FF,Clayton Kershaw,474832,Foul,null,null
FF,Clayton Kershaw,457763,"In play, no out",99.8,18.36
CU,Clayton Kershaw,457763,Ball,null,null
SL,Clayton Kershaw,434636,Ball,null,null
FF,Clayton Kershaw,434636,"In play, run(s)",95.2,26.36
FF,Clayton Kershaw,434636,Called Strike,null,null
CU,Clayton Kershaw,493596,Swinging Strike,null,null
FF,Clayton Kershaw,493596,Called Strike,null,null
SL,Clayton Kershaw,493596,Called Strike,null,null
FF,Clayton Kershaw,621389,Ball,null,null
FF,Clayton Kershaw,621389,Called Strike,null,null
FF,Clayton Kershaw,621389,"In play, no out",88.1,15.5
FF,Clayton Kershaw,491676,Foul,null,null
SL,Clayton Kershaw,491676,Ball In Dirt,null,null
FF,Clayton Kershaw,491676,Foul,null,null
FF,Clayton Kershaw,491676,Swinging Strike,null,null
CU,Clayton Kershaw,491676,"In play, out(s)",65.6,4.7
CU,Clayton Kershaw,474832,Ball In Dirt,null,null
FF,Clayton Kershaw,474832,Ball,null,null
CH,Clayton Kershaw,474832,"In play, out(s)",94.2,49.24
FF,Clayton Kershaw,474832,Foul,null,null
FF,Clayton Kershaw,474832,Foul,null,null
CU,Clayton Kershaw,457763,Ball,null,null
SL,Clayton Kershaw,457763,Ball,null,null
SL,Clayton Kershaw,457763,Foul (Runner Going),null,null
SL,Clayton Kershaw,457763,Swinging Strike,null,null
SL,Clayton Kershaw,457763,Ball In Dirt,null,null
SL,Clayton Kershaw,457763,Foul,null,null
CH,Clayton Kershaw,457763,Ball,null,null
SL,Clayton Kershaw,452254,Ball In Dirt,null,null
SL,Clayton Kershaw,452254,"In play, out(s)",null,null
FF,Clayton Kershaw,452254,Called Strike,null,null
SL,Clayton Kershaw,543063,"In play, run(s)",74.8,-8.8
FF,Clayton Kershaw,493596,"In play, run(s)",91.4,32.07
CU,Clayton Kershaw,605412,Ball,null,null
FF,Clayton Kershaw,605412,Foul,null,null
CU,Clayton Kershaw,605412,Ball,null,null
FF,Clayton Kershaw,605412,"In play, out(s)",81.1,5.06
FF,Clayton Kershaw,621389,Called Strike,null,null
SL,Clayton Kershaw,621389,"In play, no out",96.1,1.45
FF,Clayton Kershaw,621389,Ball,null,null
SL,Clayton Kershaw,491676,"In play, out(s)",90.9,33.73
FF,Clayton Kershaw,621389,Foul,null,null
FF,Clayton Kershaw,621389,Called Strike,null,null
CU,Clayton Kershaw,621389,"In play, out(s)",62.1,-58.07
FF,Clayton Kershaw,605412,Foul,null,null
FF,Clayton Kershaw,605412,Foul,null,null
CU,Clayton Kershaw,605412,Ball,null,null
FF,Clayton Kershaw,605412,Called Strike,null,null
CU,Clayton Kershaw,605412,Ball,null,null
CH,Clayton Kershaw,605412,Ball,null,null
FF,Clayton Kershaw,605412,"In play, out(s)",null,null
SL,Clayton Kershaw,434636,Ball,null,null
FF,Clayton Kershaw,434636,"In play, out(s)",74.5,83.5
FF,Clayton Kershaw,543063,"In play, out(s)",86.4,1.69
CU,Clayton Kershaw,543063,Swinging Strike,null,null
FF,Clayton Kershaw,543063,Foul,null,null
FF,Clayton Kershaw,543063,"In play, out(s)",82,-7.66
FF,Clayton Kershaw,452254,"In play, out(s)",92,66.28
SL,Clayton Kershaw,605412,"In play, out(s)",97.2,1.16
SL,Clayton Kershaw,605412,Ball,null,null
SL,Clayton Kershaw,491676,"In play, out(s)",97.1,2.03
FF,Clayton Kershaw,491676,Foul,null,null
FF,Clayton Kershaw,434636,Called Strike,null,null
FF,Clayton Kershaw,434636,"In play, no out",82.6,14.04
FF,Clayton Kershaw,434636,Called Strike,null,null
FF,Clayton Kershaw,542436,Ball,null,null
FF,Clayton Kershaw,542436,"In play, out(s)",88.5,24.22
FF,Clayton Kershaw,453568,Ball,null,null
SL,Clayton Kershaw,453568,Foul,null,null
FF,Clayton Kershaw,453568,"In play, out(s)",84.8,67.88
FF,Clayton Kershaw,453568,Ball,null,null
FF,Clayton Kershaw,453568,Ball,null,null
FF,Clayton Kershaw,453568,Foul,null,null
FF,Clayton Kershaw,453568,Foul,null,null
SL,Clayton Kershaw,518614,"In play, out(s)",88.6,33.01
FF,Clayton Kershaw,518614,Called Strike,null,null
SL,Clayton Kershaw,518614,Ball,null,null
FF,Clayton Kershaw,518614,Ball,null,null
FF,Clayton Kershaw,518614,Foul Tip,null,null
FF,Clayton Kershaw,571448,Foul Tip,null,null
FF,Clayton Kershaw,571448,Called Strike,null,null
CU,Clayton Kershaw,571448,Ball,null,null
CU,Clayton Kershaw,571448,Foul,null,null
FF,Clayton Kershaw,430605,Ball,null,null
SL,Clayton Kershaw,430605,Swinging Strike,null,null
SL,Clayton Kershaw,430605,Ball,null,null
FF,Clayton Kershaw,430605,"In play, out(s)",91.1,-10.14
FF,Clayton Kershaw,467827,Foul,null,null
CU,Clayton Kershaw,467827,Ball,null,null
SL,Clayton Kershaw,467827,"In play, out(s)",null,null
SL,Clayton Kershaw,467827,Swinging Strike,null,null
CU,Clayton Kershaw,467827,Foul,null,null
FF,Clayton Kershaw,506924,Ball,null,null
SL,Clayton Kershaw,506924,Foul,null,null
CU,Clayton Kershaw,506924,Ball,null,null
FF,Clayton Kershaw,506924,Foul,null,null
SL,Clayton Kershaw,506924,Swinging Strike (Blocked),null,null
FF,Clayton Kershaw,506924,Called Strike,null,null
CU,Clayton Kershaw,506924,Called Strike,null,null
CU,Clayton Kershaw,506924,Foul,null,null
FF,Clayton Kershaw,642162,"In play, out(s)",91.8,22.71
FF,Clayton Kershaw,642162,Called Strike,null,null
SL,Clayton Kershaw,642162,Foul,null,null
FF,Clayton Kershaw,547172,Ball,null,null
FF,Clayton Kershaw,547172,Called Strike,null,null
SL,Clayton Kershaw,547172,"In play, out(s)",null,null
CU,Clayton Kershaw,518452,Ball,null,null
FF,Clayton Kershaw,518452,Foul,null,null
FF,Clayton Kershaw,518452,Called Strike,null,null
FF,Clayton Kershaw,518452,Called Strike,null,null
FF,Clayton Kershaw,518452,Foul,null,null
SL,Clayton Kershaw,518614,Ball,null,null
FF,Clayton Kershaw,518614,"In play, out(s)",93.2,49.77
CU,Clayton Kershaw,571448,"In play, no out",70.9,6.52
CU,Clayton Kershaw,571448,Ball,null,null
SL,Clayton Kershaw,571448,Swinging Strike,null,null
CU,Clayton Kershaw,571448,Ball,null,null
SL,Clayton Kershaw,571448,Swinging Strike,null,null
SL,Clayton Kershaw,430605,Swinging Strike,null,null
FF,Clayton Kershaw,430605,Ball,null,null
SL,Clayton Kershaw,430605,"In play, out(s)",96.9,16.91
FF,Clayton Kershaw,467827,"In play, out(s)",null,null
FF,Clayton Kershaw,467827,Called Strike,null,null
CU,Clayton Kershaw,467827,Ball,null,null
SL,Clayton Kershaw,467827,Ball,null,null
FF,Clayton Kershaw,467827,Ball,null,null
CU,Clayton Kershaw,506924,"In play, no out",102.9,18.82
FF,Clayton Kershaw,506924,Foul,null,null
CU,Clayton Kershaw,506924,Swinging Strike,null,null
