pitch_type,player_name,batter,description,hit_speed,hit_angle
CH,Doug Fister,452234,Ball,null,null
CH,Doug Fister,452234,Ball,null,null
FT,Doug Fister,452234,Ball,null,null
FF,Doug Fister,452234,Ball,null,null
FT,Doug Fister,429664,Ball,null,null
FF,Doug Fister,429664,"In play, run(s)",96.8,32.78
FT,Doug Fister,429664,Ball,null,null
FF,Doug Fister,429664,Called Strike,null,null
FT,Doug Fister,443558,Foul,null,null
FT,Doug Fister,443558,"In play, out(s)",80.1,-30.19
FT,Doug Fister,443558,Ball,null,null
FT,Doug Fister,572122,"In play, no out",96.3,13.98
FF,Doug Fister,452252,Called Strike,null,null
CU,Doug Fister,452252,Swinging Strike,null,null
FT,Doug Fister,452252,Swinging Strike,null,null
CU,Doug Fister,547982,Swinging Strike,null,null
FT,Doug Fister,547982,Swinging Strike,null,null
CU,Doug Fister,547982,Ball In Dirt,null,null
CU,Doug Fister,547982,Ball,null,null
FT,Doug Fister,547982,Ball,null,null
FF,Doug Fister,547982,Called Strike,null,null
CH,Doug Fister,547982,"In play, no out",100.4,0.74
FT,Doug Fister,572287,Called Strike,null,null
FT,Doug Fister,572287,Swinging Strike,null,null
FT,Doug Fister,572287,Called Strike,null,null
FF,Doug Fister,572287,Foul,null,null
FT,Doug Fister,606466,"In play, no out",78.5,14.77
FF,Doug Fister,493114,"In play, no out",91.5,-19.72
FF,Doug Fister,493114,Called Strike,null,null
FF,Doug Fister,488862,Ball,null,null
FT,Doug Fister,488862,"In play, out(s)",null,null
FF,Doug Fister,545361,Ball,null,null
FF,Doug Fister,545361,Ball,null,null
FT,Doug Fister,545361,Ball,null,null
FF,Doug Fister,545361,Called Strike,null,null
FT,Doug Fister,545361,"In play, out(s)",null,null
FF,Doug Fister,405395,Called Strike,null,null
FT,Doug Fister,405395,Called Strike,null,null
CU,Doug Fister,405395,"In play, no out",null,null
FT,Doug Fister,543068,Called Strike,null,null
FC,Doug Fister,543068,"In play, run(s)",102.6,19.79
FT,Doug Fister,502544,Foul,null,null
FT,Doug Fister,502544,Ball,null,null
FT,Doug Fister,502544,Swinging Strike,null,null
FT,Doug Fister,502544,"In play, run(s)",85.2,21.3
FT,Doug Fister,542208,Swinging Strike,null,null
FT,Doug Fister,542208,Ball,null,null
FT,Doug Fister,542208,"In play, out(s)",90,-1.17
FT,Doug Fister,460060,Ball,null,null
FF,Doug Fister,460060,Ball,null,null
FT,Doug Fister,460060,"In play, out(s)",62.5,-37.25
FC,Doug Fister,488862,Ball,null,null
FT,Doug Fister,488862,Foul,null,null
FT,Doug Fister,488862,Ball,null,null
FT,Doug Fister,488862,Called Strike,null,null
CU,Doug Fister,488862,Ball,null,null
FF,Doug Fister,488862,Called Strike,null,null
CU,Doug Fister,594777,Ball,null,null
FT,Doug Fister,594777,"In play, no out",106.1,4.78
FF,Doug Fister,545361,Called Strike,null,null
FF,Doug Fister,545361,Ball,null,null
FF,Doug Fister,545361,"In play, no out",73.9,24.96
FT,Doug Fister,405395,Called Strike,null,null
FT,Doug Fister,405395,Ball,null,null
FF,Doug Fister,405395,Foul,null,null
FT,Doug Fister,405395,Foul,null,null
FF,Doug Fister,405395,Ball,null,null
FT,Doug Fister,405395,"In play, out(s)",99.4,11.75
FT,Doug Fister,592743,Called Strike,null,null
FC,Doug Fister,592743,Ball,null,null
FT,Doug Fister,592743,Called Strike,null,null
FC,Doug Fister,592743,Ball,null,null
FT,Doug Fister,592743,Swinging Strike,null,null
FT,Doug Fister,502544,Ball,null,null
FC,Doug Fister,502544,Swinging Strike,null,null
FT,Doug Fister,502544,Ball,null,null
CU,Doug Fister,502544,Ball,null,null
FT,Doug Fister,502544,Ball,null,null
FT,Doug Fister,542208,Ball,null,null
FT,Doug Fister,542208,Foul (Runner Going),null,null
PO,Doug Fister,542208,Swinging Pitchout,null,null
FT,Doug Fister,542208,Ball,null,null
FT,Doug Fister,542208,"In play, out(s)",101.8,1.44
FT,Doug Fister,460060,Called Strike,null,null
CH,Doug Fister,460060,Ball,null,null
FF,Doug Fister,460060,Foul,null,null
CU,Doug Fister,460060,Ball,null,null
FT,Doug Fister,460060,Foul Bunt,null,null
CU,Doug Fister,488862,Ball,null,null
FT,Doug Fister,488862,"In play, out(s)",88.1,4.17
CU,Doug Fister,594777,Foul,null,null
FT,Doug Fister,594777,Called Strike,null,null
FF,Doug Fister,594777,Foul,null,null
CU,Doug Fister,594777,Ball,null,null
FT,Doug Fister,594777,Ball,null,null
FT,Doug Fister,594777,"In play, out(s)",98.7,6.59
FT,Doug Fister,543068,Ball,null,null
FT,Doug Fister,543068,"In play, out(s)",68.1,-3.36
FF,Doug Fister,592743,"In play, out(s)",101.9,0.22
FT,Doug Fister,594777,Ball,null,null
FF,Doug Fister,594777,Swinging Strike,null,null
FF,Doug Fister,594777,Swinging Strike,null,null
FT,Doug Fister,594777,Ball,null,null
CU,Doug Fister,594777,"In play, out(s)",101.8,0.72
FT,Doug Fister,452234,Called Strike,null,null
CU,Doug Fister,452234,Called Strike,null,null
CU,Doug Fister,452234,Ball,null,null
FT,Doug Fister,452234,Ball,null,null
FC,Doug Fister,452234,Ball,null,null
FF,Doug Fister,452234,Foul,null,null
CU,Doug Fister,452234,Ball,null,null
FF,Doug Fister,429664,"In play, out(s)",73.5,84.96
FT,Doug Fister,443558,Ball,null,null
FT,Doug Fister,443558,Ball,null,null
FT,Doug Fister,443558,"In play, no out",104.9,10.44
CU,Doug Fister,572122,Ball,null,null
CH,Doug Fister,572122,Ball,null,null
FF,Doug Fister,572122,"In play, run(s)",107.2,16.66
FT,Doug Fister,452252,Ball,null,null
FT,Doug Fister,452252,Called Strike,null,null
CU,Doug Fister,452252,Swinging Strike,null,null
FT,Doug Fister,452252,Ball,null,null
CU,Doug Fister,452252,Swinging Strike (Blocked),null,null
FT,Doug Fister,547982,Called Strike,null,null
CU,Doug Fister,547982,Ball,null,null
CU,Doug Fister,547982,Foul,null,null
FC,Doug Fister,547982,Ball,null,null
CH,Doug Fister,547982,Ball,null,null
FF,Doug Fister,547982,"In play, out(s)",76.2,-3.04
FF,Doug Fister,572287,Ball,null,null
FT,Doug Fister,572287,Called Strike,null,null
FC,Doug Fister,572287,"In play, no out",95,-10.43
FF,Doug Fister,502523,Called Strike,null,null
FT,Doug Fister,502523,Foul Bunt,null,null
FC,Doug Fister,502523,"In play, out(s)",53.4,-30.51
FT,Doug Fister,493114,Ball,null,null
CU,Doug Fister,493114,Ball In Dirt,null,null
FT,Doug Fister,493114,Called Strike,null,null
CH,Doug Fister,493114,"In play, out(s)",80.4,20.27
FT,Doug Fister,429664,Called Strike,null,null
CH,Doug Fister,429664,Called Strike,null,null
FT,Doug Fister,429664,Foul,null,null
FC,Doug Fister,429664,Ball,null,null
CU,Doug Fister,429664,Swinging Strike (Blocked),null,null
FT,Doug Fister,443558,Called Strike,null,null
FC,Doug Fister,443558,Ball,null,null
FC,Doug Fister,443558,Ball,null,null
FT,Doug Fister,443558,"In play, out(s)",100.5,-18.43
FT,Doug Fister,572122,Ball,null,null
CH,Doug Fister,572122,Ball,null,null
CH,Doug Fister,572122,Called Strike,null,null
FC,Doug Fister,572122,Foul Tip,null,null
null,Doug Fister,572122,Hit By Pitch,null,null
CU,Doug Fister,452252,Foul,null,null
FT,Doug Fister,452252,Called Strike,null,null
FC,Doug Fister,452252,Ball,null,null
CU,Doug Fister,452252,Swinging Strike (Blocked),null,null
FT,Doug Fister,547982,"In play, no out",110.5,11.47
FC,Doug Fister,572287,Called Strike,null,null
FC,Doug Fister,572287,"In play, out(s)",88.8,23.91
CU,Doug Fister,502523,Ball In Dirt,null,null
CH,Doug Fister,502523,Called Strike,null,null
CH,Doug Fister,502523,Ball,null,null
FT,Doug Fister,502523,Ball,null,null
FT,Doug Fister,502523,Ball,null,null
CU,Doug Fister,493114,Ball,null,null
FF,Doug Fister,493114,"In play, run(s)",96.1,21.29
CU,Doug Fister,452234,Called Strike,null,null
CU,Doug Fister,452234,Ball,null,null
CH,Doug Fister,452234,Ball,null,null
CU,Doug Fister,452234,Ball In Dirt,null,null
FT,Doug Fister,452234,"In play, run(s)",104.4,24.69
CU,Doug Fister,429664,Foul,null,null
FF,Doug Fister,429664,Ball,null,null
CU,Doug Fister,429664,Ball,null,null
FT,Doug Fister,429664,Called Strike,null,null
CH,Doug Fister,429664,"In play, out(s)",109,-3.06
FC,Doug Fister,443558,Ball,null,null
FT,Doug Fister,443558,Foul,null,null
FT,Doug Fister,443558,Foul,null,null
FF,Doug Fister,443558,Ball,null,null
FC,Doug Fister,443558,"In play, no out",91.2,12.71
FT,Doug Fister,493114,Called Strike,null,null
FF,Doug Fister,493114,Ball,null,null
CH,Doug Fister,493114,Ball,null,null
FT,Doug Fister,493114,Foul,null,null
FT,Doug Fister,493114,"In play, out(s)",null,null
FF,Doug Fister,452234,Ball,null,null
CH,Doug Fister,452234,Ball,null,null
FT,Doug Fister,452234,Called Strike,null,null
FT,Doug Fister,452234,Ball,null,null
FT,Doug Fister,452234,"In play, run(s)",98.1,27.06
FC,Doug Fister,460576,Ball,null,null
FC,Doug Fister,460576,Ball,null,null
FF,Doug Fister,460576,Ball,null,null
FF,Doug Fister,460576,Called Strike,null,null
FF,Doug Fister,460576,Ball,null,null
FC,Doug Fister,518960,Ball In Dirt,null,null
FC,Doug Fister,518960,Swinging Strike,null,null
FT,Doug Fister,518960,Called Strike,null,null
FF,Doug Fister,518960,Called Strike,null,null
FF,Doug Fister,136860,Ball,null,null
FT,Doug Fister,136860,Ball,null,null
FC,Doug Fister,136860,Ball,null,null
FT,Doug Fister,136860,Ball,null,null
CU,Doug Fister,460576,Ball,null,null
FF,Doug Fister,460576,Ball,null,null
FF,Doug Fister,460576,Called Strike,null,null
FT,Doug Fister,460576,Foul Tip,null,null
FC,Doug Fister,460576,Foul,null,null
